report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,cash,shares_outstanding,revenue,gross_profit,operating_income,net_income,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,gross_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,gross_profit_ttm,fcf_ttm,ebitda_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-06-30,1267273000.0,560086000.0,259308000.0,,941602000.0,,143813000.0,,627698000.0,502574000.0,153699000.0,102918000.0,58338000.0,1.27,80870000.0,227221000.0,10119000.0,-17923000.0,217102000.0,0.0,,41.8558,6.8448,1.27,135776000.0,0.10930095730467862,0.0812121776444381,0.1639610130986557,0.8006621018387824,0.24486138238452249,0.12128325940819382,0.16323138650937444,0.34587014774620917,0.21630784230633202,0.0,2.1599256482638407,,,,,,,,,,1.013977,346.0,223.76,0.65615,16348.2,23.1565,5.1901,5.1997
2010-09-30,1362192000.0,605955000.0,287085000.0,,1003698000.0,,168754000.0,,881972000.0,710020000.0,230002000.0,151153000.0,86474000.0,1.86,81049000.0,313612000.0,12625000.0,-23833000.0,300987000.0,0.0,2.1108,55.2836,9.4698,1.86,206169000.0,0.15059609563832946,0.11096306541221795,0.1713807241046201,0.8050368945952933,0.2607815214088429,0.1688469760503659,0.22915458633971572,0.3412659358800506,0.2337591216047675,0.0,2.110716338366686,,,,,,,,,,1.013977,346.0,223.76,0.65615,16348.2,23.1565,5.1901,5.1997
2010-12-31,1475837000.0,684539000.0,327866000.0,,1075099000.0,,168133000.0,,268934000.0,219971000.0,79856000.0,55663000.0,26738000.0,0.68,81648000.0,103139000.0,5491000.0,5250000.0,97648000.0,0.0,,59.2868,10.9642,0.68,85106000.0,0.05177476678891897,0.03771622475923832,0.20697643287944253,0.8179367428439691,0.29693530754757674,0.05410895647690091,0.07427781069464301,0.36309280343876194,0.31645682583830975,0.0,2.0878621144003953,,,,,,,,,,1.013977,346.0,223.76,0.65615,16348.2,23.1565,5.1901,5.1997
2011-03-31,1538523000.0,690839000.0,342085000.0,,1112303000.0,,206215000.0,,546506000.0,446870000.0,163070000.0,111238000.0,55945000.0,1.36,81670000.0,194368000.0,11704000.0,10536000.0,182664000.0,0.0,,41.4113,8.0309,1.36,173606000.0,0.10000692257415471,0.07230181154262887,0.20354396841022787,0.817685441696889,0.29838647700116744,0.10599126564893732,0.14660573602696386,0.3342396972768826,0.3176653138300403,0.0,2.01949515471301,2325110000.0,420972000.0,626627000.0,1879435000.0,798401000.0,600657000.0,5.17,5.17,0.0,1.013977,346.0,223.76,0.65615,16348.2,23.1565,5.1901,5.1997
2011-06-30,1597134000.0,797228000.0,349017000.0,,1165168000.0,,299804000.0,,837219000.0,685135000.0,251331000.0,173787000.0,83546000.0,2.13,81655000.0,295444000.0,20544000.0,15715000.0,274900000.0,0.0,,40.2815,8.1929,2.13,267046000.0,0.14915188196036966,0.10881178410828396,0.20757651223873325,0.8183462152674509,0.30019743937966054,0.15736375282224285,0.2157036581849141,0.3283489744021576,0.3189679163994128,0.0,2.284209651678858,2534631000.0,491841000.0,724259000.0,2061996000.0,856199000.0,731927000.0,6.03,6.03,0.0,1.013977,346.0,223.76,0.65615,16348.2,23.1565,5.1901,5.1997
2011-09-30,1568549000.0,763673000.0,372307000.0,1568549000.0,1105436000.0,,216784000.0,,-500825000.0,-408146000.0,-143595000.0,-99291000.0,-46875000.0,-1.21,-163491000.0,-176013000.0,-7294000.0,-10614000.0,-183307000.0,0.0,2.0513,23.7599,4.9797,-1.21,-154209000.0,-0.08982066804410206,-0.06330117835018224,0.1982548794489093,0.8149473368941247,0.28671691708680674,-0.09154639096387808,-0.12989897198933273,0.36601008336245194,0.307909948584835,0.0,2.0511916241166563,1151834000.0,241397000.0,350662000.0,943830000.0,371905000.0,371549000.0,2.96,2.96,0.0,1.013977,346.0,223.76,0.65615,16348.2,23.1565,5.1901,5.1997
2011-12-31,1698689000.0,804102000.0,432754000.0,1698689000.0,1170190000.0,,257488000.0,,322432000.0,266826000.0,99789000.0,66492000.0,35158000.0,0.83,79822000.0,131879000.0,5857000.0,5822000.0,126022000.0,0.0,,33.3884,6.9863,0.83,105611000.0,0.056821541800904124,0.039143127435333956,0.20622022628026995,0.8275419313219532,0.30948851230647084,0.05874471430615021,0.08527589536741896,0.3908483028979754,0.3275450327510917,0.0,1.858104142307177,1205332000.0,252226000.0,370595000.0,990685000.0,400279000.0,392054000.0,3.1100000000000003,3.1100000000000003,0.0,1.013977,346.0,223.76,0.65615,16348.2,23.1565,5.1901,5.1997
2012-03-31,1758271000.0,746518000.0,433886000.0,1758271000.0,1217218000.0,,209459000.0,,662054000.0,548854000.0,204469000.0,135133000.0,72625000.0,1.69,79853000.0,233483000.0,12818000.0,14935000.0,220665000.0,0.0,,40.7274,8.5228,1.69,219404000.0,0.11101791133552083,0.07685561554504397,0.20411174919266403,0.82901696840439,0.30884036649578434,0.11628980970510235,0.1679805918085339,0.3333036278007534,0.33139894933041714,0.0,1.7205394965497849,1320880000.0,276121000.0,411994000.0,1092669000.0,438280000.0,437852000.0,3.44,3.44,0.0,1.013977,346.0,223.76,0.65615,16348.2,23.1565,5.1901,5.1997
2012-06-30,1838066000.0,782887000.0,446640000.0,1838066000.0,1282168000.0,,195607000.0,,1014688000.0,841201000.0,314469000.0,207469000.0,112002000.0,2.6,79834000.0,346882000.0,18544000.0,24987000.0,328338000.0,0.0,,28.2953,5.8541,2.6,339456000.0,0.16181108871848307,0.11287353120072946,0.2044658062379766,0.8290242912106973,0.3099169399854931,0.17108689241844416,0.24526349121176008,0.32358518086347726,0.33454224352707435,0.0,1.7528367365215833,1498349000.0,309803000.0,475132000.0,1248735000.0,491718000.0,510262000.0,3.91,3.91,0.0,1.013977,346.0,223.76,0.65615,16348.2,23.1565,5.1901,5.1997
2012-09-30,1911201000.0,776081000.0,466029000.0,1911201000.0,1329400000.0,,211181000.0,,-621927000.0,-515802000.0,-192424000.0,-133908000.0,-62757000.0,-1.67,-159729000.0,-216807000.0,-7352000.0,-10605000.0,-224159000.0,0.0,1.6655,29.9552,5.9836,-1.67,-203029000.0,-0.10072814803670829,-0.07006484404309123,0.21531144330443927,0.8293610021754965,0.30939965622975046,-0.10068224116668001,-0.14474499774334287,0.36042654523762435,0.3264514967190683,0.0,1.6653062363071827,1377247000.0,275186000.0,426303000.0,1141079000.0,450866000.0,461442000.0,3.45,3.45,0.0,1.013977,346.0,223.76,0.65615,16348.2,23.1565,5.1901,5.1997
