report_date,total_assets,total_liabilities,total_equity,cash,revenue,operating_income,net_income,interest_expense,eps_diluted,shares_diluted,operating_cash_flow,depreciation,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,ebitda_margin,debt_equity,revenue_ttm,net_income_ttm,operating_income_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-06-30,3324182000.0,2087060000.0,1019574000.0,8367000.0,201820000.0,59039000.0,23694000.0,41841000.0,0.77,29213613.0,89414000.0,,0.0,,99.5336,7.2733,0.77,59039000.0,0.02323911751378517,0.0071277685758481335,0.11740164503022495,0.2925329501536022,0.01776045956569165,0.05790555663443752,0.2925329501536022,0.0,,,,,,,,,,0.71358883,308.52,238.46,0.56368,15947.372,23.8139,3.0674,8.4496
2010-09-30,3503753000.0,2254429000.0,1038631000.0,14668000.0,306600000.0,86504000.0,30614000.0,64043000.0,0.99,29398637.0,148284000.0,,0.0,,88.2795,8.1797,0.99,86504000.0,0.029475338209624016,0.008737488059232485,0.09984996738421396,0.2821395955642531,0.024688954957726758,0.08328655701591807,0.2821395955642531,0.0,,,,,,,,,,0.71358883,308.52,238.46,0.56368,15947.372,23.8139,3.0674,8.4496
2010-12-31,3732887000.0,2373524000.0,1149946000.0,13753000.0,415732000.0,112251000.0,35934000.0,87585000.0,1.14,29734383.0,175530000.0,129711000.0,0.0,0.4333,99.683,8.6566,1.14,241962000.0,0.03124842383903244,0.009626329433492094,0.08643549209586945,0.2700080821298336,0.030070827217646826,0.09761414883829328,0.5820143746452041,0.0,,,,,,,,,,0.71358883,308.52,238.46,0.56368,15947.372,23.8139,3.0674,8.4496
2011-03-31,3866686000.0,2494896000.0,1164361000.0,97683000.0,113773000.0,31555000.0,8961000.0,24662000.0,0.27,31546593.0,57307000.0,,0.0,,128.0058,9.3971,0.27,31555000.0,0.007696066769670231,0.0023174884125579374,0.07876209645522224,0.27735051374227626,0.008160735058393674,0.027100701586535447,0.27735051374227626,0.0,1037925000.0,99203000.0,289349000.0,419060000.0,218131000.0,3.17,3.17,0.0,1.3264918787334217,0.71358883,308.52,238.46,0.56368,15947.372,23.8139,3.0674,8.4496
2011-06-30,3825855000.0,2374754000.0,1326864000.0,8809000.0,230511000.0,64435000.0,22709000.0,44518000.0,0.59,31844002.0,,,0.0,,125.9674,9.9951,0.59,64435000.0,0.017114790965765896,0.005935666667973564,0.09851590596544199,0.2795311286663109,0.01684198695455003,0.04856187220393349,0.2795311286663109,0.0,1066616000.0,98218000.0,294745000.0,424456000.0,220808000.0,2.9899999999999998,2.9899999999999998,0.0,1.3348474692945909,0.71358883,308.52,238.46,0.56368,15947.372,23.8139,3.0674,8.4496
2011-09-30,3905165000.0,2394593000.0,1388310000.0,9020000.0,350569000.0,98943000.0,31766000.0,66612000.0,0.82,,172822000.0,,0.0,,109.1237,8.8924,0.82,98943000.0,0.022881056824484446,0.008134355398555502,0.09061268965595931,0.2822354515088328,0.025336445451088496,0.07126866477948009,0.2822354515088328,0.0,1110585000.0,99370000.0,307184000.0,436895000.0,223377000.0,2.82,2.82,0.0,1.3751818674259213,0.71358883,308.52,238.46,0.56368,15947.372,23.8139,3.0674,8.4496
2011-12-31,4036964000.0,2478887000.0,1437527000.0,12889000.0,-219295000.0,-57492000.0,-16366000.0,-44098000.0,-0.43999999999999995,-30761881.0,-13558000.0,,0.0,0.383,100.7379,10.0631,-0.43999999999999995,-57492000.0,-0.011384829641460648,-0.004054036647341913,0.07463006452495496,0.26216740007752115,-0.014241395266343718,-0.0399936835968994,0.26216740007752115,0.0,475558000.0,47070000.0,137441000.0,137441000.0,91694000.0,1.24,1.24,0.0,1.4989094161013807,0.71358883,308.52,238.46,0.56368,15947.372,23.8139,3.0674,8.4496
2012-03-31,4051378000.0,2473579000.0,1457642000.0,13744000.0,127918000.0,39980000.0,24090000.0,24658000.0,0.67,34151475.0,72160000.0,,0.0,,84.4369,10.7795,0.67,39980000.0,0.016526691739123873,0.005946124997469997,0.18832376991510186,0.31254397348301255,0.009868247297586156,0.027427859515573784,0.31254397348301255,0.0,489703000.0,62199000.0,145866000.0,145866000.0,91690000.0,1.6400000000000001,1.6400000000000001,0.0,1.5908605082342677,0.71358883,308.52,238.46,0.56368,15947.372,23.8139,3.0674,8.4496
2012-06-30,4339116000.0,2624412000.0,1593225000.0,4132000.0,260478000.0,80946000.0,62536000.0,49316000.0,1.74,34430571.0,129392000.0,,0.0,,62.9769,10.8779,1.74,80946000.0,0.039251204318285236,0.014412152152650447,0.24008169595896775,0.31075944993435145,0.018654951838116336,0.050806383279197856,0.31075944993435145,0.0,519670000.0,102026000.0,162377000.0,162377000.0,96488000.0,2.79,2.79,0.0,1.6828724815521101,0.71358883,308.52,238.46,0.56368,15947.372,23.8139,3.0674,8.4496
2012-09-30,4534672000.0,2749232000.0,1665693000.0,1943000.0,398620000.0,123821000.0,80123000.0,74380000.0,2.18,34834076.0,219335000.0,,0.0,,55.8124,10.21,2.18,123821000.0,0.04810190113064052,0.017668973632492053,0.2010009532888465,0.310624153328985,0.027305392760490727,0.07433602710703593,0.310624153328985,0.0,567721000.0,150383000.0,187255000.0,187255000.0,104256000.0,4.15,4.15,0.0,1.796107658072437,0.71358883,308.52,238.46,0.56368,15947.372,23.8139,3.0674,8.4496
