report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,cash,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,operating_cash_flow,depreciation,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-06-30,20134000000.0,6983000000.0,8573000000.0,,-2756000000.0,6281000000.0,4906000000.0,9402000000.0,503000000.0,191000000.0,349000000.0,-1000000.0,0.96,1356000000.0,428000000.0,6281000000.0,,,0.191,0.96,931000000.0,-0.0693033381712627,0.009486440846329592,0.020314826632631355,0.05349925547755797,0.024982616469653322,0.1426950354609929,0.09902148479047011,-2.2790275761973877,0.814534002099615,,,,,,,,,,1.3601625,119.21,52.0,10.49866,29920.549,8.9235,2.3688,0.5065
2010-09-30,20055000000.0,7070000000.0,8256000000.0,,-2206000000.0,6025000000.0,4938000000.0,14796000000.0,1038000000.0,578000000.0,520000000.0,-1000000.0,2.78,1801000000.0,652000000.0,6025000000.0,,11.7917,0.2092,2.78,1690000000.0,-0.26201269265639165,0.028820742956868612,0.039064612057312785,0.07015409570154096,0.05175766641735228,0.2717989002356638,0.11422005947553393,-2.7311876699909337,0.8563468992248062,,,,,,,,,,1.3601625,119.21,52.0,10.49866,29920.549,8.9235,2.3688,0.5065
2010-12-31,39598000000.0,12045000000.0,12645000000.0,39598000000.0,1727000000.0,11434000000.0,8069000000.0,23229000000.0,976000000.0,253000000.0,798000000.0,,1.08,1907000000.0,1079000000.0,11434000000.0,0.9526,29.8524,0.3238,1.08,2055000000.0,0.1464968152866242,0.006389211576342239,0.010891557966335185,0.04201644496104008,0.02464770948027678,0.07415849859433174,0.08846700245382927,6.6207295888824556,0.9525504151838672,,,,,,,,,,1.3601625,119.21,52.0,10.49866,29920.549,8.9235,2.3688,0.5065
2011-03-31,40552000000.0,13148000000.0,13874000000.0,,1912000000.0,11115000000.0,8165000000.0,8202000000.0,34000000.0,-213000000.0,254000000.0,2000000.0,,1005000000.0,388000000.0,11115000000.0,,61.913,0.2768,,422000000.0,-0.11140167364016737,-0.005252515289011639,-0.02596927578639356,0.004145330407217752,0.0008384296705464589,0.002609963921086973,0.05145086564252621,5.813284518828452,0.9476719042813897,55629000000.0,809000000.0,2551000000.0,5098000000.0,1921000000.0,,,2.180266771282856,1.327954190525768,1.3601625,119.21,52.0,10.49866,29920.549,8.9235,2.3688,0.5065
2011-06-30,39694000000.0,12391000000.0,12762000000.0,39694000000.0,1942000000.0,11101000000.0,7519000000.0,18011000000.0,842000000.0,325000000.0,504000000.0,6000000.0,0.88,1758000000.0,773000000.0,11101000000.0,,19.3238,0.2353,0.88,1615000000.0,0.16735324407826982,0.008187635410893334,0.018044528343789907,0.046749208816834156,0.021212273895299037,0.06455570037568044,0.08966742546221754,5.7162718846549945,0.9709293214229745,64238000000.0,943000000.0,2890000000.0,5782000000.0,2076000000.0,,,1.9199239017640954,1.3921001926782273,1.3601625,119.21,52.0,10.49866,29920.549,8.9235,2.3688,0.5065
2011-09-30,39054000000.0,11986000000.0,11898000000.0,39054000000.0,2312000000.0,10873000000.0,6984000000.0,28182000000.0,1777000000.0,978000000.0,731000000.0,13000000.0,2.59,2143000000.0,1157000000.0,10873000000.0,,9.8075,0.1753,2.59,2934000000.0,0.42301038062283736,0.02504224919342449,0.03470300191611667,0.06305443190689092,0.04550110103958621,0.1347743648084945,0.10410900574835001,4.702854671280277,1.007396201042192,77624000000.0,1343000000.0,3629000000.0,7026000000.0,2287000000.0,,,1.5475377170509537,1.5867949278530826,1.3601625,119.21,52.0,10.49866,29920.549,8.9235,2.3688,0.5065
2011-12-31,37988000000.0,10997000000.0,11394000000.0,37988000000.0,1806000000.0,10496000000.0,6246000000.0,-17285000000.0,-831000000.0,-250000000.0,-540000000.0,-16000000.0,-1.21,-2498000000.0,-771000000.0,10496000000.0,0.9652,7.4354,0.1688,-1.21,-1602000000.0,-0.13842746400885936,-0.006581025587027482,0.014463407578825572,0.0480763667920162,-0.02187532905127935,-0.06754999187124044,0.09268151576511426,5.8117386489479514,0.9651571002281902,37110000000.0,840000000.0,1822000000.0,3369000000.0,949000000.0,,,3.1154645295339862,1.9199157007376186,1.3601625,119.21,52.0,10.49866,29920.549,8.9235,2.3688,0.5065
2012-03-31,38199000000.0,11261000000.0,12486000000.0,38199000000.0,1510000000.0,10408000000.0,5606000000.0,8602000000.0,-271000000.0,-448000000.0,216000000.0,1000000.0,,124000000.0,380000000.0,10408000000.0,,11.7952,0.1908,,109000000.0,-0.29668874172185433,-0.011728055708264615,-0.05208091141594978,-0.031504301325273196,-0.007094426555668997,-0.022738714549421044,0.012671471750755638,6.892715231788079,0.9018901169309627,37510000000.0,605000000.0,1517000000.0,3056000000.0,911000000.0,,,3.405759162303665,1.6652030735455543,1.3601625,119.21,52.0,10.49866,29920.549,8.9235,2.3688,0.5065
2012-06-30,38694000000.0,11708000000.0,13312000000.0,38694000000.0,1635000000.0,10128000000.0,6086000000.0,18541000000.0,304000000.0,-109000000.0,429000000.0,2000000.0,-0.33,1083000000.0,758000000.0,10128000000.0,,20.2999,0.219,-0.33,1062000000.0,-0.06666666666666667,-0.002816974207887528,-0.005878863060244863,0.016396095140499434,0.007856515221998242,0.025843747343364788,0.05727846394477105,6.194495412844037,0.8795072115384616,38040000000.0,171000000.0,979000000.0,2503000000.0,836000000.0,,,4.046344386735917,1.1710526315789473,1.3601625,119.21,52.0,10.49866,29920.549,8.9235,2.3688,0.5065
2012-09-30,37905000000.0,10774000000.0,13057000000.0,37905000000.0,1827000000.0,9592000000.0,5129000000.0,28450000000.0,504000000.0,-103000000.0,631000000.0,11000000.0,-0.31,845000000.0,1137000000.0,9592000000.0,,,0.1758,-0.31,1641000000.0,-0.05637657361795293,-0.00271731961482654,-0.0036203866432337434,0.017715289982425306,0.013296398891966758,0.0441369647079429,0.05768014059753954,5.250136836343733,0.8251512598606112,38308000000.0,-910000000.0,-294000000.0,1210000000.0,736000000.0,,,7.927272727272728,-0.39945652173913043,1.3601625,119.21,52.0,10.49866,29920.549,8.9235,2.3688,0.5065
