report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,operating_cash_flow,capex,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,fcf_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-06-30,,,,,,,,,941900000.0,,73200000.0,17300000.0,35700000.0,0.71,89600000.0,13000000.0,76600000.0,0.0,,19.4897,1.4137,0.71,,,,0.07771525639664507,,,,0.08132498142053296,,,,,,,,,,0.66081065,351.225,195.0,2.16167,53857.31,36.0491,2.8497,3.863
2010-09-30,,,,,,,,,1405100000.0,,119400000.0,25900000.0,59900000.0,1.14,212400000.0,18100000.0,194300000.0,0.0,,20.5241,1.5226,1.14,,,,0.08497615828054943,,,,0.13828197281332288,,,,,,,,,,0.66081065,351.225,195.0,2.16167,53857.31,36.0491,2.8497,3.863
2010-12-31,3596000000.0,1726000000.0,1577300000.0,2489300000.0,1106700000.0,550000000.0,,249800000.0,1864200000.0,,174100000.0,34600000.0,39700000.0,1.66,231800000.0,25400000.0,206400000.0,550000000.0,1.0945,17.819,1.6681,1.66,,0.1573145387187133,0.048414905450500555,0.0933912670314344,,,,0.1107177341486965,,0.4969729827414837,1.094275026944779,,,,,,,0.66081065,351.225,195.0,2.16167,53857.31,36.0491,2.8497,3.863
2011-03-31,3691100000.0,1749800000.0,1485300000.0,2544000000.0,1147100000.0,675000000.0,,333200000.0,447400000.0,,15200000.0,9500000.0,8300000.0,0.14,-7300000.0,8300000.0,-15600000.0,675000000.0,,20.9438,1.8386,0.14,,0.013250806381309389,0.0041180136002817586,0.033974072418417524,,,,-0.0348681269557443,,0.588440414959463,1.1780785026593954,4658600000.0,381900000.0,461700000.0,87300000.0,3.65,3.65,0.66081065,351.225,195.0,2.16167,53857.31,36.0491,2.8497,3.863
2011-06-30,4581900000.0,2416000000.0,2287100000.0,3379100000.0,1202800000.0,675000000.0,35000000.0,263200000.0,993500000.0,,56900000.0,20100000.0,32500000.0,0.51,97400000.0,17100000.0,80300000.0,710000000.0,,20.284,1.6778,0.51,,0.047306285334220155,0.012418429035989437,0.05727226975339708,,,,0.08082536487166583,,0.5902893249085467,1.0563595820034104,4710200000.0,365600000.0,465400000.0,90100000.0,3.4499999999999997,3.4499999999999997,0.66081065,351.225,195.0,2.16167,53857.31,36.0491,2.8497,3.863
2011-09-30,4247200000.0,2088700000.0,1943600000.0,3027900000.0,1219300000.0,675000000.0,,241400000.0,1556300000.0,,103600000.0,30400000.0,56800000.0,0.93,182000000.0,29200000.0,152800000.0,675000000.0,,18.7544,1.4761,0.93,,0.08496678422045435,0.024392540968167262,0.06656814238899955,,,,0.09818158452740475,,0.5535963257606824,1.0746552788639638,4861400000.0,349800000.0,423900000.0,94600000.0,3.2399999999999998,3.2399999999999998,0.66081065,351.225,195.0,2.16167,53857.31,36.0491,2.8497,3.863
2011-12-31,4483500000.0,2199400000.0,2073600000.0,3239900000.0,1243600000.0,675000000.0,10000000.0,291200000.0,-862500000.0,,-31600000.0,-19200000.0,-33900000.0,-0.30000000000000004,11000000.0,-14600000.0,-3600000.0,685000000.0,1.0603,26.4935,1.7914,-0.30000000000000004,,-0.02541009971051785,-0.007048065127690421,0.03663768115942029,,,,0.0041739130434782605,,0.5508201994210357,1.060667438271605,2134700000.0,144100000.0,213900000.0,40800000.0,1.28,1.28,0.66081065,351.225,195.0,2.16167,53857.31,36.0491,2.8497,3.863
2012-03-31,4602700000.0,2225000000.0,2044200000.0,3246100000.0,1356600000.0,675000000.0,92000000.0,301800000.0,546800000.0,,28100000.0,10600000.0,4400000.0,0.24,-47600000.0,13400000.0,-61000000.0,767000000.0,,26.9903,1.8994,0.24,,0.020713548577325668,0.0061051122167423465,0.0513899049012436,,,,-0.11155815654718361,,0.5653840483561846,1.088445357597104,2234100000.0,157000000.0,168500000.0,41900000.0,1.3800000000000001,1.3800000000000001,0.66081065,351.225,195.0,2.16167,53857.31,36.0491,2.8497,3.863
2012-06-30,,,,,,,,,649900000.0,,71700000.0,10800000.0,19400000.0,0.59,,,,0.0,,22.9274,1.8344,0.59,,,,0.11032466533312818,,,,,,,,1890500000.0,171800000.0,,32600000.0,1.46,1.46,0.66081065,351.225,195.0,2.16167,53857.31,36.0491,2.8497,3.863
2012-09-30,,,,,,,,,650400000.0,,61700000.0,10700000.0,14600000.0,0.5,,,,0.0,,21.9894,1.8318,0.5,,,,0.09486469864698648,,,,,,,,984600000.0,129900000.0,,12900000.0,1.0299999999999998,1.0299999999999998,0.66081065,351.225,195.0,2.16167,53857.31,36.0491,2.8497,3.863
2012-12-31,5352300000.0,2429500000.0,2362900000.0,3693700000.0,1658600000.0,725000000.0,129000000.0,302100000.0,673200000.0,,33500000.0,10900000.0,11900000.0,0.26,,,,854000000.0,1.0284,22.3182,1.7273,0.26,,0.020197757144579765,0.006258991461614633,0.04976232917409388,,,,,,0.5148920776558543,1.028185704007787,2520300000.0,195000000.0,,43000000.0,1.5899999999999999,1.5899999999999999,0.66081065,351.225,195.0,2.16167,53857.31,36.0491,2.8497,3.863
2013-03-31,5225100000.0,2301400000.0,2215100000.0,3560400000.0,1664700000.0,725000000.0,50000000.0,224000000.0,674100000.0,,40500000.0,11200000.0,1800000.0,0.32,,,,775000000.0,,25.198,1.9742,0.32,,0.024328707875292847,0.00775104782683585,0.06008010680907877,,,,,,0.4655493482309125,1.0389598663717214,2647600000.0,207400000.0,,43600000.0,1.67,1.67,0.66081065,351.225,195.0,2.16167,53857.31,36.0491,2.8497,3.863
2013-06-30,5562100000.0,2602600000.0,2343700000.0,3860100000.0,1702000000.0,925000000.0,,240000000.0,1453600000.0,,134000000.0,23100000.0,5700000.0,1.0,,,,925000000.0,,24.6541,2.0371,1.0,,0.07873090481786134,0.024091620071555707,0.09218492019812878,,,,,,0.5434782608695652,1.1104663566156079,3451300000.0,269700000.0,,55900000.0,2.08,2.08,0.66081065,351.225,195.0,2.16167,53857.31,36.0491,2.8497,3.863
2013-09-30,5970200000.0,2546700000.0,2577900000.0,4038000000.0,1932200000.0,825000000.0,235500000.0,286900000.0,2289400000.0,,208600000.0,36200000.0,16600000.0,1.0,,,,1060500000.0,,23.7159,1.9402,1.0,,0.1079598385260325,0.03494020300827443,0.09111557613348475,,,,,,0.5488562260635544,0.9878971255673222,5090300000.0,416600000.0,,81400000.0,2.58,2.58,0.66081065,351.225,195.0,2.16167,53857.31,36.0491,2.8497,3.863
2013-12-31,6860500000.0,2875600000.0,3284800000.0,4775000000.0,2085500000.0,825000000.0,630500000.0,298100000.0,-1237500000.0,,-114500000.0,-20400000.0,-18200000.0,-0.26000000000000023,,,,1455500000.0,0.8755,23.3427,1.9739,-0.26000000000000023,,-0.054902900982977704,-0.016689745645361125,0.09252525252525252,,,,,,0.6979141692639654,0.8754262055528494,3179600000.0,268600000.0,,50100000.0,2.0599999999999996,2.0599999999999996,0.66081065,351.225,195.0,2.16167,53857.31,36.0491,2.8497,3.863
2014-03-31,7275600000.0,3198000000.0,3033600000.0,5131400000.0,2144200000.0,1425000000.0,467400000.0,739200000.0,915000000.0,,49300000.0,16200000.0,-3000000.0,0.0,,,,1892400000.0,,23.1235,1.8769,0.0,,0.022992258184870815,0.00677607345098686,0.05387978142076503,,,,,,0.882566924727171,1.0541930379746836,3420500000.0,277400000.0,,55100000.0,1.7399999999999998,1.7399999999999998,0.66081065,351.225,195.0,2.16167,53857.31,36.0491,2.8497,3.863
2014-06-30,10019300000.0,4440300000.0,3875000000.0,6769700000.0,3249600000.0,2125000000.0,253000000.0,973500000.0,2094300000.0,,158300000.0,37400000.0,-4900000.0,1.0,,,,2378000000.0,,25.2956,1.9394,1.0,,0.0487136878385032,0.015799506951583445,0.07558611469225994,,,,,,0.7317823732151649,1.145883870967742,4061200000.0,301700000.0,,69400000.0,1.7399999999999998,1.7399999999999998,0.66081065,351.225,195.0,2.16167,53857.31,36.0491,2.8497,3.863
2014-09-30,9988000000.0,3972400000.0,3769800000.0,6732000000.0,3256000000.0,2125000000.0,147000000.0,290500000.0,3381100000.0,,251900000.0,63300000.0,-10800000.0,1.0,,,,2272000000.0,,23.4688,1.7137,1.0,,0.07736486486486487,0.025220264317180618,0.0745023808819615,,,,,,0.6977886977886978,1.0537429041328452,5152900000.0,345000000.0,,96500000.0,1.7399999999999998,1.7399999999999998,0.66081065,351.225,195.0,2.16167,53857.31,36.0491,2.8497,3.863
2014-12-31,10010000000.0,3811200000.0,3642700000.0,6780600000.0,3229400000.0,2125000000.0,140000000.0,314400000.0,-1763900000.0,,-156100000.0,-27900000.0,-17300000.0,-1.0,,,,2265000000.0,1.0461,25.5418,1.675,-1.0,,-0.04833715241221279,-0.015594405594405595,0.08849708033335223,,,,,,0.7013686752957206,1.0462568973563566,4626500000.0,303400000.0,,89000000.0,1.0,1.0,0.66081065,351.225,195.0,2.16167,53857.31,36.0491,2.8497,3.863
2015-03-31,9730900000.0,3594800000.0,3438700000.0,6511300000.0,3145200000.0,2125000000.0,115000000.0,276800000.0,1231300000.0,,21900000.0,25600000.0,-1500000.0,0.0,,,,2240000000.0,,28.229,1.5763,0.0,,0.006962991224723388,0.002250562640660165,0.017786079753106473,,,,,,0.7121963627114333,1.0453950620874168,4942800000.0,276000000.0,,98400000.0,1.0,1.0,0.66081065,351.225,195.0,2.16167,53857.31,36.0491,2.8497,3.863
2015-06-30,10716100000.0,4261400000.0,3905400000.0,7004600000.0,3638500000.0,2125000000.0,155000000.0,321700000.0,2602700000.0,,161200000.0,51600000.0,-20600000.0,0.0,,,,2280000000.0,,26.9539,1.6078,0.0,,0.04430397141679263,0.015042786088222394,0.061935682176201635,,,,,,0.6266318537859008,1.091155835509807,5451200000.0,278900000.0,,112600000.0,0.0,0.0,0.66081065,351.225,195.0,2.16167,53857.31,36.0491,2.8497,3.863
2015-09-30,10510400000.0,4020100000.0,3729200000.0,6802500000.0,3652400000.0,2125000000.0,153000000.0,369700000.0,4057500000.0,,294500000.0,77200000.0,-55800000.0,1.0,,,,2278000000.0,,21.0808,1.3755,1.0,,0.08063191326251232,0.02801986603744862,0.07258163894023413,,,,,,0.6236994852699594,1.07800600665022,6127600000.0,321500000.0,,126500000.0,0.0,0.0,0.66081065,351.225,195.0,2.16167,53857.31,36.0491,2.8497,3.863
