report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,net_income,interest_expense,eps_diluted,shares_diluted,operating_cash_flow,depreciation,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,roe,roa,net_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,eps_diluted_ttm,eps_ttm,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2011-09-30,47482000000.0,4576000000.0,4024000000.0,47482000000.0,27903000000.0,6785000000.0,417000000.0,586000000.0,,3338000000.0,,8.49,400000000.0,7171000000.0,3030000000.0,7202000000.0,,7.5432,1.9267,8.49,0.11962871375837723,0.07030032433343161,,0.25810844712038133,1.1371769383697814,,,,,0.5787523,39.03,13.584,8.61781,12932.536,9.0185,1.4238,1.4498
2011-12-31,52051000000.0,4803000000.0,4963000000.0,52051000000.0,28993000000.0,6785000000.0,431000000.0,295000000.0,,4508000000.0,,11.47,400000000.0,9953000000.0,4204000000.0,7216000000.0,0.9678,8.0373,2.1917,11.47,0.15548580691891145,0.08660736585272137,,0.2488876625392336,0.9677614346161596,,,,,0.5787523,39.03,13.584,8.61781,12932.536,9.0185,1.4238,1.4498
2012-03-31,53237000000.0,4954000000.0,4698000000.0,53237000000.0,29715000000.0,7444000000.0,429000000.0,245000000.0,,778000000.0,,2.0,399000000.0,2007000000.0,1740000000.0,7873000000.0,,9.1401,2.2323,2.0,0.02618206293117954,0.014613896350282698,,0.26495036177014974,1.0544912728820774,,,,,0.5787523,39.03,13.584,8.61781,12932.536,9.0185,1.4238,1.4498
2012-06-30,57217000000.0,4639000000.0,5121000000.0,57217000000.0,30673000000.0,9670000000.0,568000000.0,361000000.0,,1115000000.0,,2.86,403000000.0,4799000000.0,3672000000.0,10238000000.0,,10.2021,2.008,2.86,0.03635118834153816,0.01948721533809882,,0.33377889348938805,0.9058777582503418,,9739000000.0,24.82,24.82,0.5787523,39.03,13.584,8.61781,12932.536,9.0185,1.4238,1.4498
2012-09-30,58810000000.0,5044000000.0,5390000000.0,58810000000.0,30714000000.0,10670000000.0,964000000.0,318000000.0,,1276000000.0,,3.27,390000000.0,6422000000.0,5701000000.0,11634000000.0,,13.404,2.0063,3.27,0.041544572507651235,0.021696990307770787,,0.3787849189294784,0.9358070500927643,,7677000000.0,19.599999999999998,19.599999999999998,0.5787523,39.03,13.584,8.61781,12932.536,9.0185,1.4238,1.4498
2012-12-31,60737000000.0,4962000000.0,5536000000.0,60737000000.0,31331000000.0,11355000000.0,990000000.0,160000000.0,,-1244000000.0,,-3.209999999999999,-801000000.0,-4724000000.0,-4004000000.0,12345000000.0,0.8963,15.3783,1.8158,-3.209999999999999,-0.0397050844211803,-0.020481749180894678,,0.3940187035204749,0.8963150289017341,,1925000000.0,4.920000000000001,4.920000000000001,0.5787523,39.03,13.584,8.61781,12932.536,9.0185,1.4238,1.4498
2013-03-31,61792000000.0,4848000000.0,5562000000.0,61792000000.0,31987000000.0,11485000000.0,994000000.0,248000000.0,,698000000.0,,1.76,408000000.0,2621000000.0,1435000000.0,12479000000.0,,15.6469,1.8205,1.76,0.02182136492950261,0.011295960642154323,,0.3901272391909213,0.8716289104638619,,1845000000.0,4.680000000000001,4.680000000000001,0.5787523,39.03,13.584,8.61781,12932.536,9.0185,1.4238,1.4498
2013-12-31,61637000000.0,6366000000.0,4700000000.0,61637000000.0,33396000000.0,9672000000.0,53000000.0,1906000000.0,,2188000000.0,,5.5,406000000.0,9835000000.0,6700000000.0,9725000000.0,1.3545,15.2474,2.3041,5.5,0.06551682836267816,0.03549815857358405,,0.29120253922625466,1.354468085106383,,2918000000.0,7.32,7.32,0.5787523,39.03,13.584,8.61781,12932.536,9.0185,1.4238,1.4498
2019-03-31,21751000000.0,2504000000.0,2374000000.0,21751000000.0,6989000000.0,8094000000.0,339000000.0,327000000.0,1635000000.0,-47000000.0,97000000.0,-0.12,376000000.0,598000000.0,646000000.0,8433000000.0,,,1.7238,-0.12,-0.0067248533409643724,-0.0021608201921750722,-0.02874617737003058,1.206610387752182,1.054759898904802,,1595000000.0,3.9300000000000006,3.9300000000000006,0.5787523,39.03,13.584,8.61781,12932.536,9.0185,1.4238,1.4498
2021-03-31,13127000000.0,2345000000.0,1338000000.0,,-1258000000.0,8713000000.0,2000000.0,538000000.0,,388000000.0,,1.02,379000000.0,671000000.0,342000000.0,8715000000.0,,845.7,1.3635,1.02,-0.30842607313195547,0.029557400777024453,,-6.9276629570747215,1.7526158445440956,,3227000000.0,8.159999999999998,8.159999999999998,0.5787523,39.03,13.584,8.61781,12932.536,9.0185,1.4238,1.4498
