report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,gross_profit,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,roe,roa,net_margin,gross_margin,fcf_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,gross_profit_ttm,fcf_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-07-03,5037500000.0,1978400000.0,1897500000.0,,1409400000.0,,526700000.0,148900000.0,3234800000.0,931200000.0,138500000.0,38600000.0,64200000.0,1.3,106600000.0,143100000.0,27400000.0,115700000.0,526700000.0,,13.9405,0.5547,1.3,0.09826876685114233,0.02749379652605459,0.0428156300234945,0.28786942005688143,0.035767280821070856,0.37370512274726836,1.042635046113307,,,,,,,,0.9881277,199.54,156.23,0.70624,12530.335,18.2127,6.2702,1.415
2010-10-02,5213200000.0,2129900000.0,1892800000.0,,1532000000.0,,443500000.0,157800000.0,4875600000.0,1384200000.0,202700000.0,57700000.0,77000000.0,1.9,106700000.0,283600000.0,50100000.0,233500000.0,443500000.0,,15.9602,0.6902,1.9,0.1323107049608355,0.038882068595104735,0.04157437033390762,0.2839035195668225,0.04789154155386004,0.28949086161879894,1.125264158918005,,,,,,,,0.9881277,199.54,156.23,0.70624,12530.335,18.2127,6.2702,1.415
2011-01-01,5099400000.0,1951900000.0,1831800000.0,,1645700000.0,,381000000.0,127500000.0,6512700000.0,1826000000.0,316900000.0,76600000.0,34400000.0,2.97,106800000.0,486700000.0,83500000.0,403200000.0,381000000.0,1.0656,14.4428,0.7916,2.97,0.19256243543780763,0.06214456602737577,0.04865877439464431,0.28037526678643265,0.061909806992491594,0.23151242632314517,1.0655639261928158,,,,,,,,0.9881277,199.54,156.23,0.70624,12530.335,18.2127,6.2702,1.415
2011-04-02,5314700000.0,2160200000.0,1947600000.0,,1737200000.0,,567600000.0,120400000.0,1659300000.0,454400000.0,44800000.0,17900000.0,22600000.0,0.42,107000000.0,-117500000.0,28000000.0,-145500000.0,567600000.0,,14.677,0.7831,0.42,0.025788625374165323,0.008429450392308127,0.026999337069848733,0.27385041885132283,-0.08768757909962033,0.32673267326732675,1.1091599917847608,16282400000.0,702900000.0,4595800000.0,606900000.0,190800000.0,6.59,6.59,0.9881277,199.54,156.23,0.70624,12530.335,18.2127,6.2702,1.415
2011-07-02,5360000000.0,2216700000.0,1946600000.0,,1804600000.0,,611800000.0,125400000.0,3385000000.0,925300000.0,118100000.0,35600000.0,60100000.0,1.11,106800000.0,-95200000.0,53100000.0,-148300000.0,611800000.0,,13.9028,0.7337,1.11,0.06544386567660423,0.02203358208955224,0.03488921713441654,0.2733530280649926,-0.043810930576070904,0.33902249806051205,1.1387547518750643,16432600000.0,682500000.0,4589900000.0,342900000.0,187800000.0,6.4,6.4,0.9881277,199.54,156.23,0.70624,12530.335,18.2127,6.2702,1.415
2011-10-01,5060500000.0,2036900000.0,1742200000.0,5060500000.0,1749100000.0,954500000.0,433200000.0,119700000.0,5084600000.0,1361000000.0,167900000.0,53500000.0,81200000.0,1.57,106700000.0,120000000.0,76100000.0,43900000.0,1387700000.0,,9.0029,0.4209,1.57,0.09599222457263736,0.03317853966999308,0.03302127994335838,0.26767100656885495,0.00863391417220627,0.793379452289749,1.169153943290093,16641600000.0,647700000.0,4566700000.0,153300000.0,183600000.0,6.07,6.07,0.9881277,199.54,156.23,0.70624,12530.335,18.2127,6.2702,1.415
2011-12-31,4972700000.0,2218800000.0,1647100000.0,4972700000.0,1658500000.0,954200000.0,227100000.0,178000000.0,-4102600000.0,-1219300000.0,-140700000.0,-36000000.0,-85400000.0,-1.32,-213700000.0,515400000.0,-52200000.0,463200000.0,1181300000.0,1.3471,16.3737,0.5165,-1.32,-0.08483569490503468,-0.028294487903955598,0.034295324915906984,0.29720177448447327,-0.11290401208989422,0.7122701236056678,1.34709489405622,6026300000.0,190100000.0,1521400000.0,213300000.0,71000000.0,1.78,1.78,0.9881277,199.54,156.23,0.70624,12530.335,18.2127,6.2702,1.415
2012-03-31,5070900000.0,2335700000.0,2022400000.0,5070900000.0,1664200000.0,703700000.0,613200000.0,190700000.0,1483300000.0,387600000.0,43900000.0,18300000.0,18800000.0,0.41,106200000.0,10700000.0,24000000.0,-13300000.0,1316900000.0,,16.7157,0.5322,0.41,0.026379040980651365,0.00865724033209095,0.02959617070046518,0.26130924290433494,-0.008966493629070316,0.7913111404879222,1.1549149525316456,5850300000.0,189200000.0,1454600000.0,345500000.0,71400000.0,1.77,1.77,0.9881277,199.54,156.23,0.70624,12530.335,18.2127,6.2702,1.415
2012-06-30,5057900000.0,2401800000.0,2122300000.0,5057900000.0,1570500000.0,703200000.0,671500000.0,161400000.0,3015600000.0,787400000.0,108100000.0,36900000.0,44500000.0,1.03,105300000.0,41000000.0,39900000.0,1100000.0,1374700000.0,,15.6639,0.4791,1.03,0.06883158229863101,0.02137250637616402,0.0358469293009683,0.2611089003846664,0.00036476986337710573,0.875326329194524,1.1316967440983838,5480900000.0,179200000.0,1316700000.0,494900000.0,72700000.0,1.69,1.69,0.9881277,199.54,156.23,0.70624,12530.335,18.2127,6.2702,1.415
2012-09-29,5102400000.0,2449000000.0,2154000000.0,5102400000.0,1585500000.0,702700000.0,674400000.0,190700000.0,4503400000.0,1179400000.0,166400000.0,54900000.0,64600000.0,1.6,104200000.0,214100000.0,56900000.0,157200000.0,1377100000.0,,17.1563,0.5545,1.6,0.10495111952065594,0.032612104107870805,0.03694986010569792,0.26189101567704404,0.03490695918639251,0.8685588142541785,1.1369545032497679,4899700000.0,177700000.0,1135100000.0,608200000.0,74100000.0,1.72,1.72,0.9881277,199.54,156.23,0.70624,12530.335,18.2127,6.2702,1.415
