report_date,total_assets,total_liabilities,total_equity,cash,revenue,gross_profit,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,revenue_ttm,net_income_ttm,gross_profit_ttm,fcf_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-06-30,6211400000.0,3574600000.0,2627000000.0,1392500000.0,,,,,,,,,587100000.0,15600000.0,,571500000.0,0.0,,164.6242,0.6981,,,,,,,,,,,0.0,,,,,,,,1.4465966,184.545,110.44,3.08006,40468.613,12.1342,2.063,1.2071
2010-09-30,5938600000.0,3315700000.0,2613200000.0,1309300000.0,,,,,,,,,709400000.0,19200000.0,,690200000.0,0.0,4.3427,14.4476,0.8044,,,,,,,,,,,0.0,,,,,,,,1.4465966,184.545,110.44,3.08006,40468.613,12.1342,2.063,1.2071
2010-12-31,5726700000.0,3136100000.0,2588600000.0,1221100000.0,,,,,,,,,49500000.0,3700000.0,,45800000.0,0.0,,116.8423,0.9391,,,,,,,,,,,0.0,,,,,,,,1.4465966,184.545,110.44,3.08006,40468.613,12.1342,2.063,1.2071
2011-03-31,,,,,,,,,,,,,-21100000.0,8200000.0,,-29300000.0,0.0,,75.9114,0.9553,,,,,,,,,,,,,,,1278200000.0,,,,1.4465966,184.545,110.44,3.08006,40468.613,12.1342,2.063,1.2071
2011-06-30,5504800000.0,2911200000.0,2591500000.0,841000000.0,,,,,,,,,-75300000.0,12800000.0,,-88100000.0,0.0,,135.2599,1.0551,,,,,,,,,,,0.0,,,,618600000.0,,,,1.4465966,184.545,110.44,3.08006,40468.613,12.1342,2.063,1.2071
2011-09-30,5358400000.0,2734900000.0,2620600000.0,732600000.0,,526300000.0,,,50500000.0,,,,61800000.0,-8400000.0,,53400000.0,0.0,4.1051,39.7882,0.7855,,,,,,,,,,,0.0,,,,-18200000.0,,,,1.4465966,184.545,110.44,3.08006,40468.613,12.1342,2.063,1.2071
2011-12-31,5363400000.0,2711100000.0,2649400000.0,738100000.0,,,,,,1500000.0,0.09,,-3300000.0,2400000.0,,-5700000.0,0.0,,34.2445,1.0934,0.09,,,,,,,,,,0.0,,,,-69700000.0,,,,1.4465966,184.545,110.44,3.08006,40468.613,12.1342,2.063,1.2071
2012-03-31,5484900000.0,2781900000.0,2700000000.0,679800000.0,,313100000.0,,,12500000.0,,,,-82600000.0,5500000.0,,-88100000.0,0.0,,35.8653,1.2002,,,,,,,,,,,0.0,,,,-128500000.0,,,,1.4465966,184.545,110.44,3.08006,40468.613,12.1342,2.063,1.2071
2012-06-30,6657000000.0,3165400000.0,3488700000.0,904900000.0,,,,,,-712500000.0,2.47,,-177200000.0,23800000.0,,-201000000.0,0.0,,6.608,1.4317,2.47,,,,,,,,,,0.0,,,,-241400000.0,,,,1.4465966,184.545,110.44,3.08006,40468.613,12.1342,2.063,1.2071
2012-09-30,7248200000.0,3653500000.0,3592100000.0,1047700000.0,,,242900000.0,,,-2400000.0,0.20999999999999996,,-35000000.0,1900000.0,,-36900000.0,0.0,4.3153,6.9115,1.518,0.20999999999999996,242900000.0,,,,,0.03351176843906073,0.06762061189833245,,,0.0,,,,-331700000.0,,,,1.4465966,184.545,110.44,3.08006,40468.613,12.1342,2.063,1.2071
2012-12-31,7347300000.0,3734200000.0,3610400000.0,566900000.0,,,107900000.0,,4200000.0,41600000.0,0.2,,-656500000.0,14000000.0,,-670500000.0,0.0,,6.3854,1.3452,0.2,107900000.0,,,,,0.014685666843602412,0.029885885220474185,,,0.0,,,,-996500000.0,,,,1.4465966,184.545,110.44,3.08006,40468.613,12.1342,2.063,1.2071
2013-03-31,8232500000.0,4488800000.0,3741000000.0,1150500000.0,,,250000000.0,,7100000.0,72700000.0,0.52,,-840300000.0,25300000.0,,-865600000.0,0.0,,7.1946,1.4758,0.52,250000000.0,,,,,0.030367446097783177,0.06682705159048383,,,0.0,,,,-1774000000.0,,3.4000000000000004,3.4000000000000004,1.4465966,184.545,110.44,3.08006,40468.613,12.1342,2.063,1.2071
2013-06-30,8287000000.0,4379500000.0,3904700000.0,638000000.0,,861100000.0,,,-7100000.0,131900000.0,0.0,,-1136300000.0,40600000.0,,-1176900000.0,0.0,,16.0214,1.1827,0.0,,,,,,,,,,0.0,,,,-2749900000.0,,0.9299999999999999,0.9299999999999999,1.4465966,184.545,110.44,3.08006,40468.613,12.1342,2.063,1.2071
2013-09-30,8856400000.0,4795000000.0,4058500000.0,936500000.0,,371300000.0,,,-11300000.0,-51100000.0,0.28,,1402000000.0,-21900000.0,22700000.0,1380100000.0,0.0,4.8703,13.5568,1.0021,0.28,,,,,,,,,,0.0,,,,-1332900000.0,-7100000.0,1.0,1.0,1.4465966,184.545,110.44,3.08006,40468.613,12.1342,2.063,1.2071
2013-12-31,8927200000.0,4727300000.0,4196800000.0,820100000.0,,,189700000.0,,0.0,66500000.0,0.36,,-7500000.0,18300000.0,7800000.0,-25800000.0,0.0,,13.8943,1.0846,0.36,197500000.0,,,,,0.021249663948382472,0.04520110560426992,,,0.0,,,,-688200000.0,-11300000.0,1.1600000000000001,1.1600000000000001,1.4465966,184.545,110.44,3.08006,40468.613,12.1342,2.063,1.2071
2014-03-31,9372800000.0,5023200000.0,4346300000.0,951400000.0,,738800000.0,,,0.0,137500000.0,0.0,,-266900000.0,32800000.0,16700000.0,-299700000.0,0.0,,12.9823,1.0067,0.0,,,,,,,,,,0.0,,,,-122300000.0,-18400000.0,0.64,0.64,1.4465966,184.545,110.44,3.08006,40468.613,12.1342,2.063,1.2071
