report_date,total_assets,total_liabilities,total_equity,cash,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,revenue_ttm,net_income_ttm,fcf_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-06-30,,,,,2316615000.0,,228817000.0,52055000.0,77409000.0,1.44,186670000.0,20307000.0,42468000.0,166363000.0,0.0,,8.7814,0.8742,1.44,,,,0.09877213088925005,,,,0.07181296849066418,,,,,,,,,0.36740494,78.96,62.63,1.70778,25280.836,14.2075,2.7469,1.7287
2010-09-30,,,,,3492727000.0,,322436000.0,78780000.0,105040000.0,2.05,390717000.0,36688000.0,64063000.0,354029000.0,0.0,,8.7974,0.8606,2.05,,,,0.09231640491799101,,,,0.10136177262064856,,,,,,,,,0.36740494,78.96,62.63,1.70778,25280.836,14.2075,2.7469,1.7287
2010-12-31,,,,,4724069000.0,,449287000.0,106969000.0,153739000.0,2.9,451316000.0,49605000.0,82867000.0,401711000.0,0.0,,8.8389,0.8406,2.9,,,,0.0951059351588641,,,,0.08503495609399439,,,,,,,,,0.36740494,78.96,62.63,1.70778,25280.836,14.2075,2.7469,1.7287
2011-03-31,,,,,1234351000.0,,116487000.0,28117000.0,44000000.0,0.79,55443000.0,11884000.0,22079000.0,43559000.0,0.0,,10.2195,0.9492,0.79,,,,0.09437105004978324,,,,0.035288989922639506,,,11767762000.0,1117027000.0,965662000.0,265921000.0,7.18,7.18,0.36740494,78.96,62.63,1.70778,25280.836,14.2075,2.7469,1.7287
2011-06-30,18195124000.0,14275052000.0,3912807000.0,794881000.0,2505300000.0,,199569000.0,56249000.0,71309000.0,1.35,216392000.0,18679000.0,33179000.0,197713000.0,0.0,,10.9859,0.9353,1.35,,0.05100404901136192,0.010968268201964438,0.07965872350616693,,,,0.07891789406458308,,0.0,11956447000.0,1087779000.0,997012000.0,270115000.0,7.09,7.09,0.36740494,78.96,62.63,1.70778,25280.836,14.2075,2.7469,1.7287
2011-09-30,18330821000.0,14461013000.0,3862393000.0,866130000.0,3785031000.0,,276877000.0,84317000.0,91485000.0,1.89,485243000.0,37405000.0,57332000.0,447838000.0,0.0,,10.1486,0.8113,1.89,,0.0716853515424246,0.015104451677314399,0.07315052373415172,,,,0.1183181855049536,,0.0,12248751000.0,1042220000.0,1090821000.0,275652000.0,6.93,6.93,0.36740494,78.96,62.63,1.70778,25280.836,14.2075,2.7469,1.7287
2011-12-31,18487731000.0,14471779000.0,4008426000.0,911742000.0,-2368698000.0,,-198130000.0,-56171000.0,-83244000.0,-1.3200000000000003,-86799000.0,-22648000.0,-24578000.0,-109447000.0,0.0,203.3549,12.0327,0.913,-1.3200000000000003,,-0.04942837911938502,-0.010716837020183818,0.08364510798759488,,,,0.04620555258627313,,0.0,5155984000.0,394803000.0,579663000.0,112512000.0,2.71,2.71,0.36740494,78.96,62.63,1.70778,25280.836,14.2075,2.7469,1.7287
2012-03-31,19133632000.0,14998177000.0,4126916000.0,1082407000.0,1378705000.0,,135318000.0,28821000.0,52071000.0,0.94,73762000.0,15055000.0,22212000.0,58707000.0,0.0,,12.2278,0.948,0.94,,0.032789133580620494,0.007072258941741955,0.09814862497778713,,,,0.04258126285173405,,0.0,5300338000.0,413634000.0,594811000.0,113216000.0,2.8599999999999994,2.8599999999999994,0.36740494,78.96,62.63,1.70778,25280.836,14.2075,2.7469,1.7287
2012-06-30,19462106000.0,15245264000.0,4207784000.0,1012220000.0,2794452000.0,,244156000.0,61238000.0,91606000.0,1.7,312411000.0,20376000.0,47147000.0,292035000.0,0.0,,12.4198,0.9981,1.7,,0.05802484157932061,0.01254519937359297,0.08737169219582229,,,,0.10450528404137913,,0.0,5589490000.0,458221000.0,689133000.0,118205000.0,3.2099999999999995,3.2099999999999995,0.36740494,78.96,62.63,1.70778,25280.836,14.2075,2.7469,1.7287
2012-09-30,19932912000.0,15599065000.0,4324401000.0,1189564000.0,4214953000.0,,345103000.0,93750000.0,124291000.0,2.41,453349000.0,22319000.0,65089000.0,431030000.0,0.0,,11.0029,0.9103,2.41,,0.07980365373146478,0.01731322548356206,0.08187588331352687,,,,0.1022621130057678,,0.0,6019412000.0,526447000.0,672325000.0,127638000.0,3.7299999999999995,3.7299999999999995,0.36740494,78.96,62.63,1.70778,25280.836,14.2075,2.7469,1.7287
