report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,gross_profit,operating_income,net_income,interest_expense,income_tax,eps_diluted,operating_cash_flow,depreciation,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,gross_margin,operating_margin,roi,roic,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,gross_profit_ttm,ebitda_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-06-30,,,,,,,,,,,,,,,1.59,,,0.0,,11.6657,0.9861,1.59,,,,,,,,,,,,,,,,,,,,1.016126,533.8,299.425,0.51494,26275.121,29.4037,6.1338,4.4956
2010-09-30,2609200000.0,1125100000.0,477400000.0,1176300000.0,1428900000.0,502100000.0,2300000.0,342800000.0,1901900000.0,621900000.0,276800000.0,167500000.0,,83700000.0,2.77,176000000.0,54800000.0,504400000.0,,13.9604,1.2153,2.77,331600000.0,0.11722303870109875,0.06419592212172313,0.08806982491193018,0.3269888006730112,0.14553867185446132,0.1060861566763759,0.14317488232555733,0.17435196382564805,0.35299881027363705,2.35672392124005,,,,,,,,,1.016126,533.8,299.425,0.51494,26275.121,29.4037,6.1338,4.4956
2010-12-31,2705800000.0,1226100000.0,445000000.0,1242300000.0,1459200000.0,595900000.0,1800000.0,520700000.0,2541200000.0,828700000.0,367800000.0,217200000.0,31100000.0,101600000.0,3.59,266200000.0,72500000.0,597700000.0,2.7553,16.5021,1.4105,3.59,440300000.0,0.14884868421052633,0.08027200827851283,0.085471430820085,0.326105776798363,0.14473477097434284,0.135930223963338,0.1788127765083378,0.1732645994018574,0.4096080043859649,2.7552808988764044,,,,,,,,,1.016126,533.8,299.425,0.51494,26275.121,29.4037,6.1338,4.4956
2011-03-31,2742100000.0,1267200000.0,485600000.0,1279500000.0,1458200000.0,596000000.0,1800000.0,496900000.0,658100000.0,205200000.0,83600000.0,50300000.0,,23300000.0,0.82,53500000.0,17600000.0,597800000.0,,18.7253,1.6305,0.82,101200000.0,0.034494582361815934,0.01834360526603698,0.07643215316821152,0.311806716304513,0.12703236590183864,0.030487582509755296,0.04066147859922179,0.15377602188117306,0.4099574818269099,2.6095551894563425,,,,,,8.77,8.77,,1.016126,533.8,299.425,0.51494,26275.121,29.4037,6.1338,4.4956
2011-06-30,2775400000.0,1307900000.0,483800000.0,1281100000.0,1489800000.0,596100000.0,2200000.0,510400000.0,1367300000.0,435100000.0,188700000.0,115500000.0,,53500000.0,1.89,116400000.0,34800000.0,598300000.0,,16.3916,1.4403,1.89,223500000.0,0.0775271848570278,0.04161562297326511,0.08447304907481899,0.3182183866013311,0.13800921524171725,0.0679901996108669,0.09036923518988554,0.16346083522270166,0.4015975298697812,2.7033898305084745,6468500000.0,550500000.0,916900000.0,2090900000.0,1096600000.0,9.07,9.07,0.5455954769286887,1.016126,533.8,299.425,0.51494,26275.121,29.4037,6.1338,4.4956
2011-09-30,2810100000.0,1364500000.0,529800000.0,1327600000.0,1477100000.0,596200000.0,2300000.0,511800000.0,2131600000.0,687400000.0,314000000.0,197900000.0,,88200000.0,3.25,217200000.0,51700000.0,598500000.0,,11.8605,1.0598,3.25,365700000.0,0.13397874212984903,0.07042454005195545,0.09284105835991743,0.32248076562206796,0.14730718708951024,0.11173979573680652,0.15128155714010408,0.17156126853068118,0.40518583711326245,2.575500188750472,6698200000.0,580900000.0,954100000.0,2156400000.0,1130700000.0,9.549999999999999,9.549999999999999,0.5293181215176439,1.016126,533.8,299.425,0.51494,26275.121,29.4037,6.1338,4.4956
2011-12-31,2846500000.0,1353500000.0,492100000.0,1373000000.0,1467800000.0,596300000.0,2900000.0,569600000.0,-1285400000.0,-404000000.0,-162500000.0,-95800000.0,30900000.0,-45400000.0,-1.54,-52100000.0,-35900000.0,599200000.0,2.7505,14.7329,1.3745,-1.54,-198400000.0,-0.06526774764954353,-0.033655366239241175,0.07452932939162907,0.31429905087910376,0.12641979150459,-0.05708765150184437,-0.07861635220125786,0.1543488408277579,0.4082300040877504,2.7504572241414347,2871600000.0,267900000.0,423800000.0,923700000.0,492000000.0,4.42,4.42,1.2178861788617885,1.016126,533.8,299.425,0.51494,26275.121,29.4037,6.1338,4.4956
2012-03-31,2877900000.0,1384900000.0,488700000.0,1370800000.0,1501400000.0,596400000.0,300000.0,562400000.0,723800000.0,234100000.0,101700000.0,63200000.0,,31000000.0,1.05,45100000.0,16200000.0,596700000.0,,16.8516,1.611,1.05,117900000.0,0.042094045557479684,0.021960457277876228,0.08731693838076816,0.3234318872616745,0.1405084277424703,0.03533826748670906,0.04847242743434536,0.16289030118817352,0.39742906620487545,2.8338448946183754,2937300000.0,280800000.0,441900000.0,952600000.0,508700000.0,4.6499999999999995,4.6499999999999995,1.1729899744446628,1.016126,533.8,299.425,0.51494,26275.121,29.4037,6.1338,4.4956
2012-06-30,2909300000.0,1405900000.0,480600000.0,1358200000.0,1545200000.0,596500000.0,200000.0,544600000.0,1502200000.0,493900000.0,226200000.0,140700000.0,,69100000.0,2.34,104600000.0,33000000.0,596700000.0,,16.1392,1.5734,2.34,259200000.0,0.09105617395806367,0.048362148970542744,0.09366262814538677,0.3287844494741046,0.15057915057915058,0.07775066167119238,0.1056071712031374,0.17254693116762082,0.3861636034170334,2.9253017062005826,3072200000.0,306000000.0,479400000.0,1011400000.0,544400000.0,5.1,5.1,1.096069066862601,1.016126,533.8,299.425,0.51494,26275.121,29.4037,6.1338,4.4956
2012-09-30,2972300000.0,1492600000.0,493000000.0,1353700000.0,1612500000.0,596600000.0,200000.0,605600000.0,2291900000.0,762400000.0,361300000.0,227800000.0,,110500000.0,3.8,192000000.0,49200000.0,596800000.0,,15.6201,1.5342,3.8,410500000.0,0.14127131782945737,0.07664098509571712,0.09939351629652253,0.332649766569222,0.15764213098302718,0.12155569760791306,0.1635359616168017,0.1791090361708626,0.37010852713178294,3.027586206896552,3232500000.0,335900000.0,526700000.0,1086400000.0,589200000.0,5.649999999999999,5.649999999999999,1.012898845892736,1.016126,533.8,299.425,0.51494,26275.121,29.4037,6.1338,4.4956
