report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,cash,revenue,operating_income,net_income,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,fcf_ttm,eps_diluted_ttm,eps_ttm,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-01-30,7463977000.0,4803856000.0,2894986000.0,,2889276000.0,774325000.0,1614607000.0,20288444000.0,,,737990000.0,2.84,427619000.0,2271926000.0,429282000.0,435218000.0,1842644000.0,774325000.0,1.6594,12.9876,0.7769,2.84,,,,,,,,0.09082234201893452,,0.26799966496797123,1.6593710643160278,,,,,,0.7216374,162.6799,116.37,4.42906,179107.7,32.6006,16.3649,2.9667
2010-05-01,7754510000.0,5105417000.0,3014635000.0,,3039378000.0,774344000.0,1833270000.0,5016540000.0,,,204867000.0,0.8,414400000.0,527416000.0,149094000.0,113613000.0,378322000.0,774344000.0,,14.3975,0.918,0.8,,,,,,,,0.07541492742009433,,0.2547705484477416,1.6935439945466035,,,,,,0.7216374,162.6799,116.37,4.42906,179107.7,32.6006,16.3649,2.9667
2010-07-31,7686709000.0,4948919000.0,2974620000.0,,2973682000.0,774362000.0,1380169000.0,10084620000.0,,,396230000.0,1.54,412394000.0,665969000.0,326856000.0,227231000.0,339113000.0,774362000.0,,12.1981,0.7909,1.54,,,,,,,,0.03362675043779537,,0.26040511392946525,1.663714692969186,,,,,,0.7216374,162.6799,116.37,4.42906,179107.7,32.6006,16.3649,2.9667
2010-10-30,8182148000.0,5296642000.0,3229952000.0,,3109322000.0,774381000.0,1339065000.0,15610467000.0,,,621038000.0,2.46,409284000.0,1099192000.0,540351000.0,341069000.0,558841000.0,774381000.0,,12.9281,0.842,2.46,,,,,,,,0.03579912119221033,,0.24905140091634126,1.6398516138939525,51000071000.0,,3118920000.0,7.64,7.64,0.7216374,162.6799,116.37,4.42906,179107.7,32.6006,16.3649,2.9667
2011-01-29,7971763000.0,5099527000.0,3133121000.0,,3099899000.0,774400000.0,1741751000.0,-8769434000.0,,,-397573000.0,-1.5,-829665000.0,-316096000.0,-309167000.0,-223861000.0,-625263000.0,774400000.0,1.6276,13.7483,0.8416,-1.5,,,,,,,,0.07130026863763385,,0.24981459073344003,1.6276189141753543,21942193000.0,,651013000.0,3.3,3.3,0.7216374,162.6799,116.37,4.42906,179107.7,32.6006,16.3649,2.9667
2011-04-30,7984470000.0,5008421000.0,3101855000.0,,3123394000.0,774419000.0,1377146000.0,5220295000.0,,,163695000.0,0.67,394004000.0,143094000.0,226053000.0,116228000.0,-82959000.0,774419000.0,,16.1103,0.9294,0.67,,,,,,,,-0.01589163064539456,,0.24794150209675755,1.6146534896054134,22145948000.0,,189732000.0,3.17,3.17,0.7216374,162.6799,116.37,4.42906,179107.7,32.6006,16.3649,2.9667
2011-07-30,8097126000.0,5029069000.0,3191344000.0,,3104989000.0,774438000.0,977763000.0,10688569000.0,,,374794000.0,1.57,391091000.0,325721000.0,439217000.0,236442000.0,-113496000.0,774438000.0,,15.7871,0.925,1.57,,,,,,,,-0.010618446678877218,,0.2494173087247652,1.5758467278989667,22749897000.0,,-262877000.0,3.2,3.2,0.7216374,162.6799,116.37,4.42906,179107.7,32.6006,16.3649,2.9667
2011-10-29,8530980000.0,5418051000.0,3379500000.0,8530980000.0,3183328000.0,774457000.0,956932000.0,16481697000.0,,,632059000.0,2.63,388489000.0,830830000.0,661419000.0,356943000.0,169411000.0,774457000.0,,16.5668,0.9841,2.63,,,,,,,,0.010278735254021476,,0.24328532906442565,1.6032108300044385,23621127000.0,,-652307000.0,3.37,3.37,0.7216374,162.6799,116.37,4.42906,179107.7,32.6006,16.3649,2.9667
2012-01-28,8281605000.0,5132632000.0,3063423000.0,8281605000.0,3209290000.0,774476000.0,1507112000.0,-9199106000.0,,,-255224000.0,-2.9400000000000004,-399812000.0,616389000.0,-523359000.0,-223912000.0,93030000.0,774476000.0,1.6755,33.6645,2.1717,-2.9400000000000004,,,,,,,,-0.010112939235617025,,0.24132315870488488,1.6754565073122452,23191455000.0,,65986000.0,1.9299999999999997,1.9299999999999997,0.7216374,162.6799,116.37,4.42906,179107.7,32.6006,16.3649,2.9667
2012-04-28,8503079000.0,5231816000.0,3151716000.0,8503079000.0,3331813000.0,774495000.0,1563691000.0,5798086000.0,,,262205000.0,0.55,756016000.0,704558000.0,254261000.0,120638000.0,450297000.0,774495000.0,,18.7379,1.3002,0.55,,,,,,,,0.07766304259716052,,0.23245452250771578,1.6599896691199334,23769246000.0,,599242000.0,1.8099999999999998,1.8099999999999998,0.7216374,162.6799,116.37,4.42906,179107.7,32.6006,16.3649,2.9667
