report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,gross_profit,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,gross_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,gross_profit_ttm,fcf_ttm,ebitda_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-02-13,5424992000.0,2648713000.0,2749324000.0,5424992000.0,-421671000.0,2774700000.0,,105161000.0,3095469000.0,1553660000.0,490810000.0,266633000.0,72650000.0,151527000.0,5.28,50505000.0,348908000.0,111128000.0,87099000.0,237780000.0,2774700000.0,,12.0637,1.1681,5.28,577909000.0,-0.6323247270976662,0.04914901256997245,0.08613654344462826,0.5019142495046792,0.1585575562216905,0.09047202281588618,0.20858646451021215,0.07681550033290593,0.18669513408145907,-6.580248582425635,0.9634051861475766,,,,,,,,,,0.3903367,4388.11,3210.72,0.12933,55700.676,22.7808,38.1151,2.8405
2010-05-08,5452770000.0,2578948000.0,2872076000.0,,-461950000.0,2698500000.0,,95762000.0,4917459000.0,2476781000.0,846675000.0,469378000.0,109483000.0,267814000.0,9.37,50087000.0,741007000.0,180066000.0,129918000.0,560941000.0,2698500000.0,,12.6581,1.249,9.37,976593000.0,-1.0160796623011148,0.08608065258575,0.09545132963996243,0.5036708999505639,0.1721773379300163,0.15527429178197502,0.37856296528134853,0.11407131203330825,0.19859708032136109,-5.841541292347657,0.8979386339358708,,,,,,,,,,0.3903367,4388.11,3210.72,0.12933,55700.676,22.7808,38.1151,2.8405
2010-08-28,5571594000.0,2611821000.0,3063960000.0,,-738765000.0,2882300000.0,26186000.0,98280000.0,7362618000.0,3711744000.0,1319414000.0,738311000.0,,422194000.0,14.97,49304000.0,1196252000.0,315400000.0,192084000.0,880852000.0,2908486000.0,0.8524,13.437,1.3474,14.97,1511498000.0,-0.9993854608705068,0.13251342434498997,0.10027832491105745,0.5041337198262901,0.1792044623257651,0.23681086597480003,0.6081030694729875,0.11963842209388019,0.205293551831699,-3.9369569484206752,0.8524331257588219,,,,,,,,,,0.3903367,4388.11,3210.72,0.12933,55700.676,22.7808,38.1151,2.8405
2010-11-20,5640489000.0,2660564000.0,3244887000.0,,-817168000.0,2845700000.0,33517000.0,98013000.0,1791662000.0,907748000.0,306121000.0,172076000.0,,96792000.0,3.77,45634000.0,357353000.0,45811000.0,44291000.0,311542000.0,2879217000.0,,14.8726,1.5081,3.77,350412000.0,-0.21057603821980303,0.030507284031579533,0.09604266876230003,0.5066513661616979,0.17085867758539278,0.05427206754591667,0.14845476513894676,0.17388435988484435,0.19557930011352587,-3.5234088951109195,0.8199250081743987,17167208000.0,1646398000.0,2963020000.0,8649933000.0,1991115000.0,3416412000.0,33.39,33.39,0.842760475024675,0.3903367,4388.11,3210.72,0.12933,55700.676,22.7808,38.1151,2.8405
2011-02-12,5765603000.0,2738115000.0,3225136000.0,,-1038412000.0,3208300000.0,40930000.0,107881000.0,3452608000.0,1753359000.0,577868000.0,320131000.0,,180908000.0,7.11,45006000.0,441109000.0,108357000.0,88417000.0,332752000.0,3249230000.0,,14.4251,1.4796,7.11,666285000.0,-0.3082890028235421,0.055524287745791726,0.09272150212245352,0.507836105344134,0.16737144790257105,0.10022681062154297,0.26138198621505704,0.09637699964780247,0.19298020510871783,-3.1290374148218625,0.8489921045190032,17524347000.0,1699896000.0,3050078000.0,8849632000.0,2086087000.0,3504788000.0,35.22,35.22,0.9270831787828536,0.3903367,4388.11,3210.72,0.12933,55700.676,22.7808,38.1151,2.8405
2011-05-07,5884878000.0,2806529000.0,3461843000.0,,-1119541000.0,3171100000.0,49686000.0,100367000.0,5430977000.0,2766889000.0,970794000.0,547505000.0,,306544000.0,12.35,44322000.0,896893000.0,200584000.0,133347000.0,696309000.0,3220786000.0,,14.7159,1.5254,12.35,1104141000.0,-0.4890441707807039,0.09303591340381227,0.10081151144628306,0.5094643192191755,0.17875126335464134,0.16496416748146692,0.4620089518356974,0.12821063318809856,0.20330430417952425,-2.876880793110748,0.8107037205326758,18037865000.0,1778023000.0,3174197000.0,9139740000.0,2221455000.0,3632336000.0,38.2,38.2,0.8866982569894415,0.3903367,4388.11,3210.72,0.12933,55700.676,22.7808,38.1151,2.8405
2011-08-27,5869602000.0,2792425000.0,3430896000.0,5869602000.0,-1254232000.0,3317600000.0,34082000.0,97606000.0,-2602274000.0,-1308533000.0,-359980000.0,-190738000.0,,-108972000.0,-3.7600000000000016,-91359000.0,-403817000.0,-33148000.0,-69846000.0,-436965000.0,3351682000.0,0.8139,15.0357,1.5812,-3.7600000000000016,-429826000.0,0.15207553307522054,-0.032495900062729975,0.07329666284180682,0.5028421296143296,0.13833285810794713,-0.06132954159413194,-0.17162745238265512,0.16791659909755852,0.16517322926025468,-2.672298266987288,0.8139054637622358,8072973000.0,848974000.0,1494803000.0,4119463000.0,903638000.0,1691012000.0,19.470000000000002,19.470000000000002,1.9820568984726306,0.3903367,4388.11,3210.72,0.12933,55700.676,22.7808,38.1151,2.8405
2011-11-19,5932580000.0,2842673000.0,3578966000.0,5932580000.0,-1347099000.0,3318900000.0,35417000.0,96676000.0,1924341000.0,983627000.0,340934000.0,191125000.0,,110715000.0,4.68,40864000.0,342294000.0,61924000.0,48647000.0,280370000.0,3354317000.0,,14.7376,1.559,4.68,389581000.0,-0.1418789561865906,0.03221616901921255,0.09931971516482785,0.5111500508485762,0.17716922312625466,0.05746808302627188,0.1698539969250973,0.14569663069071437,0.20244904619295645,-2.490030057182137,0.7942721445244241,8205652000.0,868023000.0,1529616000.0,4195342000.0,872466000.0,1730181000.0,20.380000000000003,20.380000000000003,1.9387087246941217,0.3903367,4388.11,3210.72,0.12933,55700.676,22.7808,38.1151,2.8405
2012-02-11,6056464000.0,2908564000.0,3516789000.0,6056464000.0,-1295524000.0,3434800000.0,29560000.0,103207000.0,3728411000.0,1909842000.0,641585000.0,358055000.0,,205513000.0,8.83,40551000.0,461214000.0,132430000.0,96170000.0,328784000.0,3464360000.0,,15.9082,1.6899,8.83,737755000.0,-0.2763785155659023,0.05911947961714954,0.09603420867495563,0.5122402009864255,0.1720800094195624,0.10593392448134753,0.29581996979024694,0.0881834111099876,0.19787383955256005,-2.67409943775646,0.8270510400254323,8481455000.0,905947000.0,1593333000.0,4351825000.0,868498000.0,1801651000.0,22.1,22.1,1.9228807355031579,0.3903367,4388.11,3210.72,0.12933,55700.676,22.7808,38.1151,2.8405
2012-05-05,6148854000.0,2944272000.0,3567393000.0,6148854000.0,-1416829000.0,3599000000.0,7309000.0,103100000.0,5840277000.0,2999641000.0,1068835000.0,606641000.0,,344434000.0,15.08,40231000.0,798607000.0,228277000.0,145177000.0,570330000.0,3606309000.0,,16.2197,1.7365,15.08,1214012000.0,-0.4281681134420597,0.09865919730733565,0.10387195675821541,0.5136127961053902,0.1830110112927863,0.17382670006476003,0.48816842355262435,0.09765461466981788,0.20786890758777365,-2.5453382165384815,0.8253287484726242,8890755000.0,965083000.0,1691374000.0,4584577000.0,742519000.0,1911522000.0,24.83,24.83,1.8866165286091396,0.3903367,4388.11,3210.72,0.12933,55700.676,22.7808,38.1151,2.8405
