report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,cash,revenue,operating_income,net_income,interest_expense,income_tax,operating_cash_flow,depreciation,total_debt,ebitda,roe,roa,net_margin,operating_margin,roi,roic,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,ebitda_ttm,interest_expense_ttm,debt_to_ebitda,interest_coverage
2011-06-30,69089000000.0,4012000000.0,3832000000.0,34286000000.0,34803000000.0,11847000000.0,1783000000.0,9323000000.0,2313000000.0,1297000000.0,274000000.0,738000000.0,2590000000.0,896000000.0,11847000000.0,3209000000.0,0.0372669022785392,0.018772887145565863,0.13911830955700955,0.24809610640351817,0.03347855664432833,0.04958199356913183,0.34420250992169904,0.34040168950952504,1.046972860125261,,,,,,,
2012-03-31,69462000000.0,2869000000.0,3107000000.0,24849000000.0,44613000000.0,1775000000.0,310000000.0,4926000000.0,1250000000.0,789000000.0,15000000.0,456000000.0,994000000.0,462000000.0,1775000000.0,1712000000.0,0.017685428014255933,0.011358728513431804,0.16017052375152252,0.2537555826228177,0.017995450750050386,0.02694662412692938,0.34754364596021114,0.039786609284289336,0.9233987769552623,,,,,,,
2012-06-30,71093000000.0,4020000000.0,3539000000.0,36601000000.0,34492000000.0,13211000000.0,1718000000.0,10064000000.0,2703000000.0,1503000000.0,303000000.0,892000000.0,2307000000.0,933000000.0,13211000000.0,3636000000.0,0.04357532181375391,0.021141321930429155,0.1493441971383148,0.2685810810810811,0.03802062087687958,0.056663102949500034,0.3612877583465819,0.3830163516177664,1.1359141000282567,,,,,,,
2012-09-30,70591000000.0,2976000000.0,3149000000.0,25042000000.0,45549000000.0,1668000000.0,297000000.0,15135000000.0,4333000000.0,2722000000.0,42000000.0,1600000000.0,4001000000.0,1407000000.0,1668000000.0,5740000000.0,0.05975981909591868,0.03856015639387457,0.17984803435744962,0.2862900561612157,0.06138176254763355,0.09176779549738441,0.3792533861909481,0.036619903839820854,0.9450619244204509,39448000000.0,6311000000.0,10599000000.0,14297000000.0,634000000.0,0.11666783241239422,16.717665615141957
2013-03-31,72966000000.0,4839000000.0,3839000000.0,38838000000.0,34128000000.0,15028000000.0,2385000000.0,5284000000.0,1468000000.0,798000000.0,178000000.0,491000000.0,912000000.0,483000000.0,15028000000.0,1951000000.0,0.02338255977496484,0.01093660060850259,0.1510219530658592,0.2778198334595004,0.02011895951539073,0.029864106111156318,0.369227857683573,0.44034224097515234,1.2604845011721804,35409000000.0,5812000000.0,9754000000.0,13039000000.0,538000000.0,1.152542372881356,18.130111524163567
2013-12-31,75030000000.0,4803000000.0,3851000000.0,40418000000.0,34612000000.0,16361000000.0,2225000000.0,22014000000.0,6667000000.0,3793000000.0,729000000.0,2135000000.0,5762000000.0,1973000000.0,16361000000.0,8640000000.0,0.10958627065757541,0.050553112088497935,0.1722994458072136,0.3028527300808576,0.08885779021724644,0.13079473446726697,0.39247751430907607,0.47269733040563966,1.2472085172682421,52497000000.0,8816000000.0,15171000000.0,19967000000.0,1252000000.0,0.8194020133219813,12.11741214057508
2019-03-31,87675000000.0,4326000000.0,4707000000.0,44911000000.0,42764000000.0,22346000000.0,1991000000.0,5762000000.0,1779000000.0,1253000000.0,268000000.0,412000000.0,1909000000.0,591000000.0,22346000000.0,2370000000.0,0.02930034608549247,0.014291417165668664,0.2174592155501562,0.308746962860118,0.020290846877673224,0.02732299185992935,0.4113155154460257,0.5225423253203629,0.9190567240280434,48195000000.0,8566000000.0,14247000000.0,18701000000.0,1217000000.0,1.194909363135661,11.706655710764174
2020-03-31,88372000000.0,4090000000.0,4261000000.0,44561000000.0,43811000000.0,22489000000.0,1852000000.0,5417000000.0,1823000000.0,1190000000.0,262000000.0,394000000.0,1749000000.0,615000000.0,22489000000.0,2438000000.0,0.02716212823263564,0.013465803648214366,0.21967878899760016,0.33653313642237404,0.020628705924953604,0.027496229260935142,0.4500646114085287,0.5133185729611285,0.9598685754517718,38477000000.0,7034000000.0,11737000000.0,15399000000.0,1437000000.0,1.4604195077602442,8.167710508002784
2021-03-31,88673000000.0,4221000000.0,5038000000.0,44417000000.0,,21478000000.0,1951000000.0,5401000000.0,1889000000.0,1251000000.0,258000000.0,408000000.0,1956000000.0,619000000.0,21478000000.0,2508000000.0,,0.014108014841045189,0.23162377337530088,0.3497500462877245,0.021302989636078625,0.08795046093677251,0.46435845213849286,,0.8378324732036523,38594000000.0,7487000000.0,12158000000.0,15956000000.0,1517000000.0,1.3460767109551266,8.014502307185234
2023-06-30,94228000000.0,5448000000.0,5165000000.0,45595000000.0,,,2911000000.0,11847000000.0,3666000000.0,2511000000.0,513000000.0,753000000.0,3097000000.0,1300000000.0,0.0,4966000000.0,,0.026648130067495862,0.21195239301088883,0.309445429222588,0.03890563314513733,,0.4191778509327256,,1.0547918683446273,28427000000.0,6205000000.0,9157000000.0,12282000000.0,1301000000.0,0.0,7.038431975403536
