report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-03-31,3225017000.0,996281000.0,449328000.0,1699137000.0,1525880000.0,946448000.0,80221000.0,255632000.0,556662000.0,102446000.0,57945000.0,16754000.0,27232000.0,0.54,107570000.0,91863000.0,5811000.0,16787000.0,86052000.0,1026669000.0,,21.6259,2.1048,0.54,119233000.0,0.03797480797965764,0.017967347148867743,0.10409368701294502,0.18403627335798026,0.03176603410152567,0.040134782916997874,0.1545857270659754,0.21419281359244927,0.6728373135502137,2.2172688993341167,,,,,,,,,,,1.0523404,242.05,145.02,1.66975,48719.48,32.9154,4.4467,6.5827
2010-06-30,3267048000.0,984945000.0,462392000.0,1713672000.0,1553376000.0,937292000.0,76795000.0,230793000.0,1148603000.0,218041000.0,125336000.0,33484000.0,57085000.0,1.17,107119000.0,180382000.0,12688000.0,33660000.0,167694000.0,1014087000.0,,19.3917,1.9685,1.17,251701000.0,0.08068619574397956,0.038363684892294206,0.10912038363124596,0.18983147353785423,0.06673945408821665,0.08492469024870077,0.14599822567066253,0.219136638159573,0.6528277764044249,2.1301082198653956,,,,,,,,,,,1.0523404,242.05,145.02,1.66975,48719.48,32.9154,4.4467,6.5827
2010-09-30,3579305000.0,930937000.0,463339000.0,1911201000.0,1668104000.0,1074671000.0,32351000.0,135017000.0,1792977000.0,346634000.0,202693000.0,50541000.0,88543000.0,1.89,107129000.0,294674000.0,22446000.0,52113000.0,272228000.0,1107022000.0,,19.9835,2.1963,1.89,398747000.0,0.12151100890591954,0.05662915007243026,0.11304829900216233,0.19332874877926487,0.0968439403738994,0.12490748167830938,0.15183016848515068,0.22239381765633356,0.6636408761084441,2.0091919739111104,,,,,,,,,,,1.0523404,242.05,145.02,1.66975,48719.48,32.9154,4.4467,6.5827
2010-12-31,3818915000.0,974492000.0,550859000.0,2043711000.0,1775204000.0,1071360000.0,97152000.0,163208000.0,-1027290000.0,-184963000.0,-102042000.0,-33257000.0,-50542000.0,-1.8399999999999996,-160934000.0,-143906000.0,-1762000.0,-29664000.0,-145668000.0,1168512000.0,1.7677,22.1273,2.5423,-1.8399999999999996,-214627000.0,-0.057481844340143445,-0.026720154808368344,0.09933125018251905,0.1800494504959651,-0.04843339011211299,-0.06283316733000058,0.14179832374499898,0.20892542514771875,0.658240968361946,1.769040716408373,2470952000.0,283932000.0,482158000.0,380306000.0,555054000.0,67522000.0,1.7600000000000002,1.7600000000000002,2.105222194597282,7.140754124581618,1.0523404,242.05,145.02,1.66975,48719.48,32.9154,4.4467,6.5827
2011-03-31,3893298000.0,1022826000.0,491023000.0,2011079000.0,1882219000.0,1080696000.0,2652000.0,155009000.0,717783000.0,152020000.0,90435000.0,17150000.0,42950000.0,0.56,162186000.0,103640000.0,10371000.0,19854000.0,93269000.0,1083348000.0,,22.3021,2.6809,0.56,171874000.0,0.04804701259523998,0.02322837861371002,0.12599211739481153,0.211791028764961,0.03904658723786363,0.051261698015927476,0.12994038588264142,0.23945119903926396,0.5755695803729534,2.083051099439334,2632073000.0,316422000.0,531732000.0,387523000.0,607695000.0,67918000.0,1.7800000000000002,1.7800000000000002,1.7827166588502457,7.829029123354633,1.0523404,242.05,145.02,1.66975,48719.48,32.9154,4.4467,6.5827
2011-06-30,4154774000.0,1083132000.0,601895000.0,2169131000.0,1985643000.0,1083284000.0,127713000.0,196593000.0,1476617000.0,308975000.0,184579000.0,34489000.0,86041000.0,1.14,162200000.0,218795000.0,20559000.0,41260000.0,198236000.0,1210997000.0,,21.0456,2.5798,1.14,350235000.0,0.09295679031930715,0.04442576178632099,0.12500126979440165,0.20924518680199403,0.07436625915152063,0.09665617648530958,0.13425011360427247,0.2371874358753827,0.6098764984440809,1.7995364640011962,2960087000.0,375665000.0,622666000.0,418065000.0,706229000.0,68923000.0,1.7500000000000002,1.7500000000000002,1.7147370045693393,9.03422660069933,1.0523404,242.05,145.02,1.66975,48719.48,32.9154,4.4467,6.5827
2011-09-30,4116301000.0,1080537000.0,518207000.0,2068441000.0,2047860000.0,1070540000.0,40635000.0,218274000.0,2227163000.0,468561000.0,282557000.0,51745000.0,127106000.0,1.74,162305000.0,355839000.0,32410000.0,62527000.0,323429000.0,1111175000.0,,14.6383,1.8326,1.74,531088000.0,0.1379767171583995,0.06864342524999995,0.12686857674988314,0.21038469119682754,0.11383059693642424,0.1483240926422151,0.14522017472452622,0.2384594212457732,0.5426030099713848,2.0851455113497117,3394273000.0,455529000.0,744593000.0,469266000.0,838570000.0,70127000.0,1.6000000000000003,1.6000000000000003,1.3250831773137604,10.617779172073524,1.0523404,242.05,145.02,1.66975,48719.48,32.9154,4.4467,6.5827
2011-12-31,4319490000.0,1059119000.0,628875000.0,2266685000.0,2052805000.0,1123416000.0,140508000.0,170392000.0,-1431649000.0,-293615000.0,-173107000.0,-33655000.0,-83919000.0,-1.0699999999999998,-324583000.0,-169709000.0,-12524000.0,-37109000.0,-182233000.0,1263924000.0,1.6836,17.5971,2.2624,-1.0699999999999998,-330724000.0,-0.08432705493215381,-0.040075795985174176,0.1209144140777523,0.2050886774621433,-0.06797445994781791,-0.08852547193334155,0.12728888156245002,0.23100913701612616,0.6157058269051371,1.6841486781951898,2989914000.0,384464000.0,635941000.0,432701000.0,722473000.0,69729000.0,2.37,2.37,1.749441155586437,9.120179552266633,1.0523404,242.05,145.02,1.66975,48719.48,32.9154,4.4467,6.5827
2012-03-31,4608592000.0,1152861000.0,750142000.0,2419159000.0,2189433000.0,1133165000.0,227176000.0,219304000.0,827152000.0,182776000.0,110150000.0,18837000.0,51549000.0,0.68,162205000.0,140885000.0,8398000.0,24989000.0,132487000.0,1360341000.0,,19.4885,2.5416,0.68,207765000.0,0.05030982907446814,0.02390100924534001,0.13316778536472135,0.2209702690678376,0.039659835368372816,0.05148947510461229,0.16017249550264037,0.2511811613826721,0.6213211365682348,1.5368570217372177,3099283000.0,404179000.0,666697000.0,471919000.0,758364000.0,71416000.0,2.49,2.49,1.793783723910945,9.335401030581382,1.0523404,242.05,145.02,1.66975,48719.48,32.9154,4.4467,6.5827
2012-06-30,4885204000.0,1132010000.0,896380000.0,2594650000.0,2290554000.0,1122893000.0,388708000.0,163595000.0,1653050000.0,367754000.0,223837000.0,37680000.0,102149000.0,0.92,243214000.0,256634000.0,20515000.0,50735000.0,236119000.0,1511601000.0,,19.0643,2.5516,0.92,418489000.0,0.09772177385907514,0.04581937622256921,0.1354084873415807,0.2224699797344303,0.07527914903860719,0.0967225165728383,0.14283838964338647,0.2531617313450894,0.6599281221922731,1.2628684263370447,3275716000.0,443437000.0,725476000.0,509802000.0,826618000.0,74607000.0,2.2700000000000005,2.2700000000000005,1.8286572515962634,9.723966919994103,1.0523404,242.05,145.02,1.66975,48719.48,32.9154,4.4467,6.5827
