report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,cash,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2020-12-31,6353000000.0,5517000000.0,1402000000.0,1653000000.0,4700000000.0,4345000000.0,2886000000.0,-436000000.0,-461000000.0,32000000.0,3000000.0,,,252000000.0,106000000.0,120000000.0,146000000.0,0.0,3.9351,,,,-316000000.0,-0.09808510638297872,-0.07256414292460255,-0.15973665973665974,-0.15107415107415106,-0.06862899417597985,-0.09276595744680852,0.05058905058905059,-0.1094941094941095,0.0,3.93509272467903,,,,,,,,,,,1.8917685,285.5,155.4,3.56969,71676.01,76.6588,9.7291,5.2253
2021-03-31,5902000000.0,5025000000.0,1094000000.0,1347000000.0,4555000000.0,4007000000.0,1077000000.0,-99000000.0,-110000000.0,12000000.0,1000000.0,,,166000000.0,32000000.0,29000000.0,134000000.0,0.0,3.9351,,,,-70000000.0,-0.024149286498353458,-0.018637749915282956,-0.1021355617455896,-0.09192200557103064,-0.01677397492375466,-0.021734357848518113,0.1244196843082637,-0.06499535747446611,0.0,4.593235831809872,,,,,,,,,,,1.8917685,285.5,155.4,3.56969,71676.01,76.6588,9.7291,5.2253
2021-06-30,6182000000.0,5179000000.0,1251000000.0,1563000000.0,4619000000.0,3334000000.0,2313000000.0,-198000000.0,-212000000.0,13000000.0,3000000.0,-0.64,331280000.0,418000000.0,63000000.0,66000000.0,355000000.0,0.0,,,,-0.64,-132000000.0,-0.0458973803853648,-0.03429310902620511,-0.09165585819282317,-0.08560311284046693,-0.03202846975088968,-0.042866421303312405,0.15348032857760485,-0.057068741893644616,0.0,4.139888089528378,,,,,,,,,,,1.8917685,285.5,155.4,3.56969,71676.01,76.6588,9.7291,5.2253
2021-09-30,6358000000.0,4707000000.0,1339000000.0,1692000000.0,4666000000.0,2861000000.0,3588000000.0,-298000000.0,-313000000.0,13000000.0,3000000.0,-0.94,334277000.0,525000000.0,94000000.0,107000000.0,431000000.0,0.0,,,15.2716,-0.94,-191000000.0,-0.06708101157308187,-0.04922931739540736,-0.08723522853957637,-0.08305462653288741,-0.04687008493236867,-0.06386626660951565,0.12012263099219621,-0.0532329988851728,0.0,3.515309932785661,9864000000.0,-1096000000.0,-1031000000.0,1066000000.0,-709000000.0,70000000.0,,,-0.0,-14.728571428571428,1.8917685,285.5,155.4,3.56969,71676.01,76.6588,9.7291,5.2253
2021-12-31,6809000000.0,4565000000.0,1760000000.0,2142000000.0,4667000000.0,2504000000.0,-2090000000.0,143000000.0,167000000.0,-24000000.0,-2000000.0,0.19000000000000017,-328710000.0,-417000000.0,-60000000.0,-46000000.0,-477000000.0,0.0,2.5938,,10.4503,0.19000000000000017,97000000.0,0.03578315834583244,0.024526362167719196,-0.0799043062200957,-0.06842105263157895,0.0210016155088853,0.03064066852367688,0.22822966507177034,-0.046411483253588515,0.0,2.59375,4888000000.0,-468000000.0,-452000000.0,443000000.0,-296000000.0,14000000.0,,,-0.0,-32.285714285714285,1.8917685,285.5,155.4,3.56969,71676.01,76.6588,9.7291,5.2253
2022-03-31,6822000000.0,4418000000.0,1760000000.0,2170000000.0,4652000000.0,2243000000.0,1456000000.0,-173000000.0,-167000000.0,0.0,0.0,-0.48,349219000.0,-20000000.0,32000000.0,59000000.0,-52000000.0,0.0,,,7.7521,-0.48,-114000000.0,-0.035898538263112637,-0.024479624743476987,-0.11469780219780219,-0.11881868131868131,-0.02535913221929053,-0.03718830610490112,-0.03571428571428571,-0.0782967032967033,0.0,2.5102272727272728,5267000000.0,-525000000.0,-526000000.0,257000000.0,-340000000.0,2000000.0,-1.8699999999999997,-1.8699999999999997,-0.0,-263.0,1.8917685,285.5,155.4,3.56969,71676.01,76.6588,9.7291,5.2253
2022-06-30,9928000000.0,4833000000.0,2026000000.0,2518000000.0,7410000000.0,2727000000.0,3064000000.0,-446000000.0,-430000000.0,1000000.0,-9000000.0,-1.21,356630000.0,145000000.0,77000000.0,140000000.0,68000000.0,0.0,,,4.5231,-1.21,-306000000.0,-0.058029689608636977,-0.04331184528605963,-0.14033942558746737,-0.14556135770234988,-0.04492344883158743,-0.0601889338731444,0.022193211488250653,-0.09986945169712794,0.0,2.3854886475814414,6018000000.0,-743000000.0,-774000000.0,-30000000.0,-514000000.0,-10000000.0,-2.4399999999999995,-2.4399999999999995,-0.0,-77.4,1.8917685,285.5,155.4,3.56969,71676.01,76.6588,9.7291,5.2253
2022-09-30,9552000000.0,4690000000.0,2216000000.0,2711000000.0,6825000000.0,2320000000.0,4765000000.0,-754000000.0,-725000000.0,1000000.0,-14000000.0,-1.0,366107000.0,344000000.0,131000000.0,258000000.0,213000000.0,0.0,,,3.1478,-1.0,-496000000.0,-0.10622710622710622,-0.0759003350083752,-0.1521511017838405,-0.15823714585519413,-0.07893634840871022,-0.11047619047619048,0.044700944386149,-0.10409233997901364,0.0,2.1164259927797833,7195000000.0,-1155000000.0,-1230000000.0,-248000000.0,-819000000.0,-22000000.0,-2.4999999999999996,-2.4999999999999996,-0.0,-55.90909090909091,1.8917685,285.5,155.4,3.56969,71676.01,76.6588,9.7291,5.2253
2022-12-31,9789000000.0,4720000000.0,2544000000.0,3021000000.0,6754000000.0,1977000000.0,-2702000000.0,249000000.0,-43000000.0,0.0,-8000000.0,-0.31000000000000005,-700543000.0,-102000000.0,-64000000.0,-88000000.0,-166000000.0,0.0,1.8553,,2.879,-0.31000000000000005,161000000.0,-0.006366597571809299,-0.004392685667586066,0.015914137675795706,-0.0921539600296077,0.025436714679742567,0.03686704175303524,0.0614359733530718,-0.05958549222797927,0.0,1.8553459119496856,6583000000.0,-1365000000.0,-1124000000.0,63000000.0,-755000000.0,2000000.0,-3.0,-3.0,-0.0,-562.0,1.8917685,285.5,155.4,3.56969,71676.01,76.6588,9.7291,5.2253
2023-03-31,9646000000.0,4587000000.0,2651000000.0,3115000000.0,6518000000.0,1833000000.0,2035000000.0,-171000000.0,-161000000.0,1000000.0,17000000.0,0.0,390397000.0,397000000.0,39000000.0,123000000.0,358000000.0,0.0,,,3.4589,0.0,-48000000.0,-0.024700828474992328,-0.016690856313497822,-0.07911547911547911,-0.08402948402948403,-0.01772755546340452,-0.026235041423749616,0.1759213759213759,-0.023587223587223587,0.0,1.7302904564315353,7162000000.0,-1359000000.0,-1122000000.0,473000000.0,-689000000.0,3000000.0,-2.52,-2.52,-0.0,-374.0,1.8917685,285.5,155.4,3.56969,71676.01,76.6588,9.7291,5.2253
