report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,gross_profit,operating_income,net_income,interest_expense,income_tax,eps_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,gross_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,gross_profit_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-03-31,95709000000.0,17215000000.0,15581000000.0,61215000000.0,34178000000.0,,891000000.0,3878000000.0,11318000000.0,4089000000.0,1206000000.0,1883000000.0,624000000.0,333000000.0,1.16,-5000000.0,241000000.0,313000000.0,-246000000.0,891000000.0,,12.3352,1.274,1.16,1519000000.0,0.05509392006553924,0.019674220815179347,0.16637215055663546,0.361282912175296,0.10655592860929493,0.012600695859323574,0.034389346716473236,-0.02173528892030394,0.13421099134122635,0.02606940136930189,1.1048713176304474,,,,,,,,,,,,0.39071307,71.15,51.2008,11.33296,73757.65,30.0929,2.6883,1.9139
2010-09-30,93620000000.0,15824000000.0,13626000000.0,58638000000.0,34880000000.0,,331000000.0,2288000000.0,35434000000.0,13104000000.0,4426000000.0,3574000000.0,1496000000.0,982000000.0,2.09,1224000000.0,1020000000.0,1019000000.0,204000000.0,331000000.0,,12.5634,1.1692,2.09,5445000000.0,0.10246559633027523,0.03817560350352489,0.1008635773550827,0.369814302647175,0.12490828018287521,0.04727622302926725,0.1256993553151004,0.005757182367217927,0.15366597053677258,0.009489678899082568,1.161309261705563,,,,,,,,,,,,0.39071307,71.15,51.2008,11.33296,73757.65,30.0929,2.6883,1.9139
2010-12-31,95289000000.0,16221000000.0,15660000000.0,59347000000.0,35834000000.0,,750000000.0,2481000000.0,49207000000.0,17902000000.0,5666000000.0,4114000000.0,2024000000.0,1147000000.0,2.39,3748000000.0,1661000000.0,1440000000.0,2087000000.0,750000000.0,1.0358,13.3789,1.1186,2.39,7106000000.0,0.11480716637829994,0.04317392353786901,0.08360599101753816,0.36381002702867477,0.1151462190338773,0.05946121797899023,0.15487644872075224,0.04241266486475501,0.14441034812120226,0.020929843165708544,1.0358237547892721,,,,,,,,,,,,0.39071307,71.15,51.2008,11.33296,73757.65,30.0929,2.6883,1.9139
2011-03-31,98269000000.0,17529000000.0,19779000000.0,60770000000.0,37381000000.0,,1812000000.0,2088000000.0,12573000000.0,4636000000.0,1646000000.0,799000000.0,446000000.0,398000000.0,0.45,-986000000.0,237000000.0,372000000.0,-1223000000.0,1812000000.0,,18.1524,1.09,0.45,2018000000.0,0.021374495064337497,0.008130743164171814,0.06354887457249662,0.3687266364431719,0.13091545375009941,0.016749941487142435,0.041997295435409386,-0.09727193191760121,0.16050266443967232,0.048473823600224716,0.8862429849840741,108532000000.0,10370000000.0,12944000000.0,39731000000.0,822000000.0,16088000000.0,4590000000.0,6.09,6.09,0.11263053207359523,2.8200435729847495,0.39071307,71.15,51.2008,11.33296,73757.65,30.0929,2.6883,1.9139
2011-06-30,99027000000.0,17496000000.0,20280000000.0,59916000000.0,38991000000.0,,1242000000.0,2267000000.0,26451000000.0,9507000000.0,3452000000.0,1775000000.0,887000000.0,787000000.0,1.01,296000000.0,655000000.0,742000000.0,-359000000.0,1242000000.0,,20.1792,1.189,1.01,4194000000.0,0.04552332589571952,0.01792440445535056,0.06710521341348154,0.35941930361801067,0.13050546293145818,0.03485917981964515,0.08580021375487784,-0.013572265698839363,0.15855733242599523,0.031853504654920366,0.8627218934911243,123665000000.0,10262000000.0,15190000000.0,45149000000.0,709000000.0,18763000000.0,4853000000.0,5.9399999999999995,5.9399999999999995,0.06619410542024197,3.1300226663919224,0.39071307,71.15,51.2008,11.33296,73757.65,30.0929,2.6883,1.9139
2011-09-30,95832000000.0,17329000000.0,20360000000.0,59132000000.0,36592000000.0,23139000000.0,896000000.0,1976000000.0,39677000000.0,14122000000.0,5150000000.0,2697000000.0,1312000000.0,1133000000.0,1.52,1665000000.0,1281000000.0,1117000000.0,384000000.0,24035000000.0,,18.3213,1.1096,1.52,6267000000.0,0.07370463489287275,0.02814300025043827,0.06797388915492603,0.3559240870025456,0.12979811981752654,0.05373987812004341,0.08494565127748363,0.009678151069889356,0.15795044988280363,0.6568375601224311,0.8511296660117879,127908000000.0,9385000000.0,15914000000.0,46167000000.0,889000000.0,19585000000.0,4669000000.0,5.37,5.37,1.2272147051314781,3.408438637823945,0.39071307,71.15,51.2008,11.33296,73757.65,30.0929,2.6883,1.9139
2011-12-31,93837000000.0,16202000000.0,18445000000.0,58509000000.0,35217000000.0,23095000000.0,182000000.0,1974000000.0,-24336000000.0,-9250000000.0,-3591000000.0,-1744000000.0,-760000000.0,-1093000000.0,-0.99,3545000000.0,-402000000.0,-746000000.0,3143000000.0,23277000000.0,0.8784,18.6693,1.2112,-0.99,-4337000000.0,-0.04952153789363092,-0.01858541939746582,0.07166337935568705,0.38009533201840895,0.14755917159763313,-0.038268486844208575,-0.06139091188839881,-0.12915023011176857,0.17821334648257725,0.6609591958429167,0.8783952290593657,54365000000.0,3527000000.0,6657000000.0,19015000000.0,1945000000.0,8142000000.0,1885000000.0,1.99,1.99,2.858879882092852,3.5315649867374006,0.39071307,71.15,51.2008,11.33296,73757.65,30.0929,2.6883,1.9139
2012-03-31,96647000000.0,17693000000.0,19298000000.0,59556000000.0,36965000000.0,23198000000.0,3320000000.0,1852000000.0,13093000000.0,4667000000.0,1691000000.0,813000000.0,553000000.0,319000000.0,0.46,-851000000.0,335000000.0,357000000.0,-1186000000.0,26518000000.0,,19.2069,1.3479,0.46,2048000000.0,0.021993777898011633,0.008412056245925895,0.06209424883525548,0.35645001145650346,0.12915298250973803,0.01749666311421979,0.0266370524392357,-0.09058275414343542,0.15641946078056976,0.7173813066414175,0.9168307596642139,54885000000.0,3541000000.0,6702000000.0,19046000000.0,1982000000.0,8172000000.0,1992000000.0,2.0,2.0,3.244982868330886,3.3644578313253013,0.39071307,71.15,51.2008,11.33296,73757.65,30.0929,2.6883,1.9139
2012-06-30,97114000000.0,19831000000.0,16054000000.0,60866000000.0,36133000000.0,28081000000.0,245000000.0,4643000000.0,26379000000.0,9537000000.0,3570000000.0,1842000000.0,982000000.0,735000000.0,1.03,1208000000.0,740000000.0,709000000.0,468000000.0,28326000000.0,,19.1827,1.5284,1.03,4279000000.0,0.050978330058395374,0.018967399139156044,0.06982827248948027,0.3615375867167065,0.13533492550892756,0.03676092015569331,0.055384042569695466,0.017741385192766974,0.16221236589711513,0.7839371211911549,1.2352684689174038,54813000000.0,3608000000.0,6820000000.0,19076000000.0,2809000000.0,8257000000.0,2087000000.0,2.02,2.02,3.430543781034274,3.2678485864877813,0.39071307,71.15,51.2008,11.33296,73757.65,30.0929,2.6883,1.9139
2012-09-30,97779000000.0,19517000000.0,15845000000.0,61101000000.0,36551000000.0,27323000000.0,263000000.0,3873000000.0,39288000000.0,14255000000.0,5222000000.0,2494000000.0,1846000000.0,864000000.0,1.4,2175000000.0,1229000000.0,1065000000.0,946000000.0,27586000000.0,,22.701,1.8767,1.4,6287000000.0,0.06823342726601188,0.0255064993505763,0.06347994298513542,0.3628334351455915,0.1329159030747302,0.05340615060493562,0.08141946146530084,0.024078599063327225,0.16002341681938506,0.754726272878991,1.231745029977911,54424000000.0,3405000000.0,6892000000.0,19209000000.0,3371000000.0,8277000000.0,2621000000.0,1.9,1.9,3.3328500664491965,2.629530713468142,0.39071307,71.15,51.2008,11.33296,73757.65,30.0929,2.6883,1.9139
2012-12-31,75478000000.0,15622000000.0,14873000000.0,43123000000.0,32215000000.0,15574000000.0,274000000.0,4475000000.0,-43745000000.0,-15383000000.0,-6846000000.0,-2121000000.0,-1518000000.0,-1711000000.0,-1.1999999999999997,1391000000.0,-694000000.0,-786000000.0,697000000.0,15848000000.0,1.054,14.7482,1.2918,-1.1999999999999997,-7632000000.0,-0.0658388949247245,-0.028100903574551524,0.04848554120470911,0.3516516173276946,0.15649788547262544,-0.09070192638914651,-0.14243805005929716,-0.015933249514230197,0.17446565321751056,0.49194474623622536,1.0503597122302157,35015000000.0,3028000000.0,3637000000.0,13076000000.0,925000000.0,4982000000.0,1863000000.0,1.69,1.69,3.1810517864311523,1.9522275899087493,0.39071307,71.15,51.2008,11.33296,73757.65,30.0929,2.6883,1.9139
2013-03-31,73298000000.0,14295000000.0,13847000000.0,41280000000.0,31874000000.0,,203000000.0,2759000000.0,8744000000.0,3242000000.0,834000000.0,568000000.0,279000000.0,-19000000.0,0.0,-385000000.0,235000000.0,266000000.0,-620000000.0,203000000.0,,19.6102,1.5591,0.0,1100000000.0,0.01782016690719709,0.0077491882452454365,0.06495882891125343,0.37076852698993595,0.09537968892955169,0.011378209500941363,0.025999937650029618,-0.07090576395242452,0.12580054894784995,0.00636882725732572,1.0323535783924316,30666000000.0,2783000000.0,2780000000.0,11651000000.0,1491000000.0,4034000000.0,1589000000.0,1.2300000000000002,1.2300000000000002,0.050322260783341594,1.749528005034613,0.39071307,71.15,51.2008,11.33296,73757.65,30.0929,2.6883,1.9139
2013-06-30,71823000000.0,13738000000.0,13133000000.0,40274000000.0,31407000000.0,,756000000.0,2476000000.0,17339000000.0,6473000000.0,1699000000.0,1184000000.0,514000000.0,-6000000.0,0.0,418000000.0,568000000.0,532000000.0,-150000000.0,756000000.0,,21.943,1.4741,0.0,2231000000.0,0.03769860222243449,0.016484969995683833,0.06828536824499683,0.37332026068400714,0.09798719649345407,0.023655375019144286,0.05282467431520692,-0.008651017936443855,0.12866947344137494,0.024071066959594996,1.0460671590649508,21626000000.0,2125000000.0,909000000.0,8587000000.0,873000000.0,1986000000.0,1121000000.0,0.20000000000000018,0.20000000000000018,0.3806646525679758,0.8108831400535237,0.39071307,71.15,51.2008,11.33296,73757.65,30.0929,2.6883,1.9139
2013-09-30,74859000000.0,15463000000.0,15269000000.0,42367000000.0,32343000000.0,,2527000000.0,,25811000000.0,9617000000.0,2961000000.0,2208000000.0,732000000.0,8000000.0,1.0,1198000000.0,1028000000.0,808000000.0,170000000.0,2527000000.0,,20.5548,1.5847,1.0,3769000000.0,0.06826824969854374,0.0294954514487236,0.08554492270737282,0.37259308046956724,0.11471853085893612,0.03955436220093776,0.0849154000573559,0.006586339157723452,0.14602301344388052,0.07813128033886776,1.0127054816949375,8149000000.0,1839000000.0,-1352000000.0,3949000000.0,97000000.0,-532000000.0,7000000.0,-0.19999999999999973,-0.19999999999999973,-4.75,-193.14285714285714,0.39071307,71.15,51.2008,11.33296,73757.65,30.0929,2.6883,1.9139
2013-12-31,72557000000.0,13216000000.0,14396000000.0,40025000000.0,32373000000.0,,1636000000.0,,-16595000000.0,-6222000000.0,-1523000000.0,-45000000.0,,77000000.0,1.0,5179000000.0,-209000000.0,-529000000.0,4970000000.0,1636000000.0,0.9178,16.0552,1.7538,1.0,-2052000000.0,-0.0013900472616068947,-0.0006202020480449853,0.0027116601385959627,0.3749322084965351,0.09177463091292558,-0.02099039375938917,-0.0447822635184804,-0.2994877975293763,0.1236517023199759,0.050535940444197326,0.9180327868852459,35299000000.0,3915000000.0,3971000000.0,13110000000.0,4370000000.0,5048000000.0,,2.0,2.0,0.32408874801901744,,0.39071307,71.15,51.2008,11.33296,73757.65,30.0929,2.6883,1.9139
2014-03-31,72960000000.0,13702000000.0,15325000000.0,41184000000.0,31649000000.0,,2503000000.0,,8641000000.0,3204000000.0,843000000.0,163000000.0,,-27000000.0,0.0,-577000000.0,326000000.0,262000000.0,-903000000.0,2503000000.0,,16.8517,1.6676,0.0,1105000000.0,0.005150241713798224,0.0022341008771929825,0.018863557458627472,0.3707904177757204,0.0975581529915519,0.011554276315789473,0.024683766690091355,-0.10450179377386877,0.1278787177410022,0.07908622705298746,0.894094616639478,35196000000.0,3510000000.0,3980000000.0,13072000000.0,4087000000.0,5053000000.0,,2.0,2.0,0.49534929744706113,,0.39071307,71.15,51.2008,11.33296,73757.65,30.0929,2.6883,1.9139
2014-06-30,72680000000.0,13100000000.0,14915000000.0,40273000000.0,32268000000.0,,2044000000.0,,17077000000.0,6309000000.0,1800000000.0,785000000.0,,64000000.0,0.0,368000000.0,724000000.0,533000000.0,-356000000.0,2044000000.0,,18.1553,1.8157,0.0,2333000000.0,0.024327507127804637,0.010800770500825537,0.04596826140422791,0.3694442817825145,0.10540493060842068,0.02476609796367639,0.0524597808346934,-0.020846752942554312,0.1366165017274697,0.0633444898971117,0.8783104257458934,34934000000.0,3111000000.0,4081000000.0,12908000000.0,3881000000.0,5155000000.0,,2.0,2.0,0.3965082444228904,,0.39071307,71.15,51.2008,11.33296,73757.65,30.0929,2.6883,1.9139
