report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,cash,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,depreciation,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2011-03-31,459606000.0,425968000.0,110182000.0,563584000.0,-103978000.0,377843000.0,31973000.0,-15825000.0,,10759000.0,,-0.21,123467000.0,-44222000.0,6430000.0,0.0,,,10.6303,-0.21,-9395000.0,,,,-0.4949488631032434,-0.03443166538295845,0.15219565677354824,-0.29384167891658586,-0.0,3.86603982501679,,,,,,,,,,0.863992,112.29,53.56,1.60726,18498.396,14.3772,3.7525,3.598
2011-06-30,416663000.0,391923000.0,110667000.0,552947000.0,-136284000.0,359074000.0,48784000.0,-56940000.0,,21647000.0,,-0.63,124399000.0,-74958000.0,13077000.0,0.0,,,15.565,-0.63,-43863000.0,,,,-1.167185962610692,-0.13665720258338274,0.41780399753456016,-0.8991267628730731,-0.0,3.541462224511372,,,,,,,,,,0.863992,112.29,53.56,1.60726,18498.396,14.3772,3.7525,3.598
2011-09-30,371224000.0,346418000.0,120957000.0,552244000.0,-181020000.0,312328000.0,65565000.0,-99044000.0,-131461000.0,32666000.0,,-1.05,125019000.0,-121936000.0,19948000.0,0.0,,,11.6407,-1.05,-79096000.0,0.7262236216992598,-0.35412850462254597,-2.005048425226874,-1.5106230458323802,-0.26680387043941123,0.54714396199315,-1.206375352703424,-0.0,2.8639764544424877,,,,,,,,,,0.863992,112.29,53.56,1.60726,18498.396,14.3772,3.7525,3.598
2011-12-31,328962000.0,310778000.0,135614000.0,556039000.0,-227077000.0,273164000.0,-51867000.0,28626000.0,-55079000.0,-21253000.0,,0.40000000000000013,-247523000.0,79401000.0,-12465000.0,0.0,2.292,,20.0351,0.40000000000000013,16161000.0,0.24255648964888563,-0.16743271259294387,1.0619276225731198,-0.5519116201052693,0.08701916938734565,-0.1260629654258247,-0.31158540112210076,-0.0,2.291636556697686,94455000.0,,-143183000.0,-116193000.0,43819000.0,-1.4899999999999998,-1.4899999999999998,-0.0,-3.267600812432963,0.863992,112.29,53.56,1.60726,18498.396,14.3772,3.7525,3.598
2012-03-31,293593000.0,276162000.0,142299000.0,542450000.0,-248857000.0,231855000.0,36179000.0,-34188000.0,-45426000.0,11290000.0,,-0.36,127203000.0,-54401000.0,7234000.0,0.0,,,25.4539,-0.36,-26954000.0,0.182538566325239,-0.15472439738004654,-1.2555902595428288,-0.944968075402858,-0.11644691801235044,0.13738010182554639,-0.7450178280217806,-0.0,1.9407163788923323,98661000.0,,-161546000.0,-133752000.0,44350000.0,-1.6399999999999997,-1.6399999999999997,-0.0,-3.6425253664036075,0.863992,112.29,53.56,1.60726,18498.396,14.3772,3.7525,3.598
2012-06-30,311971000.0,294158000.0,139731000.0,529159000.0,-217188000.0,257563000.0,122722000.0,-18968000.0,-41389000.0,22720000.0,67000.0,-0.32,128214000.0,-45677000.0,14638000.0,0.0,,,18.8948,-0.32,-4330000.0,0.1905676188371365,-0.1326693827310872,-0.33725819331497203,-0.15456071446032496,-0.06080052312554693,0.08733447520120817,-0.03528299734358958,-0.0,2.1051735119622705,172599000.0,-273355000.0,-123574000.0,-94219000.0,45423000.0,-1.3299999999999998,-1.3299999999999998,-0.0,-2.7205160381304627,0.863992,112.29,53.56,1.60726,18498.396,14.3772,3.7525,3.598
2012-09-30,296535000.0,278728000.0,137641000.0,516485000.0,-219950000.0,239083000.0,183213000.0,-29106000.0,-63099000.0,34293000.0,93000.0,-0.49,,-72822000.0,22214000.0,0.0,,,11.0371,-0.49,-6892000.0,0.2868788360991134,-0.21278769791087054,-0.3444024168590657,-0.15886427273173848,-0.09815367494562194,0.13233007501704933,-0.03761741797798191,-0.0,2.02503614475338,290247000.0,-204993000.0,-53636000.0,-22015000.0,47050000.0,-0.7699999999999996,-0.7699999999999996,-0.0,-1.1399787460148778,0.863992,112.29,53.56,1.60726,18498.396,14.3772,3.7525,3.598
2012-12-31,330419000.0,309514000.0,136074000.0,505376000.0,-174957000.0,224057000.0,-45055000.0,83410000.0,105594000.0,-22245000.0,14000.0,0.8299999999999998,,78070000.0,-14107000.0,0.0,2.2741,,7.3379,0.8299999999999998,69303000.0,-0.6035425847493956,0.3195760534351838,-2.34366884918433,-1.8512928642769948,0.2524370571910211,-0.47674571466131677,-1.5381866607479746,-0.0,2.274600584975822,297059000.0,-44320000.0,1148000.0,31127000.0,46058000.0,-0.33999999999999986,-0.33999999999999986,0.0,0.024925094446133136,0.863992,112.29,53.56,1.60726,18498.396,14.3772,3.7525,3.598
2013-03-31,330282000.0,309113000.0,121283000.0,493808000.0,-163526000.0,265814000.0,71077000.0,-4097000.0,-15669000.0,11728000.0,43000.0,-0.12,,24738000.0,7734000.0,0.0,,,9.2788,-0.12,3637000.0,0.09581962501375928,-0.0474412774538122,-0.2204510601179003,-0.05764171250896915,-0.01240455126225468,0.025054119834154814,0.05116985804127917,-0.0,2.5486919024100656,331957000.0,-14563000.0,31239000.0,61718000.0,46496000.0,-0.09999999999999987,-0.09999999999999987,0.0,0.671864246386786,0.863992,112.29,53.56,1.60726,18498.396,14.3772,3.7525,3.598
2013-06-30,334219000.0,313369000.0,102958000.0,362005000.0,-27786000.0,258202000.0,172752000.0,13222000.0,-18240000.0,22022000.0,113000.0,0.0,138315000.0,,15787000.0,0.0,,,8.9639,0.0,29009000.0,0.6564456920751458,-0.054574994240303515,-0.10558488469019171,0.07653746411040104,0.0395608867239744,-0.4758511480601742,0.16792280263036027,-0.0,3.0436585792264808,381987000.0,8586000.0,63429000.0,95057000.0,45798000.0,0.22000000000000014,0.22000000000000014,0.0,1.3849731429320058,0.863992,112.29,53.56,1.60726,18498.396,14.3772,3.7525,3.598
