report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,cash,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,depreciation,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,operating_margin,roi,roic,ebitda_margin,debt_equity,current_ratio,net_income_ttm,operating_income_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-06-30,1202881000.0,206832000.0,179662000.0,580667000.0,622214000.0,,4783000.0,,56386000.0,29214000.0,6699000.0,19476000.0,0.78,37284675.0,69180000.0,41104000.0,0.0,,26.5272,0.9928,0.78,97490000.0,0.046951691861642456,0.02428669170100783,,0.046875792368488656,0.09062155464197205,,0.0,1.1512284178067704,,,,,,,,,1.2130715,221.625,126.01,2.38402,41268.348,40.3128,7.6052,7.5083
2010-09-30,1219081000.0,221063000.0,248768000.0,572488000.0,646593000.0,,5057000.0,,99770000.0,53595000.0,9663000.0,35730000.0,0.96,55927003.0,110165000.0,60500000.0,0.0,,22.4676,1.0206,0.96,160270000.0,0.08288830841039108,0.04396344459473981,,0.08184033710639407,0.15430108275221044,,0.0,0.8886311744275791,,,,,,,,,1.2130715,221.625,126.01,2.38402,41268.348,40.3128,7.6052,7.5083
2010-12-31,1239881000.0,222582000.0,170046000.0,571232000.0,668649000.0,,5450000.0,,137739000.0,75651000.0,12613000.0,48775000.0,1.35,55926988.0,141076000.0,80362000.0,0.0,1.309,23.6494,1.208,1.35,218101000.0,0.11314007797813203,0.061014726413260625,,0.11109049981409506,0.2059959709802901,,0.0,1.3089516954235914,,,,,,,,,1.2130715,221.625,126.01,2.38402,41268.348,40.3128,7.6052,7.5083
2011-03-31,1383902000.0,330337000.0,227038000.0,645280000.0,738622000.0,,88143000.0,,37921000.0,21573000.0,3876000.0,13909000.0,0.38,56255970.0,73807000.0,21121000.0,0.0,,22.5159,1.271,0.38,59042000.0,0.02920709104250889,0.015588531557870428,,0.02740150675409097,0.05134019836939598,,0.0,1.45498550903373,180033000.0,331816000.0,534903000.0,32851000.0,3.47,3.47,0.0,10.100636205899363,1.2130715,221.625,126.01,2.38402,41268.348,40.3128,7.6052,7.5083
2011-06-30,1409504000.0,296136000.0,212383000.0,631499000.0,778005000.0,,28664000.0,,102566000.0,60956000.0,7340000.0,35359000.0,1.07,56849647.0,119180000.0,43134000.0,0.0,,19.9514,1.2619,1.07,145700000.0,0.07834911086689675,0.043246418598315434,,0.0727674415964765,0.13183205763459105,,0.0,1.3943488885645272,211775000.0,377996000.0,583113000.0,33492000.0,3.7600000000000002,3.7600000000000002,0.0,11.286157888450973,1.2130715,221.625,126.01,2.38402,41268.348,40.3128,7.6052,7.5083
2011-09-30,1473198000.0,318589000.0,220117000.0,656562000.0,816636000.0,227143000.0,42262000.0,,170760000.0,99587000.0,10737000.0,59850000.0,1.75,57047539.0,200349000.0,66530000.0,227143000.0,,13.6804,0.9264,1.75,237290000.0,0.12194784457212271,0.06759919576323074,,0.11591109952633659,0.16359784973639055,,0.27814473033273085,1.4473620847094955,257767000.0,448986000.0,660133000.0,34566000.0,4.55,4.55,0.3440867219181589,12.989237979517444,1.2130715,221.625,126.01,2.38402,41268.348,40.3128,7.6052,7.5083
2011-12-31,1513074000.0,331852000.0,204810000.0,656555000.0,856519000.0,229831000.0,75850000.0,,-77175000.0,-42646000.0,-7886000.0,-28504000.0,-0.7600000000000002,-113006670.0,-115956000.0,-39965000.0,229831000.0,1.6203,16.8125,1.2317,-0.7600000000000002,-117140000.0,-0.04978990541949449,-0.028185006153036797,,-0.0510054366144683,-0.07104064067749805,,0.26833146725291557,1.6202919779307652,139470000.0,234072000.0,324892000.0,14067000.0,2.44,2.44,0.7074073846078082,16.639795265515037,1.2130715,221.625,126.01,2.38402,41268.348,40.3128,7.6052,7.5083
2012-03-31,1574192000.0,327900000.0,251268000.0,686578000.0,887614000.0,219117000.0,54219000.0,,54218000.0,31095000.0,3219000.0,20302000.0,0.54,57443324.0,78327000.0,25544000.0,219117000.0,,18.618,1.3982,0.54,79762000.0,0.03503211981784875,0.01975299074064663,,0.03444179617225853,0.04898932080153172,,0.24686068493737143,1.304981135679832,148992000.0,250369000.0,345612000.0,13410000.0,2.5999999999999996,2.5999999999999996,0.6339970834346029,18.670320656226696,1.2130715,221.625,126.01,2.38402,41268.348,40.3128,7.6052,7.5083
2012-06-30,1639644000.0,301158000.0,244454000.0,704198000.0,935446000.0,228147000.0,11015000.0,,136806000.0,78927000.0,5904000.0,51531000.0,1.37,57443324.0,144422000.0,52068000.0,228147000.0,,16.2069,1.244,1.37,188874000.0,0.08437365705770296,0.048136668691496444,,0.08343640448780346,0.11757203764546538,,0.24389114924859373,1.2319618414916509,166963000.0,284609000.0,388786000.0,11974000.0,2.9,2.9,0.586818969818872,23.768915984633374,1.2130715,221.625,126.01,2.38402,41268.348,40.3128,7.6052,7.5083
2012-09-30,1714622000.0,305739000.0,237628000.0,728134000.0,986488000.0,243497000.0,6902000.0,,217738000.0,129971000.0,8786000.0,78848000.0,1.51,86164980.0,222738000.0,80795000.0,243497000.0,,15.2846,1.2321,1.51,298533000.0,0.1317512225186723,0.07580154692987726,,0.12698892233973436,0.1770249230681675,,0.24683219664101338,1.2866286801218711,197347000.0,331587000.0,450029000.0,10023000.0,2.66,2.66,0.5410695755162445,33.082609997006884,1.2130715,221.625,126.01,2.38402,41268.348,40.3128,7.6052,7.5083
