report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,cash,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,depreciation,total_debt,bf_current_ratio,bf_ps,bf_pe,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pb_annual,bf_ps_ttm
2010-06-26,2156637000.0,608048000.0,246060000.0,762620000.0,1396468000.0,,219077000.0,589449000.0,57706000.0,31836000.0,13112000.0,13011000.0,0.48,,,47851000.0,0.0,,2.027,26.69,0.48,105557000.0,0.022797514873237338,0.01476187230396214,0.05400976165876946,0.09789820663025979,0.026757400526838778,0.04132282300775958,0.17907740958081192,0.0,2.471137121027392,,,,,,,,,,1.5864912,228.88,91.8609,0.89561,8560.222,3.1595,2.1319
2010-09-25,2080273000.0,527297000.0,237379000.0,1042105000.0,1040972000.0,,137433000.0,865530000.0,62819000.0,6895000.0,25753000.0,29313000.0,0.11,,,71999000.0,0.0,,1.8715,86.8642,0.11,134818000.0,0.006623617157810201,0.0033144688221209426,0.007966217231060738,0.07257865123103763,0.030197478888588182,0.06034648386315866,0.15576352061742516,0.0,2.221329603713892,,,,,,,,,,1.5864912,228.88,91.8609,0.89561,8560.222,3.1595,2.1319
2010-12-25,1733373000.0,552894000.0,259780000.0,1044646000.0,687423000.0,,179160000.0,1133416000.0,-298512000.0,-336669000.0,35279000.0,23000.0,-5.38,,,93649000.0,0.0,2.1282,1.8327,,-5.38,-204863000.0,-0.4897552162205803,-0.19422767055907758,-0.2970392159630709,-0.26337373038672474,-0.17221452047539682,-0.43424790849302397,-0.18074828659556597,0.0,2.1283162676110554,,,,,,,,,,1.5864912,228.88,91.8609,0.89561,8560.222,3.1595,2.1319
2011-03-26,1744620000.0,560584000.0,307808000.0,1180289000.0,562918000.0,,158745000.0,285843000.0,42251000.0,31335000.0,10016000.0,-2715000.0,0.57,,,21265000.0,0.0,,1.7709,,0.57,63516000.0,0.05566530116286919,0.01796093132028751,0.10962311478678856,0.14781191073421424,0.024217881257809725,0.07505711311416582,0.2222058962437422,0.0,1.8212132238278407,2874238000.0,-266603000.0,-135736000.0,99028000.0,84160000.0,-4.22,-4.22,0.0,-1.612832699619772,1.5864912,228.88,91.8609,0.89561,8560.222,3.1595,2.1319
2011-06-25,1705425000.0,548252000.0,277103000.0,1114798000.0,589090000.0,,145831000.0,574106000.0,95565000.0,63653000.0,20675000.0,5934000.0,1.2,,,43081000.0,0.0,,1.8051,,1.2,138646000.0,0.10805309884737477,0.03732383423486814,0.11087325337132864,0.16645880725858989,0.05603588548309073,0.16222478738393115,0.24149895663866952,0.0,1.9785134047628499,2858895000.0,-234786000.0,-97877000.0,132117000.0,91723000.0,-3.4999999999999996,-3.4999999999999996,0.0,-1.0670933135636644,1.5864912,228.88,91.8609,0.89561,8560.222,3.1595,2.1319
2011-09-24,1585373000.0,456329000.0,223842000.0,1044004000.0,539711000.0,720483000.0,81220000.0,851685000.0,132659000.0,82451000.0,32619000.0,11564000.0,1.58,,134945000.0,64249000.0,720483000.0,,1.3177,,1.58,196908000.0,0.15276879663375398,0.05200731941316018,0.09680926633673248,0.15576063920346137,0.08367683819517552,0.10526871259504489,0.23119815424716886,1.3349422190765057,2.0386209915922837,2845050000.0,-159230000.0,-28037000.0,194207000.0,98589000.0,-2.03,-2.03,3.709871425849738,-0.2843826390368094,1.5864912,228.88,91.8609,0.89561,8560.222,3.1595,2.1319
2011-12-31,1558320000.0,425843000.0,216797000.0,1030957000.0,525583000.0,703187000.0,68905000.0,-568987000.0,-96169000.0,-67873000.0,-20724000.0,2357000.0,-1.21,,71897000.0,-43365000.0,703187000.0,1.964,1.2006,12.5295,-1.21,-139534000.0,-0.12913849953289966,-0.04355523897530674,0.11928743538956074,0.16901792132333426,-0.06171325530058011,-0.07826444330509372,0.24523231637981185,1.3379180833474447,1.9642476602536012,1142647000.0,109566000.0,174306000.0,259536000.0,42586000.0,2.14,2.14,2.709400622649652,4.093035269806979,1.5864912,228.88,91.8609,0.89561,8560.222,3.1595,2.1319
2012-03-31,1555358000.0,437270000.0,223835000.0,1000853000.0,552599000.0,674743000.0,61031000.0,285981000.0,43740000.0,26439000.0,8435000.0,8676000.0,0.54,,25277000.0,20002000.0,674743000.0,,1.5784,17.2458,0.54,63742000.0,0.04784482056608861,0.01699865882967137,0.09245019774040933,0.15294722376661388,0.0281221429407249,0.035637988433541753,0.22288893318087566,1.2210355067598746,1.9535372037438292,1142785000.0,104670000.0,175795000.0,259762000.0,41005000.0,2.1100000000000003,2.1100000000000003,2.597543135639547,4.287160102426533,1.5864912,228.88,91.8609,0.89561,8560.222,3.1595,2.1319
2012-06-30,1546073000.0,451559000.0,328126000.0,981223000.0,562836000.0,551397000.0,76076000.0,570704000.0,93014000.0,56907000.0,16514000.0,18129000.0,1.17,,82644000.0,40067000.0,551397000.0,,1.4411,15.9713,1.17,133081000.0,0.10110760505724581,0.03680744699635787,0.09971368695505901,0.16298116011102076,0.06016145421335215,0.08347805171808768,0.23318743166334913,0.979676140118969,1.376175615464791,1139383000.0,97924000.0,173244000.0,254197000.0,36844000.0,2.08,2.08,2.169171941446988,4.702095320812073,1.5864912,228.88,91.8609,0.89561,8560.222,3.1595,2.1319
2012-09-29,1567618000.0,457915000.0,325237000.0,967666000.0,597713000.0,543143000.0,83224000.0,849390000.0,130696000.0,78879000.0,25033000.0,24140000.0,1.63,,143679000.0,60617000.0,543143000.0,,1.7058,18.3522,1.63,191313000.0,0.1319680180956412,0.050317743225709324,0.0928654681595027,0.15387042465769551,0.08337235219294496,0.1145595938488293,0.22523575742591742,0.9087020024660665,1.4079425157654264,1137088000.0,94352000.0,171281000.0,248602000.0,29258000.0,2.13,2.13,2.1847893420004665,5.854159546107048,1.5864912,228.88,91.8609,0.89561,8560.222,3.1595,2.1319
