report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,cash,shares_outstanding,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,depreciation,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2013-03-31,2426705000.0,1439497000.0,1221988000.0,3749000000.0,-1322623000.0,,454293000.0,,1228841000.0,115165000.0,48309000.0,36042000.0,32118000.0,0.0,118740000.0,,24640000.0,0.0,1.1536,,,0.0,139805000.0,-0.0365251473775974,0.019907240476283686,0.03931265314226983,0.09371838993002349,0.047457354725852545,-0.08707318714403121,0.11376980423016485,-0.0,1.1779960196008472,,,,,,,,,,1.3609295,247.045,134.645,1.51375,28249.959,20.772,5.903,1.7321
2013-06-30,2648167000.0,1673860000.0,1238727000.0,3446055000.0,-798058000.0,,585722000.0,,2524521000.0,210062000.0,86826000.0,67926000.0,40948000.0,0.0,122659000.0,,49626000.0,0.0,,,,0.0,259688000.0,-0.10879660375561676,0.03278720715121063,0.03439305911893781,0.08320865621636739,0.0793235471932095,-0.2632164579516777,0.10286624670581072,-0.0,1.3512743324396739,,,,,,,,,,1.3609295,247.045,134.645,1.51375,28249.959,20.772,5.903,1.7321
2013-09-30,2842021000.0,1717186000.0,1334383000.0,3553993000.0,-711967000.0,,609710000.0,,3720360000.0,335321000.0,153595000.0,96682000.0,68407000.0,1.0,126195000.0,,76950000.0,0.0,,,,1.0,412271000.0,-0.215733313482226,0.05404428749822749,0.041284983173671366,0.09013133137653345,0.11798681290532335,-0.4709782897241024,0.11081481362018729,-0.0,1.2868764065489444,,,,,,,,,,1.3609295,247.045,134.645,1.51375,28249.959,20.772,5.903,1.7321
2013-12-31,3066797000.0,1945688000.0,1482247000.0,3734282000.0,-667413000.0,2035586000.0,778143000.0,,-2374177000.0,-198215000.0,-62139000.0,-77142000.0,-45508000.0,0.77,-239732000.0,397370000.0,-43712000.0,2035586000.0,1.3131,,,0.77,-241927000.0,0.09310426976999249,-0.020261856262413194,0.026172859058107293,0.0834878781152374,-0.06463257920234042,-0.1448756845808242,0.1018993107927505,-3.049964564669852,1.3126611151852559,5099545000.0,226591000.0,462333000.0,569837000.0,123508000.0,1.77,1.77,3.5722250397920807,3.7433445606762317,1.3609295,247.045,134.645,1.51375,28249.959,20.772,5.903,1.7321
2014-03-31,3061892000.0,1947820000.0,1376476000.0,3621417000.0,-559474000.0,,741381000.0,,1307846000.0,141316000.0,90183000.0,24703000.0,37389000.0,0.0,133040000.0,,29088000.0,0.0,,24.5881,1.2749,0.0,170404000.0,-0.1611924772196742,0.02945335759719807,0.06895536630459549,0.10805247712651184,0.046153162815670834,-0.25258725159703577,0.1302936278430335,-0.0,1.4150773424309613,5178550000.0,268465000.0,488484000.0,600436000.0,112169000.0,1.77,1.77,0.0,4.354893063145789,1.3609295,247.045,134.645,1.51375,28249.959,20.772,5.903,1.7321
2014-06-30,2978637000.0,1864707000.0,1353060000.0,3600247000.0,-621549000.0,,636468000.0,,2648876000.0,282316000.0,175303000.0,49502000.0,69789000.0,1.0,132541000.0,,58933000.0,0.0,,22.0097,1.3276,1.0,341249000.0,-0.28204212379072285,0.05885342859838241,0.06618014584299152,0.10657954543738551,0.09478026359036029,-0.4542135857349943,0.12882785000128355,-0.0,1.3781406589508225,5302905000.0,356942000.0,560738000.0,681997000.0,93745000.0,2.77,2.77,0.0,5.981524347965225,1.3609295,247.045,134.645,1.51375,28249.959,20.772,5.903,1.7321
2014-09-30,3106715000.0,1938603000.0,1426780000.0,3642947000.0,-536259000.0,,645034000.0,,4048910000.0,431458000.0,267957000.0,74552000.0,111049000.0,2.0,131903000.0,,89113000.0,0.0,,20.8197,1.3079,2.0,520571000.0,-0.4996783270770281,0.08625091133238807,0.06618003363868301,0.10656151902610826,0.13887916979832396,-0.8045701797079396,0.1285706523484098,-0.0,1.358725942331684,5631455000.0,471304000.0,656875000.0,790297000.0,71615000.0,3.77,3.77,0.0,9.172310270194792,1.3609295,247.045,134.645,1.51375,28249.959,20.772,5.903,1.7321
2014-12-31,3305832000.0,2146083000.0,1471900000.0,4009844000.0,-704061000.0,,867358000.0,,-2545634000.0,-264700000.0,-177060000.0,-249346000.0,-68171000.0,-1.0,-266401000.0,,-56121000.0,0.0,1.4579,21.1186,1.3785,-1.0,-320821000.0,0.25148389131055404,-0.05355989052075241,0.06955438213034552,0.10398195498645917,-0.08007061459868499,0.3759617419513366,0.12602793645905105,-0.0,1.458035872002174,5459998000.0,356383000.0,590390000.0,711403000.0,-100589000.0,2.0,2.0,0.0,5.869329648371094,1.3609295,247.045,134.645,1.51375,28249.959,20.772,5.903,1.7321
2015-03-31,3236651000.0,2098823000.0,1320697000.0,3848958000.0,-612387000.0,,779068000.0,,2479000.0,-26576000.0,86398000.0,25340000.0,-83000.0,0.0,127454000.0,,1245000.0,0.0,,23.7031,1.5197,0.0,-25331000.0,-0.14108398773977893,0.02669364105057975,34.85195643404599,-10.720451795078661,-0.00821095632491733,0.04339739413148875,-10.218233158531666,-0.0,1.5891782899484137,4154631000.0,352598000.0,422498000.0,515668000.0,-99952000.0,2.0,2.0,0.0,4.227008964302866,1.3609295,247.045,134.645,1.51375,28249.959,20.772,5.903,1.7321
2015-06-30,3341784000.0,2219842000.0,1353808000.0,4043462000.0,-68842000.0,,803615000.0,,2791120000.0,-56852000.0,171349000.0,-6103000.0,67788000.0,1.0,126995000.0,,2532000.0,0.0,,25.7707,1.6215,1.0,-54320000.0,-2.4890183318323116,0.05127470835936733,0.06139076786379661,-0.020368884175528103,-0.017012469986091263,0.8258330670230383,-0.019461721459485798,-0.0,1.639702232517462,4296875000.0,348644000.0,83330000.0,120099000.0,-155557000.0,2.0,2.0,0.0,0.5356878828982302,1.3609295,247.045,134.645,1.51375,28249.959,20.772,5.903,1.7321
