report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,gross_profit,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,gross_profit_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2011-09-30,323640000.0,227322000.0,140885000.0,267511000.0,,89850000.0,,,,211055000.0,-20942000.0,,23715000.0,1042000.0,-0.32,,-9953000.0,7284000.0,19109000.0,-17237000.0,89850000.0,,,,-0.32,-1833000.0,,,,,-0.06470769991348412,-0.2330773511407902,,,,1.6135287645952372,,,,,,,,,,,,2.5361764,745.61,200.5,4.28597,118642.63,35.5911,106.6772,20.4353
2011-12-31,324721000.0,230730000.0,143350000.0,276591000.0,,97142000.0,,,,294900000.0,-23293000.0,,33167000.0,1721000.0,-0.42,92599000.0,2305000.0,11070000.0,24980000.0,-8765000.0,97142000.0,,,,-0.42,1687000.0,,,,,-0.07173234869318584,-0.23978299808527723,,,,1.6095570282525287,,,,,,,,,,,,2.5361764,745.61,200.5,4.28597,118642.63,35.5911,106.6772,20.4353
2012-03-31,331387000.0,235837000.0,164115000.0,288976000.0,,88685000.0,,,,70056000.0,-9795000.0,-7891000.0,9553000.0,302000.0,-0.07,,-8646000.0,3690000.0,5852000.0,-12336000.0,88685000.0,,,,-0.07,-3943000.0,,-0.02381203849275922,,,-0.029557586749027573,-0.11044708800811862,,,,1.43702281936447,,,,,,,,,,,,2.5361764,745.61,200.5,4.28597,118642.63,35.5911,106.6772,20.4353
2012-06-30,326720000.0,230036000.0,166399000.0,297803000.0,,96051000.0,,,,149092000.0,-10504000.0,-23163000.0,,1421000.0,-0.22,,-8462000.0,7599000.0,,-16061000.0,96051000.0,,,,-0.22,-10504000.0,,-0.0708955680705191,,,-0.03214985308521058,-0.10935856992639327,,,,1.3824361925251956,,,-64534000.0,725103000.0,-54399000.0,-14593000.0,,-1.03,-1.03,-6.581991365723292,,2.5361764,745.61,200.5,4.28597,118642.63,35.5911,106.6772,20.4353
2012-09-30,333645000.0,232858000.0,180766000.0,319768000.0,,103964000.0,,,,234292000.0,-5887000.0,-42175000.0,,1933000.0,-0.4,,1570000.0,14257000.0,,-12687000.0,103964000.0,,,,-0.4,-5887000.0,,-0.12640680963299314,,,-0.0176445023902651,-0.056625370320495555,,,,1.2881736609760686,,,-49479000.0,748340000.0,-49849000.0,-18647000.0,,-1.1099999999999999,-1.1099999999999999,-5.575374054807744,,2.5361764,745.61,200.5,4.28597,118642.63,35.5911,106.6772,20.4353
2012-12-31,328212000.0,224390000.0,161609000.0,306128000.0,,110012000.0,,,,-126057000.0,27148000.0,35957000.0,,157000.0,0.3400000000000001,,39127000.0,-3939000.0,,35188000.0,110012000.0,,,,0.3400000000000001,27148000.0,,0.10955419058413464,,,0.0827148306582331,0.24677307930043996,,,,1.388474651783007,,-37272000.0,962000.0,327383000.0,-5896000.0,6814000.0,,-0.35,-0.35,16.144995597299676,,2.5361764,745.61,200.5,4.28597,118642.63,35.5911,106.6772,20.4353
2021-03-31,2621399000.0,1184821000.0,486596000.0,2751121000.0,-129977000.0,2137612000.0,18310000.0,761075000.0,603877000.0,,11465000.0,-10521000.0,35010000.0,-3200000.0,-0.05,222408568.0,61819000.0,121000.0,88817000.0,61698000.0,2155922000.0,1.1086,,,-0.05,100282000.0,0.0809450902852043,-0.004013505765432885,-0.017422422115761983,0.01898565436338857,0.004373618819569245,0.00565908748756753,0.1021698127267639,0.1660636189157726,-16.58694999884595,2.434917261958586,,-39902000.0,22222000.0,,68138000.0,111039000.0,,-0.32999999999999996,-0.32999999999999996,19.41589891839804,,2.5361764,745.61,200.5,4.28597,118642.63,35.5911,106.6772,20.4353
2021-06-30,4599571000.0,1716845000.0,603179000.0,2601934000.0,1997441000.0,1733676000.0,18310000.0,1183743000.0,1272683000.0,,46443000.0,3902000.0,54040000.0,-3166000.0,0.01,298506265.0,152276000.0,653000.0,195973000.0,151623000.0,1751986000.0,,,,0.01,242416000.0,0.001953499502613594,0.0008483399864900444,0.003065963794597712,0.036492197978601114,0.010097246025770664,0.012386692686642518,0.11913650139115553,0.19047634014126064,0.8771152689866685,2.8463275412439755,,-12837000.0,79169000.0,,235822000.0,363959000.0,,-0.09999999999999998,-0.09999999999999998,4.813690553056801,,2.5361764,745.61,200.5,4.28597,118642.63,35.5911,106.6772,20.4353
2021-09-30,4567760000.0,1626365000.0,569768000.0,2518541000.0,2049059000.0,1731020000.0,18310000.0,1049617000.0,1999634000.0,,91491000.0,4080000.0,72796000.0,13767000.0,0.01,327426792.0,276836000.0,962000.0,315409000.0,275874000.0,1749330000.0,,,,0.01,406900000.0,0.0019911578924764976,0.000893216806487206,0.0020403733883300646,0.045753872958751454,0.020029730108412,0.02408679047880562,0.13796224709121768,0.2034872381645841,0.8537235872661548,2.85443373443226,,33418000.0,176547000.0,,524383000.0,776746000.0,,0.31000000000000005,0.31000000000000005,2.2521261776694055,,2.5361764,745.61,200.5,4.28597,118642.63,35.5911,106.6772,20.4353
2021-12-31,6163579000.0,3235064000.0,640097000.0,4025288000.0,2138090000.0,3201834000.0,25810000.0,1520504000.0,-1083090000.0,,617000.0,37985000.0,-58676000.0,3572000.0,0.12,-505577993.0,-129080000.0,-346000.0,-169136000.0,-129426000.0,3227644000.0,5.054,,,0.12,-168519000.0,0.01776585644196456,0.006162815468090861,-0.03507095439898808,-0.0005696664173799038,0.00010010417648577231,0.00011498892788945557,0.11949699470958092,0.1555909481206548,1.5095922061278992,5.054021499866426,2793104000.0,35446000.0,150016000.0,,359769000.0,581079000.0,103170000.0,0.08999999999999997,0.08999999999999997,5.554570032646163,1.4540661044877388,2.5361764,745.61,200.5,4.28597,118642.63,35.5911,106.6772,20.4353
