report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,cash,shares_outstanding,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,operating_cash_flow,capex,fcf,total_debt,bf_current_ratio,bf_ps,bf_pe,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pb_annual,bf_ps_ttm
2020-03-31,5591246000.0,2481450000.0,663279000.0,,3917240000.0,228643000.0,2029071000.0,,684124000.0,-312338000.0,-328199000.0,2217000.0,-41432000.0,,39171000.0,14810000.0,24361000.0,228643000.0,,7.4812,,,-312338000.0,-0.08378322492367075,-0.05869872296801107,-0.4797361297074799,-0.45655173623495154,-0.05586196708211372,-0.07533690651665761,0.035609041635726854,-0.45655173623495154,0.058368392031123956,3.7411858358247434,,,,,,,,,,,1.0425838,45.82,29.56,1.12185,3367.2644,0.6396,1.407
2020-06-30,6371763000.0,3288334000.0,704550000.0,,4647535000.0,225336000.0,2447678000.0,,1410485000.0,-419357000.0,-424316000.0,3772000.0,-77511000.0,-4.98,74883000.0,27428000.0,47455000.0,225336000.0,,12.3332,,-4.98,-419357000.0,-0.09129915105534439,-0.06659318621863368,-0.3008298563969131,-0.29731404445988435,-0.06581490868382894,-0.08605953246043246,0.03364445563051007,-0.29731404445988435,0.04848505713243687,4.667282662692498,,,,,,,,,,,1.0425838,45.82,29.56,1.12185,3367.2644,0.6396,1.407
2020-09-30,8480214000.0,4205471000.0,780235000.0,8480214000.0,6194230000.0,715408000.0,3471713000.0,,2198862000.0,-547983000.0,-239399000.0,9579000.0,-107019000.0,-2.81,168047000.0,41651000.0,126396000.0,715408000.0,,4.1304,,-2.81,-547983000.0,-0.03864871017059425,-0.028230301735309982,-0.10887404484683441,-0.249212092436906,-0.06461900607696928,-0.07930704908129775,0.057482461382296846,-0.249212092436906,0.11549587277191838,5.390005575243356,,,,,,,,,,,1.0425838,45.82,29.56,1.12185,3367.2644,0.6396,1.407
2020-12-31,9135440000.0,4119250000.0,750828000.0,,6597575000.0,712277000.0,3476188000.0,88765000.0,-1245790000.0,707329000.0,1261640000.0,598000.0,166943000.0,10.760000000000002,-127520000.0,-22319000.0,-149839000.0,712277000.0,5.4847,5.8451,59.9089,10.760000000000002,707329000.0,0.19122783750089994,0.1381039117984465,-1.0127228505606884,-0.5677754677754677,0.07742692196544447,0.0967637922081049,0.12027629054656082,-0.5677754677754677,0.10796042485307102,5.486276484094892,3047681000.0,269726000.0,-572349000.0,48373000.0,-572349000.0,16166000.0,,,-1.2444802035121927,-35.40449090684152,1.0425838,45.82,29.56,1.12185,3367.2644,0.6396,1.407
2021-03-31,9736279000.0,4384835000.0,776944000.0,,6688138000.0,705987000.0,3915548000.0,,875988000.0,-11827000.0,329128000.0,6680000.0,48782000.0,3.46,53872000.0,20352000.0,33520000.0,705987000.0,,6.567,20.7121,3.46,-11827000.0,0.04921070707572123,0.033804290119459394,0.3757220418544546,-0.013501326502189527,-0.0012147351159513815,-0.0015995131269758084,0.03826536436572191,-0.013501326502189527,0.10555807909465983,5.643695041084042,3239545000.0,927053000.0,-271838000.0,57532000.0,-271838000.0,20629000.0,6.430000000000001,6.430000000000001,-2.597087235780134,-13.177468612147948,1.0425838,45.82,29.56,1.12185,3367.2644,0.6396,1.407
2021-06-30,9288576000.0,3888767000.0,642676000.0,,7178851000.0,494195000.0,3476071000.0,,1616117000.0,-35650000.0,523885000.0,12431000.0,141136000.0,5.47,,39425000.0,,494195000.0,,4.441,11.2834,5.47,-35650000.0,0.0729761628984917,0.05640100269406204,0.32416279266909515,-0.022059046467551545,-0.0038380479419019664,-0.004646134012489955,,-0.022059046467551545,0.06884040356876052,6.05089811973685,3445177000.0,1875254000.0,111869000.0,,111869000.0,29288000.0,16.88,16.88,4.417622397625794,3.8196189565692436,1.0425838,45.82,29.56,1.12185,3367.2644,0.6396,1.407
2021-09-30,9427725000.0,3912628000.0,748636000.0,,7209185000.0,494373000.0,3404913000.0,,2540185000.0,-67717000.0,584575000.0,18463000.0,151046000.0,6.14,,69401000.0,,494373000.0,,3.5176,10.6303,6.14,-67717000.0,0.08108752931156574,0.06200594523068927,0.23013087629444312,-0.026658294573033068,-0.007182750875741497,-0.008790353756017675,,-0.026658294573033068,0.0685754353647465,5.2263423078772595,3786500000.0,2699228000.0,592135000.0,,592135000.0,38172000.0,25.830000000000002,25.830000000000002,0.8348991361767164,15.512286492717175,1.0425838,45.82,29.56,1.12185,3367.2644,0.6396,1.407
2021-12-31,12300288000.0,3073914000.0,1379198000.0,,7175226000.0,2046237000.0,2118730000.0,,-1332663000.0,-21873000.0,-840041000.0,-3310000.0,-201974000.0,-8.760000000000002,,-38968000.0,,2046237000.0,2.2258,3.1645,19.5923,-8.760000000000002,-21873000.0,-0.11707519735266875,-0.0682944171713703,0.6303476572846999,0.016413001636572788,-0.0017782510458291708,-0.002371966357182152,,0.016413001636572788,0.2851808430842457,2.228769183249976,3699627000.0,597547000.0,-137067000.0,,-137067000.0,34264000.0,6.309999999999997,6.309999999999997,-14.928735581868722,-4.000321036656549,1.0425838,45.82,29.56,1.12185,3367.2644,0.6396,1.407
2022-03-31,11893536000.0,2784298000.0,1331544000.0,,6919455000.0,2039655000.0,1852598000.0,,1325345000.0,-108814000.0,-235798000.0,21912000.0,-70464000.0,-2.72,,30493000.0,,2039655000.0,,2.1238,275.9396,-2.72,-108814000.0,-0.034077539343777795,-0.019825727184917926,-0.17791442982770525,-0.08210239597991466,-0.009149003290526888,-0.01214562607223262,,-0.08210239597991466,0.29477104771979873,2.091029661806144,4148984000.0,32621000.0,-234054000.0,,-234054000.0,49496000.0,0.12999999999999678,0.12999999999999678,-8.714463328975365,-4.7287457572329075,1.0425838,45.82,29.56,1.12185,3367.2644,0.6396,1.407
2022-06-30,10749141000.0,2738490000.0,1313832000.0,,5990230000.0,2033038000.0,1796202000.0,,2687926000.0,-274954000.0,-1104928000.0,45429000.0,-299452000.0,-12.73,,73641000.0,,2033038000.0,,1.5124,,-12.73,-274954000.0,-0.18445502092574076,-0.10279221381503881,-0.4110708404918885,-0.10229225060511339,-0.025579160232431595,-0.034269576935483145,,-0.10229225060511339,0.33939231047889645,2.0843532506439177,5220793000.0,-1596192000.0,-473358000.0,,-473358000.0,82494000.0,-18.070000000000004,-18.070000000000004,-4.294926884091955,-5.738090042912212,1.0425838,45.82,29.56,1.12185,3367.2644,0.6396,1.407
2022-09-30,10441573000.0,2481163000.0,1085248000.0,,5903816000.0,2026404000.0,1607384000.0,,3988827000.0,-399634000.0,-1168751000.0,74862000.0,-325500000.0,-13.51,,112840000.0,,2026404000.0,,0.9594,,-13.51,-399634000.0,-0.19796534986862735,-0.11193246458172537,-0.2930061895389296,-0.10018835111174287,-0.03827335210892075,-0.05039381000779297,,-0.10018835111174287,0.34323630682257034,2.286263600577932,6669435000.0,-3349518000.0,-805275000.0,,-805275000.0,138893000.0,-37.72,-37.72,-2.516412405699916,-5.797808384871808,1.0425838,45.82,29.56,1.12185,3367.2644,0.6396,1.407
2022-12-31,10393635000.0,2561135000.0,1079988000.0,,5931614000.0,2019760000.0,1417390000.0,,-2766818000.0,308631000.0,1339307000.0,-32038000.0,364329000.0,15.41,,-77221000.0,,2019760000.0,2.3713,0.7536,,15.41,308631000.0,0.22579132762179063,0.12885838303923508,-0.48406038994975453,-0.1115472719925922,0.029694231132803874,0.03881480106457073,,-0.1115472719925922,0.34050765946671513,2.371447645714582,5235280000.0,-1170170000.0,-474771000.0,,-474771000.0,110165000.0,-13.550000000000002,-13.550000000000002,-4.254177277045144,-4.30963554667998,1.0425838,45.82,29.56,1.12185,3367.2644,0.6396,1.407
