report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,net_income,income_tax,eps_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,roe,roa,net_margin,fcf_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,fcf_ttm,eps_diluted_ttm,eps_ttm,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-03-31,30753000000.0,12532000000.0,6017000000.0,15520000000.0,15249000000.0,6081000000.0,208000000.0,5135000000.0,4807000000.0,743000000.0,351000000.0,0.43,464000000.0,129000000.0,,335000000.0,6289000000.0,,4.3012,2.3799,0.43,0.04872450652501804,0.02416024452898904,0.1545662575410859,0.06969003536509258,0.41242048658928454,2.0827654977563568,,,,,,0.29035088,62.8864,42.52,11.0727,120905.445,17.1376,5.9443,2.5087
2010-06-30,31051000000.0,12983000000.0,5908000000.0,15477000000.0,15668000000.0,6248000000.0,290000000.0,5918000000.0,9575000000.0,1670000000.0,675000000.0,0.96,1513000000.0,210000000.0,,1303000000.0,6538000000.0,,4.0271,2.205,0.96,0.10658667347459791,0.0537824868764291,0.1744125326370757,0.1360835509138381,0.41728363543528213,2.1975287745429926,,,,,,0.29035088,62.8864,42.52,11.0727,120905.445,17.1376,5.9443,2.5087
2010-09-30,31885000000.0,14376000000.0,6284000000.0,16028000000.0,15970000000.0,6479000000.0,243000000.0,7581000000.0,14373000000.0,2619000000.0,987000000.0,1.51,2896000000.0,299000000.0,,2597000000.0,6722000000.0,,4.3765,2.3912,1.51,0.16399499060738884,0.08213893680413988,0.18221665623043207,0.18068600848813748,0.4209142141515341,2.287714831317632,,,,,,0.29035088,62.8864,42.52,11.0727,120905.445,17.1376,5.9443,2.5087
2010-12-31,31076000000.0,13273000000.0,6739000000.0,15438000000.0,15713000000.0,5328000000.0,117000000.0,5033000000.0,-9271000000.0,-1930000000.0,-455000000.0,-1.1099999999999999,-382000000.0,-214000000.0,,-596000000.0,5445000000.0,1.9696,14.6117,2.3263,-1.1099999999999999,-0.12282823140075097,-0.06210580512292444,0.20817603279042174,0.06428648473735303,0.3465283523197353,1.9695800563881882,19484000000.0,3102000000.0,3639000000.0,1.79,1.79,0.29035088,62.8864,42.52,11.0727,120905.445,17.1376,5.9443,2.5087
2011-03-31,30851000000.0,13296000000.0,6755000000.0,14950000000.0,15998000000.0,5276000000.0,135000000.0,3405000000.0,5011000000.0,986000000.0,400000000.0,0.57,481000000.0,75000000.0,,406000000.0,5411000000.0,,13.4796,2.2902,0.57,0.061632704088011005,0.03196006612427474,0.1967671123528238,0.08102175214528039,0.3382297787223403,1.968319763138416,19688000000.0,3345000000.0,3710000000.0,1.9300000000000002,1.9300000000000002,0.29035088,62.8864,42.52,11.0727,120905.445,17.1376,5.9443,2.5087
2011-06-30,31833000000.0,14775000000.0,7410000000.0,15688000000.0,16353000000.0,5332000000.0,187000000.0,3665000000.0,10445000000.0,1888000000.0,883000000.0,1.1,1574000000.0,149000000.0,,1425000000.0,5519000000.0,,14.8783,2.4268,1.1,0.11545282211215067,0.05930952156567085,0.18075634274772617,0.13642891335567256,0.33749159175686416,1.9939271255060729,20558000000.0,3563000000.0,3832000000.0,2.0700000000000003,2.0700000000000003,0.29035088,62.8864,42.52,11.0727,120905.445,17.1376,5.9443,2.5087
2011-09-30,32014000000.0,14869000000.0,7313000000.0,15578000000.0,16572000000.0,5437000000.0,182000000.0,4471000000.0,15790000000.0,2857000000.0,1358000000.0,1.66,3272000000.0,233000000.0,,3039000000.0,5619000000.0,,15.9205,2.5441,1.66,0.17239922761284093,0.0892422065346411,0.18093730208993034,0.19246358454718177,0.3390658942795076,2.033228497196773,21975000000.0,3801000000.0,4274000000.0,2.22,2.22,0.29035088,62.8864,42.52,11.0727,120905.445,17.1376,5.9443,2.5087
2011-12-31,32970000000.0,15318000000.0,7780000000.0,17103000000.0,15956000000.0,5376000000.0,115000000.0,5776000000.0,-10002000000.0,-2022000000.0,-920000000.0,-1.17,-487000000.0,-90000000.0,,-577000000.0,5491000000.0,1.9689,32.6554,5.7013,-1.17,-0.12672348959639007,-0.061328480436760695,0.20215956808638272,0.05768846230753849,0.3441338681373778,1.9688946015424165,21244000000.0,3709000000.0,4293000000.0,2.16,2.16,0.29035088,62.8864,42.52,11.0727,120905.445,17.1376,5.9443,2.5087
2012-03-31,32408000000.0,11765000000.0,7211000000.0,16162000000.0,16337000000.0,5270000000.0,145000000.0,2307000000.0,5251000000.0,1101000000.0,545000000.0,0.64,387000000.0,123000000.0,,264000000.0,5415000000.0,,30.626,5.4512,0.64,0.06739303421680848,0.03397309306344112,0.209674347743287,0.050276137878499334,0.33145620370937134,1.6315351546248786,21484000000.0,3824000000.0,4151000000.0,2.2300000000000004,2.2300000000000004,0.29035088,62.8864,42.52,11.0727,120905.445,17.1376,5.9443,2.5087
2012-06-30,31667000000.0,11013000000.0,6991000000.0,15855000000.0,16098000000.0,5209000000.0,236000000.0,2801000000.0,9694000000.0,1746000000.0,796000000.0,1.02,1521000000.0,236000000.0,,1285000000.0,5445000000.0,,16.9691,2.9536,1.02,0.10846067834513604,0.05513626172356081,0.18011140911904272,0.13255622034247988,0.338240775251584,1.575311114289801,20733000000.0,3682000000.0,4011000000.0,2.1500000000000004,2.1500000000000004,0.29035088,62.8864,42.52,11.0727,120905.445,17.1376,5.9443,2.5087
