report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,gross_profit,operating_income,net_income,interest_expense,income_tax,eps_diluted,operating_cash_flow,depreciation,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,gross_margin,operating_margin,roi,roic,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,gross_profit_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-06-30,1967200000.0,841500000.0,672700000.0,1142600000.0,824600000.0,99200000.0,124400000.0,94000000.0,,302900000.0,,47500000.0,5300000.0,13200000.0,1.55,50000000.0,32600000.0,223600000.0,,14.0329,0.838,1.55,,0.0576036866359447,0.024145994306628712,,,,,,,0.2711617754062576,1.2509290917199345,,,,,,,1.3792742,81.865,58.83,1.44893,8925.23,16.3406,5.012,2.3302
2010-09-30,2006600000.0,876400000.0,685800000.0,1144700000.0,861900000.0,97500000.0,158000000.0,109100000.0,,452000000.0,,79500000.0,7800000.0,25500000.0,2.59,68800000.0,49000000.0,255500000.0,,17.29,1.0843,2.59,,0.09223807866341803,0.03961925645370278,,,,,,,0.2964381018679661,1.2779235928842227,,,,,,,1.3792742,81.865,58.83,1.44893,8925.23,16.3406,5.012,2.3302
2010-12-31,2112000000.0,896000000.0,536800000.0,1230600000.0,881400000.0,242400000.0,,118900000.0,,446000000.0,,111700000.0,6900000.0,17300000.0,2.42,124800000.0,40800000.0,242400000.0,1.6692,15.4518,1.1714,2.42,,0.12673020195144089,0.052888257575757575,,,,,,,0.27501701837985026,1.669150521609538,,,,,,,1.3792742,81.865,58.83,1.44893,8925.23,16.3406,5.012,2.3302
2011-03-31,2205300000.0,987000000.0,555400000.0,1283400000.0,921900000.0,321200000.0,,124200000.0,,127000000.0,,41000000.0,1800000.0,9500000.0,0.88,-52200000.0,10800000.0,321200000.0,,16.5652,1.3231,0.88,,0.04447337021368912,0.018591574842425067,,,,,,,0.3484108905521206,1.7770975873244508,,279700000.0,1327900000.0,21800000.0,7.4399999999999995,7.4399999999999995,1.3792742,81.865,58.83,1.44893,8925.23,16.3406,5.012,2.3302
2011-06-30,2143100000.0,991200000.0,535900000.0,1173300000.0,969800000.0,356900000.0,,108200000.0,,238900000.0,,91300000.0,3900000.0,21900000.0,1.96,-87200000.0,21800000.0,356900000.0,,12.4693,1.2443,1.96,,0.09414312229325635,0.04260183845830806,,,,,,,0.36801402351000206,1.849598805747341,,323500000.0,1263900000.0,20400000.0,7.85,7.85,1.3792742,81.865,58.83,1.44893,8925.23,16.3406,5.012,2.3302
2011-09-30,2358700000.0,1227400000.0,619700000.0,1235200000.0,1123500000.0,376300000.0,,440600000.0,,118700000.0,,182300000.0,2500000.0,12900000.0,3.91,,,376300000.0,,4.8211,0.9222,3.91,,0.16226079216733422,0.07728833679569254,,,,,,,0.33493546951490877,1.9806357915120218,,426300000.0,930600000.0,15100000.0,9.17,9.17,1.3792742,81.865,58.83,1.44893,8925.23,16.3406,5.012,2.3302
2011-12-31,,,,,1085800000.0,,,,,,,,,,,198100000.0,14400000.0,0.0,2.3594,6.248,1.1166,,,,,,,,,,,0.0,,,,,,,,1.3792742,81.865,58.83,1.44893,8925.23,16.3406,5.012,2.3302
2012-03-31,2250200000.0,1106700000.0,502400000.0,1109500000.0,1140700000.0,300600000.0,,367200000.0,,149100000.0,,,3000000.0,22400000.0,1.02,-3500000.0,13400000.0,300600000.0,,6.5789,1.1659,1.02,,,,,,,,,,0.26352239852722015,2.202826433121019,,,,,,,1.3792742,81.865,58.83,1.44893,8925.23,16.3406,5.012,2.3302
2012-06-30,2191600000.0,1053800000.0,459400000.0,1033800000.0,1157800000.0,266000000.0,,259600000.0,,309600000.0,,,5200000.0,38000000.0,1.77,3600000.0,26500000.0,266000000.0,,7.6623,1.236,1.77,,,,,,,,,,0.22974607013301088,2.2938615585546365,,,,,,,1.3792742,81.865,58.83,1.44893,8925.23,16.3406,5.012,2.3302
2012-09-30,2235300000.0,1088400000.0,462800000.0,1043900000.0,1191400000.0,261000000.0,,279600000.0,,466400000.0,,,7100000.0,53100000.0,2.57,73700000.0,40400000.0,261000000.0,,17.443,1.3985,2.57,,,,,,,,,,0.21907000167869733,2.351771823681936,,,,,,,1.3792742,81.865,58.83,1.44893,8925.23,16.3406,5.012,2.3302
