report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,cash,revenue,gross_profit,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,depreciation,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,gross_margin,operating_margin,roi,roic,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pb_annual,bf_ps_ttm
2010-07-31,2913000000.0,1899000000.0,581000000.0,997000000.0,1916000000.0,137000000.0,512000000.0,2377000000.0,,,60000000.0,5000000.0,34000000.0,0.38,157100000.0,,52000000.0,137000000.0,,28.6243,0.4483,0.38,,0.031315240083507306,0.02059732234809475,0.02524190155658393,,,,,,0.07150313152400835,3.2685025817555937,,,,,,,,,0.065429375,26.99,11.0,7.65103,2294.7825,0.6158,0.292
2010-10-30,2912000000.0,1905000000.0,549000000.0,934000000.0,1978000000.0,137000000.0,534000000.0,3657000000.0,,,112000000.0,7000000.0,55000000.0,0.71,156800000.0,,79000000.0,137000000.0,,18.1505,0.4918,0.71,,0.056622851365015166,0.038461538461538464,0.030626196335794366,,,,,,0.0692618806875632,3.469945355191257,,,,,,,,,0.065429375,26.99,11.0,7.65103,2294.7825,0.6158,0.292
2011-01-29,2896000000.0,1934000000.0,489000000.0,871000000.0,2025000000.0,137000000.0,696000000.0,5049000000.0,,,169000000.0,9000000.0,88000000.0,1.07,,,106000000.0,137000000.0,3.955,16.3844,0.5484,1.07,,0.08345679012345679,0.05835635359116022,0.03347197464844524,,,,,,0.06765432098765432,3.955010224948875,,,,,,,,,0.065429375,26.99,11.0,7.65103,2294.7825,0.6158,0.292
2011-04-30,3120000000.0,2140000000.0,606000000.0,986000000.0,2134000000.0,136000000.0,799000000.0,1452000000.0,,,94000000.0,2000000.0,55000000.0,0.6,155700000.0,,27000000.0,136000000.0,,15.8641,0.6352,0.6,,0.044048734770384255,0.03012820512820513,0.06473829201101929,,,,,,0.06373008434864105,3.5313531353135312,12535000000.0,435000000.0,,,23000000.0,2.7600000000000002,2.7600000000000002,,0.065429375,26.99,11.0,7.65103,2294.7825,0.6158,0.292
2011-07-30,3119000000.0,2139000000.0,620000000.0,1004000000.0,2115000000.0,136000000.0,681000000.0,2727000000.0,,,131000000.0,3000000.0,76000000.0,0.84,155400000.0,,55000000.0,136000000.0,,13.8586,0.6161,0.84,,0.06193853427895981,0.042000641231163836,0.048038137147048035,,,,,,0.06430260047281323,3.45,12885000000.0,506000000.0,,,21000000.0,3.22,3.22,,0.065429375,26.99,11.0,7.65103,2294.7825,0.6158,0.292
2011-10-29,3045000000.0,2059000000.0,568000000.0,952000000.0,2093000000.0,136000000.0,698000000.0,4121000000.0,,,197000000.0,4000000.0,115000000.0,1.27,154800000.0,265000000.0,82000000.0,136000000.0,,13.164,0.6065,1.27,,0.09412326803631152,0.06469622331691297,0.04780393108468818,,,,,,0.06497849976110846,3.625,13349000000.0,591000000.0,,,18000000.0,3.7800000000000002,3.7800000000000002,,0.065429375,26.99,11.0,7.65103,2294.7825,0.6158,0.292
2012-01-28,3050000000.0,2079000000.0,548000000.0,940000000.0,2110000000.0,135000000.0,851000000.0,-2677000000.0,,,-144000000.0,-3000000.0,-89000000.0,-0.9099999999999999,,232000000.0,-54000000.0,135000000.0,3.7938,14.356,0.7098,-0.9099999999999999,,-0.06824644549763033,-0.04721311475409836,0.053791557713858795,,,,,,0.06398104265402843,3.7937956204379564,5623000000.0,278000000.0,,,6000000.0,1.8,1.8,,0.065429375,26.99,11.0,7.65103,2294.7825,0.6158,0.292
2012-04-28,3238000000.0,2251000000.0,635000000.0,1025000000.0,2213000000.0,135000000.0,859000000.0,1578000000.0,,,128000000.0,1000000.0,73000000.0,0.83,154300000.0,133000000.0,29000000.0,135000000.0,,14.8925,0.8082,0.83,,0.057840036150022596,0.03953057442865967,0.08111533586818757,,,,,,0.061003163126976956,3.5448818897637797,5749000000.0,312000000.0,,,5000000.0,2.0300000000000002,2.0300000000000002,,0.065429375,26.99,11.0,7.65103,2294.7825,0.6158,0.292
2012-07-28,3234000000.0,2250000000.0,669000000.0,1055000000.0,2179000000.0,133000000.0,770000000.0,2945000000.0,,,187000000.0,2000000.0,107000000.0,1.21,154100000.0,161000000.0,58000000.0,133000000.0,,15.2211,0.8704,1.21,,0.08581918311151905,0.05782312925170068,0.06349745331069609,,,,,,0.06103717301514456,3.3632286995515694,5967000000.0,368000000.0,,,4000000.0,2.4000000000000004,2.4000000000000004,,0.065429375,26.99,11.0,7.65103,2294.7825,0.6158,0.292
2012-10-27,3299000000.0,2295000000.0,625000000.0,1010000000.0,2289000000.0,133000000.0,804000000.0,4469000000.0,,,293000000.0,3000000.0,156000000.0,1.9,154000000.0,259000000.0,88000000.0,133000000.0,,13.5271,0.8473,1.9,,0.12800349497597205,0.08881479236132162,0.06556276571940031,,,,,,0.0581039755351682,3.672,6315000000.0,464000000.0,,,3000000.0,3.0300000000000002,3.0300000000000002,,0.065429375,26.99,11.0,7.65103,2294.7825,0.6158,0.292
