report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,short_term_debt,cash,revenue,gross_profit,operating_income,net_income,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,gross_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,gross_profit_ttm,fcf_ttm,ebitda_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-06-30,634542000.0,552489000.0,104670000.0,634542000.0,522246000.0,,333745000.0,,138650000.0,42037000.0,26861000.0,15549000.0,0.69,39081000.0,4174000.0,6733000.0,-2559000.0,0.0,,14.3473,2.1194,0.69,42037000.0,0.05143361557580144,0.04233131928225397,,,,0.06624778186471503,0.08049271799113827,,,0.0,5.278389223273144,,,,,,,,,,1.2273043,133.43,78.91,2.0906,14987.077,14.4119,6.7528,2.7884
2010-09-30,697178000.0,607914000.0,126765000.0,697178000.0,561758000.0,,250536000.0,,269603000.0,108351000.0,69004000.0,40104000.0,1.76,39258000.0,-61926000.0,14496000.0,-76422000.0,0.0,,14.1287,2.1027,1.76,108351000.0,0.12283581186204735,0.0989761581690759,,,,0.1554136820152099,0.19287842807757077,,,0.0,4.795598154064607,,,,,,,,,,1.2273043,133.43,78.91,2.0906,14987.077,14.4119,6.7528,2.7884
2010-12-31,808994000.0,715732000.0,144863000.0,808994000.0,652987000.0,,445226000.0,,502938000.0,249088000.0,158235000.0,89732000.0,4.03,39292000.0,139922000.0,22489000.0,117433000.0,0.0,4.9408,19.4238,3.0705,4.03,249088000.0,0.2423248854877662,0.19559477573381262,,,,0.30789845165724344,0.381459355239844,,,0.0,4.940750916383065,,,,,,,,,,1.2273043,133.43,78.91,2.0906,14987.077,14.4119,6.7528,2.7884
2011-03-31,753930000.0,654722000.0,68817000.0,753930000.0,671864000.0,,437900000.0,,102478000.0,28195000.0,19178000.0,8500000.0,0.49,39397000.0,3583000.0,5060000.0,-1477000.0,0.0,,20.8365,3.1658,0.49,28195000.0,0.02854446733267447,0.02543737482259626,,,,0.03739737110872362,0.04196533822321184,,,0.0,9.513957307060755,,273278000.0,427671000.0,1013669000.0,36975000.0,427671000.0,6.970000000000001,6.970000000000001,0.0,1.2273043,133.43,78.91,2.0906,14987.077,14.4119,6.7528,2.7884
2011-06-30,795127000.0,691737000.0,133053000.0,,648947000.0,,325170000.0,,168390000.0,17397000.0,11839000.0,5273000.0,0.3,39304000.0,-78379000.0,13910000.0,-92289000.0,0.0,,23.8041,3.1948,0.3,17397000.0,0.01824340046259556,0.014889445333890057,,,,0.02187952364842346,0.02680804441657023,,,0.0,5.198958309846452,,258256000.0,403031000.0,1043409000.0,-52755000.0,403031000.0,6.580000000000001,6.580000000000001,0.0,1.2273043,133.43,78.91,2.0906,14987.077,14.4119,6.7528,2.7884
2011-09-30,1045679000.0,749366000.0,260764000.0,1045679000.0,715300000.0,45000000.0,90425000.0,,371243000.0,108058000.0,74323000.0,33539000.0,1.89,39276000.0,-222258000.0,21483000.0,-243741000.0,45000000.0,,21.9389,2.9813,1.89,108058000.0,0.10390465538934712,0.07107630544363996,,,,0.10333763994495443,0.1421254767854794,,,0.06291066685306865,2.873732570446841,,263575000.0,402738000.0,1145049000.0,-220074000.0,402738000.0,6.71,6.71,0.11173517274257706,1.2273043,133.43,78.91,2.0906,14987.077,14.4119,6.7528,2.7884
2011-12-31,1146196000.0,817902000.0,232079000.0,1146196000.0,835936000.0,,263606000.0,,36884000.0,131188000.0,93712000.0,36092000.0,2.3900000000000006,-78712000.0,327145000.0,15085000.0,312060000.0,0.0,3.5242,14.8224,2.1422,2.3900000000000006,131188000.0,0.1121042759254297,0.08175914067053104,,,,0.11445511936876415,0.15693545917390805,,,0.0,3.524239590828985,,199052000.0,284838000.0,678995000.0,-25447000.0,284838000.0,5.07,5.07,0.0,1.2273043,133.43,78.91,2.0906,14987.077,14.4119,6.7528,2.7884
2012-03-31,980371000.0,647681000.0,95141000.0,980371000.0,827517000.0,,228571000.0,,113288000.0,11933000.0,7887000.0,4299000.0,0.2,39094000.0,27070000.0,11188000.0,15882000.0,0.0,,13.0407,1.7259,0.2,11933000.0,0.009530922023354203,0.008044913609235687,,,,0.01217192267009122,0.01442024755986886,,,0.0,6.807590838860218,,187761000.0,268576000.0,689805000.0,-8088000.0,268576000.0,4.78,4.78,0.0,1.2273043,133.43,78.91,2.0906,14987.077,14.4119,6.7528,2.7884
2012-06-30,1025003000.0,683476000.0,249737000.0,1025003000.0,720124000.0,,114401000.0,,186867000.0,-16775000.0,-12252000.0,-4091000.0,-0.32,38244000.0,30568000.0,25951000.0,4617000.0,0.0,,9.6163,1.1692,-0.32,-16775000.0,-0.017013736523154344,-0.011953135746919766,,,,-0.01636580575861729,-0.023294599263460183,,,0.0,2.7367830958167993,,163670000.0,234404000.0,708282000.0,88818000.0,234404000.0,4.16,4.16,0.0,1.2273043,133.43,78.91,2.0906,14987.077,14.4119,6.7528,2.7884
2012-09-30,1256343000.0,890647000.0,516618000.0,1256343000.0,681779000.0,275000000.0,61636000.0,,346160000.0,42834000.0,30809000.0,11850000.0,0.81,37994000.0,-183385000.0,42002000.0,-225387000.0,275000000.0,,8.6366,0.9588,0.81,42834000.0,0.04518913020201561,0.024522761698039467,,,,0.03409419242993354,0.04476895918493194,,,0.40335651288760727,1.7239952924598059,,120156000.0,169180000.0,683199000.0,107172000.0,169180000.0,3.0800000000000005,3.0800000000000005,1.625487646293888,1.2273043,133.43,78.91,2.0906,14987.077,14.4119,6.7528,2.7884
