report_date,total_assets,total_liabilities,total_equity,cash,operating_income,net_income,interest_expense,income_tax,operating_cash_flow,capex,depreciation,fcf,total_debt,ebitda,roe,roa,roi,roic,debt_equity,net_income_ttm,operating_income_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,debt_to_ebitda,interest_coverage
2011-06-30,92859310000.0,81018428000.0,11815751000.0,,,557067000.0,687836000.0,322133000.0,1381490000.0,84887000.0,,1296603000.0,0.0,,0.04714613569632603,0.005999043068487155,,,0.0,,,,,,,
2011-09-30,91803191000.0,79696551000.0,12068006000.0,,,749900000.0,1011401000.0,426840000.0,1914565000.0,135888000.0,,1778677000.0,0.0,,0.06213951169729282,0.008168561373863355,,,0.0,,,,,,,
2011-12-31,80565199000.0,67969036000.0,12596163000.0,,,1172642000.0,1388199000.0,908279000.0,2212553000.0,194502000.0,,2018051000.0,0.0,,0.09309517509419336,0.014555192745195105,,,0.0,,,,,,,
2012-03-31,82891062000.0,70035279000.0,12855783000.0,,267458000.0,228987000.0,217857000.0,38471000.0,632664000.0,13289000.0,,619375000.0,0.0,267458000.0,0.017811983914165323,0.0027625053229502596,0.0032266205010137283,0.02080448931037495,0.0,2708596000.0,,5712706000.0,,3305293000.0,,
2012-06-30,82943616000.0,69912061000.0,13031555000.0,,484494000.0,412714000.0,436474000.0,71780000.0,712648000.0,72147000.0,,640501000.0,0.0,484494000.0,0.03167035706790172,0.00497583804400329,0.005841245214098213,0.03717852550981061,0.0,2564243000.0,,5056604000.0,,3053931000.0,,
2012-09-30,85110609000.0,71974287000.0,13136322000.0,,435404000.0,441354000.0,653143000.0,-5950000.0,1168796000.0,132362000.0,,1036434000.0,0.0,435404000.0,0.033597988843452525,0.005185652002560574,0.005115742973945821,0.033145046231357604,0.0,2255697000.0,,4314361000.0,,2695673000.0,,
2012-12-31,85790202000.0,72548200000.0,13242002000.0,,-732569000.0,-521820000.0,-433716000.0,-210749000.0,-903452000.0,-25829000.0,,-929281000.0,0.0,-732569000.0,-0.03940642812166922,-0.00608251277925654,-0.00853907535967802,-0.05532161979736901,0.0,561235000.0,454787000.0,1367029000.0,454787000.0,873758000.0,0.0,0.5204953774386043
2013-03-31,82733574000.0,69261675000.0,13471899000.0,,388168000.0,,204625000.0,102670000.0,93672000.0,27021000.0,,66651000.0,0.0,388168000.0,,,0.004691783289816538,0.028813161381331616,0.0,,575497000.0,814305000.0,575497000.0,860526000.0,0.0,0.6687735175927282
2013-06-30,79218184000.0,65758213000.0,13459971000.0,,,,401697000.0,137978000.0,867076000.0,86911000.0,,780165000.0,0.0,,,,,,0.0,,,953969000.0,,825749000.0,,
2013-09-30,77070780000.0,63549282000.0,13521498000.0,,,,595529000.0,156670000.0,1261371000.0,129657000.0,,1131714000.0,0.0,,,,,,0.0,,,1049249000.0,,768135000.0,,
