report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,operating_income,net_income,income_tax,eps_diluted,operating_cash_flow,depreciation,total_debt,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,ebitda_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda
2011-09-30,6322000000.0,2108800000.0,1009400000.0,2869000000.0,3453000000.0,1420900000.0,6200000.0,430600000.0,4036300000.0,619400000.0,667700000.0,92200000.0,4.01,177000000.0,96700000.0,1427100000.0,4.01,716100000.0,0.1933680857225601,0.10561531161024992,0.1654237792037262,0.15345737432797363,0.09797532426447327,0.12692362861416775,0.17741495924485295,0.41329278887923543,2.0891618783435706,,,,,,,
2011-12-31,6447600000.0,2291400000.0,1458600000.0,2911600000.0,3536000000.0,1096200000.0,6400000.0,676600000.0,5409400000.0,820400000.0,827600000.0,119900000.0,5.02,561300000.0,132300000.0,1102600000.0,5.02,952700000.0,0.2340497737556561,0.12835783857559402,0.15299293821865642,0.1516619218397604,0.12724114399156275,0.1768637088776786,0.17611934780197433,0.3118212669683258,1.5709584533113945,,,,,,,
2012-03-31,6641500000.0,2347000000.0,1447800000.0,2925800000.0,3715700000.0,1096400000.0,6700000.0,616500000.0,1403600000.0,211500000.0,160700000.0,36200000.0,1.0,51700000.0,34100000.0,1103100000.0,1.0,245600000.0,0.04324891675861883,0.02419634118798464,0.11449130806497577,0.1506839555428897,0.03184521568922683,0.04389059516892172,0.17497862638928469,0.2968754205129585,1.621080259704379,,,,,,,
2012-06-30,6793900000.0,2509000000.0,1511000000.0,2943600000.0,3850300000.0,1096500000.0,5100000.0,706200000.0,2873300000.0,456300000.0,349700000.0,77200000.0,2.17,256200000.0,68800000.0,1101600000.0,2.17,525100000.0,0.0908240916292237,0.051472644578224584,0.12170674833814778,0.1588069467163192,0.06716319050913319,0.09214644883781983,0.18275154004106775,0.2861075760330364,1.6604897418927862,13722600000.0,2005700000.0,2107600000.0,2439500000.0,12.2,12.2,0.4515679442508711
2012-09-30,7135700000.0,2740700000.0,1560000000.0,2998800000.0,4136900000.0,1096700000.0,4400000.0,965800000.0,4370800000.0,711200000.0,538100000.0,129100000.0,3.33,545200000.0,104200000.0,1101100000.0,3.33,815400000.0,0.1300732432497764,0.07540956037950027,0.12311247368902718,0.1627162075592569,0.09966786720293734,0.1357770141275296,0.18655623684451358,0.2661654862336532,1.7568589743589744,14057100000.0,1876100000.0,2199400000.0,2538800000.0,11.52,11.52,0.43370883882149047
