report_date,total_assets,total_liabilities,total_equity,cash,revenue,operating_income,net_income,interest_expense,income_tax,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,ebitda,roe,roa,net_margin,operating_margin,fcf_margin,ebitda_margin,debt_equity,revenue_ttm,net_income_ttm,fcf_ttm,interest_expense_ttm,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-03-31,356320000000.0,204396000000.0,147209000000.0,25670000000.0,32037000000.0,,3633000000.0,593000000.0,1336000000.0,3313000000.0,1170000000.0,,2143000000.0,0.0,,15.1733,1.6471,,0.0246791976034074,0.01019589133363269,0.11340013109841746,,0.06689140681087492,,0.0,,,,,0.48486897,812855.0,685150.0,0.0002,1029189.7,15.3684,1.5134,2.7708
2010-06-30,349187000000.0,201673000000.0,142763000000.0,27953000000.0,63746000000.0,,5601000000.0,1230000000.0,2184000000.0,6860000000.0,2716000000.0,,4144000000.0,0.0,,16.5916,1.5932,,0.039232854451083266,0.016040116040975178,0.08786433658582499,,0.06500800050199228,,0.0,,,,,0.48486897,812855.0,685150.0,0.0002,1029189.7,15.3684,1.5134,2.7708
2010-09-30,363979000000.0,209382000000.0,149671000000.0,34461000000.0,100020000000.0,,8590000000.0,1898000000.0,3599000000.0,13831000000.0,4291000000.0,,9540000000.0,0.0,,17.5848,1.5725,,0.05739254765452225,0.023600262652515667,0.08588282343531294,,0.09538092381523695,,0.0,,,,,0.48486897,812855.0,685150.0,0.0002,1029189.7,15.3684,1.5134,2.7708
2010-12-31,372229000000.0,209295000000.0,157318000000.0,38227000000.0,-59618000000.0,,-4857000000.0,-1163000000.0,-1512000000.0,-6109000000.0,-2197000000.0,,-8306000000.0,0.0,0.8787,15.2932,1.4354,,-0.030873771596384394,-0.013048419118338442,0.08146868395451039,,0.13932033949478345,,0.0,136185000000.0,12967000000.0,7521000000.0,2558000000.0,0.48486897,812855.0,685150.0,0.0002,1029189.7,15.3684,1.5134,2.7708
2011-03-31,376496000000.0,212231000000.0,160055000000.0,41178000000.0,33720000000.0,,1511000000.0,658000000.0,629000000.0,3502000000.0,1482000000.0,,2020000000.0,0.0,,19.0568,1.4726,,0.009440504826465902,0.004013322850707577,0.04481020166073547,,0.059905100830367736,,0.0,137868000000.0,10845000000.0,7398000000.0,2623000000.0,0.48486897,812855.0,685150.0,0.0002,1029189.7,15.3684,1.5134,2.7708
2011-06-30,382696000000.0,215912000000.0,163007000000.0,47891000000.0,71994000000.0,,4928000000.0,1320000000.0,2354000000.0,9983000000.0,3444000000.0,,6539000000.0,0.0,,15.5704,1.303,,0.030231830534885006,0.012877061688651045,0.0684501486234964,,0.09082701336222462,,0.0,146116000000.0,10172000000.0,9793000000.0,2713000000.0,0.48486897,812855.0,685150.0,0.0002,1029189.7,15.3684,1.5134,2.7708
2011-09-30,385494000000.0,221613000000.0,159957000000.0,34776000000.0,82311000000.0,,,216000000.0,,15982000000.0,5673000000.0,,10309000000.0,0.0,,15.2107,1.2204,,,,,,0.12524449952011274,,0.0,128407000000.0,,10562000000.0,1031000000.0,0.48486897,812855.0,685150.0,0.0002,1029189.7,15.3684,1.5134,2.7708
2011-12-31,392647000000.0,223686000000.0,164850000000.0,37299000000.0,,,,,,-8991000000.0,-2408000000.0,,-11399000000.0,0.0,0.8069,18.7399,1.3289,,,,,,,,0.0,,,7469000000.0,,0.48486897,812855.0,685150.0,0.0002,1029189.7,15.3684,1.5134,2.7708
2012-03-31,,,,,28289000000.0,,,103000000.0,,4650000000.0,2160000000.0,,2490000000.0,0.0,,16.9017,1.3612,,,,,,0.08802007847573262,,,,,7939000000.0,,0.48486897,812855.0,685150.0,0.0002,1029189.7,15.3684,1.5134,2.7708
2012-06-30,,,,,59053000000.0,,,209000000.0,,9509000000.0,4579000000.0,,4930000000.0,0.0,,17.7419,1.3895,,,,,,0.08348432763788462,,,,,6330000000.0,,0.48486897,812855.0,685150.0,0.0002,1029189.7,15.3684,1.5134,2.7708
