report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,shares_outstanding,revenue,gross_profit,operating_income,net_income,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,gross_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,gross_profit_ttm,fcf_ttm,ebitda_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-07-31,2257300000.0,1261700000.0,491900000.0,875800000.0,1381500000.0,250000000.0,,429300000.0,127400000.0,,933700000.0,230400000.0,141600000.0,85500000.0,1.1,,153800000.0,90100000.0,78700000.0,63700000.0,250000000.0,,16.3213,1.0162,1.1,309100000.0,0.10249728555917481,0.0627298099499402,,,,0.10206884330837726,0.14121973643885993,,,0.18096272167933405,2.564952226062208,,,,,,,,,,0.76397836,142.4,61.87,3.52476,20830.746,16.2423,6.2078,1.0731
2010-10-30,2362100000.0,1366400000.0,566500000.0,949900000.0,1412200000.0,250000000.0,,309500000.0,125600000.0,,1439700000.0,371300000.0,234800000.0,137000000.0,1.82,,174800000.0,146700000.0,117600000.0,28100000.0,250000000.0,,17.6773,1.1437,1.82,488900000.0,0.1662654015012038,0.09940307353626011,,,,0.15719063545150502,0.2233786547948502,,,0.17702874946891375,2.4120035304501326,,,,,,,,,,0.76397836,142.4,61.87,3.52476,20830.746,16.2423,6.2078,1.0731
2011-01-29,2380500000.0,1333300000.0,532800000.0,921500000.0,1459000000.0,250000000.0,,311200000.0,,,2087600000.0,630000000.0,397300000.0,232600000.0,3.1,,518700000.0,178700000.0,159700000.0,340000000.0,250000000.0,2.5024,15.9418,1.0767,3.1,789700000.0,0.2723098012337217,0.16689771056500735,,,,0.2646502835538752,0.36863662960795784,,,0.17135023989033585,2.50243993993994,,,,,,,,,,0.76397836,142.4,61.87,3.52476,20830.746,16.2423,6.2078,1.0731
2011-04-30,2381300000.0,1325500000.0,504700000.0,894600000.0,1486700000.0,250000000.0,,371300000.0,122.3,,540800000.0,161700000.0,,60500000.0,0.82,,156300000.0,58300000.0,39200000.0,98000000.0,250000000.0,,16.3252,1.168,0.82,200900000.0,,,,,,0.0679040860034435,0.09310761789600967,,,0.16815766462635368,2.626312660986725,,,1393400000.0,5001800000.0,529800000.0,1788600000.0,6.840000000000001,6.840000000000001,0.1397741250139774,0.76397836,142.4,61.87,3.52476,20830.746,16.2423,6.2078,1.0731
2011-07-30,2478900000.0,1408300000.0,495800000.0,891200000.0,1587700000.0,250000000.0,,421600000.0,122.3,,1083200000.0,315200000.0,,117900000.0,1.59,,259200000.0,121300000.0,78800000.0,137900000.0,250000000.0,,18.041,1.3056,1.59,394000000.0,,,,,,0.12715317277824842,0.1715187462589106,,,0.15746047742016753,2.8404598628479225,,,1478200000.0,5151300000.0,604000000.0,1873500000.0,7.33,7.33,0.13344008540165467,0.76397836,142.4,61.87,3.52476,20830.746,16.2423,6.2078,1.0731
2011-10-29,2431200000.0,1332500000.0,587100000.0,984300000.0,1446900000.0,250000000.0,,280200000.0,119.0,,1643800000.0,480100000.0,,177600000.0,2.45,,318700000.0,196800000.0,119900000.0,121900000.0,250000000.0,,21.0758,1.5219,2.45,600000000.0,,,,,,0.19747449819019414,0.2829276916730509,,,0.1727831916511162,2.2696303866462273,,,1587000000.0,5355400000.0,697800000.0,1984600000.0,7.960000000000001,7.960000000000001,0.12596996875944774,0.76397836,142.4,61.87,3.52476,20830.746,16.2423,6.2078,1.0731
2012-04-28,2451100000.0,1304400000.0,816000000.0,970500000.0,1480600000.0,0.0,,382300000.0,116000000.0,,602700000.0,188000000.0,116100000.0,72500000.0,1.0,,134500000.0,65400000.0,41800000.0,69100000.0,0.0,,23.4203,1.7317,1.0,229800000.0,0.07841415642307173,0.04736648851536045,,,,0.07670025702745706,0.12697555045251924,,,0.0,1.598529411764706,,,1145000000.0,3870500000.0,426900000.0,1424700000.0,5.86,5.86,0.0,0.76397836,142.4,61.87,3.52476,20830.746,16.2423,6.2078,1.0731
2012-07-28,2499700000.0,1321600000.0,580800000.0,976700000.0,1523000000.0,250000000.0,,379800000.0,230400000.0,,1202300000.0,372400000.0,235300000.0,136600000.0,1.01,,279800000.0,140100000.0,84800000.0,139700000.0,250000000.0,,22.611,1.7118,1.01,457200000.0,0.1544977019041366,0.09413129575549066,,,,0.14897787734528142,0.21003948110547097,,,0.16414970453053185,2.275482093663912,,,1355700000.0,4532000000.0,468600000.0,1681000000.0,6.05,6.05,0.148720999405116,0.76397836,142.4,61.87,3.52476,20830.746,16.2423,6.2078,1.0731
2012-10-27,2639300000.0,1408500000.0,701000000.0,1100400000.0,1538900000.0,250000000.0,,222400000.0,227200000.0,,1801900000.0,556600000.0,390700000.0,225300000.0,1.69,,313400000.0,236700000.0,128400000.0,76700000.0,250000000.0,,15.8712,1.2944,1.69,685000000.0,0.2538826434466177,0.14803167506535825,,,,0.21088925093774866,0.3111409245905305,,,0.16245370069530185,2.0092724679029956,,,1597100000.0,5250700000.0,407400000.0,1972000000.0,6.15,6.15,0.12677484787018256,0.76397836,142.4,61.87,3.52476,20830.746,16.2423,6.2078,1.0731
2013-02-02,2752000000.0,1473500000.0,676200000.0,1084700000.0,1667300000.0,257000000.0,,399900000.0,,,-954200000.0,-196900000.0,-122800000.0,-74800000.0,-1.0199999999999996,,-50000000.0,-130000000.0,-79700000.0,-180000000.0,257000000.0,2.1791,14.521,1.2162,-1.0199999999999996,-276600000.0,-0.07365201223535056,-0.044622093023255816,,,,-0.07154796511627907,-0.10232292262121291,,,0.15414142625802196,2.179089026915114,,619300000.0,920100000.0,2652700000.0,105500000.0,1095400000.0,2.6800000000000006,2.6800000000000006,0.234617491327369,0.76397836,142.4,61.87,3.52476,20830.746,16.2423,6.2078,1.0731
