report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,gross_profit,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,depreciation,total_debt,eps,ebitda,roe,roa,net_margin,gross_margin,operating_margin,roi,roic,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,gross_profit_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage
2011-07-02,2759000000.0,1129900000.0,398000000.0,1617100000.0,1141700000.0,825400000.0,,146400000.0,1848700000.0,653800000.0,106100000.0,30800000.0,58600000.0,18700000.0,0.36,83300000.0,65600000.0,38500000.0,825400000.0,0.36,144600000.0,0.0269773145309626,0.011163465023559261,0.016660355925785686,0.3536539189700871,0.05739168064045005,0.038455962305183035,0.053937268059580094,0.07821712554768215,0.7229569939563808,2.8389447236180905,,,,,,,,,,
2011-10-01,2796200000.0,1187800000.0,445700000.0,1676500000.0,1119500000.0,833200000.0,55000000.0,61200000.0,2891700000.0,1025600000.0,166400000.0,71800000.0,59500000.0,37800000.0,0.85,82300000.0,6400000.0,64300000.0,888200000.0,0.85,230700000.0,0.06413577489950871,0.02567770545740648,0.024829684960403914,0.3546702631669952,0.05754400525642356,0.059509334096273514,0.08288090850226627,0.07978006017221703,0.7933899062081287,2.6650213147857302,,,,,,,,,,
2011-12-31,2715300000.0,1155500000.0,580000000.0,1625900000.0,1089200000.0,831400000.0,,238800000.0,3785300000.0,1345200000.0,140500000.0,50700000.0,74200000.0,19600000.0,0.61,81300000.0,271700000.0,88100000.0,831400000.0,0.61,228600000.0,0.046547925082629456,0.018671969948072038,0.013393918579769107,0.35537473912239453,0.03711726943703273,0.051743822045446176,0.07315422263875872,0.060391514543100946,0.7633125229526257,1.9922413793103448,,,,,,,,,,
2012-03-31,2735200000.0,1167900000.0,611900000.0,1641400000.0,1093600000.0,832400000.0,,147100000.0,936000000.0,343500000.0,40200000.0,-1200000.0,42900000.0,-600000.0,-0.01,76100000.0,-59800000.0,22500000.0,832400000.0,-0.01,62700000.0,-0.0010972933430870519,-0.0004387247733255338,-0.001282051282051282,0.36698717948717946,0.04294871794871795,0.014697279906405382,0.020872274143302182,0.06698717948717949,0.7611558156547183,1.9086452034646184,9461700000.0,152100000.0,453200000.0,3368100000.0,666600000.0,235200000.0,1.81,1.81,1.2487248724872486,1.9268707482993197
2012-06-30,2708900000.0,1160000000.0,591200000.0,1635000000.0,1073600000.0,834200000.0,,277100000.0,1790700000.0,669600000.0,61900000.0,6900000.0,51900000.0,4300000.0,0.09,77500000.0,124000000.0,44500000.0,834200000.0,0.09,106400000.0,0.0064269746646795824,0.0025471593635793127,0.0038532417490366897,0.373931981906517,0.03456748757469146,0.022850603566023107,0.03244574903029668,0.05941810465181214,0.7770119225037257,1.9621109607577807,9403700000.0,128200000.0,409000000.0,3383900000.0,628400000.0,228500000.0,1.54,1.54,1.3274984086569064,1.7899343544857769
2012-09-29,2899500000.0,1321100000.0,654000000.0,1801300000.0,1096600000.0,936300000.0,0.0,234100000.0,2826200000.0,1034200000.0,124600000.0,24300000.0,89700000.0,11600000.0,0.31,76100000.0,13100000.0,67300000.0,936300000.0,0.31,191900000.0,0.022159401787342697,0.008380755302638387,0.008598117613756989,0.3659330549854929,0.04408746727053995,0.042972926366614934,0.06129175070096906,0.06790036090864057,0.8538209009666241,2.020030581039755,9338200000.0,80700000.0,367200000.0,3392500000.0,589600000.0,258700000.0,1.0,1.0,1.5880257801899593,1.419404715887128
2012-12-31,2595500000.0,1096700000.0,452200000.0,1589200000.0,1004800000.0,934400000.0,,149600000.0,-1754800000.0,-676600000.0,-152000000.0,-86100000.0,-38800000.0,-28200000.0,-1.1099999999999999,-154800000.0,35400000.0,-44200000.0,934400000.0,-1.1099999999999999,-196200000.0,-0.08568869426751592,-0.033172799075322675,0.04906542056074766,0.3855710052427627,0.0866195577843629,-0.058562897322288573,-0.07838283828382839,0.11180761340323683,0.9299363057324841,2.4252543122512162,3798100000.0,-56100000.0,74700000.0,1370700000.0,164800000.0,145700000.0,-0.7199999999999999,-0.7199999999999999,5.669902912621359,0.5126973232669869
2013-04-06,2544100000.0,1076700000.0,423300000.0,1554800000.0,987600000.0,932000000.0,64500000.0,44700000.0,1008700000.0,348400000.0,16900000.0,500000.0,16200000.0,500000.0,0.01,75900000.0,-136700000.0,21700000.0,996500000.0,0.01,38600000.0,0.0005062778452814905,0.00019653315514327267,0.000495687518588282,0.34539506295231487,0.01675423812828393,0.006642820643842616,0.008517715840935436,0.03826707643501537,1.0090117456460106,2.5435861091424523,3870800000.0,-54400000.0,51400000.0,1375600000.0,140700000.0,119000000.0,-0.6999999999999998,-0.6999999999999998,7.082444918265813,0.4319327731092437
2013-11-30,168.0,168.0,17268.0,17268.0,-17100.0,,,,,,,-23703.0,,,-0.01,,-22035.0,,0.0,-0.01,,1.386140350877193,-141.08928571428572,,,,,,,-0.0,0.009728978457261988,,-61323703.0,,,,,-0.7999999999999998,-0.7999999999999998,,
2013-12-31,2511900000.0,1101700000.0,666600000.0,1528400000.0,982900000.0,673400000.0,,116400000.0,3764900000.0,1329400000.0,46400000.0,-19800000.0,60500000.0,6400000.0,-0.26,73000000.0,92400000.0,87600000.0,673400000.0,-0.26,134000000.0,-0.020144470444602706,-0.007882479398065209,-0.005259103827458897,0.353103668092114,0.012324364524954182,0.018472072932839683,0.02801424862645656,0.035591914791893546,0.6851154746159325,1.6527152715271527,,-105423703.0,,,,,-1.3699999999999999,-1.3699999999999999,,
