report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,cash,revenue,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,total_debt,eps,roe,roa,net_margin,debt_equity,current_ratio,revenue_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm
2010-06-26,16240000000.0,6613100000.0,6185300000.0,11314700000.0,4925300000.0,4004800000.0,1183700000.0,32718400000.0,,79500000.0,437100000.0,1.44,470100000.0,990800000.0,4004800000.0,1.44,,,,0.8131078309950663,1.0691639855787107,,,,
2010-09-25,16570200000.0,6192600000.0,5908000000.0,12116200000.0,4454000000.0,5004800000.0,892400000.0,49038200000.0,,123000000.0,678000000.0,2.28,459300000.0,1365300000.0,5004800000.0,2.28,,,,1.1236641221374046,1.0481719702098848,,,,
2011-09-24,15863600000.0,5562000000.0,8138700000.0,12313200000.0,3550400000.0,3002200000.0,161500000.0,51075100000.0,1031300000.0,156400000.0,670700000.0,2.55,404700000.0,1086100000.0,3002200000.0,2.55,0.29047431275349256,0.06501046420736781,0.020191835160381477,0.8455948625506985,0.6834015260422426,,,,
2011-12-31,16962800000.0,6680500000.0,8749300000.0,12953400000.0,4009400000.0,3001600000.0,229100000.0,70063300000.0,1455700000.0,208500000.0,920100000.0,3.62,402300000.0,1282400000.0,3001600000.0,3.62,0.3630717813139123,0.0858171999905676,0.020776926008338175,0.7486406943682347,0.7635467980295566,202895000000.0,567400000.0,9.89,9.89
