report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,depreciation,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-03-31,154810000000.0,23593000000.0,26605000000.0,91393000000.0,62837000000.0,,2763000000.0,855000000.0,44821000000.0,,2098000000.0,301000000.0,1878000000.0,1.4,1503565000.0,3040000000.0,2318000000.0,2763000000.0,,13.3328,0.4647,1.4,,0.03338797205468116,0.013552096117821846,0.046808415697998706,,,,,0.043970908859429954,0.8867881977071979,,,,,,0.22678429,135.87,79.88,12.06314,159539.81,19.9724,1.7938,2.7066
2010-06-30,151456000000.0,26666000000.0,25668000000.0,85511000000.0,65371000000.0,,3082000000.0,4120000000.0,90507000000.0,,6262000000.0,650000000.0,3889000000.0,4.17,1502529000.0,6515000000.0,4598000000.0,3082000000.0,,8.0757,0.4105,4.17,,0.0957917119211883,0.041345341221212764,0.06918801860629564,,,,,0.04714628810940631,1.0388810970858657,,,,,,0.22678429,135.87,79.88,12.06314,159539.81,19.9724,1.7938,2.7066
2010-09-30,155333000000.0,35317000000.0,25421000000.0,85416000000.0,69361000000.0,,376000000.0,7996000000.0,137715000000.0,,9317000000.0,914000000.0,6094000000.0,6.21,1499367000.0,10854000000.0,6844000000.0,376000000.0,,7.9586,0.4546,6.21,,0.13432620636957368,0.05998081540947513,0.06765421341175616,,,,,0.005420913769986015,1.3892844498642853,,,,,,0.22678429,135.87,79.88,12.06314,159539.81,19.9724,1.7938,2.7066
2010-12-31,156314000000.0,34660000000.0,27419000000.0,87205000000.0,68562000000.0,,936000000.0,9454000000.0,-83602000000.0,,-6319000000.0,-678000000.0,-3528000000.0,-4.160000000000001,-3014394000.0,-3364000000.0,-4700000000.0,936000000.0,1.2641,8.8091,1.6384,-4.160000000000001,,-0.09216475598728159,-0.0404250419028366,0.07558431616468506,,,,,0.013651877133105802,1.2640869470075495,189441000000.0,11358000000.0,1187000000.0,7.619999999999999,7.619999999999999,0.22678429,135.87,79.88,12.06314,159539.81,19.9724,1.7938,2.7066
2011-03-31,159643000000.0,35613000000.0,29218000000.0,89122000000.0,69972000000.0,,605000000.0,6172000000.0,56530000000.0,,3028000000.0,262000000.0,2754000000.0,2.09,1445477000.0,1947000000.0,2070000000.0,605000000.0,,9.1864,3.4984,2.09,,0.04327445263819814,0.01896732083461223,0.05356447903767911,,,,,0.008646315669124792,1.2188719282633993,201150000000.0,12288000000.0,1148000000.0,8.309999999999999,8.309999999999999,0.22678429,135.87,79.88,12.06314,159539.81,19.9724,1.7938,2.7066
2011-06-30,160068000000.0,34678000000.0,29344000000.0,89490000000.0,70059000000.0,,606000000.0,5505000000.0,122157000000.0,,6430000000.0,509000000.0,5527000000.0,4.5,1428760000.0,8221000000.0,4145000000.0,606000000.0,,8.957,1274.5432,4.5,,0.09177978560927219,0.04017042756828348,0.052637180022430154,,,,,0.008649852267374641,1.1817748091603053,232800000000.0,12456000000.0,1007000000.0,8.639999999999999,8.639999999999999,0.22678429,135.87,79.88,12.06314,159539.81,19.9724,1.7938,2.7066
2011-09-30,154689000000.0,32391000000.0,28936000000.0,88363000000.0,65806000000.0,22534000000.0,616000000.0,3437000000.0,184941000000.0,,9046000000.0,744000000.0,8076000000.0,6.42,1408846000.0,13834000000.0,6015000000.0,23150000000.0,,7.583,,6.42,,0.13746466887517855,0.058478624853738795,0.04891289654538474,,,,,0.3517916299425584,1.1194014376555157,280026000000.0,12185000000.0,837000000.0,8.849999999999998,8.849999999999998,0.22678429,135.87,79.88,12.06314,159539.81,19.9724,1.7938,2.7066
2011-12-31,153230000000.0,30218000000.0,28068000000.0,87496000000.0,65224000000.0,21610000000.0,1013000000.0,5780000000.0,-118815000000.0,,-6068000000.0,-543000000.0,-5858000000.0,-4.039999999999999,-2895983000.0,-4356000000.0,-4296000000.0,22623000000.0,1.0766,7.9188,1.5186,-4.039999999999999,,-0.09303323929841777,-0.0396006004046205,0.05107099271977444,,,,,0.346850852446952,1.076599686475702,244813000000.0,12436000000.0,972000000.0,8.969999999999999,8.969999999999999,0.22678429,135.87,79.88,12.06314,159539.81,19.9724,1.7938,2.7066
2012-03-31,162881000000.0,37066000000.0,36430000000.0,95838000000.0,66534000000.0,21358000000.0,7002000000.0,3707000000.0,56132000000.0,,2937000000.0,209000000.0,2520000000.0,2.27,1293104000.0,4182000000.0,1838000000.0,28360000000.0,,7.8742,1.5331,2.27,,0.04414284426007756,0.018031569059620212,0.05232309556046462,,,,,0.4262482339856314,1.0174581388965138,244415000000.0,12345000000.0,919000000.0,9.15,9.15,0.22678429,135.87,79.88,12.06314,159539.81,19.9724,1.7938,2.7066
2012-06-30,114008000000.0,16912000000.0,18360000000.0,67565000000.0,45971000000.0,18829000000.0,4179000000.0,1044000000.0,31636000000.0,,5204000000.0,387000000.0,4560000000.0,4.08,1275667000.0,6532000000.0,3249000000.0,23008000000.0,,6.0381,1.1228,4.08,,0.11320180113549846,0.04564591958459056,0.16449614363383488,,,,,0.5004894389941484,0.9211328976034858,153894000000.0,11119000000.0,797000000.0,8.73,8.73,0.22678429,135.87,79.88,12.06314,159539.81,19.9724,1.7938,2.7066
