report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,gross_profit,operating_income,net_income,income_tax,eps_diluted,shares_diluted,operating_cash_flow,depreciation,total_debt,bf_current_ratio,eps,ebitda,roe,roa,net_margin,gross_margin,operating_margin,roi,roic,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,gross_profit_ttm,ebitda_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pb_annual,bf_ps_ttm
2013-09-30,6729200000.0,2643800000.0,1589600000.0,5038300000.0,1567700000.0,2595200000.0,31500000.0,946800000.0,,,,93500000.0,46200000.0,0.0,393500000.0,101200000.0,64800000.0,2626700000.0,,0.0,,0.05964151304458761,0.013894668014028413,,,,,,,1.6755118964087516,1.663185707096125,,,,,,,,,0.9316018,5.65,1.954,8.68805,1804.0123,1.1449,1.74479
2013-12-31,6869000000.0,2749700000.0,1661900000.0,5063800000.0,1682600000.0,2580100000.0,29000000.0,1154000000.0,,,,176000000.0,79900000.0,0.0,393500000.0,447300000.0,126600000.0,2609100000.0,,0.0,,0.10460002377273267,0.02562236133352744,,,,,,,1.550635920599073,1.6545520187736928,,,,,,,,,0.9316018,5.65,1.954,8.68805,1804.0123,1.1449,1.74479
2014-03-31,6508000000.0,2697000000.0,1506400000.0,5004700000.0,1378800000.0,2735100000.0,10000000.0,1147200000.0,,2093200000.0,,-77300000.0,39400000.0,0.0,384100000.0,443100000.0,188200000.0,2745100000.0,,0.0,,-0.05606324340005802,-0.011877688998156116,,,,,,,1.9909341456338845,1.7903611258629846,,,,,,,,,0.9316018,5.65,1.954,8.68805,1804.0123,1.1449,1.74479
2014-06-30,6592500000.0,2784800000.0,1597300000.0,5631900000.0,843800000.0,3260100000.0,33400000.0,1238000000.0,,592700000.0,25700000.0,-289600000.0,-145400000.0,0.0,-789400000.0,-455100000.0,-128900000.0,3293500000.0,,0.0,-103200000.0,-0.3432092913012562,-0.043928706863860446,,,,0.0038983693591202124,0.00621178062987939,,3.903176108082484,1.7434420584736743,,-97400000.0,,,,0.0,0.0,,0.9316018,5.65,1.954,8.68805,1804.0123,1.1449,1.74479
2014-09-30,6426700000.0,2699900000.0,2336000000.0,5641000000.0,684600000.0,2554900000.0,683000000.0,1002700000.0,,700100000.0,,10600000.0,-5000000.0,0.0,364300000.0,26200000.0,58800000.0,3237900000.0,,0.0,,0.015483494011101374,0.0016493690385423311,,,,,,,4.7296231375985975,1.155779109589041,,-180300000.0,,,,0.0,0.0,,0.9316018,5.65,1.954,8.68805,1804.0123,1.1449,1.74479
2014-12-31,6389300000.0,2720900000.0,2225500000.0,5640200000.0,641300000.0,2713500000.0,691600000.0,1203200000.0,,1450800000.0,,136000000.0,24400000.0,0.0,363500000.0,355000000.0,116700000.0,3405100000.0,,0.0,,0.21206923436769062,0.02128558684049896,,,,,,,5.309683455481054,1.222601662547742,,-220300000.0,,4836800000.0,,0.0,0.0,,0.9316018,5.65,1.954,8.68805,1804.0123,1.1449,1.74479
2015-03-31,6108100000.0,2497000000.0,1285200000.0,5494000000.0,503000000.0,3550900000.0,35500000.0,1144100000.0,,2032800000.0,,211500000.0,39800000.0,0.0,360700000.0,388200000.0,172600000.0,3586400000.0,,0.0,,0.42047713717693835,0.03462615215860906,,,,,,,7.130019880715706,1.942888266417678,,68500000.0,,4776400000.0,,0.0,0.0,,0.9316018,5.65,1.954,8.68805,1804.0123,1.1449,1.74479
2015-06-30,6018900000.0,1856400000.0,1526200000.0,4947900000.0,969800000.0,2605900000.0,28800000.0,341300000.0,,-1545500000.0,395100000.0,-125600000.0,-85300000.0,0.0,-725600000.0,-243100000.0,-117200000.0,2634700000.0,,0.0,277900000.0,-0.12951123943081047,-0.020867600392098225,,,,0.0656432238448886,0.10961298377028714,,2.7167457207671686,1.2163543441226576,,232500000.0,,2638200000.0,,0.0,0.0,,0.9316018,5.65,1.954,8.68805,1804.0123,1.1449,1.74479
2015-09-30,6157000000.0,2038000000.0,1687200000.0,5179300000.0,874500000.0,2750600000.0,41900000.0,416000000.0,,668600000.0,,125700000.0,-67100000.0,0.0,369900000.0,116700000.0,57500000.0,2792500000.0,,0.0,,0.14373927958833618,0.02041578690920903,,,,,,,3.1932532875929103,1.20791844476055,,347600000.0,,2606700000.0,,0.0,0.0,,0.9316018,5.65,1.954,8.68805,1804.0123,1.1449,1.74479
2015-12-31,6511700000.0,1940600000.0,1712900000.0,6010200000.0,405800000.0,3570900000.0,85600000.0,482700000.0,,1411400000.0,,214700000.0,-54100000.0,0.0,362000000.0,517100000.0,112900000.0,3656500000.0,,0.0,,0.5290783637259734,0.03297142067355683,,,,,,,9.010596352883194,1.1329324537334344,,426300000.0,,2567300000.0,,0.0,0.0,,0.9316018,5.65,1.954,8.68805,1804.0123,1.1449,1.74479
2016-03-31,7024900000.0,1899100000.0,1730200000.0,6490900000.0,443400000.0,3997000000.0,133500000.0,366600000.0,,1993100000.0,,187900000.0,-42500000.0,0.0,356900000.0,445300000.0,171000000.0,4130500000.0,,0.0,,0.42377086152458276,0.026747711711198736,,,,,,,9.31551646368967,1.0976187723962547,,402700000.0,,2527600000.0,,0.0,0.0,,0.9316018,5.65,1.954,8.68805,1804.0123,1.1449,1.74479
