report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,cash,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,depreciation,total_debt,eps,ebitda,roe,roa,roi,roic,debt_equity,current_ratio,net_income_ttm,operating_income_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage
2010-06-30,7008000000.0,,,7008000000.0,,2169000000.0,,305000000.0,340000000.0,,,2.55,133000000.0,888000000.0,307000000.0,2169000000.0,2.55,612000000.0,,0.048515981735159815,0.0435216894977169,0.14061779621945597,,,,,,,,,,
2010-09-30,7226000000.0,,,7226000000.0,,2169000000.0,,451000000.0,501000000.0,,,3.75,134.0,1307000000.0,463000000.0,2169000000.0,3.75,914000000.0,,0.06933296429559922,0.06241350678106836,0.2079299216228677,,,,,,,,,,
2011-09-30,8903000000.0,708000000.0,973000000.0,8903000000.0,3838000000.0,2985000000.0,31000000.0,556000000.0,471000000.0,124000000.0,273000000.0,3.49,135000000.0,1173000000.0,528000000.0,2985000000.0,3.49,1084000000.0,0.12272016675351746,0.05290351566887566,0.06245085926092329,0.08148908104939176,0.7777488275143304,0.7276464542651593,,,,,,,,
2011-12-31,8991000000.0,775000000.0,932000000.0,8991000000.0,3920000000.0,3006000000.0,76000000.0,736000000.0,539000000.0,175000000.0,301000000.0,3.99,135000000.0,1589000000.0,767000000.0,3006000000.0,3.99,1503000000.0,0.1375,0.0599488377266155,0.08185963741519298,0.10626624314178458,0.7668367346938776,0.8315450643776824,1851000000.0,2048000000.0,4113000000.0,,13.780000000000001,13.780000000000001,0.7308533916849015,
2012-03-31,9037000000.0,834000000.0,897000000.0,9037000000.0,4042000000.0,2920000000.0,27000000.0,197000000.0,116000000.0,51000000.0,71000000.0,0.86,135000000.0,212000000.0,226000000.0,2920000000.0,0.86,423000000.0,0.028698664027709056,0.012836118180812216,0.021799269669137988,0.028296466532605574,0.7224146462147452,0.9297658862876255,1627000000.0,1940000000.0,3924000000.0,,12.09,12.09,0.744138634046891,
2012-06-30,9844000000.0,1412000000.0,880000000.0,9844000000.0,4191000000.0,3595000000.0,656000000.0,308000000.0,251000000.0,100000000.0,150000000.0,1.85,135000000.0,575000000.0,465000000.0,3595000000.0,1.85,773000000.0,0.0598902409926032,0.025497765136123528,0.0312880942706217,0.03955818135114308,0.8577905034597948,1.6045454545454545,1377000000.0,1797000000.0,3783000000.0,450000000.0,10.19,10.19,0.9503039915411049,3.993333333333333
2012-09-30,9431000000.0,859000000.0,899000000.0,9431000000.0,4168000000.0,3190000000.0,125000000.0,414000000.0,218000000.0,153000000.0,139000000.0,1.61,135000000.0,804000000.0,702000000.0,3190000000.0,1.61,1116000000.0,0.05230326295585413,0.023115258191071998,0.0438977839041459,0.056265289480837186,0.7653550863723608,0.9555061179087876,1124000000.0,1655000000.0,3815000000.0,479000000.0,8.31,8.31,0.836173001310616,3.4551148225469728
2012-12-31,7912000000.0,866000000.0,959000000.0,7912000000.0,2780000000.0,3045000000.0,88000000.0,-1886000000.0,-1769000000.0,-99000000.0,-164000000.0,-13.120000000000001,-270000000.0,-444000000.0,-438000000.0,3045000000.0,-13.120000000000001,-2324000000.0,-0.6363309352517985,-0.2235844287158746,-0.23837209302325582,-0.3237768240343348,1.0953237410071943,0.9030239833159541,-1184000000.0,-967000000.0,-12000000.0,205000000.0,-8.8,-8.8,-253.75,-4.717073170731707
2013-03-31,7928000000.0,672000000.0,920000000.0,7928000000.0,2782000000.0,3045000000.0,44000000.0,145000000.0,-8000000.0,51000000.0,35000000.0,-0.06,135000000.0,359000000.0,222000000.0,3045000000.0,-0.06,367000000.0,-0.002875629043853343,-0.0010090817356205853,0.01828960645812311,0.024884159945083233,1.0945363048166787,0.7304347826086957,-1308000000.0,-1019000000.0,-68000000.0,205000000.0,-9.72,-9.72,-44.779411764705884,-4.970731707317073
2013-12-31,9321000000.0,901000000.0,1290000000.0,9321000000.0,2956000000.0,3694000000.0,95000000.0,,147000000.0,205000000.0,62000000.0,0.94,136000000.0,1445000000.0,930000000.0,3694000000.0,0.94,,0.04972936400541272,0.015770840038622464,,,1.249661705006766,0.6984496124031008,-1412000000.0,,,310000000.0,-10.629999999999999,-10.629999999999999,,
