report_date,total_assets,total_liabilities,total_equity,long_term_debt,short_term_debt,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,total_debt,bf_pe,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,ebitda_margin,debt_equity,revenue_ttm,net_income_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2012-09-30,2321284000000.0,2121591000000.0,199693000000.0,241140000000.0,,73378000000.0,,15592000000.0,8641000000.0,6375000000.0,3.81,3822600000.0,29590000000.0,241140000000.0,8.0556,3.81,,0.07807985257370063,0.006716972158512272,0.21248875684810162,,,,,1.2075535947679688,92572000000.0,18046000000.0,9707000000.0,4.61,4.61,1.0785642,337.25,202.16,11.8358,794545.06,13.9277,2.4202,2.89596
2012-12-31,2359141000000.0,2155072000000.0,204069000000.0,249024000000.0,,-51291000000.0,,-9575000000.0,-6511000000.0,-5097000000.0,-2.33,-7660800000.0,-55026000000.0,249024000000.0,7.8584,-2.33,,-0.04692040437303069,-0.0040586806808071245,0.18667992435320035,,,,,1.2202931361451275,97031000000.0,21284000000.0,11153000000.0,5.2,5.2,1.0785642,337.25,202.16,11.8358,794545.06,13.9277,2.4202,2.89596
2013-03-31,2389349000000.0,2182263000000.0,207086000000.0,268361000000.0,,25122000000.0,,6529000000.0,2494000000.0,2553000000.0,1.0,3847000000.0,19964000000.0,268361000000.0,7.9193,1.0,,0.03152796422742243,0.0027325434668606387,0.259891728365576,,,,,1.2958915619597655,95441000000.0,22430000000.0,10612000000.0,4.890000000000001,4.890000000000001,1.0785642,337.25,202.16,11.8358,794545.06,13.9277,2.4202,2.89596
2013-06-30,2439494000000.0,2230255000000.0,209239000000.0,266212000000.0,,50333000000.0,,13025000000.0,4935000000.0,5355000000.0,3.0,3830600000.0,88484000000.0,266212000000.0,8.1226,3.0,,0.062249389454164854,0.005339221986198777,0.2587765481890609,,,,,1.2722867151917185,97542000000.0,25571000000.0,9559000000.0,5.48,5.48,1.0785642,337.25,202.16,11.8358,794545.06,13.9277,2.4202,2.89596
2013-09-30,2463309000000.0,2256639000000.0,206670000000.0,263372000000.0,,73450000000.0,,12645000000.0,7322000000.0,5769000000.0,3.0,3820900000.0,115061000000.0,263372000000.0,10.5967,3.0,,0.061184497024241544,0.0051333389355537615,0.17215793056501022,,,,,1.2743600909662747,97614000000.0,22624000000.0,8240000000.0,4.67,4.67,1.0785642,337.25,202.16,11.8358,794545.06,13.9277,2.4202,2.89596
2013-12-31,2415689000000.0,2204511000000.0,211178000000.0,267889000000.0,,-52299000000.0,,-14276000000.0,-5074000000.0,-5686000000.0,-2.6500000000000004,-7683600000.0,-115556000000.0,267889000000.0,12.2809,-2.6500000000000004,,-0.06760173881749046,-0.005909701124606686,0.2729688904185548,,,,,1.2685459659623635,96606000000.0,17923000000.0,9677000000.0,4.35,4.35,1.0785642,337.25,202.16,11.8358,794545.06,13.9277,2.4202,2.89596
2014-03-31,2476986000000.0,2257331000000.0,219655000000.0,274512000000.0,,22993000000.0,,5274000000.0,2126000000.0,2233000000.0,1.0,3823600000.0,14667000000.0,274512000000.0,13.8199,1.0,,0.024010379913955975,0.0021292005687557377,0.22937415735223765,,,,,1.2497416402995607,94477000000.0,16668000000.0,9309000000.0,4.35,4.35,1.0785642,337.25,202.16,11.8358,794545.06,13.9277,2.4202,2.89596
2014-06-30,2520336000000.0,2293022000000.0,227314000000.0,269929000000.0,,47447000000.0,,11259000000.0,4189000000.0,4579000000.0,2.0,3818100000.0,10296000000.0,269929000000.0,13.4528,2.0,,0.049530605242088036,0.004467261507989411,0.23729635171875987,,,,,1.1874719550929551,91591000000.0,14902000000.0,8563000000.0,3.3499999999999996,3.3499999999999996,1.0785642,337.25,202.16,11.8358,794545.06,13.9277,2.4202,2.89596
2014-09-30,2527005000000.0,2295728000000.0,231277000000.0,,,71693000000.0,,16831000000.0,6008000000.0,6698000000.0,4.0,3808300000.0,7847000000.0,0.0,10.2103,4.0,,0.07277420582245532,0.006660453778286945,0.23476490033894523,,,,,0.0,89834000000.0,19088000000.0,7249000000.0,4.35,4.35,1.0785642,337.25,202.16,11.8358,794545.06,13.9277,2.4202,2.89596
2014-12-31,2573126000000.0,2341061000000.0,232065000000.0,,,-47928000000.0,,-11602000000.0,-4426000000.0,-5480000000.0,-2.0,-7652500000.0,3783000000.0,0.0,10.7582,-2.0,,-0.049994613578092345,-0.004508912505644885,0.24207144049407445,,,,,0.0,94205000000.0,21762000000.0,7897000000.0,5.0,5.0,1.0785642,337.25,202.16,11.8358,794545.06,13.9277,2.4202,2.89596
2015-03-31,2577148000000.0,2341284000000.0,235864000000.0,,,,,5914000000.0,1888000000.0,2310000000.0,1.0,3757500000.0,14879000000.0,0.0,10.041,1.0,,0.025073771325848794,0.002294784777591353,,,,,,0.0,,22402000000.0,7659000000.0,5.0,5.0,1.0785642,337.25,202.16,11.8358,794545.06,13.9277,2.4202,2.89596
2015-06-30,2449599000000.0,2208394000000.0,241205000000.0,,,,,12204000000.0,3718000000.0,4397000000.0,2.0,3750500000.0,32175000000.0,0.0,11.0388,2.0,,0.0505959660869385,0.004982039917553853,,,,,,0.0,,23347000000.0,7188000000.0,5.0,5.0,1.0785642,337.25,202.16,11.8358,794545.06,13.9277,2.4202,2.89596
2015-09-30,2417121000000.0,2171393000000.0,245728000000.0,,,,,19008000000.0,5533000000.0,4323000000.0,4.0,3742200000.0,57299000000.0,0.0,9.3754,4.0,,0.0773538221122542,0.007863900896976197,,,,,,0.0,,25524000000.0,6713000000.0,5.0,5.0,1.0785642,337.25,202.16,11.8358,794545.06,13.9277,2.4202,2.89596
2015-12-31,2351698000000.0,2104125000000.0,247573000000.0,,,,,-12684000000.0,-3676000000.0,-4770000000.0,-1.0,-7517400000.0,-30887000000.0,0.0,9.9446,-1.0,,-0.05123337359081968,-0.005393549681974471,,,,,,0.0,,24442000000.0,7463000000.0,6.0,6.0,1.0785642,337.25,202.16,11.8358,794545.06,13.9277,2.4202,2.89596
2016-03-31,2423808000000.0,2173651000000.0,250157000000.0,,,,,5520000000.0,2172000000.0,2058000000.0,1.0,3696900000.0,-21383000000.0,0.0,9.0048,1.0,,0.02206614246253353,0.002277408111533587,,,,,,0.0,,24048000000.0,7747000000.0,6.0,6.0,1.0785642,337.25,202.16,11.8358,794545.06,13.9277,2.4202,2.89596
2016-06-30,2466096000000.0,2213673000000.0,252423000000.0,,,,,11720000000.0,4638000000.0,5198000000.0,2.0,3681700000.0,-22907000000.0,0.0,9.3684,2.0,,0.046430000435776456,0.004752450837274786,,,,,,0.0,,23564000000.0,8667000000.0,6.0,6.0,1.0785642,337.25,202.16,11.8358,794545.06,13.9277,2.4202,2.89596
2016-09-30,2521029000000.0,2266698000000.0,254331000000.0,,,,,18006000000.0,7105000000.0,7851000000.0,4.0,3664300000.0,-18715000000.0,0.0,10.1654,4.0,,0.07079750404001085,0.007142321647232142,,,,,,0.0,,22562000000.0,10239000000.0,6.0,6.0,1.0785642,337.25,202.16,11.8358,794545.06,13.9277,2.4202,2.89596
2016-12-31,2490972000000.0,2236782000000.0,254190000000.0,,,,,-10513000000.0,-4097000000.0,-5304000000.0,-1.0,-7393100000.0,83201000000.0,0.0,12.6201,-1.0,,-0.04135882607498328,-0.004220440856019257,,,,,,0.0,,24733000000.0,9818000000.0,6.0,6.0,1.0785642,337.25,202.16,11.8358,794545.06,13.9277,2.4202,2.89596
2017-03-31,2546290000000.0,2290427000000.0,255863000000.0,,,,,6448000000.0,2978000000.0,1893000000.0,1.0,3630400000.0,-20036000000.0,0.0,12.1616,1.0,,0.02520098646541313,0.0025323117162616986,,,,,,0.0,,25661000000.0,10624000000.0,6.0,6.0,1.0785642,337.25,202.16,11.8358,794545.06,13.9277,2.4202,2.89596
2017-06-30,2563174000000.0,2304691000000.0,258483000000.0,,,,,13477000000.0,6420000000.0,4613000000.0,3.0,3614700000.0,-13024000000.0,0.0,12.1417,3.0,,0.05213882537729754,0.005257934108257965,,,,,,0.0,,27418000000.0,12406000000.0,7.0,7.0,1.0785642,337.25,202.16,11.8358,794545.06,13.9277,2.4202,2.89596
2017-09-30,2563074000000.0,2304692000000.0,258382000000.0,,,,,20209000000.0,10309000000.0,7437000000.0,5.0,3597000000.0,-16038000000.0,0.0,12.4743,5.0,,0.07821365265382263,0.007884672857670126,,,,,,0.0,,29621000000.0,15610000000.0,8.0,8.0,1.0785642,337.25,202.16,11.8358,794545.06,13.9277,2.4202,2.89596
2017-12-31,2533600000000.0,2277907000000.0,255693000000.0,,51802000000.0,,,-15693000000.0,-5432000000.0,-2484000000.0,-3.0,-7265300000.0,46597000000.0,51802000000.0,15.3249,-3.0,,-0.061374382560336026,-0.006193953268077044,,,,,,0.20259451764420613,,24441000000.0,14275000000.0,6.0,6.0,1.0785642,337.25,202.16,11.8358,794545.06,13.9277,2.4202,2.89596
2018-03-31,2609785000000.0,2353584000000.0,256201000000.0,,62667000000.0,,,8712000000.0,4383000000.0,1950000000.0,2.0,3479500000.0,-35109000000.0,62667000000.0,13.7504,2.0,,0.03400455111416427,0.0033382060208024798,,,,,,0.24460091880984072,,26705000000.0,15680000000.0,7.0,7.0,1.0785642,337.25,202.16,11.8358,794545.06,13.9277,2.4202,2.89596
2018-06-30,2590050000000.0,2332592000000.0,257458000000.0,,63918000000.0,,,17028000000.0,9767000000.0,4206000000.0,4.0,3457100000.0,576000000.0,63918000000.0,12.6165,4.0,,0.0661389430509054,0.006574390455782707,,,,,,0.24826573654732034,,30256000000.0,19027000000.0,8.0,8.0,1.0785642,337.25,202.16,11.8358,794545.06,13.9277,2.4202,2.89596
2018-09-30,2615183000000.0,2356227000000.0,258956000000.0,,64635000000.0,,,25408000000.0,15699000000.0,6515000000.0,7.0,3436200000.0,13765000000.0,64635000000.0,12.7339,7.0,,0.09811705463476421,0.009715572485749563,,,,,,0.24959838737082748,,35455000000.0,24417000000.0,10.0,10.0,1.0785642,337.25,202.16,11.8358,794545.06,13.9277,2.4202,2.89596
2018-12-31,2622532000000.0,2366017000000.0,256515000000.0,,69276000000.0,,,-18674000000.0,-7466000000.0,-4381000000.0,-4.0,-6958800000.0,34955000000.0,69276000000.0,9.9965,-4.0,,-0.07279886166500985,-0.007120599481722244,,,,,,0.27006607800713406,,32474000000.0,22383000000.0,9.0,9.0,1.0785642,337.25,202.16,11.8358,794545.06,13.9277,2.4202,2.89596
2019-03-31,2737188000000.0,2477351000000.0,259837000000.0,,71305000000.0,,11233000000.0,9179000000.0,7441000000.0,2054000000.0,2.65,3308200000.0,-80880000000.0,71305000000.0,10.3048,2.65,11233000000.0,0.03532599283396899,0.0033534415611934584,,,0.004103846721525887,0.0339220032493613,,0.27442204151063937,,32941000000.0,25441000000.0,9.65,9.65,1.0785642,337.25,202.16,11.8358,794545.06,13.9277,2.4202,2.89596
2019-06-30,2727379000000.0,2464164000000.0,263215000000.0,,59890000000.0,,,18831000000.0,14141000000.0,3744000000.0,5.46,3283900000.0,-94734000000.0,59890000000.0,10.6045,5.46,,0.0715422753262542,0.006904430957340362,,,,,,0.2275326254202838,,34744000000.0,29815000000.0,11.11,11.11,1.0785642,337.25,202.16,11.8358,794545.06,13.9277,2.4202,2.89596
2019-09-30,2764661000000.0,2500313000000.0,264348000000.0,,48893000000.0,,,27911000000.0,21034000000.0,6069000000.0,8.15,3258000000.0,-77039000000.0,48893000000.0,10.5536,8.15,,0.1055843055366411,0.010095631978025515,,,,,,0.18495695068621665,,37247000000.0,35150000000.0,12.26,12.26,1.0785642,337.25,202.16,11.8358,794545.06,13.9277,2.4202,2.89596
2019-12-31,2687379000000.0,2426049000000.0,261330000000.0,,40920000000.0,,,-19490000000.0,-15821000000.0,-3753000000.0,-5.539999999999997,-6619700000.0,258699000000.0,40920000000.0,12.0015,-5.539999999999997,,-0.07458003290858302,-0.00725241955079652,,,,,,0.15658362989323843,,36431000000.0,26795000000.0,10.72,10.72,1.0785642,337.25,202.16,11.8358,794545.06,13.9277,2.4202,2.89596
2020-03-31,3139431000000.0,2878169000000.0,261262000000.0,,51909000000.0,,,2865000000.0,4722000000.0,251000000.0,0.78,3100700000.0,-120772000000.0,51909000000.0,9.1086,0.78,,0.01096600347543845,0.0009125857520041052,,,,,,0.19868561061310103,,30117000000.0,24076000000.0,8.850000000000001,8.850000000000001,1.0785642,337.25,202.16,11.8358,794545.06,13.9277,2.4202,2.89596
2020-06-30,3213115000000.0,2948649000000.0,264466000000.0,,48014000000.0,,,7552000000.0,6981000000.0,1129000000.0,2.17,3090800000.0,-37032000000.0,48014000000.0,11.397,2.17,,0.02855565554740496,0.0023503671670637373,,,,,,0.18155074754410774,,18838000000.0,16916000000.0,5.560000000000003,5.560000000000003,1.0785642,337.25,202.16,11.8358,794545.06,13.9277,2.4202,2.89596
2020-09-30,3246076000000.0,2974963000000.0,271113000000.0,,41992000000.0,,,16995000000.0,8668000000.0,3347000000.0,5.09,3088100000.0,-51858000000.0,41992000000.0,11.5011,5.09,,0.06268603866284538,0.005235552094282451,,,,,,0.15488744545632263,,7922000000.0,4550000000.0,2.5000000000000027,2.5000000000000027,1.0785642,337.25,202.16,11.8358,794545.06,13.9277,2.4202,2.89596
2020-12-31,3386071000000.0,3106717000000.0,279354000000.0,,45208000000.0,,,1719000000.0,-10411000000.0,1549000000.0,0.8400000000000016,-6192200000.0,129752000000.0,45208000000.0,13.2963,0.8400000000000016,,0.006153482677892567,0.0005076680317689736,,,,,,0.16183050895995763,,29131000000.0,9960000000.0,8.88,8.88,1.0785642,337.25,202.16,11.8358,794545.06,13.9277,2.4202,2.89596
2021-03-31,3689336000000.0,3408622000000.0,280714000000.0,,54978000000.0,,,14300000000.0,1382000000.0,3397000000.0,4.5,3078900000.0,-43872000000.0,54978000000.0,11.3598,4.5,,0.05094152767585514,0.003876036229825638,,,,,,0.19585058101840308,,40566000000.0,6620000000.0,12.600000000000001,12.600000000000001,1.0785642,337.25,202.16,11.8358,794545.06,13.9277,2.4202,2.89596
2021-06-30,3684256000000.0,3397870000000.0,286386000000.0,,51938000000.0,,,26248000000.0,2735000000.0,6546000000.0,8.28,3060300000.0,-30342000000.0,51938000000.0,9.7179,8.28,,0.09165252491392736,0.007124369207785778,,,,,,0.1813566305615498,,59262000000.0,2374000000.0,18.71,18.71,1.0785642,337.25,202.16,11.8358,794545.06,13.9277,2.4202,2.89596
2021-09-30,3757576000000.0,3467535000000.0,290041000000.0,,50393000000.0,,,37935000000.0,4135000000.0,8970000000.0,12.02,3041700000.0,-7011000000.0,50393000000.0,9.6612,12.02,,0.13079185356553039,0.010095604187380374,,,,,,0.1737444016535593,,80202000000.0,-2159000000.0,25.64,25.64,1.0785642,337.25,202.16,11.8358,794545.06,13.9277,2.4202,2.89596
2021-12-31,3743567000000.0,3449440000000.0,294127000000.0,,53594000000.0,,,-30149000000.0,-2699000000.0,-7685000000.0,-9.439999999999998,-6154300000.0,159309000000.0,53594000000.0,9.6819,-9.439999999999998,,-0.10250334039377548,-0.008053548928067802,,,,,,0.18221380560098188,,48334000000.0,5553000000.0,15.36,15.36,1.0785642,337.25,202.16,11.8358,794545.06,13.9277,2.4202,2.89596
2022-03-31,3954687000000.0,3668788000000.0,285899000000.0,,57586000000.0,,10063000000.0,8282000000.0,1624000000.0,1781000000.0,2.63,2981000000.0,-41917000000.0,57586000000.0,9.4616,2.63,10063000000.0,0.02896827201214415,0.0020942238918023096,,,0.0025445755884093988,0.0292967669621672,,0.201420781464783,,42316000000.0,5795000000.0,13.490000000000002,13.490000000000002,1.0785642,337.25,202.16,11.8358,794545.06,13.9277,2.4202,2.89596
2022-06-30,3841314000000.0,3555171000000.0,286143000000.0,,58422000000.0,,,16931000000.0,5142000000.0,3997000000.0,5.39,2973700000.0,24101000000.0,58422000000.0,8.4768,5.39,,0.05916971584138001,0.004407606355533549,,,,,,0.20417064195175139,,32999000000.0,8202000000.0,10.600000000000001,10.600000000000001,1.0785642,337.25,202.16,11.8358,794545.06,13.9277,2.4202,2.89596
2022-09-30,3773884000000.0,3485866000000.0,288018000000.0,,47866000000.0,,,26668000000.0,13235000000.0,6261000000.0,8.51,2970900000.0,5897000000.0,47866000000.0,8.2693,8.51,,0.09259143525751863,0.007066459912387344,,,,,,0.16619100195126693,,21732000000.0,17302000000.0,7.090000000000002,7.090000000000002,1.0785642,337.25,202.16,11.8358,794545.06,13.9277,2.4202,2.89596
2022-12-31,3665743000000.0,3373411000000.0,292332000000.0,,44027000000.0,,,-14205000000.0,6096000000.0,-3549000000.0,-4.440000000000001,-5955600000.0,119038000000.0,44027000000.0,10.4401,-4.440000000000001,,-0.04859201182217479,-0.0038750670737146605,,,,,,0.1506061601193164,,37676000000.0,26097000000.0,12.09,12.09,1.0785642,337.25,202.16,11.8358,794545.06,13.9277,2.4202,2.89596
2023-03-31,3744305000000.0,3441223000000.0,303082000000.0,,42241000000.0,,,12622000000.0,16293000000.0,3345000000.0,4.1,2972700000.0,-111241000000.0,42241000000.0,9.0633,4.1,,0.04164549527850549,0.0033709860708462584,,,,,,0.13937152321813898,,42016000000.0,40766000000.0,13.559999999999997,13.559999999999997,1.0785642,337.25,202.16,11.8358,794545.06,13.9277,2.4202,2.89596
2023-06-30,3868240000000.0,3555724000000.0,312516000000.0,,41022000000.0,,,27094000000.0,36158000000.0,6459000000.0,8.85,2960500000.0,-92376000000.0,41022000000.0,8.8351,8.85,,0.08669636114630931,0.007004218972969619,,,,,,0.13126367929961985,,52179000000.0,71782000000.0,17.019999999999996,17.019999999999996,1.0785642,337.25,202.16,11.8358,794545.06,13.9277,2.4202,2.89596
2023-09-30,3898333000000.0,3580962000000.0,317371000000.0,,45470000000.0,,,40245000000.0,57988000000.0,10041000000.0,13.18,2951000000.0,-47257000000.0,45470000000.0,8.1096,13.18,,0.12680742726966232,0.010323643465040057,,,,,,0.14327080924218027,,65756000000.0,116535000000.0,21.689999999999998,21.689999999999998,1.0785642,337.25,202.16,11.8358,794545.06,13.9277,2.4202,2.89596
2023-12-31,3875393000000.0,3547515000000.0,327878000000.0,,44712000000.0,,,-30409000000.0,-29118000000.0,-7785000000.0,-9.899999999999999,-5941100000.0,263848000000.0,44712000000.0,9.9241,-9.899999999999999,,-0.09274486241833853,-0.007846688064926577,,,,,,0.13636779533851007,,49552000000.0,81321000000.0,16.23,16.23,1.0785642,337.25,202.16,11.8358,794545.06,13.9277,2.4202,2.89596
2024-03-31,4090727000000.0,3754090000000.0,336637000000.0,,46268000000.0,,,13419000000.0,24356000000.0,3874000000.0,4.44,2912800000.0,-154158000000.0,46268000000.0,11.3466,4.44,,0.03986192842735647,0.003280346011845816,,,,,,0.13744181417966533,,50349000000.0,89384000000.0,16.57,16.57,1.0785642,337.25,202.16,11.8358,794545.06,13.9277,2.4202,2.89596
2024-06-30,4143003000000.0,3802451000000.0,340552000000.0,,47308000000.0,,,31568000000.0,,9160000000.0,10.56,2903900000.0,-115689000000.0,47308000000.0,10.8196,10.56,,0.09269656322676126,0.007619593806714598,,,,,,0.13891564283868543,,54823000000.0,,18.28,18.28,1.0785642,337.25,202.16,11.8358,794545.06,13.9277,2.4202,2.89596
2024-09-30,4210048000000.0,3864212000000.0,345836000000.0,,50638000000.0,,,44466000000.0,,13240000000.0,14.94,2891200000.0,-189770000000.0,50638000000.0,11.0398,14.94,,0.12857539411744295,0.010561874828980572,,,,,,0.14642200349298512,,59044000000.0,,20.040000000000003,20.040000000000003,1.0785642,337.25,202.16,11.8358,794545.06,13.9277,2.4202,2.89596
2024-12-31,4002814000000.0,3658056000000.0,344758000000.0,,52893000000.0,,,-30982000000.0,,-9664000000.0,-10.189999999999998,-5828900000.0,417605000000.0,52893000000.0,11.5419,-10.189999999999998,,-0.08986593494567204,-0.007740054871397972,,,,,,0.15342066028924636,,58471000000.0,,19.750000000000004,19.750000000000004,1.0785642,337.25,202.16,11.8358,794545.06,13.9277,2.4202,2.89596
2025-03-31,4357856000000.0,4006436000000.0,351420000000.0,,64980000000.0,,,14643000000.0,,3765000000.0,5.07,2824300000.0,-251839000000.0,64980000000.0,11.4199,5.07,,0.04166808946559672,0.0033601385635505165,,,,,,0.1849069489499744,,59695000000.0,,20.380000000000003,20.380000000000003,1.0785642,337.25,202.16,11.8358,794545.06,13.9277,2.4202,2.89596
2025-06-30,4552482000000.0,4195558000000.0,356924000000.0,,65293000000.0,,,29630000000.0,,7062000000.0,10.31,2809000000.0,-222292000000.0,65293000000.0,14.1012,10.31,,0.08301487151326332,0.006508537540620698,,,,,,0.18293250103663525,,57757000000.0,,20.130000000000003,20.130000000000003,1.0785642,337.25,202.16,11.8358,794545.06,13.9277,2.4202,2.89596
2025-09-30,4560205000000.0,4199993000000.0,360212000000.0,,69355000000.0,,,44023000000.0,,11412000000.0,15.38,2795200000.0,-267506000000.0,69355000000.0,14.9472,15.38,,0.12221414056166924,0.00965373267210575,,,,,,0.1925393934682909,,57314000000.0,,20.570000000000007,20.570000000000007,1.0785642,337.25,202.16,11.8358,794545.06,13.9277,2.4202,2.89596
2025-12-31,4424900000000.0,4062462000000.0,362438000000.0,,64776000000.0,,,-31248000000.0,,-6692000000.0,-10.740000000000002,-5647000000.0,593855000000.0,64776000000.0,15.376,-10.740000000000002,,-0.08621612524073083,-0.007061854505186558,,,,,,0.17872298158581607,,57048000000.0,,20.020000000000003,20.020000000000003,1.0785642,337.25,202.16,11.8358,794545.06,13.9277,2.4202,2.89596
