report_date,total_assets,total_liabilities,total_equity,long_term_debt,short_term_debt,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,total_debt,bf_pe,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,ebitda_margin,debt_equity,revenue_ttm,net_income_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-03-31,2135796000000.0,1971075000000.0,164721000000.0,262857000000.0,,27671000000.0,,3326000000.0,3135000000.0,1211000000.0,0.74,3994700000.0,19132000000.0,262857000000.0,13.7736,0.74,,0.020191718117301378,0.0015572648324090877,0.12019804127064436,,,,,1.5957710310160818,,,,,,1.0785642,337.25,202.16,11.8358,794545.06,13.9277,2.4202,2.89596
2010-06-30,2014019000000.0,1842899000000.0,171120000000.0,248618000000.0,,52772000000.0,,8121000000.0,6167000000.0,3523000000.0,1.83,4000200000.0,47555000000.0,248618000000.0,9.7191,1.83,,0.047457924263674615,0.004032236041467335,0.153888425680285,,,,,1.4528868630201028,,,,,,1.0785642,337.25,202.16,11.8358,794545.06,13.9277,2.4202,2.89596
2010-09-30,2141595000000.0,1967765000000.0,173830000000.0,255589000000.0,,76596000000.0,,12539000000.0,9271000000.0,5308000000.0,2.84,3990700000.0,-5646000000.0,255589000000.0,9.5413,2.84,,0.07213369383880804,0.0058549819176828485,0.16370306543422633,,,,,1.4703388367945693,,,,,,1.0785642,337.25,202.16,11.8358,794545.06,13.9277,2.4202,2.89596
2010-12-31,2117605000000.0,1941499000000.0,176106000000.0,247669000000.0,,-54345000000.0,,-6616000000.0,-5792000000.0,-2553000000.0,-1.4500000000000002,-8008700000.0,-64793000000.0,247669000000.0,9.5467,-1.4500000000000002,,-0.03756828273880504,-0.0031242842739793303,0.12174073051798694,,,,,1.4063632130648587,102694000000.0,17370000000.0,12781000000.0,3.96,3.96,1.0785642,337.25,202.16,11.8358,794545.06,13.9277,2.4202,2.89596
2011-03-31,2198161000000.0,2017563000000.0,180598000000.0,269616000000.0,,25221000000.0,,5555000000.0,3542000000.0,2502000000.0,1.28,4014100000.0,-5979000000.0,269616000000.0,9.3813,1.28,,0.030758923133146546,0.0025271124362592186,0.22025296380000792,,,,,1.4929068981937785,100244000000.0,19599000000.0,13188000000.0,4.5,4.5,1.0785642,337.25,202.16,11.8358,794545.06,13.9277,2.4202,2.89596
2011-06-30,2246764000000.0,2063885000000.0,182879000000.0,279228000000.0,,52000000000.0,,10986000000.0,7338000000.0,5198000000.0,2.55,3998600000.0,58725000000.0,279228000000.0,8.0397,2.55,,0.06007250695815266,0.004889699140630702,0.21126923076923076,,,,,1.5268456192345758,99472000000.0,22464000000.0,14359000000.0,5.22,5.22,1.0785642,337.25,202.16,11.8358,794545.06,13.9277,2.4202,2.89596
2011-09-30,2289240000000.0,2106953000000.0,182287000000.0,273688000000.0,,75763000000.0,22002000000.0,15248000000.0,10681000000.0,6754000000.0,3.57,3956500000.0,66518000000.0,273688000000.0,5.8488,3.57,22002000000.0,0.08364831282537975,0.006660725830406598,0.2012591898420073,0.2904056069585418,0.009611049955443728,0.04825264543012227,0.2904056069585418,1.5014126075913257,98639000000.0,25173000000.0,15769000000.0,5.949999999999999,5.949999999999999,1.0785642,337.25,202.16,11.8358,794545.06,13.9277,2.4202,2.89596
2011-12-31,2265792000000.0,2082219000000.0,183573000000.0,256775000000.0,,-55750000000.0,,-12813000000.0,-7957000000.0,-6681000000.0,-2.92,-8048900000.0,-23332000000.0,256775000000.0,7.0044,-2.92,,-0.06979784608847707,-0.005654976273197187,0.22982959641255604,,,,,1.3987623452250604,97234000000.0,18976000000.0,13604000000.0,4.48,4.48,1.0785642,337.25,202.16,11.8358,794545.06,13.9277,2.4202,2.89596
2012-03-31,2320330000000.0,2130602000000.0,189728000000.0,255831000000.0,,26712000000.0,,5383000000.0,3035000000.0,2258000000.0,1.31,3833400000.0,4266000000.0,255831000000.0,9.612,1.31,,0.02837219598583235,0.0023199286308413026,0.20151991614255765,,,,,1.3484093017372238,98725000000.0,18804000000.0,13097000000.0,4.51,4.51,1.0785642,337.25,202.16,11.8358,794545.06,13.9277,2.4202,2.89596
2012-06-30,2290146000000.0,2098574000000.0,191572000000.0,239539000000.0,,48232000000.0,,9884000000.0,5988000000.0,4097000000.0,2.41,3827000000.0,46249000000.0,239539000000.0,7.7266,2.41,,0.05159417868999645,0.004315882044201549,0.20492619008127386,,,,,1.250386277744138,94957000000.0,17702000000.0,11747000000.0,4.37,4.37,1.0785642,337.25,202.16,11.8358,794545.06,13.9277,2.4202,2.89596
