report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,cash,revenue,gross_profit,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,depreciation,total_debt,bf_current_ratio,bf_ps,bf_pe,eps,ebitda,roe,roa,net_margin,gross_margin,operating_margin,roi,roic,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,gross_profit_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2018-03-31,6879500000.0,4488200000.0,4454400000.0,5776000000.0,1066400000.0,1120500000.0,62200000.0,208900000.0,89200000.0,,-2100000.0,,6800000.0,,,-23400000.0,14900000.0,1120500000.0,1.0117,,,,,-0.0019692423105776443,-0.0003052547423504615,-0.010052656773575874,0.4269985639061752,,,,,1.0507314328582145,1.0075880028735633,,,,,,,,,,,1.7072616,79.62,55.63,1.16741,10853.949,2713.4872,4.671,7.485
2018-06-30,6225400000.0,3984300000.0,3863600000.0,4711600000.0,1513800000.0,666400000.0,171800000.0,366500000.0,154100000.0,16000000.0,-67600000.0,,6700000.0,,,-35200000.0,28100000.0,666400000.0,,,,,44100000.0,-0.04465583300303871,-0.01085874000064253,-0.1844474761255116,0.42046384720327423,0.04365620736698499,0.002570115976483439,0.007338776259058802,0.12032742155525239,0.44021667327255914,1.0312402940262968,,,,,,,,,,,1.7072616,79.62,55.63,1.16741,10853.949,2713.4872,4.671,7.485
2018-09-30,5962800000.0,3718300000.0,3596300000.0,4424300000.0,1538500000.0,665000000.0,188000000.0,546100000.0,229100000.0,31300000.0,-63200000.0,74400000.0,5800000.0,0.0,105730178.0,-18100000.0,42400000.0,665000000.0,,,,0.0,73700000.0,-0.041078973025674356,-0.010599047427383108,-0.11572971983153268,0.41952023438930597,0.05731550997985717,0.005249211779700812,0.014204674381665531,0.1349569675883538,0.4322391940201495,1.0339237549703861,,,,,,,,,,,1.7072616,79.62,55.63,1.16741,10853.949,2713.4872,4.671,7.485
2018-12-31,5154400000.0,2933500000.0,2763600000.0,3622400000.0,1532000000.0,663500000.0,,-375100000.0,-151800000.0,5500000.0,69500000.0,8800000.0,-11600000.0,,,86200000.0,-28800000.0,663500000.0,1.0594,,,,-23300000.0,0.04536553524804177,0.013483625640229707,-0.18528392428685683,0.4046920821114369,-0.01466275659824047,0.001067049511097315,0.002505124117513095,0.0621167688616369,0.43309399477806787,1.0614777826024027,746400000.0,-63400000.0,,320600000.0,,,,,,,1.7072616,79.62,55.63,1.16741,10853.949,2713.4872,4.671,7.485
2019-03-31,7259100000.0,4890100000.0,4683700000.0,5572300000.0,1686800000.0,662100000.0,,203700000.0,93600000.0,27400000.0,11200000.0,8900000.0,5700000.0,0.08,147042228.0,-8800000.0,14400000.0,662100000.0,,9.4053,,0.08,41800000.0,0.006639791320844202,0.001542890991996253,0.054982817869415807,0.45949926362297494,0.13451153657339224,0.0037745726054194046,0.011665034697092257,0.20520373097692685,0.3925183779938345,1.0440677242351133,741200000.0,-50100000.0,80200000.0,325000000.0,136300000.0,,,,4.857666911225238,,1.7072616,79.62,55.63,1.16741,10853.949,2713.4872,4.671,7.485
2019-06-30,6729300000.0,4351800000.0,4093300000.0,4972200000.0,1757100000.0,660700000.0,,400000000.0,181600000.0,46100000.0,17500000.0,17400000.0,8100000.0,0.0,147761174.0,10200000.0,29000000.0,660700000.0,,9.3517,368.7714,0.0,75100000.0,0.009959592510386433,0.0026005676667706893,0.04375,0.454,0.11525,0.006850638253607359,0.01906692034080569,0.18775,0.3760173012349895,1.0631519800649842,774700000.0,35000000.0,110300000.0,352500000.0,167300000.0,109500000.0,,,3.949193066347878,1.0073059360730594,1.7072616,79.62,55.63,1.16741,10853.949,2713.4872,4.671,7.485
2019-09-30,5436200000.0,3004300000.0,2743200000.0,3583100000.0,1853100000.0,659300000.0,,602300000.0,270400000.0,52600000.0,80200000.0,25200000.0,-57500000.0,0.0,148279943.0,24600000.0,43900000.0,659300000.0,,8.9176,91.0141,0.0,96500000.0,0.04327883006853381,0.014752952430006254,0.13315623443466712,0.44894570811887763,0.08733189440478167,0.009675876531400611,0.02093615666295176,0.16021915988709945,0.35578220279531597,1.0951808107319918,830900000.0,178400000.0,131600000.0,393800000.0,190100000.0,60300000.0,,,3.4681746449237245,2.1824212271973464,1.7072616,79.62,55.63,1.16741,10853.949,2713.4872,4.671,7.485
2019-12-31,6085700000.0,3623700000.0,3371700000.0,4203400000.0,1882300000.0,,,-381900000.0,-177400000.0,-53800000.0,-30200000.0,-19100000.0,-700000.0,-0.08,-294326753.0,24600000.0,-30200000.0,0.0,1.0747,11.8324,123.9014,-0.08,-84000000.0,-0.016044201243159965,-0.0049624529635046094,0.07907829274679236,0.4645195077245352,0.14087457449594135,-0.008840396338958542,-0.028582053870265103,0.2199528672427337,0.0,1.0747397455289616,824100000.0,78700000.0,72300000.0,368200000.0,129400000.0,32400000.0,0.0,0.0,0.0,2.2314814814814814,1.7072616,79.62,55.63,1.16741,10853.949,2713.4872,4.671,7.485
2020-03-31,6470100000.0,4056500000.0,3752700000.0,4584500000.0,1885600000.0,,,222700000.0,100500000.0,26300000.0,8600000.0,6900000.0,8200000.0,0.06,151178498.0,1400000.0,11800000.0,0.0,,8.6076,95.3619,0.06,38100000.0,0.004560882477725923,0.0013291912026089242,0.038616973506960035,0.4512797485406376,0.11809609339919173,0.004064852166117989,0.013947815019092067,0.1710821733273462,0.0,1.080955045700429,843100000.0,76100000.0,71200000.0,375100000.0,125700000.0,30400000.0,-0.020000000000000004,-0.020000000000000004,0.0,2.3421052631578947,1.7072616,79.62,55.63,1.16741,10853.949,2713.4872,4.671,7.485
2020-06-30,5853900000.0,3350000000.0,2744500000.0,3868200000.0,1985700000.0,,,415300000.0,179100000.0,30300000.0,14100000.0,13500000.0,-200000.0,0.09,151321093.0,23900000.0,23900000.0,0.0,,13.6953,152.6667,0.09,54200000.0,0.007100770509140353,0.00240865064316097,0.0339513604623164,0.43125451480857213,0.07295930652540332,0.00517603648849485,0.015259102583471823,0.13050806645798219,0.0,1.220623064310439,858400000.0,72700000.0,55400000.0,372600000.0,104800000.0,26500000.0,0.06999999999999999,0.06999999999999999,0.0,2.090566037735849,1.7072616,79.62,55.63,1.16741,10853.949,2713.4872,4.671,7.485
2020-09-30,5918000000.0,3371300000.0,2741400000.0,3881700000.0,2036300000.0,,,619700000.0,255800000.0,29700000.0,13300000.0,19400000.0,-5700000.0,0.09,152105719.0,47300000.0,36900000.0,0.0,,14.5015,1034.1525,0.09,66600000.0,0.006531454107940873,0.002247380871916188,0.021461997740842342,0.41278037760206554,0.047926416007745685,0.005018587360594796,0.014585277218484505,0.1074713571082782,0.0,1.2297731086306267,875800000.0,5800000.0,32500000.0,358000000.0,74900000.0,20700000.0,0.15999999999999998,0.15999999999999998,0.0,1.570048309178744,1.7072616,79.62,55.63,1.16741,10853.949,2713.4872,4.671,7.485
