report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,gross_profit,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,fcf,total_debt,bf_current_ratio,bf_ps,bf_pe,eps,ebitda,roe,roa,net_margin,gross_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,gross_profit_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pb_annual,bf_ps_ttm
2010-03-31,2986747000.0,1178454000.0,327435000.0,1104129000.0,1811188000.0,457565000.0,,405017000.0,545944000.0,282038000.0,89324000.0,61843000.0,5720000.0,21255000.0,0.41,149294000.0,36544000.0,,,457565000.0,,2.3194,18.5885,0.41,89324000.0,0.034144992126714624,0.020705804676459036,0.11327718593848453,0.5166060987940155,0.16361385050481367,0.029906784873308653,0.03937140799373048,,0.16361385050481367,0.2526325262755716,3.5990471391268497,,,,,,,,,,,0.98027134,17.18,9.85,4.0113,2491.2224,1.7034,0.677
2010-06-30,2797267000.0,1089242000.0,322374000.0,1055857000.0,1675714000.0,462976000.0,,340347000.0,1111030000.0,569633000.0,194293000.0,134229000.0,12406000.0,46297000.0,0.91,148048000.0,150468000.0,,,462976000.0,,1.9802,15.8315,0.91,194293000.0,0.08010257120248443,0.04798576610670344,0.12081491948912271,0.5127071276203163,0.1748764659820167,0.06945815326173727,0.09084673328065311,,0.1748764659820167,0.2762858101084075,3.378814668676754,,,,,,,,,,,0.98027134,17.18,9.85,4.0113,2491.2224,1.7034,0.677
2010-09-30,3195156000.0,1331557000.0,351912000.0,1318600000.0,1803481000.0,592376000.0,,534243000.0,1652845000.0,842446000.0,284711000.0,197881000.0,18406000.0,67585000.0,1.35,146679000.0,248890000.0,,,592376000.0,,2.0557,16.7437,1.35,284711000.0,0.10972169931371609,0.061931561401070874,0.11972144998472331,0.5096944964591356,0.17225511164083745,0.0891070733322567,0.11883472177179188,,0.17225511164083745,0.32846256766774923,3.783778330946373,,,,,,,,,,,0.98027134,17.18,9.85,4.0113,2491.2224,1.7034,0.677
2010-12-31,3257951000.0,1315045000.0,360091000.0,1348039000.0,1839386000.0,604015000.0,7754000.0,540038000.0,-1088805000.0,-563959000.0,-188055000.0,-128245000.0,-11443000.0,-45912000.0,-0.8499999999999999,-298036000.0,-73578000.0,,,611769000.0,3.6528,2.1862,18.2745,-0.8499999999999999,-188055000.0,-0.06972163537180341,-0.039363698226277805,0.11778509466800759,0.5179614347840064,0.1727168776778211,-0.057721862606282294,-0.0767209743977839,,0.1727168776778211,0.3325941373914991,3.651979638480273,2221014000.0,265708000.0,380273000.0,1130158000.0,380273000.0,25089000.0,1.8200000000000003,1.8200000000000003,1.6087626520946794,15.156961218063694,0.98027134,17.18,9.85,4.0113,2491.2224,1.7034,0.677
2011-03-31,3437049000.0,1412068000.0,362011000.0,1454550000.0,1945338000.0,652290000.0,11453000.0,575264000.0,570503000.0,299984000.0,98584000.0,69084000.0,6343000.0,23712000.0,0.48,144044000.0,44006000.0,,,663743000.0,,2.3232,19.1102,0.48,98584000.0,0.03551259472646913,0.02009980073021944,0.12109314061451035,0.5258237029428416,0.17280189587083677,0.028682744994325073,0.037784951866193496,,0.17280189587083677,0.3411967483285681,3.900621804309814,2245573000.0,272949000.0,389533000.0,1148104000.0,389533000.0,25712000.0,1.8900000000000003,1.8900000000000003,1.7039454937065666,15.149852209085251,0.98027134,17.18,9.85,4.0113,2491.2224,1.7034,0.677
2011-06-30,3656643000.0,1552413000.0,430426000.0,1575410000.0,2042230000.0,654873000.0,8500000.0,671710000.0,1179946000.0,614835000.0,195588000.0,143320000.0,11913000.0,41669000.0,1.0,143694000.0,164964000.0,,,663373000.0,,2.341,19.5078,1.0,195588000.0,0.07017818756947063,0.03919441958102008,0.12146318560340896,0.5210704557666198,0.1657601280058579,0.053488404528415814,0.07228998489431007,,0.1657601280058579,0.32482776180939466,3.6066896516474376,2314489000.0,282040000.0,390828000.0,1193306000.0,390828000.0,25219000.0,1.9800000000000002,1.9800000000000002,1.6973527996970534,15.497363099250565,0.98027134,17.18,9.85,4.0113,2491.2224,1.7034,0.677
2011-09-30,4833711000.0,1089605000.0,512689000.0,2943297000.0,1853692000.0,1793979000.0,45573000.0,81866000.0,1799705000.0,912483000.0,235390000.0,203917000.0,27975000.0,1042000.0,1.42,143578000.0,252145000.0,,,1839552000.0,,1.8318,15.964,1.42,235390000.0,0.11000586936772667,0.04218642777774675,0.11330579178254215,0.5070180946321758,0.13079365784948088,0.0486975741826518,0.0637352961244911,,0.13079365784948088,0.9923719798111013,2.125274776716489,2461349000.0,288076000.0,341507000.0,1263343000.0,341507000.0,34788000.0,2.05,2.05,5.38657187114759,9.816804645279982,0.98027134,17.18,9.85,4.0113,2491.2224,1.7034,0.677
2011-12-31,4755398000.0,1012903000.0,724073000.0,2871247000.0,1848077000.0,1490010000.0,276701000.0,77128000.0,-1012436000.0,-553862000.0,-228834000.0,-171801000.0,-2417000.0,-55407000.0,-1.2,-287763000.0,-67646000.0,,,1766711000.0,1.3992,1.9735,20.4836,-1.2,-228834000.0,-0.09296203567275606,-0.03612757544163496,0.1696907261298492,0.5470587770486233,0.22602317578592623,-0.0481208933510928,-0.06330495730316688,,0.22602317578592623,0.9559726136952086,1.3988962438870114,2537718000.0,244520000.0,300728000.0,1273440000.0,300728000.0,43814000.0,1.6999999999999997,1.6999999999999997,5.874780532574286,6.863742182863925,0.98027134,17.18,9.85,4.0113,2491.2224,1.7034,0.677
2012-03-31,5015061000.0,1119185000.0,794483000.0,2968086000.0,2008617000.0,1481217000.0,288037000.0,67346000.0,716413000.0,392750000.0,87160000.0,53284000.0,15782000.0,14715000.0,0.37,143984000.0,19953000.0,,,1769254000.0,,2.1376,25.083,0.37,87160000.0,0.02652770538136439,0.010624795989520366,0.07437609311947159,0.5482172992394052,0.12166166722267742,0.017379649021218285,0.023071195390207872,,0.12166166722267742,0.8808319356054439,1.4086959695802175,2683628000.0,228720000.0,289304000.0,1366206000.0,289304000.0,53253000.0,1.5899999999999999,1.5899999999999999,6.115553189724304,5.432632903310612,0.98027134,17.18,9.85,4.0113,2491.2224,1.7034,0.677
2012-06-30,4870756000.0,1105182000.0,748203000.0,2881757000.0,1951569000.0,1482783000.0,241801000.0,53210000.0,1479407000.0,800219000.0,196066000.0,134049000.0,30366000.0,29590000.0,0.93,143908000.0,103395000.0,,,1724584000.0,,1.894,22.8377,0.93,196066000.0,0.06868780965469322,0.02752118972906875,0.0906099538531317,0.5409052410864623,0.13253012862586158,0.04025371010167621,0.05333455925256647,,0.13253012862586158,0.8836910198921996,1.47711516794239,2983089000.0,219449000.0,289782000.0,1551590000.0,289782000.0,71706000.0,1.52,1.52,5.951315126543402,4.0412517780938835,0.98027134,17.18,9.85,4.0113,2491.2224,1.7034,0.677
2012-09-30,4977422000.0,1128978000.0,940720000.0,2816555000.0,2122071000.0,1237244000.0,411840000.0,56075000.0,2175141000.0,1164334000.0,284732000.0,187413000.0,44854000.0,48550000.0,1.3,143885000.0,202065000.0,,,1649084000.0,,1.8529,23.664,1.3,284732000.0,0.0883160836748629,0.03765262418979142,0.08616131092191265,0.5352912753701944,0.13090277825667393,0.057204713604753626,0.07550259801042386,,0.13090277825667393,0.7771106621785981,1.2001211837741304,3358525000.0,202945000.0,339124000.0,1803441000.0,339124000.0,88585000.0,1.4000000000000001,1.4000000000000001,4.8627758577983276,3.828232770785122,0.98027134,17.18,9.85,4.0113,2491.2224,1.7034,0.677
2012-12-31,4972297000.0,1111096000.0,927780000.0,2722854000.0,2208698000.0,1222035000.0,298963000.0,80132000.0,-1442532000.0,-800916000.0,-186019000.0,-60533000.0,-34151000.0,-83935000.0,-0.41999999999999993,-287832000.0,44272000.0,,,1520998000.0,1.1972,1.9197,17.8867,-0.41999999999999993,-186019000.0,-0.027406644095299585,-0.01217405155001803,0.04196302057770642,0.5552154128989859,0.12895311854433733,-0.037411079828900004,-0.0498751104647671,,0.12895311854433733,0.6886400947526552,1.1975856345254263,2928429000.0,314213000.0,381939000.0,1556387000.0,381939000.0,56851000.0,2.18,2.18,3.9823060750538697,6.718245941144395,0.98027134,17.18,9.85,4.0113,2491.2224,1.7034,0.677
2013-03-31,4902128000.0,1160519000.0,826165000.0,2632734000.0,2233502000.0,1207722000.0,315438000.0,56203000.0,732084000.0,388200000.0,93858000.0,71685000.0,15221000.0,3542000.0,0.49,145099000.0,36086000.0,,,1523160000.0,,2.0421,18.0711,0.49,93858000.0,0.03209533727751307,0.01462324117199714,0.09791909125182356,0.5302670185388562,0.12820659924270986,0.01914637887872369,0.024984414355084382,,0.12820659924270986,0.6819604370177417,1.4047060817149117,2944100000.0,332614000.0,388637000.0,1551837000.0,388637000.0,56290000.0,2.3,2.3,3.919235687801213,6.904192574169479,0.98027134,17.18,9.85,4.0113,2491.2224,1.7034,0.677
2013-06-30,4874683000.0,1170033000.0,890615000.0,2586587000.0,2250185000.0,1123792000.0,417065000.0,57027000.0,1493094000.0,803156000.0,216724000.0,158913000.0,26728000.0,26412000.0,1.0,145107000.0,131868000.0,,,1540857000.0,,2.0045,17.3917,1.0,216724000.0,0.07062219328632979,0.03259965827521502,0.10643201298779581,0.5379138888777264,0.14515094160180136,0.04445909610942907,0.05716739619344761,,0.14515094160180136,0.6847690301019694,1.3137360138780505,2957787000.0,357478000.0,409295000.0,1554774000.0,409295000.0,52652000.0,2.37,2.37,3.7646611856973577,7.77358884752716,0.98027134,17.18,9.85,4.0113,2491.2224,1.7034,0.677
2013-09-30,5009979000.0,1153145000.0,777561000.0,2530961000.0,2438441000.0,1164794000.0,270948000.0,50658000.0,2197112000.0,1179573000.0,321745000.0,238763000.0,38170000.0,39599000.0,1.0,144952000.0,258266000.0,,,1435742000.0,,2.0938,16.8967,1.0,321745000.0,0.09791625058797813,0.04765748519105569,0.10867129213258131,0.5368743150098857,0.1464399630059824,0.06422082807133522,0.08304847757578823,,0.1464399630059824,0.5887950538889397,1.4830283411848073,2979758000.0,408828000.0,446308000.0,1570013000.0,446308000.0,45968000.0,2.0700000000000003,2.0700000000000003,3.2169309086998217,9.709101983988862,0.98027134,17.18,9.85,4.0113,2491.2224,1.7034,0.677
2013-12-31,5078047000.0,1143802000.0,796405000.0,2500073000.0,2535053000.0,1166178000.0,309862000.0,74954000.0,-1471520000.0,-793517000.0,-213161000.0,-156169000.0,-30494000.0,-17403000.0,-0.33000000000000007,-290193000.0,-8374000.0,,,1476040000.0,1.4372,2.3437,22.081,-0.33000000000000007,-213161000.0,-0.06160384023529291,-0.03075375237763652,0.10612767750353376,0.539249891268892,0.1448576981624443,-0.041976964766178806,-0.0531428715315252,,0.1448576981624443,0.5822521264841406,1.436206452747032,2950770000.0,313192000.0,419166000.0,1577412000.0,419166000.0,49625000.0,2.16,2.16,3.5213733938344234,8.446670025188917,0.98027134,17.18,9.85,4.0113,2491.2224,1.7034,0.677
2014-03-31,5089433000.0,1202323000.0,967446000.0,2564835000.0,2523033000.0,1065463000.0,403145000.0,55823000.0,730114000.0,394205000.0,105570000.0,72878000.0,10955000.0,22452000.0,0.0,144453000.0,64565000.0,,,1468608000.0,,2.2136,20.7616,0.0,105570000.0,0.02888507601763433,0.014319473308716316,0.09981728880695344,0.5399225326455869,0.14459385794547153,0.02074297863828839,0.02644776922573949,,0.14459385794547153,0.5820803770699788,1.2427804756027727,2948800000.0,314385000.0,430878000.0,1583417000.0,430878000.0,45359000.0,1.67,1.67,3.408407948421595,9.499283493904187,0.98027134,17.18,9.85,4.0113,2491.2224,1.7034,0.677
2014-06-30,5072373000.0,1231274000.0,896309000.0,2487599000.0,2583463000.0,1065881000.0,301294000.0,66929000.0,1495339000.0,818674000.0,232676000.0,162871000.0,22753000.0,48548000.0,1.0,144288000.0,220245000.0,,,1367175000.0,,2.2736,21.166,1.0,232676000.0,0.06304367432395974,0.03210942886100845,0.10891911466229397,0.5474838815813672,0.15560083700084062,0.045871232261507584,0.05889580366512953,,0.15560083700084062,0.5292024697082947,1.3737159841081592,2951045000.0,318343000.0,446830000.0,1598935000.0,446830000.0,41384000.0,1.67,1.67,3.0597206991473267,10.797167987628068,0.98027134,17.18,9.85,4.0113,2491.2224,1.7034,0.677
2014-09-30,4884061000.0,1257701000.0,734569000.0,2387817000.0,2495108000.0,1165566000.0,115253000.0,97652000.0,2203579000.0,1206738000.0,342257000.0,238144000.0,35418000.0,69831000.0,1.0,144289000.0,367780000.0,,,1280819000.0,,2.1862,20.6816,1.0,342257000.0,0.09544436553447787,0.04875942376641078,0.10807146011102847,0.5476263841686638,0.15531868837014692,0.07007631559065294,0.09064184768402567,,0.15531868837014692,0.513332088230249,1.7121618255058408,2957512000.0,317724000.0,467342000.0,1626100000.0,467342000.0,38632000.0,1.67,1.67,2.740646036521434,12.09727686891696,0.98027134,17.18,9.85,4.0113,2491.2224,1.7034,0.677
