report_date,total_assets,total_liabilities,total_equity,long_term_debt,cash,revenue,net_income,interest_expense,income_tax,eps_diluted,operating_cash_flow,capex,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,roe,roa,net_margin,fcf_margin,debt_equity,revenue_ttm,net_income_ttm,fcf_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-06-30,14607000000.0,9870000000.0,4737000000.0,790000000.0,325000000.0,1765000000.0,95000000.0,27000000.0,11000000.0,0.58,253000000.0,11000000.0,242000000.0,790000000.0,,8.2513,1.0797,0.58,0.020054887059320244,0.0065037310878346,0.053824362606232294,0.13711048158640227,0.16677221870382097,,,,,,,0.64137304,174.27,123.015,0.92452,24651.447,10.3015,1.6015,1.9517
2010-09-30,,,,,,1071000000.0,156000000.0,13000000.0,65000000.0,0.95,,,,0.0,,9.4522,1.1812,0.95,,,0.14565826330532214,,,,,,,,,0.64137304,174.27,123.015,0.92452,24651.447,10.3015,1.6015,1.9517
2010-12-31,,,,,,3772000000.0,377000000.0,54000000.0,124000000.0,2.31,,,,0.0,4.2857,13.6793,1.3672,2.31,,,0.09994697773064687,,,,,,,,,0.64137304,174.27,123.015,0.92452,24651.447,10.3015,1.6015,1.9517
2011-03-31,,,,,,929000000.0,62000000.0,13000000.0,14000000.0,0.38,,,,0.0,,14.4067,1.4014,0.38,,,0.06673842841765339,,,7537000000.0,690000000.0,,107000000.0,4.22,4.22,0.64137304,174.27,123.015,0.92452,24651.447,10.3015,1.6015,1.9517
2011-06-30,,,,,,1904000000.0,13000000.0,27000000.0,-34000000.0,0.08,,,,0.0,,16.1302,1.2167,0.08,,,0.006827731092436975,,,7676000000.0,608000000.0,,107000000.0,3.7199999999999998,3.7199999999999998,0.64137304,174.27,123.015,0.92452,24651.447,10.3015,1.6015,1.9517
2011-09-30,,,,,,944000000.0,19000000.0,13000000.0,-8000000.0,0.12,,,,0.0,,27.1876,1.1352,0.12,,,0.020127118644067795,,,7549000000.0,471000000.0,,107000000.0,2.89,2.89,0.64137304,174.27,123.015,0.92452,24651.447,10.3015,1.6015,1.9517
2011-12-31,15668000000.0,10613000000.0,5055000000.0,821000000.0,438000000.0,26000000.0,72000000.0,1000000.0,38000000.0,0.43999999999999995,247000000.0,7000000.0,240000000.0,821000000.0,2.1058,29.8772,1.3041,0.43999999999999995,0.014243323442136498,0.004595353586928772,2.769230769230769,9.23076923076923,0.16241345202769536,3803000000.0,166000000.0,,54000000.0,1.02,1.02,0.64137304,174.27,123.015,0.92452,24651.447,10.3015,1.6015,1.9517
2012-03-31,16022000000.0,10815000000.0,5207000000.0,833000000.0,424000000.0,986000000.0,86000000.0,14000000.0,26000000.0,0.53,148000000.0,2000000.0,146000000.0,833000000.0,,29.7314,1.4635,0.53,0.01651622815440753,0.005367619523155661,0.0872210953346856,0.14807302231237324,0.15997695410024967,3860000000.0,190000000.0,,55000000.0,1.17,1.17,0.64137304,174.27,123.015,0.92452,24651.447,10.3015,1.6015,1.9517
2012-06-30,16089000000.0,10945000000.0,5144000000.0,831000000.0,263000000.0,2006000000.0,118000000.0,27000000.0,23000000.0,0.72,265000000.0,4000000.0,261000000.0,831000000.0,,22.977,1.5946,0.72,0.022939346811819597,0.0073342034930697995,0.058823529411764705,0.13010967098703888,0.16154743390357698,3962000000.0,295000000.0,,55000000.0,1.81,1.81,0.64137304,174.27,123.015,0.92452,24651.447,10.3015,1.6015,1.9517
2012-09-30,16479000000.0,11120000000.0,5359000000.0,828000000.0,416000000.0,3041000000.0,229000000.0,41000000.0,64000000.0,1.4,433000000.0,5000000.0,428000000.0,828000000.0,,16.9421,1.539,1.4,0.04273185295764135,0.013896474300625038,0.07530417625780993,0.14074317658664912,0.15450643776824036,6059000000.0,505000000.0,1075000000.0,83000000.0,3.09,3.09,0.64137304,174.27,123.015,0.92452,24651.447,10.3015,1.6015,1.9517
2012-12-31,16548000000.0,11095000000.0,5453000000.0,827000000.0,487000000.0,-1922000000.0,-12000000.0,-28000000.0,32000000.0,-0.08000000000000007,-208000000.0,-5000000.0,-213000000.0,827000000.0,2.0769,15.1325,1.5497,-0.08000000000000007,-0.0022006235099944985,-0.0007251631617113851,0.006243496357960458,0.11082206035379813,0.15165963689712086,4111000000.0,421000000.0,622000000.0,54000000.0,2.5700000000000003,2.5700000000000003,0.64137304,174.27,123.015,0.92452,24651.447,10.3015,1.6015,1.9517
2013-03-31,17037000000.0,11252000000.0,5785000000.0,,380000000.0,1103000000.0,154000000.0,13000000.0,63000000.0,0.0,57000000.0,1000000.0,56000000.0,0.0,,15.7348,1.8198,0.0,0.02662057044079516,0.009039150085108881,0.13961922030825022,0.050770625566636446,0.0,4228000000.0,489000000.0,532000000.0,53000000.0,2.04,2.04,0.64137304,174.27,123.015,0.92452,24651.447,10.3015,1.6015,1.9517
2013-06-30,17034000000.0,11335000000.0,5699000000.0,,382000000.0,2207000000.0,264000000.0,27000000.0,101000000.0,1.0,251000000.0,3000000.0,248000000.0,0.0,,13.415,1.764,1.0,0.046323916476574835,0.01549841493483621,0.11961939284096058,0.11236973266878116,0.0,4429000000.0,635000000.0,519000000.0,53000000.0,2.3200000000000003,2.3200000000000003,0.64137304,174.27,123.015,0.92452,24651.447,10.3015,1.6015,1.9517
2013-09-30,17339000000.0,11523000000.0,5816000000.0,,511000000.0,3359000000.0,395000000.0,40000000.0,152000000.0,2.0,538000000.0,5000000.0,533000000.0,0.0,,13.1492,1.7427,2.0,0.06791609353507565,0.022781013899302153,0.11759452217922,0.15867817802917536,0.0,4747000000.0,801000000.0,624000000.0,52000000.0,2.92,2.92,0.64137304,174.27,123.015,0.92452,24651.447,10.3015,1.6015,1.9517
2013-12-31,17662000000.0,11592000000.0,6070000000.0,835000000.0,433000000.0,-2138000000.0,-296000000.0,-26000000.0,-119000000.0,0.1200000000000001,-50000000.0,-2000000.0,-52000000.0,835000000.0,,16.5954,1.8936,0.1200000000000001,-0.04876441515650742,-0.016759143924810326,0.1384471468662301,0.02432179607109448,0.13756177924217464,4531000000.0,517000000.0,785000000.0,54000000.0,3.12,3.12,0.64137304,174.27,123.015,0.92452,24651.447,10.3015,1.6015,1.9517
2014-03-31,17942000000.0,11774000000.0,6168000000.0,,521000000.0,1189000000.0,91000000.0,14000000.0,28000000.0,0.0,129000000.0,3000000.0,126000000.0,0.0,,17.5265,1.7234,0.0,0.014753566796368352,0.005071898339092632,0.07653490328006729,0.10597140454163162,0.0,4617000000.0,454000000.0,855000000.0,55000000.0,3.12,3.12,0.64137304,174.27,123.015,0.92452,24651.447,10.3015,1.6015,1.9517
2014-06-30,18335000000.0,11992000000.0,6343000000.0,,462000000.0,2403000000.0,175000000.0,27000000.0,51000000.0,1.0,351000000.0,5000000.0,346000000.0,0.0,,18.3539,1.6618,1.0,0.027589468705659783,0.009544586855740387,0.07282563462338744,0.143986683312526,0.0,4813000000.0,365000000.0,953000000.0,55000000.0,3.12,3.12,0.64137304,174.27,123.015,0.92452,24651.447,10.3015,1.6015,1.9517
