report_date,total_assets,total_liabilities,total_equity,long_term_debt,short_term_debt,revenue,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_pe,bf_ps,eps,roe,roa,net_margin,fcf_margin,debt_equity,revenue_ttm,net_income_ttm,fcf_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-03-31,,,,,,3713000000.0,420000000.0,130000000.0,273000000.0,,423640000.0,,,,,0.0,9.6437,1.0079,,,,0.11311607864260706,,,,,,,,,0.5870439,114.9,78.98,0.71908,22189.848,13.3112,1.1647,1.2007
2010-09-30,,,,,,10900000000.0,822000000.0,384000000.0,619000000.0,,420470000.0,,,,,0.0,12.9402,1.0513,,,,0.07541284403669725,,,,,,,,,0.5870439,114.9,78.98,0.71908,22189.848,13.3112,1.1647,1.2007
2010-12-31,76277000000.0,53171000000.0,18450000000.0,8830000000.0,,14615000000.0,1288000000.0,517000000.0,895000000.0,3.07,419520000.0,-47000000.0,917000000.0,816000000.0,-964000000.0,8830000000.0,12.5639,1.0908,3.07,0.06981029810298103,0.01688582403607903,0.088128634964078,-0.06595963051659254,0.4785907859078591,,,,,,,0.5870439,114.9,78.98,0.71908,22189.848,13.3112,1.1647,1.2007
2011-03-31,75967000000.0,52522000000.0,18686000000.0,9296000000.0,,3668000000.0,382000000.0,151000000.0,196000000.0,,413.83,1129000000.0,150000000.0,,979000000.0,9296000000.0,14.2216,1.2006,,0.0204431124906347,0.005028499216765174,0.10414394765539804,0.2669029443838604,0.49748474793963393,32896000000.0,2912000000.0,,1182000000.0,,,0.5870439,114.9,78.98,0.71908,22189.848,13.3112,1.1647,1.2007
2011-06-30,76069000000.0,52586000000.0,18953000000.0,9163000000.0,,7210000000.0,634000000.0,280000000.0,340000000.0,1.54,411.27,916000000.0,300000000.0,,616000000.0,9163000000.0,15.2008,1.1592,1.54,0.03345116868041999,0.008334538379629022,0.08793342579750346,0.0854368932038835,0.4834590829947766,36393000000.0,3126000000.0,,1332000000.0,,,0.5870439,114.9,78.98,0.71908,22189.848,13.3112,1.1647,1.2007
2011-09-30,76305000000.0,52740000000.0,18974000000.0,8026000000.0,,10648000000.0,796000000.0,406000000.0,464000000.0,1.95,408050000.0,2024000000.0,502000000.0,,1522000000.0,8026000000.0,11.0983,0.9554,1.95,0.04195214504058185,0.010431819671056943,0.07475582268970699,0.14293764087152516,0.4229998945926004,36141000000.0,3100000000.0,2153000000.0,1354000000.0,,,0.5870439,114.9,78.98,0.71908,22189.848,13.3112,1.1647,1.2007
2011-12-31,75375000000.0,52102000000.0,18835000000.0,8913000000.0,,-7399000000.0,-748000000.0,-315000000.0,-464000000.0,-0.8600000000000003,-2730825.100000024,-104000000.0,-95000000.0,833000000.0,-199000000.0,8913000000.0,14.3665,1.0636,-0.8600000000000003,-0.039713299707990445,-0.009923714759535655,0.1010947425327747,0.026895526422489525,0.4732147597557738,14127000000.0,1064000000.0,2918000000.0,522000000.0,,,0.5870439,114.9,78.98,0.71908,22189.848,13.3112,1.1647,1.2007
2012-03-31,77240000000.0,53119000000.0,19428000000.0,8954000000.0,,3744000000.0,367000000.0,111000000.0,222000000.0,0.92,397440000.0,328000000.0,238000000.0,,90000000.0,8954000000.0,15.2569,1.1119,0.92,0.018890261478278773,0.004751424132573796,0.09802350427350427,0.02403846153846154,0.46088120238830554,14203000000.0,1049000000.0,2029000000.0,482000000.0,3.55,3.55,0.5870439,114.9,78.98,0.71908,22189.848,13.3112,1.1647,1.2007
2012-06-30,77328000000.0,53087000000.0,19505000000.0,9048000000.0,,7132000000.0,423000000.0,222000000.0,238000000.0,1.06,397300000.0,1106000000.0,530000000.0,,576000000.0,9048000000.0,19.012,1.1449,1.06,0.021686746987951807,0.005470204841713222,0.05931015143017387,0.08076275939427931,0.4638810561394514,14125000000.0,838000000.0,1989000000.0,424000000.0,3.07,3.07,0.5870439,114.9,78.98,0.71908,22189.848,13.3112,1.1647,1.2007
2012-09-30,79554000000.0,54692000000.0,19839000000.0,8848000000.0,,10847000000.0,600000000.0,331000000.0,337000000.0,1.51,396640000.0,2102000000.0,825000000.0,,1277000000.0,8848000000.0,18.8714,1.1353,1.51,0.030243459851807045,0.0075420469115317895,0.05531483359454227,0.1177284041670508,0.4459902212813146,14324000000.0,642000000.0,1744000000.0,349000000.0,2.63,2.63,0.5870439,114.9,78.98,0.71908,22189.848,13.3112,1.1647,1.2007
2012-12-31,80021000000.0,55345000000.0,19459000000.0,9191000000.0,,-7171000000.0,-822000000.0,-224000000.0,-508000000.0,-2.0600000000000005,-795510000.0,-682000000.0,-357000000.0,,-1039000000.0,9191000000.0,28.1088,1.0857,-2.0600000000000005,-0.04224266406290148,-0.010272303520325914,0.11462836424487519,0.14488913680100404,0.47232642992959556,14552000000.0,568000000.0,904000000.0,440000000.0,1.4299999999999997,1.4299999999999997,0.5870439,114.9,78.98,0.71908,22189.848,13.3112,1.1647,1.2007
2013-03-31,80614000000.0,55896000000.0,19467000000.0,9418000000.0,,3734000000.0,242000000.0,108000000.0,114000000.0,0.62,392160000.0,608000000.0,602000000.0,,6000000.0,9418000000.0,38.7596,1.1784,0.62,0.012431293984692043,0.0030019599573275113,0.06480985538296732,0.0016068559185859668,0.4837930857348333,14542000000.0,443000000.0,820000000.0,437000000.0,1.1299999999999997,1.1299999999999997,0.5870439,114.9,78.98,0.71908,22189.848,13.3112,1.1647,1.2007
2013-06-30,80046000000.0,55404000000.0,19151000000.0,10039000000.0,,7459000000.0,511000000.0,220000000.0,283000000.0,1.0,390880000.0,503000000.0,1150000000.0,,-647000000.0,10039000000.0,26.4265,1.172,1.0,0.026682679755626337,0.0063838292981535615,0.06850784287437994,-0.08674084997989007,0.524202391520025,14869000000.0,531000000.0,-403000000.0,435000000.0,1.0699999999999996,1.0699999999999996,0.5870439,114.9,78.98,0.71908,22189.848,13.3112,1.1647,1.2007
2013-09-30,79510000000.0,54689000000.0,19355000000.0,,,11163000000.0,793000000.0,329000000.0,419000000.0,2.0,389960000.0,1329000000.0,1307000000.0,,22000000.0,0.0,23.7815,1.2374,2.0,0.040971325238956344,0.009973588227895862,0.07103825136612021,0.0019707963809011916,0.0,15185000000.0,724000000.0,-1658000000.0,433000000.0,1.5599999999999996,1.5599999999999996,0.5870439,114.9,78.98,0.71908,22189.848,13.3112,1.1647,1.2007
2013-12-31,79939000000.0,55033000000.0,19458000000.0,10006000000.0,,-7303000000.0,-951000000.0,-215000000.0,-456000000.0,-2.09,,-343000000.0,-1322000000.0,,-1665000000.0,10006000000.0,17.5056,1.2716,-2.09,-0.048874498920752386,-0.011896571135490811,0.13022045734629603,0.22798849787758454,0.5142357899064652,15053000000.0,595000000.0,-2284000000.0,442000000.0,1.5300000000000002,1.5300000000000002,0.5870439,114.9,78.98,0.71908,22189.848,13.3112,1.1647,1.2007
2014-03-31,,,,,,3743000000.0,59000000.0,124000000.0,92000000.0,,388.0,,758000000.0,,,0.0,19.2793,1.156,,,,0.01576275714667379,,,15062000000.0,412000000.0,,458000000.0,,,0.5870439,114.9,78.98,0.71908,22189.848,13.3112,1.1647,1.2007
2014-06-30,,,,,,7281000000.0,175000000.0,248000000.0,248000000.0,,387.0,,1152000000.0,,,0.0,23.2692,1.1564,,,,0.02403516000549375,,,14884000000.0,76000000.0,,486000000.0,,,0.5870439,114.9,78.98,0.71908,22189.848,13.3112,1.1647,1.2007
2014-09-30,,,,,,10804000000.0,383000000.0,369000000.0,347000000.0,1.0,385.0,,1595000000.0,,,0.0,23.9624,1.0762,1.0,,,0.03544983339503888,,,14525000000.0,-334000000.0,,526000000.0,,,0.5870439,114.9,78.98,0.71908,22189.848,13.3112,1.1647,1.2007
2014-12-31,,,,,,-7503000000.0,-26000000.0,-243000000.0,-230000000.0,0.0,,,-752000000.0,,,0.0,26.5132,1.088,0.0,,,0.0034652805544448887,,,14325000000.0,591000000.0,,498000000.0,,,0.5870439,114.9,78.98,0.71908,22189.848,13.3112,1.1647,1.2007
2015-03-31,,,,,,3478000000.0,109000000.0,131000000.0,56000000.0,0.0,373.0,,453000000.0,,,0.0,23.7072,1.07,0.0,,,0.03133985048878666,,,14060000000.0,641000000.0,,505000000.0,,,0.5870439,114.9,78.98,0.71908,22189.848,13.3112,1.1647,1.2007
2015-06-30,,,,,,6913000000.0,279000000.0,265000000.0,104000000.0,0.0,371.0,,,,,0.0,20.578,1.0165,0.0,,,0.04035874439461883,,,13692000000.0,745000000.0,,522000000.0,1.0,1.0,0.5870439,114.9,78.98,0.71908,22189.848,13.3112,1.1647,1.2007
2015-09-30,,,,,,10082000000.0,461000000.0,393000000.0,170000000.0,,368030000.0,,,,,0.0,19.6141,0.9535,,,,0.04572505455266812,,,12970000000.0,823000000.0,,546000000.0,,,0.5870439,114.9,78.98,0.71908,22189.848,13.3112,1.1647,1.2007
2015-12-31,,,,,,-7058000000.0,-589000000.0,-269000000.0,-373000000.0,0.0,,,,,,0.0,52.3338,1.0026,0.0,,,0.08345140266364409,,,13415000000.0,260000000.0,,520000000.0,,,0.5870439,114.9,78.98,0.71908,22189.848,13.3112,1.1647,1.2007
2016-03-31,,,,,,3173000000.0,102000000.0,143000000.0,-4000000.0,,339250000.0,,,,,0.0,51.2664,0.9769,,,,0.032146233848093286,,,13110000000.0,253000000.0,,532000000.0,,,0.5870439,114.9,78.98,0.71908,22189.848,13.3112,1.1647,1.2007
2016-06-30,,,,,,6480000000.0,37000000.0,273000000.0,8000000.0,,339100000.0,,,,,0.0,773.9,1.0607,,,,0.005709876543209876,,,12677000000.0,11000000.0,,540000000.0,,,0.5870439,114.9,78.98,0.71908,22189.848,13.3112,1.1647,1.2007
2016-09-30,,,,,,9767000000.0,364000000.0,403000000.0,171000000.0,,338610000.0,,,,,0.0,85.1037,1.0499,,,,0.037268352615951676,,,12362000000.0,-86000000.0,,550000000.0,,,0.5870439,114.9,78.98,0.71908,22189.848,13.3112,1.1647,1.2007
