report_date,total_assets,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,net_income,income_tax,eps_diluted,operating_cash_flow,total_debt,bf_pe,bf_ps,eps,roe,roa,net_margin,debt_equity,revenue_ttm,net_income_ttm,eps_diluted_ttm,eps_ttm,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-03-31,140836700000.0,132148500000.0,8555600000.0,1578300000.0,131600000.0,1629700000.0,2264000000.0,199000000.0,52700000.0,0.59,,1709900000.0,13.3254,0.975,0.59,0.02325961943054841,0.0014129839736375532,0.08789752650176678,0.19985740333816449,,,,,0.8877072,97.88,68.39,1.88692,19536.834,16.4854,1.6307,1.2205
2010-06-30,136596500000.0,127524800000.0,8929500000.0,1572400000.0,126500000.0,1827300000.0,4497600000.0,341300000.0,66300000.0,1.01,,1698900000.0,10.9504,0.7841,1.01,0.0382216249510051,0.002498599890919606,0.0758849163998577,0.19025701327061986,,,,,0.8877072,97.88,68.39,1.88692,19536.834,16.4854,1.6307,1.2205
2010-09-30,143456600000.0,133422300000.0,9895500000.0,1582100000.0,132100000.0,2268800000.0,6786100000.0,491700000.0,78500000.0,1.45,,1714200000.0,12.9342,0.8767,1.45,0.04968925269061695,0.003427517451270977,0.07245693402690795,0.17323025617705018,,,,,0.8877072,97.88,68.39,1.88692,19536.834,16.4854,1.6307,1.2205
2010-12-31,145631100000.0,135746100000.0,9727800000.0,1583700000.0,107900000.0,1877400000.0,-4389100000.0,-332700000.0,-73400000.0,-0.9899999999999998,,1691600000.0,14.9159,1.1032,-0.9899999999999998,-0.034200949855054584,-0.0022845394974013106,0.0758014171470233,0.1738933777421411,9158600000.0,699300000.0,2.06,2.06,0.8877072,97.88,68.39,1.88692,19536.834,16.4854,1.6307,1.2205
2011-03-31,147549700000.0,137176900000.0,10187600000.0,1579800000.0,106800000.0,1984200000.0,2219800000.0,204500000.0,60400000.0,0.6,,1686600000.0,14.9415,1.1044,0.6,0.020073422592170875,0.0013859736753107598,0.09212541670420758,0.16555420314892613,9114400000.0,704800000.0,2.0700000000000003,2.0700000000000003,0.8877072,97.88,68.39,1.88692,19536.834,16.4854,1.6307,1.2205
2011-06-30,149278400000.0,138610800000.0,10402200000.0,1582100000.0,107900000.0,2169600000.0,4561800000.0,470800000.0,142800000.0,1.4,,1690000000.0,12.6318,1.0467,1.4,0.0452596566111015,0.0031538387335341214,0.10320487526853435,0.16246563227009672,9178600000.0,834300000.0,2.46,2.46,0.8877072,97.88,68.39,1.88692,19536.834,16.4854,1.6307,1.2205
2011-09-30,143302300000.0,133012900000.0,9980300000.0,1570400000.0,73800000.0,1434200000.0,5523200000.0,466800000.0,286400000.0,,1885400000.0,1644200000.0,10.1016,0.7809,,0.046772141118002465,0.003257449461732296,0.0845162224797219,0.1647445467571115,7915700000.0,809400000.0,,,0.8877072,97.88,68.39,1.88692,19536.834,16.4854,1.6307,1.2205
2011-12-31,148298000000.0,138285000000.0,9637000000.0,1564800000.0,105200000.0,2833900000.0,-5280600000.0,-547000000.0,-191900000.0,,827900000.0,1670000000.0,11.8097,0.8741,,-0.05676040261492166,-0.003688519062967808,0.10358671363102678,0.17329044308394728,7024200000.0,595100000.0,,,0.8877072,97.88,68.39,1.88692,19536.834,16.4854,1.6307,1.2205
2012-03-31,153738200000.0,143986300000.0,9364900000.0,1570800000.0,101200000.0,1651900000.0,2095900000.0,209700000.0,58200000.0,0.66,901700000.0,1672000000.0,13.3489,1.0337,0.66,0.02239212378135378,0.0013640071237987696,0.1000524834200105,0.17853901269634487,6900300000.0,600300000.0,,,0.8877072,97.88,68.39,1.88692,19536.834,16.4854,1.6307,1.2205
2012-06-30,152050700000.0,142555300000.0,9422700000.0,1576900000.0,262900000.0,1646600000.0,4214500000.0,391100000.0,109100000.0,1.24,1502000000.0,1839800000.0,12.5598,0.9188,1.24,0.04150615004192004,0.0025721683622633765,0.09279867125400404,0.19525189170832138,6553000000.0,520600000.0,,,0.8877072,97.88,68.39,1.88692,19536.834,16.4854,1.6307,1.2205
