report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,gross_profit,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,roe,roa,net_margin,gross_margin,fcf_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,gross_profit_ttm,fcf_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-03-31,,,,,,,,,,,,,,,,-115818000.0,,,0.0,,17.2277,1.0447,,,,,,,,,,,,,,,,1.2773997,379.65,308.84,1.65538,77335.46,30.1092,17.4684,3.2805
2010-06-30,4740286000.0,2139922000.0,1833541000.0,,1531226000.0,699815000.0,199487000.0,48401000.0,3708546000.0,1663861000.0,214309000.0,37909000.0,104398000.0,1.94,109460619.0,236456000.0,47453000.0,189003000.0,899302000.0,,16.5506,1.0305,1.94,0.13995909160372147,0.045210141329025295,0.0577878769738868,0.4486558883184946,0.050964178413858155,0.5873084704674555,1.1670979814468287,,,,,,,,1.2773997,379.65,308.84,1.65538,77335.46,30.1092,17.4684,3.2805
2010-09-30,5180683000.0,2325102000.0,2125101000.0,,1643136000.0,705472000.0,354556000.0,64948000.0,5880805000.0,2635446000.0,389567000.0,49219000.0,184519000.0,3.53,109095936.0,477610000.0,76116000.0,401494000.0,1060028000.0,,17.8286,1.0843,3.53,0.23708749610500895,0.07519606970741116,0.06624382206177555,0.4481437490275566,0.0682719457625274,0.6451249318376567,1.0941136444808977,,,,,,,,1.2773997,379.65,308.84,1.65538,77335.46,30.1092,17.4684,3.2805
2010-12-31,5169235000.0,2213722000.0,2063940000.0,,1609440000.0,648326000.0,388592000.0,58585000.0,-1812927000.0,-818229000.0,-141391000.0,-16533000.0,-73618000.0,-1.2599999999999998,,108342000.0,1593000.0,106749000.0,1036918000.0,1.0727,19.545,1.1624,-1.2599999999999998,-0.08785105378268218,-0.027352403208598563,0.07799045411094876,0.4513303624470263,-0.058882128182767425,0.6442725420021871,1.072570908069033,,,,,,,,1.2773997,379.65,308.84,1.65538,77335.46,30.1092,17.4684,3.2805
2011-03-31,5443653000.0,2466400000.0,2327162000.0,,1607892000.0,650881000.0,678395000.0,53947000.0,1855586000.0,797408000.0,68316000.0,10675000.0,26397000.0,0.63,107362669.0,-153166000.0,26951000.0,-180117000.0,1329276000.0,,17.9484,1.1085,0.63,0.042487928293691364,0.012549661045625061,0.03681640193448323,0.4297337876013292,-0.09706744931250828,0.8267197050548171,1.0598316748039027,9632010000.0,530801000.0,4278486000.0,517129000.0,81270000.0,4.84,4.84,1.2773997,379.65,308.84,1.65538,77335.46,30.1092,17.4684,3.2805
2011-06-30,5633769000.0,2638182000.0,2389812000.0,,1746812000.0,644255000.0,571130000.0,71563000.0,4210337000.0,1820163000.0,247431000.0,22422000.0,104298000.0,2.29,107104025.0,108166000.0,68929000.0,39237000.0,1215385000.0,,17.9855,1.0767,2.29,0.14164718355495612,0.043919266125394915,0.0587675048339361,0.43230815015520135,0.009319206514822922,0.6957732142898033,1.103928677234862,10133801000.0,563923000.0,4434788000.0,367363000.0,65783000.0,5.1899999999999995,5.1899999999999995,1.2773997,379.65,308.84,1.65538,77335.46,30.1092,17.4684,3.2805
2011-09-30,5490139000.0,2509393000.0,2354729000.0,5490139000.0,1635302000.0,641257000.0,517499000.0,46026000.0,6695257000.0,2858462000.0,427308000.0,32874000.0,184697000.0,3.98,106161544.0,445963000.0,,,1158756000.0,,15.4168,0.8976,3.98,0.2613021937232389,0.0778319091738843,0.06382249404317115,0.4269383535239947,,0.7085883830631895,1.065682292951758,10948253000.0,601664000.0,4657804000.0,,49438000.0,5.640000000000001,5.640000000000001,1.2773997,379.65,308.84,1.65538,77335.46,30.1092,17.4684,3.2805
2011-12-31,5229252000.0,2261593000.0,2162661000.0,5229252000.0,1516919000.0,639231000.0,346313000.0,32696000.0,-3995481000.0,-1731471000.0,-301195000.0,-23474000.0,-15704000.0,-2.7600000000000007,,334849000.0,,,985544000.0,1.0458,21.3673,1.0772,-2.7600000000000007,-0.1985570752294618,-0.05759810389707744,0.07538391497794633,0.4333573354497243,,0.6497011376349033,1.0457454959422674,8765699000.0,441860000.0,3744562000.0,,42497000.0,4.139999999999999,4.139999999999999,1.2773997,379.65,308.84,1.65538,77335.46,30.1092,17.4684,3.2805
2012-03-31,5456919000.0,2477126000.0,2395212000.0,5456919000.0,1508597000.0,637884000.0,677021000.0,25493000.0,2136344000.0,909839000.0,100216000.0,10337000.0,42099000.0,0.95,104458088.0,-154839000.0,,,1314905000.0,,23.936,1.2536,0.95,0.06642993456834397,0.01836494182889649,0.046910048194485535,0.42588599963301793,,0.8716078581622527,1.0341990604589488,9046457000.0,473760000.0,3856993000.0,,42159000.0,4.459999999999999,4.459999999999999,1.2773997,379.65,308.84,1.65538,77335.46,30.1092,17.4684,3.2805
2012-06-30,5626375000.0,2624002000.0,2531803000.0,5626375000.0,1539253000.0,635589000.0,604985000.0,46616000.0,4709366000.0,2060436000.0,328029000.0,20567000.0,142089000.0,3.13,104100046.0,202112000.0,,,1240574000.0,,25.9791,1.4652,3.13,0.2131092159638474,0.0583020150629846,0.06965459894176838,0.43751876579565063,,0.8059584746627098,1.0364163404498692,9545486000.0,554358000.0,4097266000.0,,40304000.0,5.299999999999999,5.299999999999999,1.2773997,379.65,308.84,1.65538,77335.46,30.1092,17.4684,3.2805
2012-09-30,5625265000.0,2609395000.0,2292024000.0,5625265000.0,1779410000.0,635348000.0,330148000.0,55181000.0,7312592000.0,3210718000.0,562982000.0,30925000.0,250134000.0,5.37,103968124.0,569265000.0,,,965496000.0,,26.4552,1.6285,5.37,0.31638689228452127,0.10008097396300442,0.07698802285154156,0.4390670230200181,,0.5425933314975189,1.1384675727653812,10162821000.0,690032000.0,4449522000.0,,38355000.0,6.6899999999999995,6.6899999999999995,1.2773997,379.65,308.84,1.65538,77335.46,30.1092,17.4684,3.2805
