report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,cash,shares_outstanding,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-06-30,20267154000.0,4456824000.0,2394645000.0,12806166000.0,5851771000.0,,3518835000.0,,2929364000.0,308595000.0,59388000.0,155152000.0,21275000.0,,,637905000.0,1127268000.0,323783000.0,-489363000.0,0.0,,,2.7303,,632378000.0,0.010148722497855778,0.0029302584862186372,0.020273342609522068,0.10534539237868698,0.015226360839810068,0.052735317222768974,-0.16705435036410635,0.21587552793029477,0.0,1.8611627193174771,,,,,,,,,,,0.9081792,70.4545,30.18,3.72663,36511.645,22.4411,27.679,2.8049
2010-09-30,20247997000.0,3313560000.0,2315961000.0,12445778000.0,6111539000.0,,2394712000.0,,4838136000.0,691900000.0,273885000.0,231875000.0,46436000.0,0.17,782156007.0,1207998000.0,1650264000.0,510521000.0,-442266000.0,0.0,,111.5316,3.7611,0.17,1202421000.0,0.04481440763120386,0.013526523142017455,0.05660961163555551,0.14300962188743765,0.034171281238336806,0.11321207309648192,-0.09141247786337549,0.24852980569376304,0.0,1.4307494815327202,,,,,,,,,,,0.9081792,70.4545,30.18,3.72663,36511.645,22.4411,27.679,2.8049
2011-03-31,21236990000.0,4205285000.0,2586974000.0,12411208000.0,6957581000.0,,3133941000.0,,2111919000.0,485927000.0,289323000.0,73585000.0,45211000.0,0.28,811239242.0,418378000.0,332508000.0,190237000.0,85870000.0,0.0,,35.2087,4.0198,0.28,676164000.0,0.041583849329242445,0.013623540812516275,0.1369953108997078,0.23008789636344953,0.022881161595875874,0.06984137159164945,0.040659703331425115,0.3201656881726998,0.0,1.6255613701567933,,,,,,,,,,,0.9081792,70.4545,30.18,3.72663,36511.645,22.4411,27.679,2.8049
2011-06-30,21737157000.0,4721305000.0,2739342000.0,12370507000.0,7397998000.0,,3479106000.0,,4457015000.0,1094049000.0,699960000.0,144177000.0,99585000.0,0.73,811243195.0,1081523000.0,720696000.0,396398000.0,360827000.0,0.0,,24.8154,3.6715,0.73,1490447000.0,0.09461478632462458,0.03220108314992618,0.15704681272107004,0.24546675297256124,0.05033082293144407,0.14788446820342477,0.08095709796803466,0.3344047529568557,0.0,1.7235179105055156,14336434000.0,1322556000.0,2580471000.0,-484932000.0,4001410000.0,604789000.0,,,0.0,4.266729388265991,0.9081792,70.4545,30.18,3.72663,36511.645,22.4411,27.679,2.8049
2011-09-30,21965251000.0,5342656000.0,2332971000.0,12267013000.0,7629156000.0,9282084000.0,3951575000.0,,6866390000.0,1726605000.0,1124839000.0,214938000.0,151960000.0,1.17,811550683.0,1929173000.0,1087605000.0,596469000.0,841568000.0,9282084000.0,,19.3022,3.1521,1.17,2323074000.0,0.14743950706998257,0.05120993154141512,0.1638181052925919,0.2514574616355902,0.0786062039536903,0.10209807205148765,0.12256338483540842,0.3383253791293533,1.2166593526203946,2.290065328716045,18273460000.0,2388007000.0,3998481000.0,845999000.0,5692106000.0,664575000.0,2.35,2.35,1.630694157838944,6.016598578038596,0.9081792,70.4545,30.18,3.72663,36511.645,22.4411,27.679,2.8049
2011-12-31,22244123000.0,5397152000.0,2498706000.0,12804971000.0,7850689000.0,9577131000.0,3902718000.0,,-4024579000.0,-916694000.0,-553999000.0,-149751000.0,-85052000.0,-0.6199999999999997,-1622216433.0,-766578000.0,-632316000.0,-388700000.0,-1398894000.0,9577131000.0,2.16,20.8949,3.464,-0.6199999999999997,-1305394000.0,-0.07056692731045644,-0.024905409846906527,0.1376539011906587,0.22777388641147311,-0.04121061549605709,-0.052599464534290576,0.3475876607217798,0.3243554170510754,1.2199096155764162,2.1599788050294833,9410745000.0,1560123000.0,2389887000.0,-110629000.0,3184291000.0,282949000.0,1.5600000000000005,1.5600000000000005,3.007618022347832,8.446352522892818,0.9081792,70.4545,30.18,3.72663,36511.645,22.4411,27.679,2.8049
2012-03-31,22871032000.0,5722739000.0,2492818000.0,12573184000.0,8806476000.0,9382649000.0,4056360000.0,,2762742000.0,707554000.0,498942000.0,64672000.0,63171000.0,0.61,818797155.0,667451000.0,398260000.0,194747000.0,269191000.0,9382649000.0,,24.0658,4.233,0.61,902301000.0,0.05665626068815722,0.02181545633795624,0.18059666809278607,0.2561057094726905,0.030936688821037898,0.0388998371279542,0.09743617029747982,0.3265961859630758,1.0654260569153882,2.295690660128417,10061568000.0,1769742000.0,2611514000.0,72692000.0,3410428000.0,274036000.0,1.8900000000000001,1.8900000000000001,2.751164663203563,9.52982089944387,0.9081792,70.4545,30.18,3.72663,36511.645,22.4411,27.679,2.8049
2012-06-30,22416806000.0,5225597000.0,2249470000.0,12229776000.0,8828748000.0,9276476000.0,3522000000.0,,5344648000.0,1105282000.0,739529000.0,129205000.0,102256000.0,0.9,822458833.0,1418319000.0,735512000.0,415187000.0,682807000.0,9276476000.0,,22.0999,3.4329,0.9,1520469000.0,0.08376374543706537,0.03298993621125151,0.13836813949206758,0.20680164530947595,0.049305953756302305,0.06104768435894524,0.12775527967417125,0.28448440383725926,1.0507125132578254,2.323034759298857,10949201000.0,1809311000.0,2622747000.0,394672000.0,3440450000.0,259064000.0,2.0600000000000005,2.0600000000000005,2.6962972866921477,10.123934626192755,0.9081792,70.4545,30.18,3.72663,36511.645,22.4411,27.679,2.8049
2012-09-30,23158362000.0,5599077000.0,2519977000.0,12634308000.0,9068196000.0,9397866000.0,3745415000.0,,8054130000.0,1639377000.0,1089311000.0,191497000.0,135607000.0,1.32,823361035.0,2172833000.0,1062778000.0,641725000.0,1110055000.0,9397866000.0,,24.9048,3.5826,1.32,2281102000.0,0.12012433343963894,0.04703748045738295,0.13524874815777743,0.20354488939215037,0.07078985119932057,0.08877783471104993,0.13782432118677002,0.2832214031807284,1.0363545296109613,2.2218762314100484,12136941000.0,1773783000.0,2535519000.0,663159000.0,3398478000.0,235623000.0,2.2100000000000004,2.2100000000000004,2.765316120922366,10.760914681503928,0.9081792,70.4545,30.18,3.72663,36511.645,22.4411,27.679,2.8049
2012-12-31,22163652000.0,4477514000.0,2622823000.0,13505240000.0,7061842000.0,10132265000.0,2512766000.0,,-5030388000.0,-1140831000.0,-803689000.0,-126810000.0,-120271000.0,-0.98,-1640060987.0,-1200846000.0,-747316000.0,-359613000.0,-1948162000.0,10132265000.0,1.7071,24.9397,3.4148,-0.98,-1500444000.0,-0.11380727577875574,-0.036261578191175356,0.15976680128848908,0.22678787401687503,-0.05147306048660212,-0.06635011635091023,0.387278675124066,0.2982759977957963,1.4347906679305484,1.7071354033421242,11131132000.0,1524093000.0,2311382000.0,113891000.0,3203428000.0,258564000.0,1.85,1.85,3.1629445081955954,8.939303228601043,0.9081792,70.4545,30.18,3.72663,36511.645,22.4411,27.679,2.8049
