report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,shares_outstanding,revenue,gross_profit,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,fcf,total_debt,bf_current_ratio,bf_ps,bf_pe,eps,ebitda,roe,roa,net_margin,gross_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,gross_profit_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pb_annual,bf_ps_ttm
2010-07-03,1313634000.0,1004566000.0,215814000.0,,1036932000.0,,3776000.0,434544000.0,,805789000.0,456304000.0,115609000.0,90392000.0,117000.0,24008000.0,1.33,68111000.0,70648000.0,17626000.0,53022000.0,3776000.0,,1.4096,12.3532,1.33,115609000.0,0.08717254361906085,0.06881064284267917,0.11217825013744293,0.5662822401397885,0.14347304319120763,0.08800700956278537,0.11108687547323552,0.06580134501711987,0.14347304319120763,0.0036415116902554843,4.6547767985394835,,,,,,,,,,,,1.7830803,5.0,0.857,0.5197,271.3531,2.0138,0.2702
2010-10-02,1434907000.0,1109590000.0,293023000.0,,1071713000.0,,3996000.0,362200000.0,,1329614000.0,755047000.0,226879000.0,158548000.0,164000.0,64361000.0,2.33,68060000.0,42528000.0,31961000.0,10567000.0,3996000.0,,1.9063,15.4887,2.33,226879000.0,0.14793886049716667,0.11049357205728315,0.11924363010618119,0.5678693214722468,0.17063523699359362,0.15811407986719697,0.21091112931099396,0.007947419326210464,0.17063523699359362,0.0037286101782846716,3.78669933759466,,,,,,,,,,,,1.7830803,5.0,0.857,0.5197,271.3531,2.0138,0.2702
2011-01-01,1467573000.0,1140817000.0,339488000.0,,1051708000.0,4513000.0,5314000.0,392794000.0,,2030690000.0,1155164000.0,376414000.0,255205000.0,1119000.0,119320000.0,3.77,67687000.0,209177000.0,46538000.0,162639000.0,9827000.0,3.3602,2.3283,18.5199,3.77,376414000.0,0.24265765782897913,0.17389594929860389,0.12567403197927798,0.5688529514598486,0.185362610738222,0.2564874115291028,0.35459405483568607,0.08009051110706213,0.185362610738222,0.009343848292491833,3.360404491469507,,,,,,,,,,,,1.7830803,5.0,0.857,0.5197,271.3531,2.0138,0.2702
2011-04-02,1427299000.0,1089375000.0,306627000.0,,1031727000.0,4522000.0,5165000.0,346740000.0,,536975000.0,301812000.0,92556000.0,55822000.0,225000.0,31192000.0,0.86,64846000.0,53132000.0,9932000.0,43200000.0,9687000.0,,2.7379,21.6333,0.86,92556000.0,0.05410539803649609,0.039110235486748045,0.10395642255226034,0.5620596862051306,0.1723655663671493,0.06484695918654745,0.08887531759703633,0.08045067275012803,0.1723655663671493,0.009389111654536519,3.5527693255975503,4703068000.0,559967000.0,811458000.0,2668327000.0,269428000.0,811458000.0,1625000.0,8.290000000000001,8.290000000000001,0.01193777127097151,499.3587692307692,1.7830803,5.0,0.857,0.5197,271.3531,2.0138,0.2702
2011-07-02,1493573000.0,1150840000.0,345429000.0,,1045123000.0,4814000.0,8870000.0,323454000.0,,1093635000.0,613788000.0,178818000.0,107182000.0,874000.0,58850000.0,1.66,64477000.0,83167000.0,30429000.0,52738000.0,13684000.0,,3.3464,28.5154,1.66,178818000.0,0.10255443617641177,0.07176214353098241,0.09800527598330339,0.5612366100207108,0.1635079345485468,0.11972498163799158,0.1688863031695106,0.04822267026933118,0.1635079345485468,0.013093195729115138,3.33162531229283,4990914000.0,576757000.0,874667000.0,2825811000.0,269144000.0,874667000.0,2382000.0,8.620000000000001,8.620000000000001,0.015644811110971376,367.1985726280437,1.7830803,5.0,0.857,0.5197,271.3531,2.0138,0.2702
2011-10-01,1536190000.0,1149924000.0,361824000.0,1536190000.0,1067158000.0,4304000.0,10570000.0,231155000.0,,1736546000.0,973317000.0,297627000.0,176792000.0,1321000.0,98156000.0,2.75,64241000.0,82729000.0,70237000.0,12492000.0,14874000.0,,1.9486,17.3677,2.75,297627000.0,0.16566619001122607,0.11508472259290843,0.10180668983142399,0.5604901914490028,0.17139021943559227,0.19374361244377322,0.2750630295591997,0.0071935900344707255,0.17139021943559227,0.013937954829556636,3.178130803926771,5397846000.0,595001000.0,945415000.0,3044081000.0,271069000.0,945415000.0,3539000.0,9.04,9.04,0.015732773438119768,267.14184797965527,1.7830803,5.0,0.857,0.5197,271.3531,2.0138,0.2702
2011-12-31,1642922000.0,1235402000.0,391278000.0,1642922000.0,1116846000.0,6236000.0,9009000.0,287498000.0,,-799854000.0,-449731000.0,-97010000.0,-45094000.0,-29000.0,-44041000.0,-0.6599999999999993,-129599000.0,32239000.0,-746000.0,31493000.0,15245000.0,3.1572,1.9327,16.8376,-0.6599999999999993,-97010000.0,-0.04037620226960566,-0.027447438162006475,0.05637778894648273,0.5622663636113591,0.12128463444578635,-0.05904723413527849,-0.08569099127190305,-0.03937343565200649,0.12128463444578635,0.013650046649224692,3.1573510394144315,2567302000.0,294702000.0,471991000.0,1439186000.0,139923000.0,471991000.0,2391000.0,4.610000000000001,4.610000000000001,0.03229934469089453,197.40317858636553,1.7830803,5.0,0.857,0.5197,271.3531,2.0138,0.2702
2012-03-31,1571360000.0,1157294000.0,296715000.0,1571360000.0,1122360000.0,7738000.0,12854000.0,260478000.0,,589533000.0,328980000.0,82861000.0,58140000.0,814000.0,23524000.0,0.93,62459000.0,35499000.0,10029000.0,25470000.0,20592000.0,,3.1559,27.8392,0.93,82861000.0,0.05180156099647172,0.03699979635475002,0.09862043346174006,0.5580349191648305,0.14055362464866258,0.05273202830668974,0.07249735771930929,0.04320368834314618,0.14055362464866258,0.018347054421041377,3.9003555600492055,2619860000.0,297020000.0,462296000.0,1466354000.0,122193000.0,462296000.0,2980000.0,4.680000000000001,4.680000000000001,0.044542890269437765,155.13288590604026,1.7830803,5.0,0.857,0.5197,271.3531,2.0138,0.2702
2012-06-30,1709508000.0,1050583000.0,324121000.0,1709508000.0,1131933000.0,105880000.0,7236000.0,138836000.0,,1225638000.0,685341000.0,170958000.0,115478000.0,2243000.0,51229000.0,1.86,62250000.0,136388000.0,30147000.0,106241000.0,113116000.0,,1.718,15.3102,1.86,170958000.0,0.10201840568302188,0.06755042971428037,0.09421868447290309,0.559170815526281,0.13948490500457722,0.10000421173811412,0.13731025847175493,0.08668220143304957,0.13948490500457722,0.09993170973900399,3.2413296268985965,2751863000.0,305316000.0,454436000.0,1537907000.0,175696000.0,454436000.0,4349000.0,4.880000000000001,4.880000000000001,0.2489151387654147,104.4920671418717,1.7830803,5.0,0.857,0.5197,271.3531,2.0138,0.2702
2012-09-29,1851075000.0,1175275000.0,385840000.0,1851075000.0,1147415000.0,178892000.0,5953000.0,142837000.0,,1909807000.0,1066865000.0,284045000.0,192269000.0,3680000.0,85213000.0,3.11,61804000.0,168501000.0,59710000.0,108791000.0,184845000.0,,1.9099,16.8791,3.11,284045000.0,0.16756709647337711,0.1038688329754332,0.10067457078123601,0.5586245102253788,0.14872968839259673,0.15344867171778562,0.2132053803311666,0.056964394831519626,0.14872968839259673,0.16109690042399655,3.0460164835164836,2925124000.0,320793000.0,440854000.0,1631455000.0,271995000.0,440854000.0,6708000.0,5.24,5.24,0.419288471920409,65.7206320810972,1.7830803,5.0,0.857,0.5197,271.3531,2.0138,0.2702
