report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,cash,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,fcf_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2015-09-30,834428000.0,264000.0,1185000.0,81272000.0,1000.0,,13927000.0,,,,-5000.0,,,845000.0,97000.0,,748000.0,0.0,,,,,,,,,,,,0.05370862353701443,,0.0,0.22278481012658227,,,,,,,0.8503607,28.98,22.78,0.67031,2606.4448,23.1964,1.5361,8.8615
2015-12-31,929437000.0,,,487795000.0,441642000.0,,33456000.0,,5699000.0,2203000.0,2944000.0,0.0,6264000.0,21693000.0,556000.0,3758000.0,21137000.0,0.0,12.4177,,,0.0,,0.012904116909170777,0.006131668956583394,0.17034313725490197,,,,0.631785031085605,,0.0,,,,,,,,0.8503607,28.98,22.78,0.67031,2606.4448,23.1964,1.5361,8.8615
2016-03-31,864673000.0,,,427469000.0,437204000.0,,31111000.0,,94283000.0,4182000.0,-80556000.0,1.0,59864000.0,16096000.0,5000.0,5187000.0,16091000.0,0.0,12.4177,,,1.0,,0.2156499025626481,0.10903890835032434,3.0305358233422264,,,,0.5172125614734339,,0.0,,,,,,,,0.8503607,28.98,22.78,0.67031,2606.4448,23.1964,1.5361,8.8615
2016-06-30,864700000.0,,,428871000.0,435829000.0,,62023000.0,,109085000.0,8039000.0,-80506000.0,1.0,59271807.0,33269000.0,24000.0,10288000.0,33245000.0,0.0,,,,1.0,,0.250293119549181,0.1261535792760495,1.7587830321009947,,,,0.5360108346903568,,0.0,,140517000.0,,71221000.0,,,,0.8503607,28.98,22.78,0.67031,2606.4448,23.1964,1.5361,8.8615
2016-09-30,866385000.0,,,427021000.0,439364000.0,,92839000.0,,124325000.0,11588000.0,-80455000.0,2.0,59469008.0,51633000.0,23742000.0,15347000.0,27891000.0,0.0,,9.8544,11.3771,2.0,,0.2829658324305132,0.14349856010895848,1.3391462639623435,,,,0.3004233134781719,,0.0,,219429000.0,333392000.0,98364000.0,26012000.0,4.0,4.0,0.8503607,28.98,22.78,0.67031,2606.4448,23.1964,1.5361,8.8615
2016-12-31,937151000.0,,,467034000.0,470117000.0,,-61955000.0,,-170884000.0,-8981000.0,161170000.0,-2.0,-119036748.0,-30059000.0,59492000.0,-10245000.0,-89551000.0,0.0,1.0455,7.8038,9.8736,-2.0,,-0.3634924922944714,-0.18234414731457363,2.758195464450004,,,,1.4454200629489145,,0.0,,124018000.0,156809000.0,-12324000.0,14828000.0,2.0,2.0,0.8503607,28.98,22.78,0.67031,2606.4448,23.1964,1.5361,8.8615
2017-03-31,943898000.0,,,466351000.0,477547000.0,,32707000.0,,15516000.0,4094000.0,45000.0,0.0,59995930.0,18989000.0,11722000.0,5409000.0,7267000.0,0.0,,17.5448,10.903,0.0,,0.032491042766471155,0.01643821684122649,0.4743938606414529,,,,0.22218485339529764,,0.0,,125614000.0,78042000.0,-21148000.0,14740000.0,1.0,1.0,0.8503607,28.98,22.78,0.67031,2606.4448,23.1964,1.5361,8.8615
2017-06-30,1054293000.0,,,546155000.0,508138000.0,,65857000.0,,33836000.0,8604000.0,106000.0,0.0,60215000.0,39234000.0,64013000.0,10829000.0,-24779000.0,0.0,,18.8399,12.0186,0.0,,0.06658821028933085,0.03209354515300775,0.5137798563554368,,,,-0.37625461226597023,,0.0,,129448000.0,2793000.0,-79172000.0,15305000.0,0.0,0.0,0.8503607,28.98,22.78,0.67031,2606.4448,23.1964,1.5361,8.8615
2017-09-30,1061774000.0,,,548091000.0,513683000.0,,99371000.0,,53044000.0,14066000.0,139000.0,0.0,60567152.0,60179000.0,70366000.0,16254000.0,-10187000.0,0.0,,18.0154,11.8028,0.0,,0.10326212858903254,0.04995790064552343,0.5337975868211048,,,,-0.102514818206519,,0.0,,135980000.0,-68488000.0,-117250000.0,17783000.0,-2.0,-2.0,0.8503607,28.98,22.78,0.67031,2606.4448,23.1964,1.5361,8.8615
2017-12-31,1068659000.0,,,546391000.0,522268000.0,,-64726000.0,,-31002000.0,-7295000.0,-308000.0,1.0,-120082248.0,-39457000.0,-50989000.0,-10681000.0,-90446000.0,0.0,2.2271,21.9585,11.7697,1.0,,-0.05936032841376458,-0.02901018940560085,0.47897290115255076,,,,1.3973673639650217,,0.0,,133209000.0,71394000.0,-118145000.0,19469000.0,1.0,1.0,0.8503607,28.98,22.78,0.67031,2606.4448,23.1964,1.5361,8.8615
2018-03-31,1075751000.0,,,547758000.0,527993000.0,53066000.0,34803000.0,,16255000.0,4855000.0,58000.0,0.0,61413978.0,21750000.0,21050000.0,5345000.0,700000.0,0.0,,19.2502,10.2632,0.0,,0.030786393001422368,0.015110374054962534,0.46705743757722035,,,,0.020113208631439818,,0.0,,135305000.0,72133000.0,-124712000.0,20230000.0,1.0,1.0,0.8503607,28.98,22.78,0.67031,2606.4448,23.1964,1.5361,8.8615
2018-06-30,1122874000.0,,,547134000.0,575740000.0,88371000.0,69479000.0,,43699000.0,9733000.0,125000.0,0.0,61661560.0,40987000.0,37989000.0,10569000.0,2998000.0,0.0,,18.6432,11.0731,0.0,,0.07590058012297217,0.038917100226739595,0.6289526331697347,,,,0.04314972869500137,,0.0,,138927000.0,81996000.0,-96935000.0,21359000.0,1.0,1.0,0.8503607,28.98,22.78,0.67031,2606.4448,23.1964,1.5361,8.8615
2018-09-30,1236178000.0,,,551100000.0,685078000.0,26890000.0,105600000.0,,61193000.0,14667000.0,189000.0,0.0,62987282.0,65815000.0,216272000.0,16312000.0,-150457000.0,0.0,,21.2633,12.1322,0.0,,0.08932267566612853,0.049501770780583376,0.5794791666666667,,,,-1.424782196969697,,0.0,,145156000.0,90145000.0,-237205000.0,21960000.0,1.0,1.0,0.8503607,28.98,22.78,0.67031,2606.4448,23.1964,1.5361,8.8615
2018-12-31,1343098000.0,,,644134000.0,698964000.0,,,,-38749000.0,-9296000.0,-110000.0,1.0,-121673891.0,-47670000.0,-7045000.0,-9872000.0,-54715000.0,0.0,3.6077,21.5383,12.3586,1.0,,-0.055437762173731406,-0.028850463629608563,,,,,,,0.0,,,82398000.0,-201474000.0,19959000.0,1.0,1.0,0.8503607,28.98,22.78,0.67031,2606.4448,23.1964,1.5361,8.8615
2019-03-31,1349557000.0,,,660339000.0,689218000.0,81013000.0,39601000.0,24003000.0,17503000.0,6747000.0,68000.0,0.26,68453720.0,32909000.0,20345000.0,6361000.0,12564000.0,0.0,,23.9689,13.5088,0.26,30364000.0,0.02539544817459788,0.012969441083259174,0.44198378828817453,0.6061210575490518,0.017785836389274407,0.03482642647174044,0.3172647155374864,0.7667483144365042,0.0,,,83646000.0,-189610000.0,21851000.0,1.26,1.26,0.8503607,28.98,22.78,0.67031,2606.4448,23.1964,1.5361,8.8615
2019-06-30,1344971000.0,,,662300000.0,682671000.0,39289000.0,,,35371000.0,13304000.0,129000.0,0.52,68475778.0,54046000.0,64598000.0,12879000.0,-10552000.0,0.0,,24.9953,12.0762,0.52,,0.05181265939229878,0.026298708299286752,,,,,,,0.0,,,75318000.0,-203160000.0,25422000.0,1.78,1.78,0.8503607,28.98,22.78,0.67031,2606.4448,23.1964,1.5361,8.8615
2019-09-30,1347780000.0,,,669269000.0,678511000.0,29789000.0,,,53702000.0,19969000.0,198000.0,0.78,68495013.0,81296000.0,81136000.0,19532000.0,160000.0,0.0,,25.8289,12.2933,0.78,,0.07914683770786325,0.0398447817893128,,,,,,,0.0,,,67827000.0,-52543000.0,30724000.0,2.56,2.56,0.8503607,28.98,22.78,0.67031,2606.4448,23.1964,1.5361,8.8615
2019-12-31,1446070000.0,,,719329000.0,726741000.0,,,,-33960000.0,-13504000.0,-130000.0,-0.5,-136792501.0,-63578000.0,39075000.0,-12460000.0,-102653000.0,0.0,0.1589,26.7564,12.1249,-0.5,,-0.04672916486065875,-0.02348434031547574,,,,,,,0.0,,,72616000.0,-100481000.0,26516000.0,1.06,1.06,0.8503607,28.98,22.78,0.67031,2606.4448,23.1964,1.5361,8.8615
2020-03-31,1563227000.0,,,861248000.0,701979000.0,90491000.0,,,19265000.0,7003000.0,61000.0,0.27,70258211.0,17115000.0,37581000.0,7054000.0,-20466000.0,0.0,,17.6547,8.0532,0.27,,0.027443840912619893,0.012323865951650016,,,,,,,0.0,,,74378000.0,-133511000.0,26772000.0,1.07,1.07,0.8503607,28.98,22.78,0.67031,2606.4448,23.1964,1.5361,8.8615
2020-06-30,1512155000.0,,,814723000.0,697432000.0,5098000.0,83358000.0,,37731000.0,14322000.0,125000.0,0.54,70288408.0,36668000.0,71963000.0,14148000.0,-35295000.0,0.0,,22.8848,10.4361,0.54,,0.05409989791119421,0.02495180718907784,0.45263801914633267,,,,-0.42341466925789967,,0.0,,,76738000.0,-158254000.0,27790000.0,1.09,1.09,0.8503607,28.98,22.78,0.67031,2606.4448,23.1964,1.5361,8.8615
2020-09-30,1573625000.0,,,815474000.0,758151000.0,17735000.0,126327000.0,,57080000.0,21732000.0,192000.0,0.81,70658500.0,65396000.0,,21670000.0,,0.0,,23.6833,10.7645,0.81,,0.075288431987823,0.03627293669076177,0.45184323224647144,,,,,,0.0,,,80116000.0,,29553000.0,1.12,1.12,0.8503607,28.98,22.78,0.67031,2606.4448,23.1964,1.5361,8.8615
2020-12-31,1668179000.0,,,823678000.0,844501000.0,,-38741000.0,,-36744000.0,-13826000.0,-131000.0,-0.54,-139596051.0,-27721000.0,120989000.0,-13439000.0,-148710000.0,0.0,0.2894,28.2708,12.7901,-0.54,,-0.04350971757286255,-0.02202641323263271,0.9484525438166284,,,,3.8385689579515243,,0.0,,,77332000.0,,29231000.0,1.08,1.08,0.8503607,28.98,22.78,0.67031,2606.4448,23.1964,1.5361,8.8615
2021-03-31,1697277000.0,,,845376000.0,851901000.0,11483000.0,46746000.0,,20579000.0,7633000.0,63000.0,0.27,76131563.0,31849000.0,,8236000.0,,0.0,,26.5151,11.8983,0.27,,0.024156562793094503,0.012124715058296319,0.4402301801223634,,,,,,0.0,,217690000.0,78646000.0,,29861000.0,1.08,1.08,0.8503607,28.98,22.78,0.67031,2606.4448,23.1964,1.5361,8.8615
2021-06-30,1753290000.0,,,903967000.0,849323000.0,27096000.0,96018000.0,,40717000.0,16017000.0,134000.0,0.53,76147769.0,58878000.0,,16624000.0,,0.0,,26.1839,11.4541,0.53,,0.04794053616821869,0.023223197531497927,0.4240559061842571,,,,,,0.0,,230350000.0,81632000.0,,31556000.0,1.07,1.07,0.8503607,28.98,22.78,0.67031,2606.4448,23.1964,1.5361,8.8615
2021-09-30,1838110000.0,,,961057000.0,877053000.0,7809000.0,146724000.0,,61881000.0,24328000.0,231000.0,0.81,76222167.0,94047000.0,,25455000.0,,0.0,,24.9215,10.6966,0.81,,0.07055559926253031,0.033665558644477206,0.4217510427741883,,,,,,0.0,,250747000.0,86433000.0,,34152000.0,1.07,1.07,0.8503607,28.98,22.78,0.67031,2606.4448,23.1964,1.5361,8.8615
2021-12-31,1902980000.0,,,939088000.0,963892000.0,,-90110000.0,,-37596000.0,-15423000.0,-962000.0,-0.5,-151662930.0,-62358000.0,268389000.0,-15489000.0,-330747000.0,0.0,0.1894,26.5826,11.4101,-0.5,,-0.039004369784166694,-0.019756382095450293,0.41722339363000777,,,,3.670480523804239,,0.0,,199378000.0,85581000.0,,32555000.0,1.11,1.11,0.8503607,28.98,22.78,0.67031,2606.4448,23.1964,1.5361,8.8615
2022-03-31,1998309000.0,,,1022929000.0,975380000.0,58109000.0,54397000.0,,22255000.0,8375000.0,88000.0,0.28,80346024.0,34808000.0,,9704000.0,,0.0,,24.903,10.4962,0.28,,0.02281674834423507,0.011136916262700114,0.4091218265713183,,,,,,0.0,,207029000.0,87257000.0,,33297000.0,1.12,1.12,0.8503607,28.98,22.78,0.67031,2606.4448,23.1964,1.5361,8.8615
2022-06-30,2010717000.0,,,1019169000.0,991548000.0,17714000.0,109822000.0,,50385000.0,17406000.0,232000.0,0.63,80446167.0,65191000.0,,19832000.0,,0.0,,22.4343,10.0233,0.63,,0.05081448401892798,0.0250582254986654,0.45878785671359107,,,,,,0.0,,220833000.0,96925000.0,,34686000.0,1.2200000000000002,1.2200000000000002,0.8503607,28.98,22.78,0.67031,2606.4448,23.1964,1.5361,8.8615
2022-09-30,2099877000.0,,,1031146000.0,1068731000.0,36669000.0,165830000.0,,74903000.0,26583000.0,209000.0,0.92,81011737.0,109287000.0,,30420000.0,,0.0,,19.9829,9.0188,0.92,,0.07008592433456128,0.03567018449175833,0.45168546101429174,,,,,,0.0,,239939000.0,109947000.0,,36941000.0,1.33,1.33,0.8503607,28.98,22.78,0.67031,2606.4448,23.1964,1.5361,8.8615
2022-12-31,2198587000.0,,,1060277000.0,1138310000.0,26296000.0,-106855000.0,,-49771000.0,-15959000.0,-292000.0,-0.6300000000000001,-159996863.0,-67286000.0,296270000.0,-18485000.0,-363556000.0,0.0,0.5016,22.2459,9.7455,-0.6300000000000001,,-0.0437235902346461,-0.022637721409250577,0.46578073089700994,,,,3.402330260633569,,0.0,,223194000.0,97772000.0,,36405000.0,1.2,1.2,0.8503607,28.98,22.78,0.67031,2606.4448,23.1964,1.5361,8.8615
