report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,cash,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,fcf_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2023-03-31,2197504000.0,,,1064537000.0,1132967000.0,31399000.0,59952000.0,,23124000.0,9918000.0,48000.0,0.27,86095554.0,37931000.0,,12176000.0,,0.0,,23.4422,10.1086,0.27,,0.020410126685066733,0.010522847739981361,0.38570856685348276,,,,,,0.0,,228749000.0,98641000.0,,37948000.0,1.19,1.19,0.8503607,28.98,22.78,0.67031,2606.4448,23.1964,1.5361,8.8615
2023-06-30,2337981000.0,,,1082840000.0,1255141000.0,11197000.0,120640000.0,,46749000.0,19969000.0,139000.0,0.54,86825150.0,85574000.0,,23993000.0,,0.0,,23.4805,9.4468,0.54,,0.037246014591189355,0.019995457619202208,0.38750828912466845,,,,,,0.0,,239567000.0,95005000.0,,40511000.0,1.1,1.1,0.8503607,28.98,22.78,0.67031,2606.4448,23.1964,1.5361,8.8615
2023-09-30,2455894000.0,,,1202250000.0,1253644000.0,5675000.0,185463000.0,,70911000.0,32245000.0,50000.0,0.8,88105134.0,128699000.0,,37411000.0,,0.0,,21.2943,8.2241,0.8,,0.056563904904422625,0.02887380318531663,0.38234580482360364,,,,,,0.0,,259200000.0,91013000.0,,46173000.0,0.98,0.98,0.8503607,28.98,22.78,0.67031,2606.4448,23.1964,1.5361,8.8615
2023-12-31,2451634000.0,,,1191771000.0,1259863000.0,16322000.0,-115449000.0,,-45444000.0,-17526000.0,-107000.0,-0.54,-172278810.0,-87099000.0,,-22849000.0,,0.0,0.2846,24.0332,9.1431,-0.54,,-0.03607058862749363,-0.018536208912096994,0.39362835537769925,,,,,,0.0,,250606000.0,95340000.0,,44606000.0,1.07,1.07,0.8503607,28.98,22.78,0.67031,2606.4448,23.1964,1.5361,8.8615
2024-03-31,2462610000.0,,,1198380000.0,1264230000.0,26079000.0,66467000.0,,24044000.0,12281000.0,27000.0,0.26,91929760.0,27625000.0,,13467000.0,,0.0,,23.3271,8.7334,0.26,,0.019018691219161072,0.0097636247720914,0.36174342154753486,,,,,,0.0,,257121000.0,96260000.0,,46969000.0,1.06,1.06,0.8503607,28.98,22.78,0.67031,2606.4448,23.1964,1.5361,8.8615
2024-06-30,2485914000.0,,,1224502000.0,1261412000.0,17167000.0,132946000.0,,48716000.0,24605000.0,113000.0,0.53,91976282.0,67299000.0,,26812000.0,,0.0,,23.1042,8.5504,0.53,,0.03862021290426918,0.019596816301770698,0.36643449219984053,,,,,,0.0,,269427000.0,98227000.0,,51605000.0,1.05,1.05,0.8503607,28.98,22.78,0.67031,2606.4448,23.1964,1.5361,8.8615
2024-09-30,2564344000.0,,,1209603000.0,1354741000.0,44495000.0,199737000.0,,74297000.0,36929000.0,203000.0,0.8,93061647.0,110691000.0,,40418000.0,,0.0,,28.6522,10.6793,0.8,,0.05484221707322654,0.02897310189272578,0.37197414600199263,,,,,,0.0,,283701000.0,101613000.0,,56289000.0,1.05,1.05,0.8503607,28.98,22.78,0.67031,2606.4448,23.1964,1.5361,8.8615
2024-12-31,2653026000.0,,,1202236000.0,1450790000.0,4081000.0,-131077000.0,,-46584000.0,-24584000.0,-35000.0,-0.52,-182903191.0,-61510000.0,,-26183000.0,,0.0,0.1521,26.0696,9.7708,-0.52,,-0.03210940246348541,-0.017558817742457104,0.3553941576325366,,,,,,0.0,,268073000.0,100473000.0,,49231000.0,1.07,1.07,0.8503607,28.98,22.78,0.67031,2606.4448,23.1964,1.5361,8.8615
2025-03-31,2711152000.0,,,1278315000.0,1432837000.0,22263000.0,71476000.0,,26156000.0,12731000.0,63000.0,0.26,100072018.0,51560000.0,,14429000.0,,0.0,,27.9687,10.5066,0.26,,0.01825469331124196,0.00964755941385802,0.3659410151659298,,,,,,0.0,,273082000.0,102585000.0,,49681000.0,1.07,1.07,0.8503607,28.98,22.78,0.67031,2606.4448,23.1964,1.5361,8.8615
2025-06-30,2765517000.0,,,1282575000.0,1482942000.0,5981000.0,144318000.0,,54080000.0,25812000.0,175000.0,0.54,100631217.0,95319000.0,,29049000.0,,0.0,,25.9931,9.8446,0.54,,0.03646804797490394,0.019555113926256827,0.37472803115342507,,,,,,0.0,,284454000.0,107949000.0,,50888000.0,1.08,1.08,0.8503607,28.98,22.78,0.67031,2606.4448,23.1964,1.5361,8.8615
2025-09-30,2834439000.0,,,1298568000.0,1535871000.0,6725000.0,218467000.0,,82925000.0,38767000.0,205000.0,0.81,101770250.0,144246000.0,,44100000.0,,0.0,,23.363,8.8874,0.81,,0.05399216470654111,0.029256230245209017,0.37957677818617913,,,,,,0.0,,303184000.0,116577000.0,,52726000.0,1.09,1.09,0.8503607,28.98,22.78,0.67031,2606.4448,23.1964,1.5361,8.8615
2025-12-31,2920726000.0,,,1290887000.0,1629839000.0,12144000.0,-140129000.0,,-50797000.0,-25437000.0,-140000.0,-0.52,-199524868.0,-98844000.0,,-27981000.0,,0.0,0.2484,22.2523,8.5008,-0.52,,-0.031166882127621195,-0.01739190872406381,0.36250169486687267,,,,,,0.0,,294132000.0,112364000.0,,51873000.0,1.09,1.09,0.8503607,28.98,22.78,0.67031,2606.4448,23.1964,1.5361,8.8615
