report_date,total_assets,total_liabilities,total_equity,cash,revenue,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,total_debt,bf_pe,bf_ps,eps,roe,roa,net_margin,debt_equity,revenue_ttm,net_income_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-03-31,,,,,5065000000.0,636000000.0,33000000.0,338000000.0,1.35,472450000.0,,0.0,16.2853,1.2949,1.35,,,0.12556762092793683,,,,,,,0.6711165,119.32,96.95,2.21873,55726.59,15.2843,1.9598,3.2467
2010-09-30,,,,,15438000000.0,1907000000.0,105000000.0,1011000000.0,4.03,472859000.0,,0.0,11.2818,1.1896,4.03,,,0.12352636351859049,,,,,,,0.6711165,119.32,96.95,2.21873,55726.59,15.2843,1.9598,3.2467
2010-12-31,,,,,20732000000.0,2344000000.0,149000000.0,1241000000.0,4.95,473085000.0,,0.0,11.3453,1.2549,4.95,,,0.11306193324329539,,,,,,,0.6711165,119.32,96.95,2.21873,55726.59,15.2843,1.9598,3.2467
2011-03-31,,,,,5117000000.0,395000000.0,45000000.0,205000000.0,0.84,472104000.0,,0.0,11.8349,1.1487,0.84,,,0.0771936681649404,,46352000000.0,5282000000.0,332000000.0,11.17,11.17,0.6711165,119.32,96.95,2.21873,55726.59,15.2843,1.9598,3.2467
2011-06-30,,,,,10204000000.0,674000000.0,92000000.0,378000000.0,1.43,470990000.0,,0.0,12.1969,0.9754,1.43,,,0.06605252842022737,,51491000000.0,5320000000.0,391000000.0,11.25,11.25,0.6711165,119.32,96.95,2.21873,55726.59,15.2843,1.9598,3.2467
2011-09-30,,,,,5987000000.0,744000000.0,52000000.0,361000000.0,1.59,467793000.0,,0.0,8.8829,0.7052,1.59,,,0.12426925004175714,,42040000000.0,4157000000.0,338000000.0,8.809999999999999,8.809999999999999,0.6711165,119.32,96.95,2.21873,55726.59,15.2843,1.9598,3.2467
2011-12-31,,,,,863000000.0,151000000.0,7000000.0,84000000.0,0.3199999999999994,-941517000.0,,0.0,10.8154,0.8864,0.3199999999999994,,,0.1749710312862109,,22171000000.0,1964000000.0,196000000.0,4.179999999999999,4.179999999999999,0.6711165,119.32,96.95,2.21873,55726.59,15.2843,1.9598,3.2467
2012-03-31,115552000000.0,101909000000.0,13643000000.0,2210000000.0,6240000000.0,785000000.0,57000000.0,417000000.0,1.68,468533000.0,3556000000.0,0.0,9.2992,0.8836,1.68,0.05753866451660192,0.006793478260869565,0.12580128205128205,0.0,23294000000.0,2354000000.0,208000000.0,5.019999999999999,5.019999999999999,0.6711165,119.32,96.95,2.21873,55726.59,15.2843,1.9598,3.2467
2012-06-30,122209000000.0,108030000000.0,14179000000.0,2130000000.0,12142000000.0,1268000000.0,119000000.0,675000000.0,2.71,468561000.0,7245000000.0,0.0,7.879,0.7998,2.71,0.08942802736441216,0.010375667913165151,0.10443090100477681,0.0,25232000000.0,2948000000.0,235000000.0,6.299999999999999,6.299999999999999,0.6711165,119.32,96.95,2.21873,55726.59,15.2843,1.9598,3.2467
2012-09-30,137840000000.0,121855000000.0,15985000000.0,2985000000.0,18989000000.0,2285000000.0,186000000.0,1138000000.0,4.87,468951000.0,11451000000.0,0.0,7.9006,0.8636,4.87,0.14294651235533312,0.016577190946024375,0.12033282426668071,0.0,38234000000.0,4489000000.0,369000000.0,9.579999999999998,9.579999999999998,0.6711165,119.32,96.95,2.21873,55726.59,15.2843,1.9598,3.2467
2012-12-31,131094000000.0,115116000000.0,15978000000.0,2041000000.0,-12007000000.0,-1472000000.0,-101000000.0,-794000000.0,-3.1499999999999995,-936758000.0,-7300000000.0,0.0,8.691,0.9456,-3.1499999999999995,-0.09212667417699337,-0.011228584069446351,0.12259515282751728,0.0,25364000000.0,2866000000.0,261000000.0,6.1099999999999985,6.1099999999999985,0.6711165,119.32,96.95,2.21873,55726.59,15.2843,1.9598,3.2467
2013-03-31,120538000000.0,105003000000.0,15535000000.0,2596000000.0,6208000000.0,892000000.0,71000000.0,469000000.0,1.9,469124000.0,3832000000.0,0.0,8.1986,0.9317,1.9,0.05741873189571935,0.0074001559674127665,0.14368556701030927,0.0,25332000000.0,2973000000.0,275000000.0,6.33,6.33,0.6711165,119.32,96.95,2.21873,55726.59,15.2843,1.9598,3.2467
2013-06-30,116313000000.0,102617000000.0,13696000000.0,2388000000.0,12252000000.0,1781000000.0,140000000.0,938000000.0,3.0,468546000.0,5698000000.0,0.0,7.9332,1.0326,3.0,0.1300379672897196,0.015312131919905771,0.14536402220045708,0.0,25442000000.0,3486000000.0,296000000.0,6.619999999999999,6.619999999999999,0.6711165,119.32,96.95,2.21873,55726.59,15.2843,1.9598,3.2467
2013-09-30,119918000000.0,105260000000.0,14658000000.0,2749000000.0,18138000000.0,2483000000.0,211000000.0,1305000000.0,5.0,468052000.0,7159000000.0,0.0,9.4252,1.1589,5.0,0.1693955519170419,0.020705815640687804,0.13689491674936596,0.0,24591000000.0,3684000000.0,321000000.0,6.749999999999999,6.749999999999999,0.6711165,119.32,96.95,2.21873,55726.59,15.2843,1.9598,3.2467
2013-12-31,121307000000.0,106687000000.0,14620000000.0,2543000000.0,-12659000000.0,-1998000000.0,-129000000.0,-1054000000.0,-3.1400000000000006,-938314000.0,-6142000000.0,0.0,9.7178,1.2714,-3.1400000000000006,-0.13666210670314638,-0.01647060763187615,0.15783237222529425,0.0,23939000000.0,3158000000.0,293000000.0,6.759999999999998,6.759999999999998,0.6711165,119.32,96.95,2.21873,55726.59,15.2843,1.9598,3.2467
2014-03-31,123292000000.0,107616000000.0,15676000000.0,1994000000.0,5640000000.0,732000000.0,80000000.0,372000000.0,1.0,457699000.0,1615000000.0,0.0,9.547,1.217,1.0,0.04669558560857361,0.005937124874282192,0.12978723404255318,0.0,23371000000.0,2998000000.0,302000000.0,5.859999999999998,5.859999999999998,0.6711165,119.32,96.95,2.21873,55726.59,15.2843,1.9598,3.2467
2014-06-30,127871000000.0,110313000000.0,17558000000.0,2252000000.0,11478000000.0,1542000000.0,161000000.0,800000000.0,3.0,456534000.0,3132000000.0,0.0,9.6595,1.2081,3.0,0.08782321448912177,0.012059028239397519,0.13434396236278098,0.0,22597000000.0,2759000000.0,323000000.0,5.859999999999998,5.859999999999998,0.6711165,119.32,96.95,2.21873,55726.59,15.2843,1.9598,3.2467
2014-09-30,127253000000.0,109400000000.0,17853000000.0,2666000000.0,17214000000.0,2248000000.0,238000000.0,1168000000.0,4.0,455674000.0,4577000000.0,0.0,8.9776,1.1321,4.0,0.12591721279336807,0.017665595310130212,0.13059137911002672,0.0,21673000000.0,2524000000.0,350000000.0,4.859999999999998,4.859999999999998,0.6711165,119.32,96.95,2.21873,55726.59,15.2843,1.9598,3.2467
2014-12-31,119767000000.0,101420000000.0,18347000000.0,4658000000.0,-11604000000.0,-1571000000.0,-162000000.0,-800000000.0,-2.0,-915907000.0,-2774000000.0,0.0,9.1593,1.1876,-2.0,-0.08562707799640268,-0.013117135771957217,0.13538435022406067,0.0,22728000000.0,2951000000.0,317000000.0,5.999999999999998,5.999999999999998,0.6711165,119.32,96.95,2.21873,55726.59,15.2843,1.9598,3.2467
2015-03-31,121401000000.0,102764000000.0,18637000000.0,4363000000.0,5226000000.0,663000000.0,83000000.0,350000000.0,1.0,439927000.0,1460000000.0,0.0,9.6342,1.2424,1.0,0.03557439502065783,0.005461240022734574,0.12686567164179105,0.0,22314000000.0,2882000000.0,320000000.0,5.999999999999998,5.999999999999998,0.6711165,119.32,96.95,2.21873,55726.59,15.2843,1.9598,3.2467
2015-06-30,115581000000.0,98563000000.0,17018000000.0,3103000000.0,10513000000.0,1236000000.0,157000000.0,651000000.0,2.0,437077000.0,3103000000.0,0.0,10.2033,1.2397,2.0,0.07262898107885768,0.010693799153840163,0.11756872443641206,0.0,21349000000.0,2576000000.0,316000000.0,4.999999999999998,4.999999999999998,0.6711165,119.32,96.95,2.21873,55726.59,15.2843,1.9598,3.2467
2015-09-30,117455000000.0,100200000000.0,17255000000.0,3520000000.0,15553000000.0,1803000000.0,224000000.0,949000000.0,4.0,435064000.0,4770000000.0,0.0,9.918,1.1718,4.0,0.10449145175311504,0.015350559788855305,0.11592618787372211,0.0,19688000000.0,2131000000.0,302000000.0,4.999999999999998,4.999999999999998,0.6711165,119.32,96.95,2.21873,55726.59,15.2843,1.9598,3.2467
2015-12-31,118296000000.0,100588000000.0,17708000000.0,4350000000.0,-10420000000.0,-1169000000.0,-175000000.0,-621000000.0,-2.0,-878896000.0,-2557000000.0,0.0,10.0914,1.2158,-2.0,-0.06601536028913485,-0.00988199093798607,0.11218809980806142,0.0,20872000000.0,2533000000.0,289000000.0,4.999999999999998,4.999999999999998,0.6711165,119.32,96.95,2.21873,55726.59,15.2843,1.9598,3.2467
2016-03-31,127766000000.0,107745000000.0,20021000000.0,3449000000.0,5451000000.0,731000000.0,65000000.0,386000000.0,1.0,420920000.0,1331000000.0,0.0,10.1723,1.2446,1.0,0.036511662754108186,0.00572139692876039,0.13410383415886992,0.0,21097000000.0,2601000000.0,271000000.0,4.999999999999998,4.999999999999998,0.6711165,119.32,96.95,2.21873,55726.59,15.2843,1.9598,3.2467
2016-06-30,141287000000.0,118737000000.0,22550000000.0,3700000000.0,10888000000.0,1279000000.0,131000000.0,672000000.0,3.0,417623000.0,2854000000.0,0.0,11.5968,1.3933,3.0,0.05671840354767184,0.009052495983353033,0.11746877296105805,0.0,21472000000.0,2644000000.0,245000000.0,5.999999999999998,5.999999999999998,0.6711165,119.32,96.95,2.21873,55726.59,15.2843,1.9598,3.2467
2016-09-30,144101000000.0,121316000000.0,22785000000.0,5270000000.0,16604000000.0,1908000000.0,196000000.0,1006000000.0,4.0,415446000.0,4120000000.0,0.0,11.1585,1.3379,4.0,0.08373930217248189,0.01324071311094302,0.11491206938087208,0.0,22523000000.0,2749000000.0,217000000.0,5.999999999999998,5.999999999999998,0.6711165,119.32,96.95,2.21873,55726.59,15.2843,1.9598,3.2467
