report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,gross_profit,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,fcf,total_debt,bf_current_ratio,bf_ps,bf_pe,eps,ebitda,roe,roa,net_margin,gross_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,gross_profit_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-08-31,7877100000.0,2560000000.0,1449700000.0,,2429900000.0,3127700000.0,,13900000.0,,584200000.0,229500000.0,140400000.0,98800000.0,111200000.0,,,305700000.0,43200000.0,262500000.0,3127700000.0,,1.0505,26.3344,,229500000.0,0.05778015556195728,0.017823818410328676,,,,0.029135087786114178,0.04129480351230747,,,1.287172311617762,1.765882596399255,,,,,,,,,,,,0.42334864,196.91,126.45,2.00581,26215.812,23.6264,4.6089,2.794
2010-11-30,8257800000.0,2844800000.0,1515300000.0,,2719000000.0,3133000000.0,,16000000.0,,936100000.0,399600000.0,279700000.0,147900000.0,164300000.0,,,369000000.0,70100000.0,298900000.0,3133000000.0,,1.3097,19.0432,,399600000.0,0.10286870172857668,0.03387100680568674,,,,0.04839061251180702,0.06828434723171566,,,1.1522618609783009,1.8773840163663962,,,,,,,,,,,,0.42334864,196.91,126.45,2.00581,26215.812,23.6264,4.6089,2.794
2011-02-28,7167600000.0,2083000000.0,662900000.0,,2551900000.0,3136700000.0,,9200000.0,,1190100000.0,502500000.0,559500000.0,195300000.0,-8500000.0,,,619300000.0,89100000.0,530200000.0,3136700000.0,3.1418,1.2763,7.6008,,502500000.0,0.21924840315059368,0.07805960154026452,,,,0.0701071488364306,0.08833456386457125,,,1.2291625847407814,3.142253733594811,,,,,,,,,,,,0.42334864,196.91,126.45,2.00581,26215.812,23.6264,4.6089,2.794
2011-05-31,7075400000.0,1956100000.0,783400000.0,,2715100000.0,2728900000.0,,13400000.0,,251000000.0,101700000.0,74500000.0,44300000.0,45100000.0,,,241300000.0,21000000.0,220300000.0,2728900000.0,,1.4789,8.0399,,101700000.0,0.027439136680048618,0.010529440031658987,,,,0.01437374565395596,0.018681116825863337,,,1.0050826857205997,2.4969364309420476,,1054100000.0,1233300000.0,2961400000.0,1311900000.0,1233300000.0,486300000.0,,,2.2126814238222656,2.5360888340530536,0.42334864,196.91,126.45,2.00581,26215.812,23.6264,4.6089,2.794
2011-08-31,7034700000.0,1919600000.0,786800000.0,7034700000.0,2699100000.0,2734700000.0,,10000000.0,,534000000.0,246800000.0,237200000.0,86800000.0,49000000.0,,,517400000.0,39200000.0,478200000.0,2734700000.0,,1.4101,6.4611,,246800000.0,0.08788114556704087,0.03371856653446487,,,,0.035083230272790596,0.0454194118296588,,,1.0131895817124226,2.439755973563803,,1150900000.0,1250600000.0,2911200000.0,1527600000.0,1250600000.0,474300000.0,,,2.1867103790180713,2.636727809403331,0.42334864,196.91,126.45,2.00581,26215.812,23.6264,4.6089,2.794
2011-11-30,7225200000.0,2178500000.0,1178200000.0,7225200000.0,2638000000.0,2577900000.0,,55800000.0,,816900000.0,407100000.0,342000000.0,133100000.0,111500000.0,,,640800000.0,54100000.0,586700000.0,2577900000.0,,1.4369,6.3354,,407100000.0,0.12964366944655042,0.04733432984554061,,,,0.05634446105298123,0.07804980923714028,,,0.9772175890826383,1.8490069597691394,,1213200000.0,1258100000.0,2792000000.0,1815400000.0,1258100000.0,459500000.0,,,2.049042206501868,2.7379760609357997,0.42334864,196.91,126.45,2.00581,26215.812,23.6264,4.6089,2.794
2012-02-29,7109900000.0,2034300000.0,1199600000.0,7109900000.0,2676000000.0,2421400000.0,,85800000.0,,-539800000.0,-269100000.0,-208700000.0,-83200000.0,-116600000.0,,,-615400000.0,-45900000.0,-661300000.0,2421400000.0,1.695,1.6431,9.8004,,-269100000.0,-0.07798953662182362,-0.02935343675719771,,,,-0.03784863359540922,-0.05279161925687605,,,0.9048579970104634,1.6958152717572523,,445000000.0,486500000.0,1062100000.0,623900000.0,486500000.0,181000000.0,,,4.977183967112024,2.6878453038674035,0.42334864,196.91,126.45,2.00581,26215.812,23.6264,4.6089,2.794
2012-05-31,7008200000.0,1971400000.0,587900000.0,7008200000.0,2299800000.0,3285400000.0,,69100000.0,,250600000.0,106100000.0,72000000.0,50700000.0,41200000.0,,,96400000.0,19600000.0,76800000.0,3285400000.0,,1.2853,7.7085,,106100000.0,0.031307070180015655,0.010273679404126594,,,,0.01513940812191433,0.01899663396118313,,,1.428559005130881,3.353291376084368,,442500000.0,490900000.0,1061700000.0,480400000.0,490900000.0,187400000.0,,,6.6926054186188635,2.619530416221985,0.42334864,196.91,126.45,2.00581,26215.812,23.6264,4.6089,2.794
2012-08-31,8040500000.0,2177900000.0,656000000.0,8040500000.0,2618100000.0,3928700000.0,,178500000.0,,535700000.0,236700000.0,196600000.0,105300000.0,63100000.0,,,368500000.0,35600000.0,332900000.0,3928700000.0,,2.1937,14.4409,,236700000.0,0.07509262442229098,0.024451215720415396,,,,0.029438467756980287,0.03615506812488544,,,1.5005920323899011,3.319969512195122,,401900000.0,480800000.0,1063400000.0,335100000.0,480800000.0,205900000.0,,,8.171173044925125,2.335114133074308,0.42334864,196.91,126.45,2.00581,26215.812,23.6264,4.6089,2.794
2012-11-30,8322700000.0,2480600000.0,787800000.0,8322700000.0,2775300000.0,3928900000.0,,200500000.0,,846500000.0,395500000.0,306100000.0,166700000.0,103500000.0,,,389000000.0,52200000.0,336800000.0,3928900000.0,,2.4004,16.008,,395500000.0,0.11029438258926963,0.03677892991457099,,,,0.04752063633195958,0.058992870141105574,,,1.4156667747630887,3.1487687230261487,,366000000.0,469200000.0,1093000000.0,85200000.0,469200000.0,239500000.0,,,8.373614663256607,1.9590814196242172,0.42334864,196.91,126.45,2.00581,26215.812,23.6264,4.6089,2.794
