report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,cash,revenue,gross_profit,operating_income,net_income,interest_expense,income_tax,eps_diluted,operating_cash_flow,capex,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,gross_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,gross_profit_ttm,fcf_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-03-31,9858248000.0,3354328000.0,2071975000.0,5162704000.0,4609629000.0,1535905000.0,380561000.0,7206696000.0,1473819000.0,,331902000.0,76703000.0,129344000.0,2.04,841397000.0,90862000.0,750535000.0,1535905000.0,,27.3346,1.107,2.04,,0.07200188995687072,0.03366744273424649,0.04605466915768335,0.20450689192384416,,,,0.10414411819230338,,0.3331949274008819,1.6189037029886943,,,,,,,,1.2931901,1034.96,488.45,0.8334,114612.61,32.4036,6.5231,5.6014
2010-06-30,9910382000.0,3588796000.0,2204891000.0,5450982000.0,4367965000.0,1413634000.0,575526000.0,9993166000.0,2146099000.0,,554065000.0,103599000.0,198452000.0,3.4,1218822000.0,129222000.0,1089600000.0,1413634000.0,1.6277,16.1181,0.8937,3.4,,0.126847399189325,0.055907532121365254,0.05544439069660206,0.21475666470465915,,,,0.10903451418699539,,0.32363675075235265,1.6276523419978584,,,,,,,,1.2931901,1034.96,488.45,0.8334,114612.61,32.4036,6.5231,5.6014
2010-09-30,10709721000.0,4147596000.0,2282104000.0,5717144000.0,4894945000.0,1745812000.0,923836000.0,2829273000.0,691399000.0,,247171000.0,24633000.0,87334000.0,1.51,122880000.0,52690000.0,70190000.0,1745812000.0,,15.5302,1.0678,1.51,,0.050495153673841074,0.023079125964159102,0.08736201844077966,0.24437337789601782,,,,0.024808493206558715,,0.3566561013453675,1.8174439026442266,,,,,,,,1.2931901,1034.96,488.45,0.8334,114612.61,32.4036,6.5231,5.6014
2010-12-31,10618844000.0,4043940000.0,1940868000.0,5404251000.0,5113261000.0,1742464000.0,808736000.0,5695937000.0,1362335000.0,,477351000.0,50264000.0,161766000.0,2.9,408157000.0,109795000.0,298362000.0,1742464000.0,,16.3684,1.2589,2.9,,0.09335549270807808,0.04495319829540767,0.083805526641183,0.2391766271291273,,,,0.052381548461649066,,0.3407735298471954,2.0835729168598793,25725072000.0,1610489000.0,5673652000.0,2208687000.0,255199000.0,9.85,9.85,1.2931901,1034.96,488.45,0.8334,114612.61,32.4036,6.5231,5.6014
2011-03-31,11376862000.0,4691329000.0,2340420000.0,5793133000.0,5481908000.0,1683731000.0,1107955000.0,8936040000.0,2139355000.0,,756940000.0,74883000.0,269835000.0,4.58,799933000.0,158455000.0,641478000.0,1683731000.0,,15.6809,1.3098,4.58,,0.138079661315002,0.06653328483724247,0.08470642476980855,0.23940750041405365,,,,0.07178548887426646,,0.30714324282713246,2.004481674229412,27454416000.0,2035527000.0,6339188000.0,2099630000.0,253379000.0,12.39,12.39,1.2931901,1034.96,488.45,0.8334,114612.61,32.4036,6.5231,5.6014
2011-06-30,10886805000.0,4305256000.0,2391043000.0,5398469000.0,5383854000.0,1691086000.0,657466000.0,-5115380000.0,-1234676000.0,,-432332000.0,-50076000.0,-162364000.0,-2.62,-164037000.0,-113646000.0,-277683000.0,1691086000.0,1.8005,13.871,1.1788,-2.62,,-0.08030158321529521,-0.03971155908459828,0.0845161063303215,0.24136545085604588,,,,0.054283943714836434,,0.31410324276995627,1.8005765684682375,12345870000.0,1049130000.0,2958413000.0,732347000.0,99704000.0,6.369999999999999,6.369999999999999,1.2931901,1034.96,488.45,0.8334,114612.61,32.4036,6.5231,5.6014
2011-09-30,10321590000.0,3999334000.0,2235709000.0,5208102000.0,5017264000.0,1668600000.0,424354000.0,3233881000.0,819439000.0,,297018000.0,23221000.0,113427000.0,1.91,309496000.0,43989000.0,265507000.0,1668600000.0,,8.6785,0.748,1.91,,0.05919919701255505,0.028776380383254904,0.09184568015953587,0.2533918223954437,,,,0.08210166051255442,,0.33257169644650947,1.7888437180330714,12750478000.0,1098977000.0,3086453000.0,927664000.0,98292000.0,6.77,6.77,1.2931901,1034.96,488.45,0.8334,114612.61,32.4036,6.5231,5.6014
2011-12-31,10327584000.0,4043023000.0,2120109000.0,5071681000.0,5158126000.0,1659434000.0,487984000.0,6340713000.0,1544949000.0,,537784000.0,46990000.0,210031000.0,3.47,563416000.0,96897000.0,466519000.0,1659434000.0,,10.7207,0.9157,3.47,,0.10425957023926907,0.05207258541784797,0.08481443648372036,0.24365540594567203,,,,0.07357516418106291,,0.3217125754586065,1.9069882727727678,13395254000.0,1159410000.0,3269067000.0,1095821000.0,95018000.0,7.34,7.34,1.2931901,1034.96,488.45,0.8334,114612.61,32.4036,6.5231,5.6014
2012-03-31,10889124000.0,4497301000.0,2489300000.0,5302656000.0,5577592000.0,1515217000.0,773459000.0,9734276000.0,2348197000.0,1151359000.0,849858000.0,69303000.0,298169000.0,5.49,1006461000.0,154097000.0,852364000.0,1515217000.0,,11.3781,0.9886,5.49,1151359000.0,0.15237005503450235,0.07804649850621592,0.08730572258275808,0.24122975350195536,0.1182788529932786,0.10573476801256006,0.16232764762169685,0.08756316340321561,0.1182788529932786,0.27166149836703724,1.8066528743020127,14193490000.0,1252328000.0,3477909000.0,1306707000.0,89438000.0,8.25,8.25,1.2931901,1034.96,488.45,0.8334,114612.61,32.4036,6.5231,5.6014
2012-06-30,11170282000.0,4498114000.0,2486013000.0,6264552000.0,4896515000.0,1503946000.0,838317000.0,-6162928000.0,-1524980000.0,,-532837000.0,-46724000.0,-200421000.0,-3.420000000000001,-348988000.0,-76166000.0,-425154000.0,1503946000.0,1.8093,9.9254,0.8697,-3.420000000000001,,-0.10881964009096265,-0.047701302438022605,0.08645841716794354,0.2474440720384856,,,,0.06898571588050355,,0.30714620500498824,1.8093686557552193,13145942000.0,1151823000.0,3187605000.0,1159236000.0,92790000.0,7.45,7.45,1.2931901,1034.96,488.45,0.8334,114612.61,32.4036,6.5231,5.6014
2012-09-30,11134578000.0,4200082000.0,2366465000.0,5982564000.0,5141124000.0,1511799000.0,436131000.0,3214935000.0,737488000.0,,239741000.0,23509000.0,96110000.0,1.57,-6971000.0,76685000.0,-83656000.0,1511799000.0,,11.3705,0.9481,1.57,,0.04663202054647972,0.02153121564193991,0.07457102554172947,0.2293943734476747,,,,-0.026021054858029788,,0.29406001489168515,1.7748337710466877,13126996000.0,1094546000.0,3105654000.0,810073000.0,93078000.0,7.109999999999999,7.109999999999999,1.2931901,1034.96,488.45,0.8334,114612.61,32.4036,6.5231,5.6014
2012-12-31,11461361000.0,4095747000.0,2488260000.0,6132372000.0,5325717000.0,1509238000.0,497635000.0,6280430000.0,1381011000.0,,420703000.0,47725000.0,177625000.0,2.77,347338000.0,140221000.0,207117000.0,1509238000.0,,12.2607,0.9696,2.77,,0.07899462175703291,0.036706199202695036,0.06698633692279032,0.21989115394964995,,,,0.03297815595428975,,0.2833868190893358,1.646028550071134,13066713000.0,977465000.0,2941716000.0,550671000.0,93813000.0,6.409999999999999,6.409999999999999,1.2931901,1034.96,488.45,0.8334,114612.61,32.4036,6.5231,5.6014
2013-03-31,12671772000.0,5438509000.0,3648549000.0,7259364000.0,5409058000.0,1496026000.0,1677319000.0,9587471000.0,2118863000.0,,677263000.0,70775000.0,259584000.0,4.46,718799000.0,214061000.0,504738000.0,1496026000.0,,13.6632,1.0293,4.46,,0.12520904749033934,0.05344658979028347,0.07064042227611432,0.2210033281978115,,,,0.05264558296969034,,0.27657791800346754,1.4905950283249587,12919908000.0,804870000.0,2712382000.0,203045000.0,95285000.0,5.379999999999999,5.379999999999999,1.2931901,1034.96,488.45,0.8334,114612.61,32.4036,6.5231,5.6014
