report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,depreciation,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,ebitda_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-03-31,16980000000.0,8814000000.0,3145000000.0,8020000000.0,8931000000.0,,,1383000000.0,3761000000.0,449000000.0,206000000.0,-79000000.0,,0.23,908000000.0,317000000.0,261000000.0,0.0,,28.0341,1.8774,0.23,710000000.0,0.023065726122494683,0.012131919905771496,0.05477266684392449,0.11938314278117522,0.026442873969375735,0.05027432538349569,0.18877957989896305,0.0,2.802543720190779,,,,,,,,0.76472884,41.18,18.72,19.46278,31969.207,24.9175,2.2736,1.4411
2010-06-30,17540000000.0,9203000000.0,3315000000.0,8156000000.0,9353000000.0,,,1160000000.0,8148000000.0,1211000000.0,686000000.0,,,0.76,908000000.0,808000000.0,533000000.0,0.0,,18.6604,1.4411,0.76,1744000000.0,0.07334545065754304,0.03911060433295325,0.08419243986254296,0.1486254295532646,0.06904218928164196,0.12947717309954027,0.21404025527736867,0.0,2.7761689291101055,,,,,,,,0.76472884,41.18,18.72,19.46278,31969.207,24.9175,2.2736,1.4411
2010-09-30,18198000000.0,9216000000.0,3333000000.0,8345000000.0,9840000000.0,,,1875000000.0,12813000000.0,2029000000.0,1230000000.0,,570000000.0,1.35,910000000.0,1362000000.0,817000000.0,0.0,,20.373,1.8189,1.35,2846000000.0,0.125,0.06758984503791625,0.09599625380472958,0.1583547959104035,0.11149576876579843,0.20619918699186993,0.2221181612424881,0.0,2.765076507650765,,,,,,,,0.76472884,41.18,18.72,19.46278,31969.207,24.9175,2.2736,1.4411
2010-12-31,18297000000.0,8886000000.0,2757000000.0,7910000000.0,10373000000.0,,,1398000000.0,-6749000000.0,-680000000.0,-287000000.0,,283000000.0,-0.33000000000000007,-1815000000.0,-275000000.0,-492000000.0,0.0,3.2231,20.2378,2.0662,-0.33000000000000007,-1172000000.0,-0.02766798418972332,-0.0156856315242936,0.04252481849162839,0.10075566750629723,-0.03716456249658414,-0.06555480574568591,0.17365535634908874,0.0,3.2230685527747553,17973000000.0,1835000000.0,3009000000.0,4128000000.0,2.01,2.01,0.0,0.76472884,41.18,18.72,19.46278,31969.207,24.9175,2.2736,1.4411
2011-03-31,18990000000.0,9028000000.0,2919000000.0,8050000000.0,10924000000.0,,,1030000000.0,5282000000.0,814000000.0,511000000.0,,229000000.0,0.56,919000000.0,565000000.0,320000000.0,0.0,,21.2961,2.3378,0.56,1134000000.0,0.046777737092640055,0.026908899420747763,0.09674365770541461,0.1541082923135176,0.042864665613480776,0.07451482973269864,0.2146914047709201,0.0,3.092840013703323,19494000000.0,2140000000.0,3374000000.0,4552000000.0,2.34,2.34,0.0,0.76472884,41.18,18.72,19.46278,31969.207,24.9175,2.2736,1.4411
2011-06-30,19956000000.0,9540000000.0,3166000000.0,8298000000.0,11642000000.0,,,1438000000.0,11217000000.0,1975000000.0,1250000000.0,,581000000.0,1.36,920000000.0,1388000000.0,651000000.0,0.0,,19.4521,2.2177,1.36,2626000000.0,0.10736986772032296,0.06263780316696733,0.11143799589908175,0.17607203352054918,0.09896772900380837,0.1696443909981103,0.23410894178479094,0.0,3.0132659507264687,22563000000.0,2704000000.0,4138000000.0,5434000000.0,2.9400000000000004,2.9400000000000004,0.0,0.76472884,41.18,18.72,19.46278,31969.207,24.9175,2.2736,1.4411
2011-09-30,21204000000.0,10306000000.0,3656000000.0,8828000000.0,12358000000.0,3824000000.0,,1775000000.0,17765000000.0,3307000000.0,1933000000.0,,992000000.0,2.1,922000000.0,2366000000.0,991000000.0,3824000000.0,,11.0588,1.2243,2.1,4298000000.0,0.15641689593785402,0.09116204489718921,0.10880945679707289,0.1861525471432592,0.15596113940765893,0.20436287232727723,0.241936391781593,0.3094351836866807,2.8189277899343543,27515000000.0,3407000000.0,5416000000.0,6886000000.0,3.69,3.69,0.5553296543711879,0.76472884,41.18,18.72,19.46278,31969.207,24.9175,2.2736,1.4411
2011-12-31,23677000000.0,11577000000.0,4121000000.0,10461000000.0,13198000000.0,4820000000.0,,2698000000.0,-9435000000.0,-1359000000.0,-855000000.0,,-363000000.0,-0.9400000000000004,-1839000000.0,-635000000.0,-603000000.0,4820000000.0,2.8093,11.0685,1.2656,-0.9400000000000004,-1962000000.0,-0.06478254280951659,-0.036110993791443176,0.09062003179650238,0.1440381558028617,-0.05739747434218862,-0.07542457542457542,0.20794912559618442,0.365206849522655,2.8092695947585535,24829000000.0,2839000000.0,4737000000.0,6096000000.0,3.079999999999999,3.079999999999999,0.7906824146981627,0.76472884,41.18,18.72,19.46278,31969.207,24.9175,2.2736,1.4411
2012-03-31,24668000000.0,12018000000.0,4310000000.0,10804000000.0,13844000000.0,4820000000.0,,2655000000.0,6868000000.0,1023000000.0,627000000.0,,304000000.0,0.68,926000000.0,734000000.0,385000000.0,4820000000.0,,10.4486,1.1689,0.68,1408000000.0,0.04529037850332274,0.0254175449975677,0.09129295282469424,0.14895165987186954,0.04147073131182098,0.054811401628804116,0.2050087361677344,0.3481652701531349,2.788399071925754,26415000000.0,2955000000.0,4946000000.0,6370000000.0,3.1999999999999997,3.1999999999999997,0.7566718995290423,0.76472884,41.18,18.72,19.46278,31969.207,24.9175,2.2736,1.4411
2012-06-30,25571000000.0,12534000000.0,4440000000.0,11010000000.0,14540000000.0,4820000000.0,,2172000000.0,14102000000.0,2224000000.0,1364000000.0,,661000000.0,1.47,926000000.0,1135000000.0,791000000.0,4820000000.0,,8.9394,0.9525,1.47,3015000000.0,0.0938101788170564,0.05334167611747683,0.0967238689547582,0.15770812650687846,0.08697352469594462,0.11487603305785124,0.21379946106935185,0.3314993122420908,2.822972972972973,29300000000.0,3069000000.0,5195000000.0,6759000000.0,3.3099999999999996,3.3099999999999996,0.7131232430832963,0.76472884,41.18,18.72,19.46278,31969.207,24.9175,2.2736,1.4411
2012-09-30,26312000000.0,12766000000.0,4598000000.0,11121000000.0,15168000000.0,4820000000.0,,2032000000.0,21213000000.0,3178000000.0,1966000000.0,,928000000.0,2.12,927000000.0,1913000000.0,1197000000.0,4820000000.0,,10.8765,1.1047,2.12,4375000000.0,0.1296149789029536,0.07471875950136819,0.09267901758355725,0.14981379342855797,0.12078139252052296,0.158995397238343,0.20624145571112054,0.3177742616033755,2.7764245324053936,32748000000.0,3102000000.0,5066000000.0,6836000000.0,3.3299999999999996,3.3299999999999996,0.7050906963136337,0.76472884,41.18,18.72,19.46278,31969.207,24.9175,2.2736,1.4411
2012-12-31,27410000000.0,13086000000.0,4752000000.0,11620000000.0,15765000000.0,4820000000.0,,2484000000.0,-13680000000.0,-2266000000.0,-1322000000.0,,-658000000.0,-1.4299999999999997,-1851000000.0,-128000000.0,-745000000.0,4820000000.0,2.7538,12.217,1.1294,-1.4299999999999997,-3011000000.0,-0.08385664446558833,-0.0482305727836556,0.0966374269005848,0.16564327485380118,-0.08267055819044145,-0.11008015545299976,0.22010233918128655,0.30574056454170634,2.753787878787879,28503000000.0,2635000000.0,4159000000.0,5787000000.0,2.84,2.84,0.8329013305685157,0.76472884,41.18,18.72,19.46278,31969.207,24.9175,2.2736,1.4411
2013-03-31,27684000000.0,13152000000.0,4666000000.0,11947000000.0,15710000000.0,4820000000.0,,2029000000.0,6974000000.0,-98000000.0,-18000000.0,,-172000000.0,-0.02,931000000.0,349000000.0,448000000.0,4820000000.0,,18.6807,1.2994,-0.02,350000000.0,-0.0011457670273711013,-0.0006501950585175553,-0.0025810151993117293,-0.014052193862919416,-0.0035399508741511343,-0.004773502191914272,0.050186406653283624,0.3068109484404838,2.818688384054865,28609000000.0,1990000000.0,3038000000.0,4729000000.0,2.14,2.14,1.019242968915204,0.76472884,41.18,18.72,19.46278,31969.207,24.9175,2.2736,1.4411
2013-06-30,27418000000.0,12621000000.0,4777000000.0,12053000000.0,15337000000.0,4820000000.0,,1412000000.0,14291000000.0,886000000.0,626000000.0,,84000000.0,0.0,931000000.0,1471000000.0,922000000.0,4820000000.0,,20.8567,1.379,0.0,1808000000.0,0.04081632653061224,0.022831716390692244,0.04380379259673921,0.061997061087397665,0.03231453789481362,0.043954953614129086,0.12651319011965573,0.3142726739258003,2.6420347498429977,28798000000.0,1252000000.0,1700000000.0,3522000000.0,0.6700000000000004,0.6700000000000004,1.3685406019307211,0.76472884,41.18,18.72,19.46278,31969.207,24.9175,2.2736,1.4411
2013-09-30,27948000000.0,12890000000.0,4762000000.0,15130000000.0,12788000000.0,7816000000.0,,1491000000.0,21763000000.0,1994000000.0,1332000000.0,,380000000.0,1.0,919000000.0,2549000000.0,1403000000.0,7816000000.0,,21.9835,1.5141,1.0,3397000000.0,0.10416015014075695,0.0476599398883641,0.06120479713274824,0.09162339750953453,0.07134678688993845,0.09677732479130266,0.1560906125074668,0.6111979981232405,2.7068458630827386,29348000000.0,618000000.0,516000000.0,2544000000.0,-0.44999999999999973,-0.44999999999999973,3.0723270440251573,0.76472884,41.18,18.72,19.46278,31969.207,24.9175,2.2736,1.4411
2013-12-31,29223000000.0,13704000000.0,5026000000.0,15608000000.0,13581000000.0,7816000000.0,,2356000000.0,-13626000000.0,356000000.0,185000000.0,,356000000.0,1.38,-1879000000.0,78000000.0,-873000000.0,7816000000.0,2.7266,20.2576,1.4641,1.38,-517000000.0,0.01362197187246889,0.006330629983232385,-0.01357698517539997,-0.026126522824012916,0.01218218526503097,0.016637846427069215,0.037942169382063705,0.5755099035417127,2.726621567847195,29402000000.0,2125000000.0,3138000000.0,5038000000.0,2.36,2.36,1.5514092894005558,0.76472884,41.18,18.72,19.46278,31969.207,24.9175,2.2736,1.4411
2014-03-31,29256000000.0,13486000000.0,4932000000.0,15504000000.0,13725000000.0,7816000000.0,,2123000000.0,7348000000.0,970000000.0,622000000.0,,229000000.0,0.0,853000000.0,954000000.0,510000000.0,7816000000.0,,17.9799,1.6696,0.0,1480000000.0,0.04531876138433515,0.02126059611703582,0.08464888405008165,0.13200870985302124,0.033155592015313096,0.04503040713058818,0.2014153511159499,0.5694717668488161,2.734387672343877,29776000000.0,2765000000.0,4206000000.0,6168000000.0,2.38,2.38,1.2671854734111543,0.76472884,41.18,18.72,19.46278,31969.207,24.9175,2.2736,1.4411
2014-06-30,30484000000.0,14165000000.0,5369000000.0,15897000000.0,14562000000.0,7816000000.0,,2360000000.0,15399000000.0,2164000000.0,1396000000.0,,528000000.0,1.0,853000000.0,2075000000.0,1034000000.0,7816000000.0,,20.7148,1.9656,1.0,3198000000.0,0.09586595247905508,0.045794515155491405,0.09065523735307487,0.14052860575362036,0.07098805930980186,0.0967021181517562,0.20767582310539645,0.5367394588655404,2.63829390948035,30884000000.0,3535000000.0,5484000000.0,7558000000.0,3.38,3.38,1.034136014818735,0.76472884,41.18,18.72,19.46278,31969.207,24.9175,2.2736,1.4411
2014-09-30,31583000000.0,14847000000.0,5889000000.0,16065000000.0,15491000000.0,7816000000.0,,2029000000.0,24100000000.0,3798000000.0,2599000000.0,,939000000.0,3.0,853000000.0,2913000000.0,1569000000.0,7816000000.0,,16.1756,1.7287,3.0,5367000000.0,0.16777483700213028,0.08229110597473324,0.10784232365145228,0.1575933609958506,0.12025456733052592,0.16295533530698933,0.22269709543568464,0.5045510296301078,2.5211411105450843,33221000000.0,4802000000.0,7288000000.0,9528000000.0,5.38,5.38,0.8203190596137699,0.76472884,41.18,18.72,19.46278,31969.207,24.9175,2.2736,1.4411
2014-12-31,32240000000.0,15068000000.0,5883000000.0,15942000000.0,16267000000.0,7840000000.0,,2291000000.0,-13977000000.0,-1835000000.0,-1117000000.0,,-421000000.0,0.0,-1707000000.0,-1880000000.0,-987000000.0,7840000000.0,2.4969,9.523,1.014,0.0,-2822000000.0,-0.06866662568389992,-0.03464640198511166,0.07991700651069614,0.13128711454532446,-0.056916873449131516,-0.07611896959389389,0.2019031265650712,0.4819573369398168,2.561278259391467,32870000000.0,3500000000.0,5097000000.0,7223000000.0,4.0,4.0,1.085421569984771,0.76472884,41.18,18.72,19.46278,31969.207,24.9175,2.2736,1.4411
