report_date,total_assets,total_liabilities,total_equity,cash,revenue,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,depreciation,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,roe,roa,net_margin,debt_equity,revenue_ttm,net_income_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2012-12-31,5443363000.0,3030569000.0,2412794000.0,,,-82911000.0,-51645000.0,-1000000.0,-0.2300000000000001,-265450204.0,-88318000.0,-64495000.0,0.0,0.3027,33.7169,11.0737,-0.2300000000000001,-0.03436306622115274,-0.015231576508860423,,0.0,,159152000.0,122542000.0,,,0.7651313,67.935,50.71,6.39803,59760.09,56.4525,1.3302,10.3942
2013-03-31,8763603000.0,3622214000.0,5127591000.0,,,71804000.0,41468000.0,671000.0,0.36,172053880.0,56274000.0,69808000.0,0.0,,42.2239,14.8693,0.36,0.014003456983991119,0.008193433682470554,,0.0,,191693000.0,135058000.0,1.2199999999999998,1.2199999999999998,0.7651313,67.935,50.71,6.39803,59760.09,56.4525,1.3302,10.3942
2013-06-30,9415533000.0,4310447000.0,5068879000.0,,,126474000.0,80567000.0,1393000.0,0.0,184165700.0,221433000.0,147280000.0,0.0,,39.8392,13.1844,0.0,0.024951078926918554,0.013432484385111283,,0.0,,235496000.0,157867000.0,0.7799999999999999,0.7799999999999999,0.7651313,67.935,50.71,6.39803,59760.09,56.4525,1.3302,10.3942
2013-09-30,9880927000.0,4834601000.0,5010248000.0,,,181228000.0,130271000.0,2063000.0,0.0,188399848.0,345667000.0,221603000.0,0.0,,35.4034,11.1622,0.0,0.03617146296949772,0.01834119410051304,,0.0,,296595000.0,200661000.0,0.12999999999999978,0.12999999999999978,0.7651313,67.935,50.71,6.39803,59760.09,56.4525,1.3302,10.3942
2013-12-31,9924441000.0,4503083000.0,5385447000.0,,,-133942000.0,-71390000.0,-1393000.0,0.7000000000000001,-352837806.0,-104468000.0,-132114000.0,0.0,0.338,29.8482,9.3945,0.7000000000000001,-0.02487110169313708,-0.013496175754382538,,0.0,,245564000.0,180916000.0,1.06,1.06,0.7651313,67.935,50.71,6.39803,59760.09,56.4525,1.3302,10.3942
2014-03-31,10480781000.0,5126013000.0,5325638000.0,,,57661000.0,51720000.0,1091000.0,0.0,207324363.0,114196000.0,89970000.0,0.0,,39.3359,10.95,0.0,0.010827059593611132,0.005501593822063451,,0.0,,231421000.0,191168000.0,0.7,0.7,0.7651313,67.935,50.71,6.39803,59760.09,56.4525,1.3302,10.3942
2014-06-30,10812402000.0,4947988000.0,5835701000.0,,,119564000.0,104432000.0,1661000.0,,214406651.0,298776000.0,182864000.0,0.0,,41.7737,11.3263,,0.020488369777683948,0.011058042422026114,,0.0,,224511000.0,215033000.0,,,0.7651313,67.935,50.71,6.39803,59760.09,56.4525,1.3302,10.3942
2014-09-30,10939840000.0,5349454000.0,5561790000.0,,,192847000.0,157246000.0,2358000.0,,217147035.0,440081000.0,278124000.0,0.0,,35.3106,10.0669,,0.034673549342927365,0.017627954339368767,,0.0,,236130000.0,242008000.0,,,0.7651313,67.935,50.71,6.39803,59760.09,56.4525,1.3302,10.3942
2014-12-31,11012622000.0,5371523000.0,5613401000.0,,,-99437000.0,-97032000.0,-1649000.0,,-420110164.0,-225361000.0,-176297000.0,0.0,0.3942,39.6443,11.4934,,-0.01771421639038437,-0.009029366485111356,,0.0,,270635000.0,216366000.0,,,0.7651313,67.935,50.71,6.39803,59760.09,56.4525,1.3302,10.3942
2015-03-31,11092153000.0,5417691000.0,5650036000.0,,,67264000.0,58468000.0,1074000.0,,225825854.0,117852000.0,98037000.0,0.0,,41.8021,12.2179,,0.011905056888133102,0.006064106760878614,,0.0,,280238000.0,223114000.0,,,0.7651313,67.935,50.71,6.39803,59760.09,56.4525,1.3302,10.3942
2015-06-30,11728314000.0,5743841000.0,5960203000.0,,,133350000.0,117148000.0,1702000.0,0.0,229378784.0,321710000.0,199138000.0,0.0,,36.2926,10.4901,0.0,0.022373399026845226,0.011369920689367628,,0.0,,294024000.0,235830000.0,,,0.7651313,67.935,50.71,6.39803,59760.09,56.4525,1.3302,10.3942
2015-09-30,11738569000.0,5674733000.0,6039648000.0,,,200825000.0,181098000.0,2448000.0,,231862767.0,472948000.0,303476000.0,0.0,,39.9492,11.051,,0.033251109998463486,0.0171081330271177,,0.0,,302002000.0,259682000.0,,,0.7651313,67.935,50.71,6.39803,59760.09,56.4525,1.3302,10.3942
2015-12-31,11865870000.0,5312537000.0,6531596000.0,,,-117673000.0,-123635000.0,-2055000.0,,-450859015.0,-220207000.0,-191436000.0,0.0,0.6324,45.562,12.6348,,-0.018015964245186016,-0.00991692981635565,,0.0,,283766000.0,233079000.0,,,0.7651313,67.935,50.71,6.39803,59760.09,56.4525,1.3302,10.3942
2016-03-31,12037103000.0,5536613000.0,6478999000.0,,,70243000.0,60678000.0,964000.0,,250698023.0,136290000.0,107933000.0,0.0,,54.7352,15.0403,,0.010841643902090432,0.005835540328931305,,0.0,,286745000.0,235289000.0,,,0.7651313,67.935,50.71,6.39803,59760.09,56.4525,1.3302,10.3942
2016-06-30,12249431000.0,5429354000.0,6800641000.0,,,146058000.0,118088000.0,1917000.0,0.0,252390707.0,361427000.0,218275000.0,0.0,,60.3486,16.8677,0.0,0.02147709311519311,0.011923655882465072,,0.0,,299453000.0,236229000.0,,,0.7651313,67.935,50.71,6.39803,59760.09,56.4525,1.3302,10.3942
2016-09-30,12536453000.0,5765956000.0,6754731000.0,,,223130000.0,171039000.0,2812000.0,,254540323.0,579210000.0,332192000.0,0.0,,56.5424,16.039,,0.03303314373288885,0.01779849531601961,,0.0,,321758000.0,226170000.0,,,0.7651313,67.935,50.71,6.39803,59760.09,56.4525,1.3302,10.3942
2016-12-31,13152871000.0,6365818000.0,6766804000.0,,,-123860000.0,-129831000.0,-2431000.0,,-502004803.0,-272882000.0,-208457000.0,0.0,0.4997,47.1111,13.4765,,-0.018304062006229232,-0.009416955431251473,,0.0,,315571000.0,219974000.0,,,0.7651313,67.935,50.71,6.39803,59760.09,56.4525,1.3302,10.3942
2017-03-31,13422186000.0,6367463000.0,7034943000.0,,,88870000.0,59305000.0,1047000.0,,263934304.0,213131000.0,121097000.0,0.0,,48.6382,14.333,,0.012632653882199188,0.0066211271397967515,,0.0,,334198000.0,218601000.0,,,0.7651313,67.935,50.71,6.39803,59760.09,56.4525,1.3302,10.3942
2017-06-30,13574116000.0,6553064000.0,7001406000.0,,,170006000.0,122985000.0,1488000.0,,268569855.0,460617000.0,244186000.0,0.0,,44.3787,12.9533,,0.024281694276835252,0.012524277824058672,,0.0,,358146000.0,223498000.0,,,0.7651313,67.935,50.71,6.39803,59760.09,56.4525,1.3302,10.3942
2017-09-30,13701419000.0,6327492000.0,7354429000.0,,,257946000.0,185935000.0,2621000.0,,271126114.0,640098000.0,371755000.0,0.0,,45.8953,13.48,,0.03507355907576237,0.01882622522528506,,0.0,,392962000.0,238394000.0,,,0.7651313,67.935,50.71,6.39803,59760.09,56.4525,1.3302,10.3942
2017-12-31,14058166000.0,6667458000.0,7371501000.0,6898000.0,,-198024000.0,-120812000.0,888000.0,,-529693521.0,-437996000.0,-238250000.0,0.0,0.4941,50.4777,13.2362,,-0.02686345698114943,-0.014086047924032195,,0.0,,318798000.0,247413000.0,,,0.7651313,67.935,50.71,6.39803,59760.09,56.4525,1.3302,10.3942
2018-03-31,14474093000.0,7176434000.0,7267980000.0,20627000.0,318295000.0,83163000.0,59415000.0,1223000.0,,284345328.0,213529000.0,131103000.0,0.0,,46.4775,11.7729,,0.011442381514533612,0.005745644994819364,0.26127648879184406,0.0,,313091000.0,247523000.0,,,0.7651313,67.935,50.71,6.39803,59760.09,56.4525,1.3302,10.3942
2018-06-30,14674074000.0,7161605000.0,7475750000.0,30717000.0,647181000.0,179543000.0,126043000.0,2431000.0,,284924336.0,477269000.0,265102000.0,0.0,,47.0632,12.2178,,0.024016720730361502,0.012235388754343204,0.27742316291732916,0.0,,322628000.0,250581000.0,,,0.7651313,67.935,50.71,6.39803,59760.09,56.4525,1.3302,10.3942
2018-09-30,15095325000.0,7384071000.0,7676240000.0,6666000.0,985262000.0,278542000.0,195385000.0,3733000.0,,287105285.0,689842000.0,402069000.0,0.0,,48.37,12.6679,,0.03628625472887768,0.018452202917128315,0.28270855873869083,0.0,,343224000.0,260031000.0,,,0.7651313,67.935,50.71,6.39803,59760.09,56.4525,1.3302,10.3942
2018-12-31,15260483000.0,7139505000.0,8088742000.0,10387000.0,-622900000.0,-177634000.0,-114823000.0,-2047000.0,,-566450965.0,-439898000.0,-258494000.0,0.0,0.5265,52.66,14.4204,,-0.021960646043599857,-0.011640129607955397,0.2851725798683577,0.0,1327838000.0,363614000.0,266020000.0,,,0.7651313,67.935,50.71,6.39803,59760.09,56.4525,1.3302,10.3942
2019-03-31,15762908000.0,7753832000.0,7983895000.0,2997000.0,354365000.0,110942000.0,70020000.0,1445000.0,0.37,303819878.0,212027000.0,137517000.0,0.0,,56.4545,16.2004,0.37,0.013895723829033323,0.007038168337974186,0.3130726792995922,0.0,1363908000.0,391393000.0,276625000.0,,,0.7651313,67.935,50.71,6.39803,59760.09,56.4525,1.3302,10.3942
2019-06-30,16748630000.0,7886036000.0,8837502000.0,27136000.0,719815000.0,206136000.0,142508000.0,2600000.0,,307580127.0,489663000.0,287943000.0,0.0,,55.4793,15.4579,,0.02332514323617692,0.012307633519875955,0.2863735821009565,0.0,1436542000.0,417986000.0,293090000.0,,,0.7651313,67.935,50.71,6.39803,59760.09,56.4525,1.3302,10.3942
2019-09-30,17179904000.0,7861807000.0,9293419000.0,236064000.0,1094062000.0,307185000.0,215918000.0,4422000.0,0.0,311865410.0,777706000.0,437367000.0,0.0,,63.7103,17.3953,0.0,0.033054035334035836,0.017880484081866814,0.28077476413585334,0.0,1545342000.0,446629000.0,313623000.0,,,0.7651313,67.935,50.71,6.39803,59760.09,56.4525,1.3302,10.3942
2019-12-31,18554796000.0,8750638000.0,9774456000.0,54011000.0,-676651000.0,-187781000.0,-137455000.0,-2309000.0,,-607106138.0,-410459000.0,-268866000.0,0.0,0.5124,56.2782,16.4686,,-0.019211401637083434,-0.010120348399411129,0.27751529222597765,0.0,1491591000.0,436482000.0,290991000.0,,,0.7651313,67.935,50.71,6.39803,59760.09,56.4525,1.3302,10.3942
2020-03-31,18796442000.0,8378803000.0,10388015000.0,41804000.0,414341000.0,146827000.0,75925000.0,2763000.0,,336976515.0,265216000.0,164585000.0,0.0,,36.2472,11.0353,,0.014134269155367989,0.007811425162272732,0.3543627109071996,0.0,1551567000.0,472367000.0,296896000.0,,,0.7651313,67.935,50.71,6.39803,59760.09,56.4525,1.3302,10.3942
2020-06-30,19102547000.0,8728628000.0,10344449000.0,35345000.0,828977000.0,254651000.0,153766000.0,5601000.0,,340281265.0,514644000.0,332913000.0,0.0,,42.1308,12.7648,,0.024617164239487285,0.013330735424967152,0.30718705102795374,0.0,1660729000.0,520882000.0,308154000.0,,,0.7651313,67.935,50.71,6.39803,59760.09,56.4525,1.3302,10.3942
2020-09-30,19785370000.0,9285582000.0,10470527000.0,724750000.0,1233549000.0,277555000.0,230572000.0,10193000.0,0.0,342483218.0,809805000.0,501997000.0,0.0,,52.35,13.0581,0.0,0.026508216826144473,0.014028294643971782,0.22500524908211997,0.0,1800216000.0,491252000.0,322808000.0,,,0.7651313,67.935,50.71,6.39803,59760.09,56.4525,1.3302,10.3942
2020-12-31,20740285000.0,9722555000.0,10985483000.0,824476000.0,-825242000.0,-283547000.0,-150927000.0,-3864000.0,1.14,-674325740.0,-474122000.0,-322457000.0,0.0,2.2249,56.7964,13.6375,1.14,-0.0258110635645242,-0.013671316474195026,0.34359254618645196,0.0,1651625000.0,395486000.0,309336000.0,,,0.7651313,67.935,50.71,6.39803,59760.09,56.4525,1.3302,10.3942
2021-03-31,20979570000.0,9412557000.0,11534872000.0,183984000.0,442804000.0,95940000.0,73075000.0,6225000.0,,371601901.0,266453000.0,177985000.0,0.0,,68.8258,14.1596,,0.00831738748379696,0.0045730203240581194,0.21666470944255245,0.0,1680088000.0,344599000.0,306486000.0,,,0.7651313,67.935,50.71,6.39803,59760.09,56.4525,1.3302,10.3942
2021-06-30,21984941000.0,10111262000.0,11839532000.0,231164000.0,907086000.0,220419000.0,146749000.0,15450000.0,0.59,372971744.0,581134000.0,365774000.0,0.0,,71.7124,15.0213,0.59,0.018617205477378666,0.01002590818870062,0.24299680515408684,0.0,1758197000.0,310367000.0,299469000.0,,,0.7651313,67.935,50.71,6.39803,59760.09,56.4525,1.3302,10.3942
2021-09-30,23711094000.0,10341981000.0,13335093000.0,516983000.0,1398961000.0,355415000.0,222905000.0,21529000.0,0.94,379409427.0,970066000.0,564606000.0,0.0,,53.3557,13.9384,0.94,0.026652607522122267,0.014989396946425163,0.25405640328786866,0.0,1923609000.0,388227000.0,291802000.0,,,0.7651313,67.935,50.71,6.39803,59760.09,56.4525,1.3302,10.3942
2021-12-31,43137502000.0,18008102000.0,25052574000.0,258579000.0,-668388000.0,-312318000.0,-119085000.0,-11547000.0,-0.6599999999999998,-709213226.0,-495464000.0,-210530000.0,0.0,0.6156,112.6883,19.4751,-0.6599999999999998,-0.012466503441921776,-0.007240057618542677,0.46727050754950716,0.0,2080463000.0,359456000.0,323644000.0,,,0.7651313,67.935,50.71,6.39803,59760.09,56.4525,1.3302,10.3942
2022-03-31,44062017000.0,18483292000.0,25502179000.0,151624000.0,807343000.0,199369000.0,106403000.0,10981000.0,0.34,594041839.0,513479000.0,403762000.0,0.0,,89.5137,16.9466,0.34,0.007817724124671856,0.004524736123632288,0.2469446071867843,0.0,2445002000.0,462885000.0,356972000.0,1.2100000000000002,1.2100000000000002,0.7651313,67.935,50.71,6.39803,59760.09,56.4525,1.3302,10.3942
2022-06-30,44951918000.0,18549039000.0,26326612000.0,172849000.0,1617762000.0,422576000.0,216524000.0,25639000.0,0.71,598140702.0,1256561000.0,813199000.0,0.0,,75.0605,15.1031,0.71,0.016051286811990848,0.009400622238187923,0.26121023982514113,0.0,3155678000.0,665042000.0,426747000.0,1.33,1.33,0.7651313,67.935,50.71,6.39803,59760.09,56.4525,1.3302,10.3942
2022-09-30,45892475000.0,19028218000.0,26737119000.0,187745000.0,2455031000.0,642143000.0,333933000.0,35802000.0,1.0,604835836.0,1933366000.0,1232215000.0,0.0,,56.4853,11.637,1.0,0.024016910722505294,0.013992337523744361,0.26156207396159153,0.0,4211748000.0,951770000.0,537775000.0,1.3900000000000001,1.3900000000000001,0.7651313,67.935,50.71,6.39803,59760.09,56.4525,1.3302,10.3942
2022-12-31,49673100000.0,20829803000.0,28713149000.0,171102000.0,-1536436000.0,-394680000.0,-191637000.0,-27239000.0,-1.0499999999999998,-1184837858.0,-1139550000.0,-778787000.0,0.0,0.6261,45.7557,11.8972,-1.0499999999999998,-0.01374561877556516,-0.007945547992776775,0.25688020848248805,0.0,3343700000.0,869408000.0,465223000.0,1.0,1.0,0.7651313,67.935,50.71,6.39803,59760.09,56.4525,1.3302,10.3942
2023-03-31,51101438000.0,21714100000.0,29259106000.0,164576000.0,944399000.0,225016000.0,154132000.0,11950000.0,0.0,661238844.0,731234000.0,451477000.0,0.0,,47.6255,12.2467,0.0,0.007690460535602147,0.004403320313608396,0.23826369998274036,0.0,3480756000.0,895055000.0,512952000.0,0.6600000000000001,0.6600000000000001,0.7651313,67.935,50.71,6.39803,59760.09,56.4525,1.3302,10.3942
2023-06-30,53980666000.0,22669523000.0,31143211000.0,253693000.0,1963604000.0,420431000.0,337989000.0,24882000.0,0.0,668108000.0,1466113000.0,923755000.0,0.0,,48.8635,11.4859,0.0,0.013499924590306375,0.007788547847853526,0.21411190851108472,0.0,3826598000.0,892910000.0,634417000.0,-0.04999999999999982,-0.04999999999999982,0.7651313,67.935,50.71,6.39803,59760.09,56.4525,1.3302,10.3942
2023-09-30,55336920000.0,23513502000.0,31657144000.0,344129000.0,3002708000.0,653904000.0,522110000.0,36218000.0,0.0,682129000.0,2198111000.0,1419321000.0,0.0,,39.4062,8.9232,0.0,0.020655811528671065,0.011816776213782769,0.2177714249937057,0.0,4374275000.0,904671000.0,822594000.0,-1.0499999999999998,-1.0499999999999998,0.7651313,67.935,50.71,6.39803,59760.09,56.4525,1.3302,10.3942
2023-12-31,57779400000.0,24672388000.0,32941467000.0,232923000.0,-1831711000.0,-427042000.0,-283808000.0,-21029000.0,1.0,-1318451844.0,-1436689000.0,-899376000.0,0.0,0.6183,47.6525,10.1907,1.0,-0.012963660665142812,-0.007390904024617771,0.23313830620660136,0.0,4079000000.0,872309000.0,730423000.0,1.0,1.0,0.7651313,67.935,50.71,6.39803,59760.09,56.4525,1.3302,10.3942
2024-03-31,68328249000.0,29009765000.0,38986027000.0,680159000.0,1260485000.0,132284000.0,240614000.0,15502000.0,0.0,835242000.0,778673000.0,581064000.0,0.0,,59.0539,10.4747,0.0,0.0033931131274289633,0.0019360074630333348,0.10494690535785828,0.0,4395086000.0,779577000.0,816905000.0,1.0,1.0,0.7651313,67.935,50.71,6.39803,59760.09,56.4525,1.3302,10.3942
2024-09-30,68468766000.0,29799056000.0,38457792000.0,396956000.0,3930843000.0,661160000.0,748806000.0,46499000.0,0.0,859462000.0,2601313000.0,1788973000.0,0.0,,63.105,11.0852,0.0,0.01719183462222688,0.009656373827447102,0.16819801757536487,0.0,6362325000.0,1020306000.0,1227722000.0,1.0,1.0,0.7651313,67.935,50.71,6.39803,59760.09,56.4525,1.3302,10.3942
2024-12-31,68835000000.0,29783353000.0,38840738000.0,444962000.0,5271100000.0,860772000.0,,66601000.0,0.0,863792000.0,3573276000.0,2395644000.0,0.0,0.789,54.3059,8.8681,0.0,0.022161576847484207,0.012504859446502505,0.16330025990779914,0.0,8630717000.0,1227174000.0,,1.0,1.0,0.7651313,67.935,50.71,6.39803,59760.09,56.4525,1.3302,10.3942
2025-03-31,69757700000.0,30515509000.0,39031261000.0,319007000.0,1380500000.0,249815000.0,,15657000.0,0.0,892351000.0,787516000.0,608935000.0,0.0,,53.5485,9.7171,0.0,0.006400382503655211,0.003581181719007364,0.18095979717493663,0.0,11842928000.0,1904031000.0,,0.0,0.0,0.7651313,67.935,50.71,6.39803,59760.09,56.4525,1.3302,10.3942
2025-06-30,71424100000.0,32060738000.0,39153106000.0,800447000.0,2790883000.0,446734000.0,,39722000.0,0.0,898115000.0,1848185000.0,1256784000.0,0.0,,57.5127,9.6432,0.0,0.011409924923963886,0.006254667542188141,0.16006905341427785,0.0,13373326000.0,2218481000.0,,0.0,0.0,0.7651313,67.935,50.71,6.39803,59760.09,56.4525,1.3302,10.3942
2025-09-30,71279000000.0,32018761000.0,39050597000.0,417173000.0,4261435000.0,762505000.0,,63546000.0,0.0,904010000.0,2791320000.0,1888765000.0,0.0,,58.1221,9.9827,0.0,0.019526077923981547,0.010697470503233771,0.17893151016030984,0.0,13703918000.0,2319826000.0,,0.0,0.0,0.7651313,67.935,50.71,6.39803,59760.09,56.4525,1.3302,10.3942
2025-12-31,72795600000.0,32671644000.0,39438695000.0,434842000.0,-2683441000.0,-400464000.0,,-33579000.0,1.0,-1786142000.0,-1432267000.0,-1230284000.0,0.0,1.1308,49.5586,9.1249,1.0,-0.010154088516366984,-0.005501211611690817,0.14923525428731244,0.0,5749377000.0,1058590000.0,,1.0,1.0,0.7651313,67.935,50.71,6.39803,59760.09,56.4525,1.3302,10.3942
