report_date,total_assets,total_liabilities,total_equity,cash,revenue,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,depreciation,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,roe,roa,net_margin,debt_equity,revenue_ttm,net_income_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-06-30,3143155000.0,1694060000.0,1449095000.0,,166654000.0,61254000.0,42971000.0,555000.0,,103778609.0,110516000.0,46755000.0,0.0,,24.4248,9.6919,,0.04227052056628448,0.019488062154109486,0.36755193394698,0.0,,,,,,0.7651313,67.935,50.71,6.39803,59760.09,56.4525,1.3302,10.3942
2010-09-30,3285534000.0,1658550000.0,1626984000.0,,253223000.0,92907000.0,68106000.0,890000.0,,103887679.0,156761000.0,70621000.0,0.0,,28.8949,11.143,,0.05710381909102978,0.028277595057607074,0.3668979516078713,0.0,,,,,,0.7651313,67.935,50.71,6.39803,59760.09,56.4525,1.3302,10.3942
2010-12-31,3535590000.0,1688625000.0,1846965000.0,,345009000.0,130784000.0,93237000.0,1393000.0,,105942721.0,243368000.0,95513000.0,0.0,0.481,30.3846,12.0236,,0.07081022109244084,0.03699071442107258,0.3790741690796472,0.0,,,,,,0.7651313,67.935,50.71,6.39803,59760.09,56.4525,1.3302,10.3942
2011-03-31,3770556000.0,1660408000.0,2110148000.0,,97756000.0,35999000.0,25122000.0,368000.0,,119109044.0,41526000.0,,0.0,,31.9292,12.651,,0.01705994081931694,0.009547398314731302,0.3682536110315479,0.0,862642000.0,320944000.0,229436000.0,,,0.7651313,67.935,50.71,6.39803,59760.09,56.4525,1.3302,10.3942
2011-06-30,3991053000.0,1900060000.0,2090993000.0,,102626000.0,39248000.0,25647000.0,368000.0,,126202047.0,,,0.0,,29.1333,11.6198,,0.018770029359256583,0.009833996190980175,0.38243719915031277,0.0,798614000.0,298938000.0,212112000.0,,,0.7651313,67.935,50.71,6.39803,59760.09,56.4525,1.3302,10.3942
2011-09-30,4274774000.0,1999232000.0,2275542000.0,,307632000.0,116027000.0,79318000.0,1102000.0,,124013142.0,199247000.0,87542000.0,0.0,,27.7198,11.2915,,0.0509887314758418,0.027142253602178736,0.3771616736880429,0.0,853023000.0,322058000.0,223324000.0,,,0.7651313,67.935,50.71,6.39803,59760.09,56.4525,1.3302,10.3942
2011-12-31,4419389000.0,2164535000.0,2254854000.0,,-86955000.0,-34242000.0,-21786000.0,-368000.0,,-243134834.0,58179000.0,34209000.0,0.0,0.2854,29.5407,11.3073,,-0.01518590560630533,-0.007748129888543416,0.39378989132309816,0.0,421059000.0,157032000.0,108301000.0,,,0.7651313,67.935,50.71,6.39803,59760.09,56.4525,1.3302,10.3942
2012-03-31,4398433000.0,1937494000.0,2460939000.0,,114723000.0,39263000.0,28952000.0,405000.0,,132703954.0,50326000.0,35250000.0,0.0,,32.3237,12.1834,,0.01595447916425397,0.008926588173560903,0.34224174751357617,0.0,438026000.0,160296000.0,112131000.0,,,0.7651313,67.935,50.71,6.39803,59760.09,56.4525,1.3302,10.3942
2012-06-30,4576559000.0,2103676000.0,2472883000.0,,,82671000.0,57758000.0,810000.0,0.44,132785213.0,155933000.0,70560000.0,0.0,,34.1032,12.8442,0.44,0.03343101958321522,0.018064008352126563,,0.0,,203719000.0,144242000.0,,,0.7651313,67.935,50.71,6.39803,59760.09,56.4525,1.3302,10.3942
2012-09-30,5036326000.0,2593623000.0,2442703000.0,,,120129000.0,87477000.0,1215000.0,0.65,132845970.0,208528000.0,108282000.0,0.0,,33.7559,11.7782,0.65,0.04917871718338251,0.023852506767830357,,0.0,,207821000.0,152401000.0,,,0.7651313,67.935,50.71,6.39803,59760.09,56.4525,1.3302,10.3942
