report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,cash,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-06-30,6622894000.0,1815691000.0,2587222000.0,,2605934000.0,895374000.0,795854000.0,1551879000.0,305864000.0,173657000.0,41412000.0,91701000.0,0.6,291726000.0,933333000.0,73128000.0,860205000.0,895374000.0,,13.5985,1.7225,0.6,305864000.0,0.06663906300006063,0.026220712576707404,0.11190112115699742,0.19709268570552216,0.046182831855681214,0.0873570677015561,0.554299014291707,0.19709268570552216,0.3435904362888699,0.7017917287345269,,,,,,,,,,,1.3729017,303.8,130.01,1.98132,29335.965,22.6708,27.0364,1.9912
2010-09-30,7132741000.0,2208322000.0,2380223000.0,,2709883000.0,1644728000.0,950871000.0,2539739000.0,582668000.0,350207000.0,68405000.0,152285000.0,1.21,289893000.0,937717000.0,113324000.0,824393000.0,1644728000.0,,17.7513,2.6828,1.21,582668000.0,0.12923325471985322,0.04909851626464497,0.13789094076202318,0.22942042469718346,0.08168921316503712,0.13380483354311096,0.32459752754121585,0.22942042469718346,0.6069369046560312,0.9277794559585384,,,,,,,,,,,1.3729017,303.8,130.01,1.98132,29335.965,22.6708,27.0364,1.9912
2010-12-31,6650994000.0,1701627000.0,1889420000.0,,2672544000.0,1644894000.0,714332000.0,3348109000.0,731915000.0,421500000.0,101291000.0,195008000.0,1.46,288028000.0,777483000.0,155189000.0,622294000.0,1644894000.0,0.9013,16.492,2.2914,1.46,731915000.0,0.15771489636840405,0.06337398590346044,0.12589195871460576,0.21860548745575487,0.11004595704040629,0.16952530644331198,0.1858643192321397,0.21860548745575487,0.6154787348683501,0.9006081231277323,,,,,,,,,,,1.3729017,303.8,130.01,1.98132,29335.965,22.6708,27.0364,1.9912
2011-03-31,7457588000.0,2427450000.0,2652880000.0,,2703087000.0,1645064000.0,953169000.0,822177000.0,108241000.0,52039000.0,31265000.0,21976000.0,0.19,278167000.0,729090000.0,51079000.0,678011000.0,1645064000.0,,14.9953,2.0404,0.19,108241000.0,0.019251692601828945,0.006977993420929126,0.06329415685430266,0.13165170030297613,0.014514210224539087,0.024893569703536053,0.8246533289060628,0.13165170030297613,0.6085871449938534,0.9150244262838877,8261904000.0,997403000.0,1728688000.0,2984903000.0,1728688000.0,242373000.0,3.46,3.46,0.9516257416028804,7.132345599551105,1.3729017,303.8,130.01,1.98132,29335.965,22.6708,27.0364,1.9912
2011-06-30,8045277000.0,2954000000.0,2998119000.0,,2880075000.0,1645237000.0,1409008000.0,1845811000.0,335210000.0,192432000.0,62483000.0,77426000.0,0.69,278136000.0,1219791000.0,109040000.0,1110751000.0,1645237000.0,,18.0006,2.5375,0.69,335210000.0,0.06681492669461733,0.023918629526366836,0.10425336071786331,0.1816058090454548,0.041665439238450085,0.07407445055722124,0.6017685451002297,0.1816058090454548,0.5712479709729781,0.9852844400105533,8555836000.0,1016178000.0,1758034000.0,3235449000.0,1758034000.0,263444000.0,3.55,3.55,0.935839124840589,6.673274016489273,1.3729017,303.8,130.01,1.98132,29335.965,22.6708,27.0364,1.9912
2011-09-30,7676683000.0,2598173000.0,2616269000.0,7676683000.0,2897795000.0,1645414000.0,1453508000.0,2986646000.0,624563000.0,401966000.0,94532000.0,138205000.0,1.44,278541000.0,1225490000.0,173895000.0,1051595000.0,1645414000.0,,14.9222,2.0774,1.44,624563000.0,0.1387144363214099,0.0523619380922724,0.13458776165638647,0.20911852291835056,0.08135844608928101,0.1374717738056955,0.3520989765777397,0.20911852291835056,0.5678158737936949,0.99308328004498,9002743000.0,1067937000.0,1799929000.0,3462651000.0,1799929000.0,289571000.0,3.78,3.78,0.9141549472229182,6.215846890745275,1.3729017,303.8,130.01,1.98132,29335.965,22.6708,27.0364,1.9912
2011-12-31,6505258000.0,2274429000.0,2553357000.0,6505258000.0,2199864000.0,1249281000.0,689134000.0,-2205625000.0,-588405000.0,-174143000.0,-97562000.0,-161876000.0,1.0900000000000003,-696142000.0,-2348642000.0,-126177000.0,-2474819000.0,1249281000.0,0.8907,8.3846,1.1482,1.0900000000000003,-588405000.0,-0.07916080266780129,-0.02676957624124977,0.07895403797109662,0.26677472371776706,-0.0904506785126739,-0.17059445166845696,1.1220488523661094,0.26677472371776706,0.5678901059338214,0.8907602814647541,3449009000.0,472294000.0,479609000.0,365538000.0,479609000.0,90718000.0,3.41,3.41,2.6047905689843183,5.286811878568751,1.3729017,303.8,130.01,1.98132,29335.965,22.6708,27.0364,1.9912
2012-03-31,6818183000.0,2584642000.0,3002189000.0,6818183000.0,2048840000.0,1249296000.0,1272508000.0,816488000.0,48683000.0,-3281000.0,21392000.0,5240000.0,-0.02,139306000.0,847816000.0,50814000.0,797002000.0,1249296000.0,,10.3945,1.2252,-0.02,48683000.0,-0.0016013939595087951,-0.00048121324992303667,-0.004018430154515437,0.05962488119849894,0.0071401720957035035,0.014760761836382733,0.9761343706214911,0.05962488119849894,0.6097577165615665,0.8609191493273741,3443320000.0,416974000.0,420051000.0,484529000.0,420051000.0,80845000.0,3.2,3.2,2.974153138547462,5.195757313377451,1.3729017,303.8,130.01,1.98132,29335.965,22.6708,27.0364,1.9912
2012-06-30,7505096000.0,3086511000.0,3450185000.0,7505096000.0,2234569000.0,1249312000.0,1343346000.0,1856468000.0,203124000.0,101960000.0,43381000.0,33995000.0,0.73,138747000.0,1400595000.0,117217000.0,1283378000.0,1249312000.0,,16.3724,1.7061,0.73,203124000.0,0.045628485851186514,0.013585435815877638,0.05492149608827084,0.10941422098307108,0.027064810363518335,0.0583039432173487,0.6913009004195063,0.10941422098307108,0.559084100781851,0.894592898641667,3453977000.0,326502000.0,287965000.0,657156000.0,287965000.0,61743000.0,3.24,3.24,4.338416126959873,4.663929514276922,1.3729017,303.8,130.01,1.98132,29335.965,22.6708,27.0364,1.9912
2012-09-30,7507565000.0,3091410000.0,3298579000.0,7507565000.0,2365107000.0,1249328000.0,1314728000.0,3055488000.0,430214000.0,273437000.0,65482000.0,70145000.0,1.96,139650000.0,1453908000.0,176980000.0,1276928000.0,1249328000.0,,22.4818,2.0112,1.96,430214000.0,0.11561295112652409,0.03642152948392721,0.08949045127979557,0.14080042206024046,0.057304065965462836,0.11902662518484908,0.41791294876628543,0.14080042206024046,0.5282331835303857,0.9371944707099633,3522819000.0,197973000.0,93616000.0,882489000.0,93616000.0,32693000.0,3.7600000000000002,3.7600000000000002,13.345240129892327,2.8634875967332456,1.3729017,303.8,130.01,1.98132,29335.965,22.6708,27.0364,1.9912
2012-12-31,7085195000.0,2614502000.0,2982311000.0,7085195000.0,2280259000.0,1249345000.0,1293161000.0,-1698097000.0,-250297000.0,-91945000.0,-42467000.0,-62302000.0,-0.6699999999999999,-277774000.0,-2465137000.0,-109314000.0,-2574451000.0,1249345000.0,0.8777,29.5759,2.056,-0.6699999999999999,-250297000.0,-0.04032217392848795,-0.012977059911547953,0.05414590568147756,0.14739852905929401,-0.03532676235445884,-0.07091362090478139,1.5160800590307857,0.14739852905929401,0.547896094259468,0.8766698040546409,4030347000.0,280171000.0,431724000.0,782857000.0,431724000.0,87788000.0,2.0,2.0,2.893851164169701,4.917801977491229,1.3729017,303.8,130.01,1.98132,29335.965,22.6708,27.0364,1.9912
