report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,gross_profit,operating_income,net_income,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,gross_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,gross_profit_ttm,fcf_ttm,ebitda_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-11-30,1521400000.0,613400000.0,303500000.0,,722700000.0,353400000.0,,152200000.0,,176100000.0,45500000.0,24400000.0,12400000.0,0.56,42800000.0,5300000.0,6700000.0,9600000.0,-1400000.0,353400000.0,,28.7361,1.3968,0.56,55100000.0,0.0337622803376228,0.016037859865912975,,,,0.029906664913895098,0.04228231576990986,,,0.48899958488999584,2.0210873146622736,,,,,,,,,,1.4103065,380.1699,216.81,0.55833,8137.5474,18.9377,3.6716,1.774
2011-02-28,1537000000.0,581900000.0,287200000.0,,748000000.0,353400000.0,,125500000.0,,340000000.0,82700000.0,44300000.0,21400000.0,1.01,42900000.0,28700000.0,11800000.0,19200000.0,16900000.0,353400000.0,,26.3105,1.4423,1.01,101900000.0,0.059224598930481286,0.02882238126219909,,,,0.05380611581001952,0.07508625385872526,,,0.47245989304812835,2.026114206128134,,,,,,,,,,1.4103065,380.1699,216.81,0.55833,8137.5474,18.9377,3.6716,1.774
2011-05-31,1591000000.0,626500000.0,313300000.0,,779000000.0,353400000.0,,160800000.0,,529600000.0,132900000.0,71300000.0,36200000.0,1.63,42900000.0,81600000.0,17400000.0,29700000.0,64200000.0,353400000.0,,26.7742,1.5141,1.63,162600000.0,0.09152759948652119,0.04481458202388435,,,,0.0835323695788812,0.11736135641116213,,,0.45365853658536587,1.999680817108203,,,,,,,,,,1.4103065,380.1699,216.81,0.55833,8137.5474,18.9377,3.6716,1.774
2011-08-31,1597400000.0,630500000.0,331400000.0,1597400000.0,757000000.0,353400000.0,,170200000.0,,-315700000.0,-72400000.0,-34500000.0,-17900000.0,-0.7800000000000002,-85800000.0,45500000.0,-12600000.0,-18400000.0,32900000.0,353400000.0,1.9025,18.9131,1.1112,-0.7800000000000002,-90800000.0,-0.04557463672391017,-0.021597596093652183,,,,-0.04532365093276575,-0.06520172910662825,,,0.4668428005284016,1.9025347012673506,,105500000.0,188700000.0,730000000.0,112600000.0,228800000.0,2.42,2.42,1.5445804195804196,1.4103065,380.1699,216.81,0.55833,8137.5474,18.9377,3.6716,1.774
2011-11-30,1595000000.0,639200000.0,317400000.0,1595000000.0,765400000.0,353400000.0,,172700000.0,,193600000.0,50600000.0,29900000.0,15900000.0,,41700000.0,27700000.0,4200000.0,10100000.0,23500000.0,353400000.0,,19.043,1.1457,,60700000.0,0.03906454141625294,0.018746081504702194,,,,0.031724137931034485,0.04522702895959957,,,0.4617193624248759,2.013862633900441,,111000000.0,193800000.0,747500000.0,137500000.0,234400000.0,,,1.507679180887372,1.4103065,380.1699,216.81,0.55833,8137.5474,18.9377,3.6716,1.774
2012-02-29,1597900000.0,642700000.0,292200000.0,1597900000.0,795200000.0,353400000.0,,180600000.0,,375600000.0,89500000.0,49500000.0,26400000.0,,41800000.0,37600000.0,9400000.0,19500000.0,28200000.0,353400000.0,,23.6551,1.388,,109000000.0,0.06224849094567404,0.030978158833468928,,,,0.05601101445647412,0.0779209472401184,,,0.4444164989939638,2.1995208761122518,,116200000.0,200600000.0,783100000.0,148800000.0,241500000.0,,,1.4633540372670808,1.4103065,380.1699,216.81,0.55833,8137.5474,18.9377,3.6716,1.774
2012-05-31,1656500000.0,704100000.0,331100000.0,1656500000.0,819000000.0,353500000.0,,228300000.0,,577600000.0,146900000.0,83100000.0,45200000.0,,41900000.0,102800000.0,18800000.0,29700000.0,84000000.0,353500000.0,,19.4078,1.1873,,176600000.0,0.10146520146520147,0.05016601267733172,,,,0.08868095381829158,0.12528784648187632,,,0.43162393162393164,2.1265478707339174,,128000000.0,214600000.0,831100000.0,168600000.0,255500000.0,,,1.3835616438356164,1.4103065,380.1699,216.81,0.55833,8137.5474,18.9377,3.6716,1.774
2012-08-31,1736900000.0,779000000.0,364800000.0,1736900000.0,834000000.0,353500000.0,,284500000.0,,-358800000.0,-79000000.0,-46200000.0,-24800000.0,2.72,-83500000.0,4100000.0,-1000000.0,-19500000.0,3100000.0,353500000.0,2.1354,23.3633,1.4052,2.72,-98500000.0,-0.05539568345323741,-0.026599113362887904,,,,-0.04548333237376936,-0.06652631578947368,,,0.4238609112709832,2.1354166666666665,,116300000.0,208000000.0,788000000.0,138800000.0,247800000.0,,,1.426553672316384,1.4103065,380.1699,216.81,0.55833,8137.5474,18.9377,3.6716,1.774
2012-11-30,1731700000.0,773300000.0,321300000.0,1731700000.0,866100000.0,353500000.0,,267500000.0,,189500000.0,48200000.0,26100000.0,14300000.0,,42300000.0,-14500000.0,11200000.0,10000000.0,-25700000.0,353500000.0,,24.8384,1.44,,58200000.0,0.03013508832698303,0.015071894669977479,,,,0.02783392042501588,0.039521154476877665,,,0.4081514836623946,2.406784936196701,,112500000.0,205600000.0,783900000.0,89600000.0,245300000.0,,,1.4410925397472483,1.4103065,380.1699,216.81,0.55833,8137.5474,18.9377,3.6716,1.774
2013-02-28,1742400000.0,783700000.0,312500000.0,,890700000.0,353500000.0,,262800000.0,,379200000.0,93300000.0,50800000.0,26800000.0,,42400000.0,-300000.0,21900000.0,19900000.0,-22200000.0,353500000.0,,24.7952,1.4805,,113200000.0,0.0570337936454474,0.029155188246097336,,,,0.053546831955922865,0.07498794406044045,,,0.3968788593241271,2.50784,,113800000.0,209400000.0,787500000.0,39200000.0,249500000.0,,,1.4168336673346693,1.4103065,380.1699,216.81,0.55833,8137.5474,18.9377,3.6716,1.774
2013-05-31,1829800000.0,837400000.0,358100000.0,,922600000.0,353500000.0,,301900000.0,,600300000.0,143300000.0,82500000.0,40300000.0,,42400000.0,67800000.0,31400000.0,30200000.0,36400000.0,353500000.0,,27.7935,1.5892,,173500000.0,0.08942120095382615,0.04508689474259482,,,,0.07831456989834955,0.1122952746649949,,,0.38315629742033386,2.3384529461044403,,113200000.0,205800000.0,810200000.0,-8400000.0,246400000.0,,,1.4346590909090908,1.4103065,380.1699,216.81,0.55833,8137.5474,18.9377,3.6716,1.774
