report_date,total_assets,total_liabilities,total_equity,revenue,net_income,income_tax,eps_diluted,operating_cash_flow,total_debt,bf_pe,bf_ps,eps,roe,roa,net_margin,debt_equity,revenue_ttm,net_income_ttm,eps_diluted_ttm,eps_ttm,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2023-06-30,44668000000.0,33766000000.0,10902000000.0,6936000000.0,1035000000.0,122000000.0,25.74,2158000000.0,0.0,12.2415,1.1083,25.74,0.0949367088607595,0.023170950120891914,0.14922145328719724,0.0,,,,,0.30653578,368.29,302.44,0.36008,13211.23,8.3089,0.9214,0.7551
2023-09-30,46318000000.0,35092000000.0,11226000000.0,10927000000.0,1713000000.0,169000000.0,41.49,3536000000.0,0.0,7.3798,1.1492,41.49,0.15259219668626403,0.0369834621529427,0.15676763979134253,0.0,,,,,0.30653578,368.29,302.44,0.36008,13211.23,8.3089,0.9214,0.7551
2023-12-31,49399000000.0,36197000000.0,13202000000.0,14587000000.0,2517000000.0,-363000000.0,60.19,4553000000.0,0.0,6.0978,1.0517,60.19,0.19065293137403425,0.050952448430130165,0.17255090148762597,0.0,,,,,0.30653578,368.29,302.44,0.36008,13211.23,8.3089,0.9214,0.7551
2024-03-31,50937000000.0,37308000000.0,13628000000.0,4133000000.0,733000000.0,99000000.0,16.87,1102000000.0,0.0,5.9899,1.1188,16.87,0.05378632227766363,0.014390325303806663,0.17735301233970482,0.0,36583000000.0,5998000000.0,144.29,144.29,0.30653578,368.29,302.44,0.36008,13211.23,8.3089,0.9214,0.7551
2024-06-30,52560000000.0,38378000000.0,14182000000.0,8360000000.0,1457000000.0,207000000.0,33.57,2439000000.0,0.0,5.5801,1.0227,33.57,0.10273586236073896,0.027720700152207,0.1742822966507177,0.0,38007000000.0,6420000000.0,152.12,152.12,0.30653578,368.29,302.44,0.36008,13211.23,8.3089,0.9214,0.7551
2024-09-30,55864000000.0,40529000000.0,15335000000.0,12645000000.0,1966000000.0,275000000.0,45.4,4177000000.0,0.0,6.0848,1.0335,45.4,0.1282034561460711,0.035192610625805525,0.15547647291419533,0.0,39725000000.0,6673000000.0,156.03,156.03,0.30653578,368.29,302.44,0.36008,13211.23,8.3089,0.9214,0.7551
2024-12-31,56341000000.0,42466000000.0,13875000000.0,-7857000000.0,-2783000000.0,-461000000.0,-64.06,-2761000000.0,0.0,11.346,0.9015,-64.06,-0.20057657657657657,-0.04939564437975897,0.354206440117093,0.0,17281000000.0,1373000000.0,31.78,31.78,0.30653578,368.29,302.44,0.36008,13211.23,8.3089,0.9214,0.7551
2025-03-31,58132000000.0,43993000000.0,14140000000.0,4263000000.0,210000000.0,39000000.0,4.9,928000000.0,0.0,18.1879,0.8869,4.9,0.01485148514851485,0.0036124681758755934,0.04926108374384237,0.0,17411000000.0,850000000.0,19.810000000000002,19.810000000000002,0.30653578,368.29,302.44,0.36008,13211.23,8.3089,0.9214,0.7551
2025-06-30,60519000000.0,45500000000.0,15019000000.0,8754000000.0,890000000.0,173000000.0,20.93,2007000000.0,0.0,17.9571,0.8183,20.93,0.059258272854384446,0.014706125349063931,0.10166780900159927,0.0,17805000000.0,283000000.0,7.170000000000002,7.170000000000002,0.30653578,368.29,302.44,0.36008,13211.23,8.3089,0.9214,0.7551
2025-09-30,62240000000.0,46864000000.0,15375000000.0,13073000000.0,1145000000.0,187000000.0,27.06,3466000000.0,0.0,26.6327,0.8289,27.06,0.07447154471544716,0.018396529562982007,0.0875850990591295,0.0,18233000000.0,-538000000.0,-11.169999999999998,-11.169999999999998,0.30653578,368.29,302.44,0.36008,13211.23,8.3089,0.9214,0.7551
2025-12-31,62514000000.0,47054000000.0,15461000000.0,-8594000000.0,-654000000.0,-103000000.0,-15.090000000000003,-3333000000.0,0.0,8.9593,0.8142,-15.090000000000003,-0.04229998059633917,-0.010461656588924081,0.07609960437514544,0.0,17496000000.0,1591000000.0,37.8,37.8,0.30653578,368.29,302.44,0.36008,13211.23,8.3089,0.9214,0.7551
