report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,cash,revenue,gross_profit,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_ps,eps,ebitda,roe,roa,net_margin,gross_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,gross_profit_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pb_annual,bf_ps_ttm
2011-06-30,49043000000.0,9182000000.0,8631000000.0,35717000000.0,13326000000.0,16278000000.0,3956000000.0,16624000000.0,,338000000.0,-1286000000.0,488000000.0,136000000.0,-0.43,,1994000000.0,1403000000.0,2490000000.0,591000000.0,16278000000.0,,,-0.43,2828000000.0,-0.0965030766921807,-0.026221886915563892,-0.07735803657362848,,0.020332050048123194,0.006891911179984911,0.01141737603026618,0.035551010587102985,0.1701154956689124,1.2215218370103558,1.0638396477812537,,,,,,,,,,,,0.7876945,21.4,11.81,6.00742,5070.12,3.4031,5.0636
2011-09-30,48015000000.0,8650000000.0,7682000000.0,34974000000.0,13041000000.0,16272000000.0,3761000000.0,24957000000.0,,546000000.0,-1587000000.0,724000000.0,148000000.0,-0.53,,2602000000.0,2221000000.0,3684000000.0,381000000.0,16272000000.0,,,-0.53,4230000000.0,-0.12169312169312169,-0.03305217119650109,-0.06358937372280322,,0.02187762952277918,0.011371446422992815,0.018626547948009414,0.01526625796369756,0.1694915254237288,1.2477570738440305,1.1260088518614944,,,,,,,,,,,,0.7876945,21.4,11.81,6.00742,5070.12,3.4031,5.0636
2011-12-31,49383000000.0,10337000000.0,6499000000.0,37956000000.0,11427000000.0,20266000000.0,5447000000.0,33679000000.0,,108000000.0,-2890000000.0,1011000000.0,254000000.0,-0.96,,3691000000.0,3130000000.0,4858000000.0,561000000.0,20266000000.0,,,-0.96,4966000000.0,-0.2529097750940754,-0.05852216349755989,-0.0858101487573859,,0.003206746043528608,0.002186987424822307,0.0034076925504054525,0.016657264170551384,0.1474509338163247,1.773518858843091,1.5905523926757963,,,,,,,,,,,,0.7876945,21.4,11.81,6.00742,5070.12,3.4031,5.0636
2012-03-31,50617000000.0,12224000000.0,6439000000.0,40026000000.0,10591000000.0,22260000000.0,7095000000.0,8734000000.0,,-255000000.0,-863000000.0,298000000.0,37000000.0,-0.29,,978000000.0,783000000.0,1666000000.0,195000000.0,22260000000.0,,,-0.29,1411000000.0,-0.08148427910490039,-0.01704960783926349,-0.0988092512021983,,-0.029196244561483856,-0.005037833139063951,-0.007762320781711364,0.022326539958781772,0.16155255324021067,2.1017845340383343,1.8984314334523995,83994000000.0,-6626000000.0,737000000.0,,1728000000.0,13435000000.0,2521000000.0,-2.21,-2.21,1.656866393747674,0.2923443078143594,0.7876945,21.4,11.81,6.00742,5070.12,3.4031,5.0636
2012-06-30,49024000000.0,11604000000.0,7363000000.0,39797000000.0,9227000000.0,20957000000.0,5860000000.0,17577000000.0,,-884000000.0,-2237000000.0,619000000.0,63000000.0,-0.75,,2155000000.0,1711000000.0,3562000000.0,444000000.0,20957000000.0,,,-0.75,2678000000.0,-0.2424406632708356,-0.04563071148825065,-0.12726858963418103,,-0.05029299652955567,-0.018031984334203655,-0.029287039491121124,0.025260283324799453,0.15235819536894807,2.2712691015497994,1.5759880483498574,84947000000.0,-7577000000.0,-485000000.0,,1581000000.0,13285000000.0,2652000000.0,-2.5300000000000002,-2.5300000000000002,1.5774934136243883,-0.18288084464555052,0.7876945,21.4,11.81,6.00742,5070.12,3.4031,5.0636
2012-09-30,48972000000.0,11611000000.0,7947000000.0,40473000000.0,8499000000.0,20994000000.0,5645000000.0,26340000000.0,,-1115000000.0,-3004000000.0,996000000.0,110000000.0,-1.0,,2783000000.0,2784000000.0,5050000000.0,-1000000.0,20994000000.0,,,-1.0,3935000000.0,-0.3534533474526415,-0.06134117454872172,-0.1140470766894457,,-0.04233105542900532,-0.0227681123907539,-0.03780558098531855,-3.7965072133637056e-05,0.1493925588458618,2.4701729615248853,1.4610544859695482,86330000000.0,-8994000000.0,-2146000000.0,,1199000000.0,12990000000.0,2924000000.0,-3.0,-3.0,1.6161662817551963,-0.7339261285909713,0.7876945,21.4,11.81,6.00742,5070.12,3.4031,5.0636
2012-12-31,51570000000.0,13759000000.0,8874000000.0,44483000000.0,7087000000.0,23962000000.0,6351000000.0,-17306000000.0,,434000000.0,1778000000.0,-485000000.0,-56000000.0,0.6000000000000001,,-2917000000.0,-1017000000.0,-3735000000.0,-3934000000.0,23962000000.0,,,0.6000000000000001,-3301000000.0,0.25088189643008324,0.03447740934651929,-0.10273893447359297,,-0.025078007627412458,0.008415745588520457,0.01397790589068891,0.2273200046226742,0.1907430948803883,3.3811203612247778,1.5504845616407483,35345000000.0,-4326000000.0,-1820000000.0,,-3296000000.0,4723000000.0,1428000000.0,-1.4399999999999997,-1.4399999999999997,5.073470251958501,-1.2745098039215685,0.7876945,21.4,11.81,6.00742,5070.12,3.4031,5.0636
2021-07-31,1976564000.0,1782099000.0,173198000.0,260596000.0,1715968000.0,0.0,1684702000.0,83145000.0,46074000.0,-128767000.0,-130797000.0,782000.0,326000.0,-1.59,,-72791000.0,1685000.0,3637000.0,-74476000.0,0.0,,,-1.59,-125130000.0,-0.07622344938833359,-0.06617392606563714,-1.5731192495038788,0.5541403572072885,-1.5487040712009141,-0.06514689127192441,-0.07504044364463673,-0.8957363641830537,-1.504961212339888,0.0,10.289374011247244,26694145000.0,-3593797000.0,-1693767000.0,,-3565476000.0,3186870000.0,1130782000.0,-2.74,-2.74,0.0,-1.4978722689253985,0.7876945,21.4,11.81,6.00742,5070.12,3.4031,5.0636
2021-10-31,1980994000.0,1772894000.0,205212000.0,302048000.0,1678946000.0,0.0,1664866000.0,139163000.0,81735000.0,-196141000.0,-199392000.0,785000.0,588000.0,-1.39,143199215.0,-90003000.0,3268000.0,5862000.0,-93271000.0,0.0,,,-1.39,-190279000.0,-0.11876022218701494,-0.10065250071428787,-1.432794636505393,0.5873328399071592,-1.4094335419615847,-0.09901140538537724,-0.11682388832041055,-0.6702284371564281,-1.367310276438421,0.0,8.639329084069157,9256308000.0,-1556189000.0,-1005908000.0,,-4102747000.0,318591000.0,512567000.0,-3.38,-3.38,0.0,-1.962490757305874,0.7876945,21.4,11.81,6.00742,5070.12,3.4031,5.0636
2022-01-31,2042181000.0,1817654000.0,281321000.0,391393000.0,1650788000.0,0.0,1669304000.0,204799000.0,123122000.0,-267232000.0,-271101000.0,787000.0,1004000.0,-1.56,174051203.0,-95588000.0,3653000.0,7909000.0,-99241000.0,0.0,6.4618,,-1.56,-259323000.0,-0.1642252063862834,-0.13275072092042772,-1.3237418151455818,0.601184576096563,-1.304850121338483,-0.13085617778247863,-0.161881477209672,-0.4845775614138741,-1.2662317687098081,0.0,6.4611386992083775,-16878893000.0,1176710000.0,-158140000.0,,-4200988000.0,-3875732000.0,-482646000.0,-3.94,-3.94,-0.0,-0.32765215085176297,0.7876945,21.4,11.81,6.00742,5070.12,3.4031,5.0636
