report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,gross_profit,operating_income,net_income,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,gross_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,gross_profit_ttm,fcf_ttm,ebitda_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-04-04,3698687000.0,1413032000.0,902295000.0,2909622000.0,752217000.0,,42162000.0,303786000.0,1407843000.0,,,147394000.0,82191000.0,0.64,229551.0,181186000.0,30603000.0,47330000.0,150583000.0,42162000.0,,18.5854,1.7242,0.64,,0.1959461166126264,0.03985035770801909,0.1046949127139887,,,,,0.10696008006574596,,0.05605031526806759,1.5660421480779567,,,,,,,,,,0.14924136,239.48,150.04,1.50232,43150.934,48.8542,7.9588,3.6905
2010-07-04,3619987000.0,1414988000.0,876009000.0,2887485000.0,697368000.0,1501335000.0,28968000.0,249070000.0,2641085000.0,,,194117000.0,137112000.0,,229946000.0,264848000.0,65003000.0,93298000.0,199845000.0,1530303000.0,,21.686,1.8929,,,0.27835662089456353,0.05362367323418565,0.07349895970784734,,,,,0.07566776533129377,,2.1943980796365765,1.6152665098189631,,,,,,,,,,0.14924136,239.48,150.04,1.50232,43150.934,48.8542,7.9588,3.6905
2010-10-03,3886943000.0,1664812000.0,1270090000.0,3024006000.0,826749000.0,1250546000.0,14992000.0,244947000.0,4188200000.0,,,374286000.0,234332000.0,,230138000.0,388199000.0,108569000.0,145736000.0,279630000.0,1265538000.0,,20.3016,1.8179,,,0.45272023310581566,0.09629315377148571,0.08936679241679003,,,,,0.06676615252375723,,1.5307402851409557,1.3107827004385515,,,,,,,,,,0.14924136,239.48,150.04,1.50232,43150.934,48.8542,7.9588,3.6905
2010-12-31,4272732000.0,2005217000.0,1298845000.0,3335131000.0,902316000.0,1541825000.0,24088000.0,884642000.0,-2566119000.0,,,-205998000.0,-154570000.0,,,67190000.0,-24637000.0,-89248000.0,42553000.0,1565913000.0,1.5438,20.1864,1.8147,,,-0.22829917678507308,-0.04821224453113371,0.08027609008000018,,,,,-0.016582629254527945,,1.735437474232974,1.5438462634109535,5671009000.0,509799000.0,,,672611000.0,,,,,0.14924136,239.48,150.04,1.50232,43150.934,48.8542,7.9588,3.6905
2011-04-03,4235155000.0,1954521000.0,1290932000.0,3326171000.0,875417000.0,1540924000.0,24474000.0,752266000.0,1564223000.0,,,160115000.0,91957000.0,,230194.0,159378000.0,77486000.0,51054000.0,81892000.0,1565398000.0,,22.0788,1.9797,,,0.18290140584430048,0.0378061723833012,0.10236072478156887,,,,,0.05235314913538543,,1.788174093032235,1.514038694524576,5827389000.0,522520000.0,,,603920000.0,,,,,0.14924136,239.48,150.04,1.50232,43150.934,48.8542,7.9588,3.6905
2011-07-03,4312753000.0,1992076000.0,1221813000.0,3267059000.0,1012260000.0,1541388000.0,34485000.0,790297000.0,2889394000.0,,,290134000.0,166941000.0,,230243.0,286692000.0,171046000.0,102792000.0,115646000.0,1575873000.0,,20.1305,2.0603,,,0.2866200383300733,0.06727350256321195,0.10041344309568027,,,,,0.040024309595714534,,1.5567867939067037,1.630426259992323,6075698000.0,618537000.0,,,519721000.0,,,,,0.14924136,239.48,150.04,1.50232,43150.934,48.8542,7.9588,3.6905
2011-10-02,4130506000.0,1814015000.0,1181427000.0,3175829000.0,927672000.0,1498862000.0,39861000.0,292339000.0,4513643000.0,,,,268321000.0,,230114.0,257229000.0,251206000.0,157561000.0,6023000.0,1538723000.0,,20.3216,2.1091,,,,,,,,,,0.0013343988436834726,,1.6586929431954398,1.5354440011951649,6401141000.0,,,,246114000.0,,,,,0.14924136,239.48,150.04,1.50232,43150.934,48.8542,7.9588,3.6905
2011-12-31,4412199000.0,2046558000.0,1173775000.0,3539551000.0,849022000.0,1748500000.0,42080000.0,693686000.0,-2886472000.0,,,,,,,-122432000.0,-175777000.0,-95644000.0,-298209000.0,1790580000.0,1.7436,20.7179,2.1429,,,,,,,,,,0.10331262523939258,,2.108991286444874,1.7435692530510531,6080788000.0,,,,-94648000.0,,,,,0.14924136,239.48,150.04,1.50232,43150.934,48.8542,7.9588,3.6905
2012-04-01,4599457000.0,2012445000.0,1323809000.0,3713864000.0,860330000.0,1748630000.0,146677000.0,567339000.0,1732064000.0,,,,111855000.0,,228655000.0,275802000.0,88487000.0,54868000.0,187315000.0,1895307000.0,,19.8011,2.1152,,,,,,,,,,0.10814554196611673,,2.203000011623447,1.5201928677022138,6248629000.0,,,,10775000.0,,,,,0.14924136,239.48,150.04,1.50232,43150.934,48.8542,7.9588,3.6905
2012-07-01,4667972000.0,2093573000.0,1446972000.0,3582001000.0,1064327000.0,1498669000.0,139356000.0,589782000.0,3146508000.0,,,,174097000.0,,228752000.0,314158000.0,139488000.0,109635000.0,174670000.0,1638025000.0,,21.9618,2.3326,,,,,,,,,,0.055512333037131954,,1.5390241908736695,1.446864901324974,6505743000.0,,,,69799000.0,,,,,0.14924136,239.48,150.04,1.50232,43150.934,48.8542,7.9588,3.6905
