report_date,total_assets,total_liabilities,total_equity,long_term_debt,cash,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,depreciation,total_debt,bf_pe,eps,ebitda,roe,roa,roi,roic,debt_equity,net_income_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2014-06-30,63175000000.0,56782000000.0,6393000000.0,,6782000000.0,,1030000000.0,396000000.0,624000000.0,1.0,705271000.0,,63000000.0,0.0,,1.0,,0.1611137181292038,0.01630391768895924,,,0.0,,,,,1.4334452,88.77,40.545,3.9337,22590.281,6.3599,1.7923,0.73096
2014-09-30,73469000000.0,63528000000.0,9941000000.0,,14808000000.0,,1578000000.0,640000000.0,955000000.0,2.0,,,96000000.0,0.0,,2.0,,0.158736545619153,0.021478446691801985,,,0.0,,,,,1.4334452,88.77,40.545,3.9337,22590.281,6.3599,1.7923,0.73096
2014-12-31,75707000000.0,65229000000.0,10478000000.0,,11828000000.0,,2109000000.0,922000000.0,1277000000.0,2.0,,5340000000.0,131000000.0,0.0,,2.0,,0.20127887001336134,0.02785739759863685,,,0.0,,,,,1.4334452,88.77,40.545,3.9337,22590.281,6.3599,1.7923,0.73096
2015-03-31,72721000000.0,61685000000.0,11036000000.0,,11218000000.0,,552000000.0,275000000.0,331000000.0,0.0,,,37000000.0,0.0,,0.0,,0.05001812250815513,0.0075906546939673546,,,0.0,5269000000.0,2233000000.0,5.0,5.0,1.4334452,88.77,40.545,3.9337,22590.281,6.3599,1.7923,0.73096
2015-06-30,75750000000.0,64172000000.0,11578000000.0,,10621000000.0,,1093000000.0,545000000.0,651000000.0,1.0,,,81000000.0,0.0,12.6408,1.0,,0.09440317844187252,0.014429042904290429,,,0.0,5332000000.0,2382000000.0,5.0,5.0,1.4334452,88.77,40.545,3.9337,22590.281,6.3599,1.7923,0.73096
2015-09-30,79442000000.0,67284000000.0,12158000000.0,,12271000000.0,,1667000000.0,834000000.0,996000000.0,2.0,,,127000000.0,0.0,11.873,2.0,,0.1371113670011515,0.020983862440522645,,,0.0,5421000000.0,2576000000.0,5.0,5.0,1.4334452,88.77,40.545,3.9337,22590.281,6.3599,1.7923,0.73096
2015-12-31,84135000000.0,71531000000.0,12604000000.0,,12325000000.0,,-1098000000.0,-519000000.0,-661000000.0,-1.0,,,-71000000.0,0.0,11.4528,-1.0,,-0.08711520152332593,-0.013050454626493136,,,0.0,2214000000.0,1135000000.0,2.0,2.0,1.4334452,88.77,40.545,3.9337,22590.281,6.3599,1.7923,0.73096
2016-03-31,81656000000.0,68452000000.0,13204000000.0,,12500000000.0,,582000000.0,311000000.0,346000000.0,0.0,,,54000000.0,0.0,10.6496,0.0,,0.044077552256891854,0.007127461545997845,,,0.0,2244000000.0,1171000000.0,2.0,2.0,1.4334452,88.77,40.545,3.9337,22590.281,6.3599,1.7923,0.73096
2016-06-30,82384000000.0,68669000000.0,13715000000.0,,11787000000.0,,1071000000.0,614000000.0,628000000.0,1.0,,,108000000.0,0.0,9.6175,1.0,,0.07808968282901932,0.01300009710623422,,,0.0,2222000000.0,1240000000.0,2.0,2.0,1.4334452,88.77,40.545,3.9337,22590.281,6.3599,1.7923,0.73096
2016-09-30,87159000000.0,73178000000.0,13981000000.0,20167000000.0,13588000000.0,,1675000000.0,929000000.0,987000000.0,2.0,,,164000000.0,20167000000.0,10.5085,2.0,,0.11980545025391603,0.01921775146571209,,,1.442457621057149,2230000000.0,1335000000.0,2.0,2.0,1.4334452,88.77,40.545,3.9337,22590.281,6.3599,1.7923,0.73096
2016-12-31,90207000000.0,76011000000.0,14196000000.0,20147000000.0,9321000000.0,,-1077000000.0,-606000000.0,-642000000.0,-1.0,,6823000000.0,-107000000.0,20147000000.0,13.5903,-1.0,,-0.07586644125105664,-0.011939206491735674,,,1.4192025922795153,2251000000.0,1248000000.0,2.0,2.0,1.4334452,88.77,40.545,3.9337,22590.281,6.3599,1.7923,0.73096
2017-03-31,89050000000.0,74687000000.0,14363000000.0,20194000000.0,11392000000.0,,499000000.0,326000000.0,283000000.0,0.0,,1750000000.0,59000000.0,20194000000.0,12.8278,0.0,,0.034742045533662884,0.005603593486805165,,,1.4059736823783333,2168000000.0,1263000000.0,2.0,2.0,1.4334452,88.77,40.545,3.9337,22590.281,6.3599,1.7923,0.73096
2017-06-30,91140000000.0,76808000000.0,14332000000.0,20709000000.0,12020000000.0,,995000000.0,659000000.0,575000000.0,1.0,,3518000000.0,118000000.0,20709000000.0,11.1193,1.0,,0.06942506279653922,0.010917270133859996,,,1.4449483672899806,2092000000.0,1308000000.0,2.0,2.0,1.4334452,88.77,40.545,3.9337,22590.281,6.3599,1.7923,0.73096
2017-09-30,92548000000.0,78146000000.0,14402000000.0,19899000000.0,13915000000.0,,1550000000.0,1016000000.0,899000000.0,1.0,,6446000000.0,187000000.0,19899000000.0,11.7767,1.0,,0.10762394111928898,0.01674806586852228,,,1.3816830995695042,1967000000.0,1395000000.0,1.0,1.0,1.4334452,88.77,40.545,3.9337,22590.281,6.3599,1.7923,0.73096
2017-12-31,95808000000.0,81574000000.0,14234000000.0,20799000000.0,11602000000.0,,-1109000000.0,-610000000.0,-368000000.0,0.0,,-2798000000.0,-110000000.0,20799000000.0,15.7165,0.0,,-0.07791204159055783,-0.011575233800935204,,,1.4612196150063228,1935000000.0,1391000000.0,2.0,2.0,1.4334452,88.77,40.545,3.9337,22590.281,6.3599,1.7923,0.73096
2018-03-31,95559000000.0,81203000000.0,14356000000.0,21015000000.0,13044000000.0,,640000000.0,402000000.0,207000000.0,0.0,,1915000000.0,71000000.0,21015000000.0,11.9608,0.0,,0.04458066313736417,0.006697432999508157,,,1.4638478684870437,2076000000.0,1467000000.0,2.0,2.0,1.4334452,88.77,40.545,3.9337,22590.281,6.3599,1.7923,0.73096
2018-06-30,99122000000.0,84664000000.0,14458000000.0,21721000000.0,15675000000.0,,1336000000.0,839000000.0,403000000.0,1.0,,4081000000.0,144000000.0,21721000000.0,11.2219,1.0,,0.09240558860146632,0.013478339823651661,,,1.5023516392308756,2417000000.0,1647000000.0,2.0,2.0,1.4334452,88.77,40.545,3.9337,22590.281,6.3599,1.7923,0.73096
2018-09-30,104545000000.0,90549000000.0,13996000000.0,23741000000.0,12068000000.0,,2007000000.0,1327000000.0,625000000.0,2.0,,6766000000.0,222000000.0,23741000000.0,9.7478,2.0,,0.1433981137467848,0.019197474771629443,,,1.696270362960846,2874000000.0,1958000000.0,3.0,3.0,1.4334452,88.77,40.545,3.9337,22590.281,6.3599,1.7923,0.73096
2018-12-31,106792000000.0,92114000000.0,14678000000.0,23996000000.0,9396000000.0,,-1193000000.0,-698000000.0,-381000000.0,0.0,,-3420000000.0,-135000000.0,23996000000.0,6.0435,0.0,,-0.08127810328382613,-0.011171248782680351,,,1.634827633192533,2790000000.0,1870000000.0,3.0,3.0,1.4334452,88.77,40.545,3.9337,22590.281,6.3599,1.7923,0.73096
2019-03-31,105384000000.0,90675000000.0,14709000000.0,21891000000.0,12963000000.0,1462000000.0,1107000000.0,560000000.0,355000000.0,1.56,,2289000000.0,87000000.0,21891000000.0,6.9187,1.56,1549000000.0,0.07526004487048746,0.010504440901844683,0.013873073711379337,0.03994535519125683,1.4882724862329186,3257000000.0,2028000000.0,4.5600000000000005,4.5600000000000005,1.4334452,88.77,40.545,3.9337,22590.281,6.3599,1.7923,0.73096
2019-06-30,106388000000.0,91654000000.0,14734000000.0,21244000000.0,11755000000.0,,1960000000.0,1143000000.0,631000000.0,2.81,,4255000000.0,179000000.0,21244000000.0,7.0809,2.81,,0.1330256549477399,0.018423130428243787,,,1.4418352110764219,3881000000.0,2332000000.0,6.37,6.37,1.4334452,88.77,40.545,3.9337,22590.281,6.3599,1.7923,0.73096
2019-09-30,105943000000.0,90823000000.0,15120000000.0,20363000000.0,11461000000.0,,3016000000.0,1735000000.0,950000000.0,4.4,,6654000000.0,273000000.0,20363000000.0,5.9533,4.4,,0.19947089947089947,0.028468138527321295,,,1.3467592592592592,4890000000.0,2740000000.0,8.77,8.77,1.4334452,88.77,40.545,3.9337,22590.281,6.3599,1.7923,0.73096
2019-12-31,104826000000.0,89738000000.0,15088000000.0,19866000000.0,12147000000.0,,-2336000000.0,-1147000000.0,-796000000.0,-3.21,,-4208000000.0,-172000000.0,19866000000.0,6.2101,-3.21,,-0.15482502651113467,-0.02228454772670902,,,1.316675503711559,3747000000.0,2291000000.0,5.5600000000000005,5.5600000000000005,1.4334452,88.77,40.545,3.9337,22590.281,6.3599,1.7923,0.73096
2020-03-31,98038000000.0,86068000000.0,11970000000.0,17248000000.0,13704000000.0,,286000000.0,517000000.0,96000000.0,0.45,,1537000000.0,96000000.0,17248000000.0,3.2292,0.45,,0.023893065998329157,0.0029172361737285542,,,1.4409356725146198,2926000000.0,2248000000.0,4.45,4.45,1.4334452,88.77,40.545,3.9337,22590.281,6.3599,1.7923,0.73096
2020-06-30,96544000000.0,84645000000.0,11899000000.0,16069000000.0,16344000000.0,,334000000.0,951000000.0,107000000.0,0.52,,3918000000.0,193000000.0,16069000000.0,6.0985,0.52,,0.028069585679468864,0.003459562479284057,,,1.3504496176149257,1300000000.0,2056000000.0,2.16,2.16,1.4334452,88.77,40.545,3.9337,22590.281,6.3599,1.7923,0.73096
2020-09-30,95658000000.0,83559000000.0,12099000000.0,15771000000.0,13552000000.0,,647000000.0,1331000000.0,206000000.0,1.04,,5401000000.0,290000000.0,15771000000.0,11.0863,1.04,,0.05347549384246632,0.0067636789395555,,,1.303496156707166,-1069000000.0,1652000000.0,-1.2,-1.2,1.4334452,88.77,40.545,3.9337,22590.281,6.3599,1.7923,0.73096
