report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,gross_profit,operating_income,net_income,interest_expense,income_tax,eps_diluted,operating_cash_flow,depreciation,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,gross_margin,operating_margin,roi,roic,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,gross_profit_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-03-31,18997.0,5719.0,5256.0,18997.0,5396.0,,1001.0,669.0,4835.0,1647.0,665.0,384.0,61.0,241.0,0.92,464.0,193.0,1001.0,,14.0603,1.3448,0.92,858.0,0.07116382505559674,0.020213717955466653,0.07942088934850051,0.340641158221303,0.1375387797311272,0.03500552718850345,0.10395497889635767,0.17745604963805583,0.18550778354336545,1.088089802130898,,,,,,,,,,,0.32171127,147.12,94.54,5.4901,31907.662,15.7881,22.2911,1.8515
2010-06-30,18713000000.0,5621000000.0,5456000000.0,,5015000000.0,,1157000000.0,585000000.0,9692000000.0,3291000000.0,1376000000.0,882000000.0,121000000.0,422000000.0,2.11,1051000000.0,402000000.0,1157000000.0,,12.7784,1.2761,2.11,1778000000.0,0.17587238285144566,0.04713300913803238,0.09100288898060256,0.33955839867932314,0.141972761040033,0.07353176935820019,0.22294232015554116,0.18345026826248453,0.23070787637088733,1.030241935483871,,,,,,,,,,,0.32171127,147.12,94.54,5.4901,31907.662,15.7881,22.2911,1.8515
2010-09-30,19486000000.0,6092000000.0,5159000000.0,,5660000000.0,,731000000.0,533000000.0,14671000000.0,4905000000.0,2074000000.0,1351000000.0,180000000.0,617000000.0,3.25,1796000000.0,607000000.0,731000000.0,,14.447,1.3548,3.25,2681000000.0,0.23869257950530035,0.06933182797906189,0.0920864290096108,0.33433303796605546,0.1413673232908459,0.10643538951041774,0.32451885463933655,0.18274146274964215,0.12915194346289752,1.1808490017445241,,,,,,,,,,,0.32171127,147.12,94.54,5.4901,31907.662,15.7881,22.2911,1.8515
2010-12-31,19864000000.0,6328000000.0,5338000000.0,,5917000000.0,,344000000.0,876000000.0,-4617004835.0,-1646001647.0,-677000665.0,-390000384.0,-58000061.0,-251000241.0,-1.8299999999999992,-103000464.0,-196000193.0,344000000.0,1.1855,13.9486,1.3019,-1.8299999999999992,-873000858.0,-0.06591184451580193,-0.019633527184857027,0.08447043005966443,0.35650853872237714,0.14663200260651232,-0.03408178941804269,-0.10812979795559814,0.18908380848598352,0.05813756971438229,1.185462720119895,19746000000.0,1843000000.0,2773000000.0,6550000000.0,3586000000.0,243000000.0,4.450000000000001,4.450000000000001,0.09592861126603458,11.411522633744855,0.32171127,147.12,94.54,5.4901,31907.662,15.7881,22.2911,1.8515
2011-03-31,19992000000.0,6300000000.0,5792000000.0,,5434000000.0,,719000000.0,585000000.0,5029000000.0,1463000000.0,544000000.0,350000000.0,64000000.0,152000000.0,0.86,250000000.0,243000000.0,719000000.0,,14.5427,1.3193,0.86,787000000.0,0.06440927493559072,0.01750700280112045,0.06959634122091868,0.29091270630344007,0.10817259892622788,0.027210884353741496,0.08841215667154234,0.1564923444024657,0.13231505336768495,1.087707182320442,24774995165.0,2192999616.0,3316999335.0,8012998353.0,4372999142.0,306999939.0,4.390000000000001,4.390000000000001,0.1644180519256091,10.804560241296986,0.32171127,147.12,94.54,5.4901,31907.662,15.7881,22.2911,1.8515
2011-06-30,20480000000.0,6722000000.0,6188000000.0,,5556000000.0,,1008000000.0,908000000.0,10288000000.0,3020000000.0,1169000000.0,758000000.0,135000000.0,325000000.0,1.89,1021000000.0,530000000.0,1008000000.0,,15.2123,1.2855,1.89,1699000000.0,0.13642908567314616,0.03701171875,0.07367807153965786,0.29354587869362364,0.11362752721617418,0.057080078125,0.17809262644728824,0.16514385692068428,0.18142548596112312,1.086296056884292,25370995165.0,2068999616.0,3109999335.0,7741998353.0,4293999142.0,320999939.0,4.170000000000001,4.170000000000001,0.2347462043344768,9.688473289709878,0.32171127,147.12,94.54,5.4901,31907.662,15.7881,22.2911,1.8515
2011-09-30,19630000000.0,6539000000.0,5816000000.0,19630000000.0,5179000000.0,,758000000.0,1232000000.0,15670000000.0,4608000000.0,1831000000.0,1190000000.0,205000000.0,499000000.0,2.98,1771000000.0,821000000.0,758000000.0,,16.541,1.3411,2.98,2652000000.0,0.22977408766171076,0.06062149770759042,0.07594128908742821,0.2940650925335035,0.11684747925973198,0.09327559857361181,0.3084049183089102,0.1692405871091257,0.14636030121645105,1.124312242090784,26369995165.0,1907999616.0,2866999335.0,7444998353.0,4264999142.0,345999939.0,3.900000000000001,3.900000000000001,0.17772570984493763,8.286126706513668,0.32171127,147.12,94.54,5.4901,31907.662,15.7881,22.2911,1.8515
2011-12-31,19373000000.0,6283000000.0,5397000000.0,19373000000.0,5249000000.0,,706000000.0,764000000.0,-10141000000.0,-2939000000.0,-1102000000.0,-707000000.0,-127000000.0,-316000000.0,-1.7400000000000002,-754000000.0,-503000000.0,706000000.0,1.1642,18.1369,1.3842,-1.7400000000000002,-1605000000.0,-0.13469232234711373,-0.03649408971248645,0.06971699043486836,0.2898136278473523,0.10866778424218519,-0.05688329117844423,-0.1850545759865659,0.15826841534365446,0.1345018098685464,1.164165277005744,20846000000.0,1591000000.0,2442000000.0,6152000000.0,3533000000.0,277000000.0,3.99,3.99,0.1998301726577979,8.815884476534295,0.32171127,147.12,94.54,5.4901,31907.662,15.7881,22.2911,1.8515
2012-03-31,19557000000.0,6317000000.0,5249000000.0,19557000000.0,5353000000.0,,691000000.0,785000000.0,5241000000.0,1704000000.0,700000000.0,,71000000.0,185000000.0,1.18,585000000.0,218000000.0,691000000.0,,17.163,1.3929,1.18,918000000.0,,,,0.3251287922152261,0.13356229727151306,0.03579281075829626,0.1158173395102581,0.17515741270749857,0.1290864935550159,1.2034673271099257,21058000000.0,,2598000000.0,6393000000.0,3664000000.0,284000000.0,4.31,4.31,0.18859170305676856,9.147887323943662,0.32171127,147.12,94.54,5.4901,31907.662,15.7881,22.2911,1.8515
2012-06-30,19596000000.0,6592000000.0,5133000000.0,19596000000.0,5437000000.0,,572000000.0,994000000.0,10510000000.0,3459000000.0,1454000000.0,966000000.0,142000000.0,398000000.0,2.43,1325000000.0,432000000.0,572000000.0,,18.2874,1.5616,2.43,1886000000.0,0.17767151002391024,0.04929577464788732,0.09191246431969553,0.3291151284490961,0.1383444338725024,0.07419881608491528,0.24197037776668331,0.17944814462416747,0.10520507632885782,1.2842392363140465,21280000000.0,,2883000000.0,6832000000.0,3851000000.0,291000000.0,4.85,4.85,0.14853284861075045,9.907216494845361,0.32171127,147.12,94.54,5.4901,31907.662,15.7881,22.2911,1.8515
