report_date,total_assets,total_liabilities,total_equity,cash,revenue,net_income,interest_expense,eps_diluted,operating_cash_flow,depreciation,total_debt,bf_current_ratio,bf_ps,bf_pe,eps,roe,roa,net_margin,debt_equity,net_income_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pb_annual,bf_ps_ttm
2010-06-30,5565159000.0,3008129000.0,2498348000.0,73254000.0,,,36340000.0,,121268000.0,,0.0,,6.7664,224.4267,,,,,0.0,,,,,1.3107485,98.72,44.103,1.92821,8581.834,0.5527,2.8472
2010-09-30,5748625000.0,2839850000.0,2851204000.0,110811000.0,,,52451000.0,0.49,161955000.0,,0.0,,8.2341,212.5462,0.49,,,,0.0,,,,,1.3107485,98.72,44.103,1.92821,8581.834,0.5527,2.8472
2010-12-31,5905861000.0,2919533000.0,2928825000.0,91232000.0,,,69642000.0,2.19,219346000.0,,0.0,0.7059,9.0422,20.1222,2.19,,,,0.0,,,,,1.3107485,98.72,44.103,1.92821,8581.834,0.5527,2.8472
2011-03-31,5983343000.0,2983651000.0,2942332000.0,78196000.0,,,17842000.0,0.44,45789000.0,,0.0,,9.1736,21.0529,0.44,,,,0.0,,176275000.0,,,1.3107485,98.72,44.103,1.92821,8581.834,0.5527,2.8472
2011-09-30,6455556000.0,3024697000.0,3373494000.0,73056000.0,,,48650000.0,1.29,185841000.0,,0.0,,7.5434,14.9741,1.29,,,,0.0,,188585000.0,4.41,4.41,1.3107485,98.72,44.103,1.92821,8581.834,0.5527,2.8472
2011-12-31,6574129000.0,3141236000.0,3374301000.0,78539000.0,,,63407000.0,1.73,246960000.0,,0.0,0.5375,7.978,33.2843,1.73,,,,0.0,,199541000.0,5.65,5.65,1.3107485,98.72,44.103,1.92821,8581.834,0.5527,2.8472
2012-03-31,6718091000.0,3279089000.0,3379770000.0,77361000.0,,,16227000.0,0.3,81959000.0,,0.0,,8.3677,35.0554,0.3,,,,0.0,,146126000.0,3.7600000000000002,3.7600000000000002,1.3107485,98.72,44.103,1.92821,8581.834,0.5527,2.8472
2012-06-30,6841739000.0,3385154000.0,3396521000.0,80937000.0,,,22675000.0,,142620000.0,,0.0,,8.0846,37.2304,,,,,0.0,,150959000.0,,,1.3107485,98.72,44.103,1.92821,8581.834,0.5527,2.8472
2012-09-30,6965017000.0,3448397000.0,3455890000.0,94904000.0,,,51243000.0,0.75,227490000.0,,0.0,,8.106,42.7614,0.75,,,,0.0,,153552000.0,,,1.3107485,98.72,44.103,1.92821,8581.834,0.5527,2.8472
2012-12-31,7150116000.0,3647058000.0,3441851000.0,140971000.0,,,-67634000.0,,-98834000.0,,0.0,0.6478,7.6847,44.0166,,,,,0.0,,22511000.0,,,1.3107485,98.72,44.103,1.92821,8581.834,0.5527,2.8472
2013-03-31,7090919000.0,3595638000.0,3433603000.0,87001000.0,,,18020000.0,,47241000.0,,0.0,,7.6708,45.4462,,,,,0.0,,24304000.0,,,1.3107485,98.72,44.103,1.92821,8581.834,0.5527,2.8472
2013-06-30,7379289000.0,3379814000.0,3937622000.0,302205000.0,,,33998000.0,,143074000.0,,0.0,,7.8962,44.4034,,,,,0.0,,35627000.0,,,1.3107485,98.72,44.103,1.92821,8581.834,0.5527,2.8472
2013-09-30,7358369000.0,3377395000.0,3919028000.0,53839000.0,,,50169000.0,,236376000.0,,0.0,,7.4086,37.7581,,,,,0.0,,34553000.0,,,1.3107485,98.72,44.103,1.92821,8581.834,0.5527,2.8472
2013-12-31,7529764000.0,3550823000.0,3916789000.0,57696000.0,,,-34235000.0,,-113964000.0,,0.0,0.1456,7.185,34.4332,,,,,0.0,,67952000.0,,,1.3107485,98.72,44.103,1.92821,8581.834,0.5527,2.8472
2014-03-31,7756039000.0,3751534000.0,3922736000.0,74970000.0,,,19123000.0,,73259000.0,,0.0,,7.9214,36.6631,,,,,0.0,,69055000.0,,,1.3107485,98.72,44.103,1.92821,8581.834,0.5527,2.8472
2014-06-30,7815649000.0,3826766000.0,3906802000.0,61701000.0,,60641000.0,36556000.0,,144491000.0,107735000.0,0.0,,8.1951,38.5773,,0.015521902568904183,0.007758920596357385,,0.0,,71613000.0,,,1.3107485,98.72,44.103,1.92821,8581.834,0.5527,2.8472
2014-09-30,8020314000.0,4063199000.0,3875198000.0,67023000.0,,88267000.0,57111000.0,,255124000.0,166123000.0,0.0,,7.4546,35.7345,,0.022777416792638724,0.01100542946323548,,0.0,,78555000.0,,,1.3107485,98.72,44.103,1.92821,8581.834,0.5527,2.8472
2014-12-31,8136036000.0,4226478000.0,3828439000.0,86011000.0,,-76795000.0,-33491000.0,,-138549000.0,,0.0,0.3489,8.7243,66.6147,,-0.02005908935730725,-0.009438871706074064,,0.0,,79299000.0,,,1.3107485,98.72,44.103,1.92821,8581.834,0.5527,2.8472
2015-03-31,8405221000.0,4608369000.0,3780548000.0,90641000.0,,17786000.0,23236000.0,,106841000.0,58920000.0,0.0,,9.448,88.1692,,0.0047046089614521495,0.002116065716772944,,0.0,89899000.0,83412000.0,,,1.3107485,98.72,44.103,1.92821,8581.834,0.5527,2.8472
2015-06-30,8524891000.0,4685772000.0,3822876000.0,68617000.0,,49077000.0,49904000.0,,151400000.0,121091000.0,0.0,,8.1267,74.7407,,0.012837716943997136,0.0057569064519417314,,0.0,78335000.0,96760000.0,,,1.3107485,98.72,44.103,1.92821,8581.834,0.5527,2.8472
2015-09-30,8737344000.0,4962166000.0,3759162000.0,76383000.0,,81736000.0,77583000.0,,246411000.0,189044000.0,0.0,,7.5202,68.1451,,0.021743143817691282,0.0093547879080874,,0.0,71804000.0,117232000.0,,,1.3107485,98.72,44.103,1.92821,8581.834,0.5527,2.8472
2015-12-31,8911120000.0,4617156000.0,3975087000.0,125098000.0,,-4382000.0,-44910000.0,,-162041000.0,,0.0,0.447,7.7653,45.4286,,-0.0011023658098552307,-0.0004917451453913762,,0.0,144217000.0,105813000.0,,,1.3107485,98.72,44.103,1.92821,8581.834,0.5527,2.8472
2016-03-31,8971532000.0,4784241000.0,3865720000.0,146197000.0,,5936000.0,24855000.0,,101782000.0,,0.0,,7.7812,53.4588,,0.0015355483583911922,0.0006616484230341039,,0.0,132367000.0,107432000.0,,,1.3107485,98.72,44.103,1.92821,8581.834,0.5527,2.8472
2016-06-30,9144830000.0,4777353000.0,4021709000.0,256000000.0,,-105680000.0,49880000.0,,172108000.0,141035000.0,0.0,,8.6432,,,-0.026277386056524726,-0.011556256376553747,,0.0,-22390000.0,107408000.0,,,1.3107485,98.72,44.103,1.92821,8581.834,0.5527,2.8472
2016-09-30,9293901000.0,5000980000.0,3910078000.0,157928000.0,,-81205000.0,75730000.0,,291851000.0,218168000.0,0.0,,9.4593,,,-0.020768127899238837,-0.00873745050652035,,0.0,-185331000.0,105555000.0,,,1.3107485,98.72,44.103,1.92821,8581.834,0.5527,2.8472
2016-12-31,10354888000.0,4972610000.0,4895796000.0,125032000.0,,115048000.0,-43512000.0,,-173240000.0,-45813000.0,0.0,0.3047,9.5266,,,0.02349934515245325,0.011110501629761713,,0.0,-65901000.0,106953000.0,,,1.3107485,98.72,44.103,1.92821,8581.834,0.5527,2.8472
2017-03-31,10868626000.0,5422299000.0,4952431000.0,151209000.0,,41711000.0,29784000.0,,107464000.0,97183000.0,0.0,,10.3066,,,0.008422328347431797,0.003837743611750004,,0.0,-30126000.0,111882000.0,,,1.3107485,98.72,44.103,1.92821,8581.834,0.5527,2.8472
2017-06-30,11245667000.0,5591176000.0,5157164000.0,124877000.0,,75932000.0,61532000.0,,221608000.0,201281000.0,0.0,,10.7186,94.91,,0.014723596147029647,0.006752111724453516,,0.0,151486000.0,123534000.0,,,1.3107485,98.72,44.103,1.92821,8581.834,0.5527,2.8472
