report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,cash,revenue,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,depreciation,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,roe,roa,net_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-03-31,22645000000.0,5961000000.0,2013000000.0,9240000000.0,11350000000.0,4496000000.0,3364000000.0,,546000000.0,75000000.0,135000000.0,,,715000000.0,224000000.0,4496000000.0,,14.8735,2.9248,,0.04810572687224669,0.0241112828438949,,0.39612334801762117,2.9612518628912072,,,,,,0.4732953,134.88,42.933,13.40358,124071.57,17.5119,3.2174,5.4732
2010-06-30,,,,,13555000000.0,,,,,,,,,,,0.0,,15.9278,3.3306,,,,,0.0,,,,,,,0.4732953,134.88,42.933,13.40358,124071.57,17.5119,3.2174,5.4732
2010-09-30,24376000000.0,7056000000.0,2798000000.0,9857000000.0,12248000000.0,4289000000.0,3951000000.0,,1465000000.0,210000000.0,756000000.0,2.94,,2322000000.0,697000000.0,4289000000.0,,15.0489,3.2013,2.94,0.11961136512083606,0.06010009845749918,,0.3501796211626388,2.5218012866333095,,,,,,0.4732953,134.88,42.933,13.40358,124071.57,17.5119,3.2174,5.4732
2010-12-31,25663000000.0,7253000000.0,2747000000.0,9947000000.0,13345000000.0,4182000000.0,4056000000.0,,266000000.0,-6000000.0,-35000000.0,1.6099999999999999,,130000000.0,24000000.0,4182000000.0,2.6403,13.1169,3.1307,1.6099999999999999,0.01993255901086549,0.010365117094649885,,0.31337579617834393,2.6403349108117946,,,,,,0.4732953,134.88,42.933,13.40358,124071.57,17.5119,3.2174,5.4732
2011-03-31,26854000000.0,7884000000.0,3501000000.0,10233000000.0,14092000000.0,3676000000.0,4533000000.0,,514000000.0,65000000.0,305000000.0,1.03,,989000000.0,256000000.0,3676000000.0,,11.8293,2.7201,1.03,0.03647459551518592,0.01914053772249944,,0.26085722395685496,2.2519280205655527,,,,,,0.4732953,134.88,42.933,13.40358,124071.57,17.5119,3.2174,5.4732
2011-06-30,28638000000.0,5899000000.0,3440000000.0,11645000000.0,14328000000.0,3771000000.0,1855000000.0,,901000000.0,128000000.0,492000000.0,1.8,,1401000000.0,506000000.0,3771000000.0,,11.6836,2.6304,1.8,0.06288386376326074,0.031461694252391925,,0.26319095477386933,1.7148255813953488,,3146000000.0,397000000.0,7.38,7.38,0.4732953,134.88,42.933,13.40358,124071.57,17.5119,3.2174,5.4732
2011-09-30,29139000000.0,6360000000.0,4475000000.0,12435000000.0,13860000000.0,3659000000.0,2135000000.0,,1394000000.0,193000000.0,863000000.0,2.78,,2662000000.0,776000000.0,3659000000.0,,13.9133,3.0266,2.78,0.10057720057720057,0.04783966505370809,,0.263997113997114,1.4212290502793297,,3075000000.0,380000000.0,7.219999999999999,7.219999999999999,0.4732953,134.88,42.933,13.40358,124071.57,17.5119,3.2174,5.4732
2011-12-31,27474000000.0,5388000000.0,3940000000.0,11703000000.0,12896000000.0,3624000000.0,1760000000.0,,-2443000000.0,-142000000.0,-947000000.0,-4.879999999999999,,-1468000000.0,-502000000.0,3624000000.0,1.3675,82.8096,2.9261,-4.879999999999999,-0.18943858560794044,-0.08892043386474485,,0.28101736972704716,1.3675126903553299,,366000000.0,244000000.0,0.7300000000000004,0.7300000000000004,0.4732953,134.88,42.933,13.40358,124071.57,17.5119,3.2174,5.4732
2012-03-31,28961000000.0,6092000000.0,2571000000.0,12896000000.0,13075000000.0,6081000000.0,2612000000.0,,490000000.0,52000000.0,343000000.0,0.97,,609000000.0,231000000.0,6081000000.0,,74.6901,2.4153,0.97,0.03747609942638623,0.01691930527260799,,0.4650860420650096,2.369506028782575,,342000000.0,231000000.0,0.6700000000000004,0.6700000000000004,0.4732953,134.88,42.933,13.40358,124071.57,17.5119,3.2174,5.4732
2012-06-30,28660000000.0,5272000000.0,2367000000.0,12671000000.0,12912000000.0,6088000000.0,1897000000.0,,769000000.0,123000000.0,518000000.0,1.53,,956000000.0,479000000.0,6088000000.0,,101.6692,2.2829,1.53,0.05955700123915737,0.02683182135380321,,0.4714993804213135,2.227291930713984,,210000000.0,226000000.0,0.40000000000000036,0.40000000000000036,0.4732953,134.88,42.933,13.40358,124071.57,17.5119,3.2174,5.4732
2012-09-30,29523000000.0,5324000000.0,2571000000.0,13007000000.0,13355000000.0,6099000000.0,1549000000.0,,1136000000.0,190000000.0,746000000.0,2.27,,1530000000.0,751000000.0,6099000000.0,,253.3565,2.694,2.27,0.0850617746162486,0.03847847440978221,,0.4566828903032572,2.0707895760404513,,-48000000.0,223000000.0,-0.10999999999999943,-0.10999999999999943,0.4732953,134.88,42.933,13.40358,124071.57,17.5119,3.2174,5.4732
2012-12-31,29650000000.0,5945000000.0,3141000000.0,12702000000.0,13773000000.0,6288000000.0,1561000000.0,,-586000000.0,-116000000.0,-738000000.0,-1.1399999999999997,,-723000000.0,-429000000.0,6288000000.0,1.8927,12.6185,2.3132,-1.1399999999999997,-0.042547012270384085,-0.019763912310286676,,0.45654541494227835,1.8927093282394143,,1809000000.0,249000000.0,3.63,3.63,0.4732953,134.88,42.933,13.40358,124071.57,17.5119,3.2174,5.4732
2013-03-31,29451000000.0,5626000000.0,2652000000.0,12326000000.0,13894000000.0,6379000000.0,1378000000.0,,315000000.0,65000000.0,181000000.0,0.0,,433000000.0,267000000.0,6379000000.0,,12.4587,2.1745,0.0,0.022671656830286456,0.010695731893653866,,0.45911904419173744,2.121417797888386,,1634000000.0,262000000.0,2.66,2.66,0.4732953,134.88,42.933,13.40358,124071.57,17.5119,3.2174,5.4732
2013-06-30,26476000000.0,5022000000.0,2198000000.0,12238000000.0,11226000000.0,6726000000.0,1248000000.0,,-1704000000.0,,-144000000.0,-3.0,,721000000.0,682000000.0,6726000000.0,,,1.6217,-3.0,-0.15179048637092463,-0.06436017525305937,,0.5991448423303046,2.2848043676069154,,-839000000.0,,-1.87,-1.87,0.4732953,134.88,42.933,13.40358,124071.57,17.5119,3.2174,5.4732
2013-09-30,26799000000.0,5221000000.0,3258000000.0,12257000000.0,11533000000.0,5949000000.0,1475000000.0,,-1296000000.0,,10000000.0,-2.0,,1161000000.0,981000000.0,5949000000.0,,,1.5914,-2.0,-0.11237318997658892,-0.04836001343333707,,0.5158241567675367,1.6025168815224065,,-3271000000.0,,-6.140000000000001,-6.140000000000001,0.4732953,134.88,42.933,13.40358,124071.57,17.5119,3.2174,5.4732
2013-12-31,24764000000.0,4874000000.0,2740000000.0,11700000000.0,10141000000.0,6145000000.0,1555000000.0,,223000000.0,,-860000000.0,1.0,,-772000000.0,-568000000.0,6145000000.0,1.7843,,1.3496,1.0,0.0219899418203333,0.009005007268615733,,0.6059560201163593,1.7788321167883212,,-2462000000.0,,-4.0,-4.0,0.4732953,134.88,42.933,13.40358,124071.57,17.5119,3.2174,5.4732
2014-03-31,24798000000.0,5247000000.0,2884000000.0,11917000000.0,10019000000.0,6146000000.0,1475000000.0,,100000000.0,,78000000.0,0.0,,180000000.0,298000000.0,6146000000.0,,,1.4587,0.0,0.009981036031540073,0.004032583272844584,,0.6134344744984529,1.8193481276005548,,-2677000000.0,,-4.0,-4.0,0.4732953,134.88,42.933,13.40358,124071.57,17.5119,3.2174,5.4732
2014-06-30,24976000000.0,5354000000.0,2252000000.0,11885000000.0,10231000000.0,6673000000.0,1653000000.0,,280000000.0,,25000000.0,0.0,,555000000.0,604000000.0,6673000000.0,,,1.6392,0.0,0.027367803733750366,0.011210762331838564,,0.6522334082689865,2.3774422735346357,,-693000000.0,,-1.0000000000000004,-1.0000000000000004,0.4732953,134.88,42.933,13.40358,124071.57,17.5119,3.2174,5.4732
2014-09-30,-40506000000.0,-15647000000.0,-15647000000.0,-18692000000.0,-20125000000.0,475000000.0,1105000000.0,,-585000000.0,,-15000000.0,0.0,,545000000.0,732000000.0,475000000.0,,,1.5405,0.0,0.02906832298136646,0.014442304843726855,,-0.02360248447204969,1.0,,18000000.0,,0.9999999999999996,0.9999999999999996,0.4732953,134.88,42.933,13.40358,124071.57,17.5119,3.2174,5.4732
2014-12-31,-41698000000.0,-16783000000.0,-16783000000.0,-20202000000.0,-19845000000.0,420000000.0,1306000000.0,,-368000000.0,,31000000.0,1.0,,171000000.0,-677000000.0,420000000.0,2.4745,18.5576,1.3825,1.0,0.01854371378180902,0.008825363326778263,,-0.021164021164021163,1.0,,-573000000.0,,0.9999999999999996,0.9999999999999996,0.4732953,134.88,42.933,13.40358,124071.57,17.5119,3.2174,5.4732
2015-03-31,-42496000000.0,-17456000000.0,-17456000000.0,-20745000000.0,-20069000000.0,348000000.0,1539000000.0,,-224000000.0,,189000000.0,0.0,,495000000.0,211000000.0,348000000.0,,18.3335,1.5419,0.0,0.011161492849668643,0.005271084337349397,,-0.0173401763914495,1.0,,-897000000.0,,0.9999999999999996,0.9999999999999996,0.4732953,134.88,42.933,13.40358,124071.57,17.5119,3.2174,5.4732
2015-06-30,25961000000.0,6556000000.0,2356000000.0,11693000000.0,11271000000.0,6140000000.0,3308000000.0,,255000000.0,,345000000.0,0.0,,1063000000.0,565000000.0,6140000000.0,,25.587,1.9422,0.0,0.02262443438914027,0.009822425946612225,,0.544760890781652,2.7826825127334467,,-922000000.0,,0.9999999999999996,0.9999999999999996,0.4732953,134.88,42.933,13.40358,124071.57,17.5119,3.2174,5.4732
2015-09-30,25554000000.0,5195000000.0,1691000000.0,10985000000.0,11544000000.0,6085000000.0,2964000000.0,,474000000.0,,496000000.0,0.0,,1873000000.0,896000000.0,6085000000.0,,17.3863,1.3764,0.0,0.04106029106029106,0.01854895515379197,,0.5271136521136521,3.072146658781786,,137000000.0,,0.9999999999999996,0.9999999999999996,0.4732953,134.88,42.933,13.40358,124071.57,17.5119,3.2174,5.4732
2015-12-31,25182000000.0,4983000000.0,1416000000.0,10890000000.0,11350000000.0,6087000000.0,2782000000.0,,-285000000.0,,-386000000.0,0.0,,-1286000000.0,-433000000.0,6087000000.0,3.5191,43.2674,1.5643,0.0,-0.025110132158590308,-0.011317607815106028,,0.5362995594713656,3.5190677966101696,,220000000.0,,0.0,0.0,0.4732953,134.88,42.933,13.40358,124071.57,17.5119,3.2174,5.4732
2016-03-31,24553000000.0,4780000000.0,1458000000.0,10300000000.0,11349000000.0,5369000000.0,2461000000.0,,52000000.0,,324000000.0,0.0,,522000000.0,322000000.0,5369000000.0,,158.0348,2.5229,0.0,0.004581901489117984,0.0021178674703702196,,0.47308132875143183,3.2784636488340193,,496000000.0,,0.0,0.0,0.4732953,134.88,42.933,13.40358,124071.57,17.5119,3.2174,5.4732
2016-06-30,24703000000.0,5294000000.0,1360000000.0,10320000000.0,11423000000.0,5375000000.0,2902000000.0,,75000000.0,,634000000.0,0.0,,1299000000.0,636000000.0,5375000000.0,,518.86,3.3785,0.0,0.006565700779129826,0.003036068493705218,,0.47054188917097084,3.8926470588235293,,316000000.0,,0.0,0.0,0.4732953,134.88,42.933,13.40358,124071.57,17.5119,3.2174,5.4732
2016-09-30,24081000000.0,7113000000.0,2536000000.0,9972000000.0,11102000000.0,4552000000.0,2099000000.0,,-283000000.0,,555000000.0,0.0,,2153000000.0,892000000.0,4552000000.0,,,3.2706,0.0,-0.025490902540082867,-0.011752003654333291,,0.41001621329490184,2.8048107255520507,,-441000000.0,,0.0,0.0,0.4732953,134.88,42.933,13.40358,124071.57,17.5119,3.2174,5.4732
2016-12-31,21031000000.0,4677000000.0,1750000000.0,9157000000.0,10721000000.0,4049000000.0,2756000000.0,,-471000000.0,,-950000000.0,-1.0,,-1188000000.0,-630000000.0,4049000000.0,2.6726,,2.7388,-1.0,-0.04393246898610204,-0.02239551138795112,,0.3776699934707583,2.6725714285714286,,-627000000.0,,-1.0000000000000004,-1.0000000000000004,0.4732953,134.88,42.933,13.40358,124071.57,17.5119,3.2174,5.4732
2017-03-31,20969000000.0,4838000000.0,1565000000.0,9053000000.0,10755000000.0,4049000000.0,2919000000.0,,46000000.0,,110000000.0,0.0,,373000000.0,293000000.0,4049000000.0,,,2.5246,0.0,0.0042770804277080425,0.0021937145309742956,,0.3764760576476058,3.091373801916933,,-633000000.0,,-1.0000000000000004,-1.0000000000000004,0.4732953,134.88,42.933,13.40358,124071.57,17.5119,3.2174,5.4732
2017-06-30,21142000000.0,5098000000.0,1572000000.0,9102000000.0,10928000000.0,4046000000.0,3105000000.0,,223000000.0,,277000000.0,0.0,,899000000.0,601000000.0,4046000000.0,,,2.4173,0.0,0.020406295754026353,0.010547724907766532,,0.3702415812591508,3.2430025445292623,,-485000000.0,,-1.0000000000000004,-1.0000000000000004,0.4732953,134.88,42.933,13.40358,124071.57,17.5119,3.2174,5.4732
2017-09-30,20836000000.0,4808000000.0,1150000000.0,8605000000.0,11138000000.0,4046000000.0,2969000000.0,,429000000.0,,349000000.0,0.0,,1584000000.0,928000000.0,4046000000.0,,240.4798,2.7928,0.0,0.03851678936972527,0.02058936456133615,,0.36326090860118515,4.1808695652173915,,227000000.0,,-1.0000000000000004,-1.0000000000000004,0.4732953,134.88,42.933,13.40358,124071.57,17.5119,3.2174,5.4732
2017-12-31,20563000000.0,5066000000.0,1395000000.0,8933000000.0,10609000000.0,4061000000.0,3259000000.0,,-796000000.0,,389000000.0,0.0,,-521000000.0,-573000000.0,4061000000.0,3.6237,,2.7581,0.0,-0.07503063436704685,-0.03871030491659777,,0.38278819869921765,3.631541218637993,,-98000000.0,,0.0,0.0,0.4732953,134.88,42.933,13.40358,124071.57,17.5119,3.2174,5.4732
2018-03-31,20483000000.0,4938000000.0,1181000000.0,8928000000.0,10575000000.0,4088000000.0,3111000000.0,1817000000.0,192000000.0,,105000000.0,0.0,,263000000.0,301000000.0,4088000000.0,,675.7935,2.791,0.0,0.018156028368794326,0.009373626910120588,0.10566868464501926,0.3865721040189125,4.181202370872143,,48000000.0,,0.0,0.0,0.4732953,134.88,42.933,13.40358,124071.57,17.5119,3.2174,5.4732
2018-06-30,20655000000.0,4967000000.0,1080000000.0,8822000000.0,10813000000.0,4042000000.0,3127000000.0,3479000000.0,484000000.0,,123000000.0,0.0,,662000000.0,580000000.0,4042000000.0,,137.2082,2.7468,0.0,0.044760935910478125,0.02343258290970709,0.13912043690715722,0.3738093036160178,4.599074074074074,,309000000.0,,0.0,0.0,0.4732953,134.88,42.933,13.40358,124071.57,17.5119,3.2174,5.4732
2018-09-30,20559000000.0,4935000000.0,1051000000.0,8936000000.0,10597000000.0,4043000000.0,3068000000.0,5205000000.0,339000000.0,,126000000.0,0.0,,1087000000.0,879000000.0,4043000000.0,,,2.2673,0.0,0.031990185901670284,0.01648912884867941,0.06512968299711816,0.38152307256770784,4.695528068506184,,219000000.0,,0.0,0.0,0.4732953,134.88,42.933,13.40358,124071.57,17.5119,3.2174,5.4732
