report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,depreciation,total_debt,bf_current_ratio,bf_ps,bf_pe,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pb_annual,bf_ps_ttm
2010-03-31,191968000000.0,41040000000.0,39978000000.0,197405000000.0,-5475000000.0,29242000000.0,5009000000.0,24356000000.0,31566000000.0,1535000000.0,2085000000.0,1701000000.0,50000000.0,0.5,,,,34251000000.0,,0.3457,6.8514,0.5,1535000000.0,-0.38082191780821917,0.010861185197532923,0.06605208135335487,0.04862827092441234,0.00799612435405901,0.05334306366416458,0.04862827092441234,-6.255890410958904,1.0265646105357946,,,,,,,,,,1.7576681,14.795,8.4406,57.30606,46716.754,1.4541,0.2495
2010-06-30,179750000000.0,36611000000.0,36547000000.0,183291000000.0,-3574000000.0,26202000000.0,1102000000.0,18322000000.0,66633000000.0,3847000000.0,4684000000.0,3337000000.0,301000000.0,1.1,,,,27304000000.0,,0.2607,5.2289,1.1,3847000000.0,-1.310576385002798,0.026058414464534076,0.07029549922710969,0.05773415574865307,0.021401947148817803,0.16211546565528867,0.05773415574865307,-7.639619473978735,1.0017511697266535,,,,,,,,,,1.7576681,14.795,8.4406,57.30606,46716.754,1.4541,0.2495
2010-09-30,177078000000.0,39600000000.0,37626000000.0,178818000000.0,-1773000000.0,25100000000.0,1257000000.0,17992000000.0,96526000000.0,5181000000.0,6371000000.0,4806000000.0,500000000.0,1.61,,,,26357000000.0,,0.3205,5.8009,1.61,5181000000.0,-3.5933446136491822,0.03597849535233061,0.06600294221246089,0.05367465760520482,0.029258292955646664,0.210746827204686,0.05367465760520482,-14.86576424139876,1.0524637218944346,,,,,,,,,,1.7576681,14.795,8.4406,57.30606,46716.754,1.4541,0.2495
2010-12-31,164687000000.0,34368000000.0,34516000000.0,165329000000.0,-673000000.0,17028000000.0,2049000000.0,14805000000.0,-65771000000.0,-4774000000.0,-6579000000.0,-3692000000.0,-259000000.0,-1.55,,,,19077000000.0,1.3968,0.4971,9.7702,-1.55,-4774000000.0,9.775631500742943,-0.039948508382568144,0.10002888811178179,0.07258518191908288,-0.028988323304207374,-0.2594001304064334,0.07258518191908288,-28.346210995542346,0.9957121335033028,128954000000.0,6561000000.0,5789000000.0,5789000000.0,6152000000.0,1.6600000000000001,1.6600000000000001,3.295387804456728,0.9409947984395318,1.7576681,14.795,8.4406,57.30606,46716.754,1.4541,0.2495
2011-03-31,167391000000.0,37010000000.0,36739000000.0,164926000000.0,2426000000.0,116428000000.0,2011000000.0,21318000000.0,33114000000.0,2119000000.0,2551000000.0,1174000000.0,220000000.0,0.61,,,,118439000000.0,,0.4338,8.0562,0.61,2119000000.0,1.0515251442704039,0.015239767968409293,0.07703690282055928,0.06399106118258138,0.012658984055295685,0.017531957142266165,0.06399106118258138,48.82069249793899,1.0073763575491983,130502000000.0,7027000000.0,6373000000.0,6373000000.0,5625000000.0,1.77,1.77,18.584497097128512,1.1329777777777779,1.7576681,14.795,8.4406,57.30606,46716.754,1.4541,0.2495
2011-06-30,168086000000.0,38076000000.0,36621000000.0,162736000000.0,5309000000.0,111698000000.0,1055000000.0,17472000000.0,68641000000.0,3997000000.0,4949000000.0,2301000000.0,426000000.0,1.2,,,,112753000000.0,,0.4001,7.6761,1.2,3997000000.0,0.9321906197023921,0.02944326118772533,0.0720997654463076,0.058230503634853804,0.02377949383053913,0.03385509308668327,0.058230503634853804,21.23808626860049,1.0397313017121323,132510000000.0,7292000000.0,6523000000.0,6523000000.0,4589000000.0,1.87,1.87,17.285451479380654,1.4214425800828068,1.7576681,14.795,8.4406,57.30606,46716.754,1.4541,0.2495
2011-09-30,162740000000.0,,,156714000000.0,5982000000.0,,,16460000000.0,101688000000.0,7228000000.0,6598000000.0,3397000000.0,620000000.0,1.62,,10019000000.0,,0.0,,0.274,5.4131,1.62,7228000000.0,1.1029755934470078,0.04054319773872435,0.06488474549602706,0.07108016678467469,0.044414403342755315,1.2082915412905382,0.07108016678467469,0.0,,137672000000.0,7519000000.0,8570000000.0,8570000000.0,3180000000.0,1.8800000000000001,1.8800000000000001,0.0,2.6949685534591197,1.7576681,14.795,8.4406,57.30606,46716.754,1.4541,0.2495
2011-12-31,178348000000.0,,,163277000000.0,15028000000.0,,,17148000000.0,-67179000000.0,-4663000000.0,6115000000.0,-2441000000.0,-12807000000.0,1.5100000000000002,,-235000000.0,,0.0,1.4797,0.3119,2.0925,1.5100000000000002,-4663000000.0,0.40690710673409636,0.034286899768990964,-0.09102546926867026,0.06941157206865241,-0.02614551326619867,-0.31028746340165025,0.06941157206865241,0.0,,136264000000.0,20213000000.0,8681000000.0,8681000000.0,4431000000.0,4.94,4.94,0.0,1.9591514330850823,1.7576681,14.795,8.4406,57.30606,46716.754,1.4541,0.2495
2012-03-31,182075000000.0,,,165425000000.0,16606000000.0,,,15244000000.0,32445000000.0,2038000000.0,1396000000.0,1011000000.0,640000000.0,0.35,,2075000000.0,,0.0,,0.3569,2.5268,0.35,2038000000.0,0.08406600024087679,0.007667170122202389,0.04302666050238866,0.0628139929110803,0.011193189619662227,0.12272672528001927,0.0628139929110803,0.0,,135595000000.0,19058000000.0,8600000000.0,8600000000.0,4268000000.0,4.68,4.68,0.0,2.014995313964386,1.7576681,14.795,8.4406,57.30606,46716.754,1.4541,0.2495
2012-06-30,181236000000.0,,,164157000000.0,17036000000.0,,,15101000000.0,65656000000.0,3633000000.0,2436000000.0,1997000000.0,1197000000.0,0.61,,5979000000.0,,0.0,,0.27,2.0232,0.61,3633000000.0,0.1429913125146748,0.013441038204330265,0.037102473498233215,0.0553338613378823,0.02004568628749255,0.21325428504343744,0.0553338613378823,0.0,,132610000000.0,16545000000.0,8236000000.0,8236000000.0,3964000000.0,4.09,4.09,0.0,2.077699293642785,1.7576681,14.795,8.4406,57.30606,46716.754,1.4541,0.2495
