report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,operating_income,net_income,income_tax,eps_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,fcf_ttm,ebitda_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-03-20,7141000000.0,1404000000.0,1596000000.0,6024000000.0,1043000000.0,3219000000.0,56000000.0,444000000.0,2345000000.0,364000000.0,241000000.0,78000000.0,0.5,392000000.0,163000000.0,119000000.0,229000000.0,3275000000.0,,16.2952,1.6259,0.5,483000000.0,0.23106423777564716,0.03374877468141717,0.10277185501066098,0.15522388059701492,0.05097325304579191,0.08429828624363131,0.0976545842217484,0.20597014925373133,3.139980824544583,0.8796992481203008,,,,,,,,,0.6311166,169.39,137.33,1.7305,45008.168,28.8699,34.9538,5.4801
2010-06-12,7145000000.0,1464000000.0,2213000000.0,5919000000.0,1149000000.0,2518000000.0,717000000.0,530000000.0,4919000000.0,785000000.0,527000000.0,168000000.0,1.09,833000000.0,327000000.0,256000000.0,506000000.0,3235000000.0,,18.307,1.7824,1.09,1041000000.0,0.4586597040905135,0.07375787263820854,0.10713559666598903,0.15958528156129295,0.10986703988803359,0.1790602189781022,0.10286643626753406,0.21162837975198212,2.815491731940818,0.6615454134658835,,,,,,,,,0.6311166,169.39,137.33,1.7305,45008.168,28.8699,34.9538,5.4801
2010-09-04,8088000000.0,2175000000.0,2301000000.0,6445000000.0,1556000000.0,2905000000.0,724000000.0,1274000000.0,7781000000.0,1329000000.0,884000000.0,307000000.0,1.82,1497000000.0,490000000.0,383000000.0,1007000000.0,3629000000.0,,18.7989,1.8553,1.82,1712000000.0,0.5681233933161953,0.109297725024728,0.11361007582572934,0.17080066829456367,0.16431750741839762,0.25631629701060754,0.1294178126204858,0.22002313327335818,2.332262210796915,0.9452411994784876,,,,,,,,,0.6311166,169.39,137.33,1.7305,45008.168,28.8699,34.9538,5.4801
2010-12-25,8316000000.0,2313000000.0,2448000000.0,6647000000.0,1576000000.0,2915000000.0,673000000.0,1426000000.0,-3702000000.0,-709000000.0,-494000000.0,-137000000.0,-1.0300000000000002,-754000000.0,-184000000.0,-169000000.0,-938000000.0,3588000000.0,0.9449,20.0383,2.0457,-1.0300000000000002,-878000000.0,-0.3134517766497462,-0.0594035594035594,0.13344138303619665,0.19151809832522962,-0.08525733525733525,-0.13729666924864445,0.25337655321447866,0.2371690977849811,2.2766497461928936,0.9448529411764706,11343000000.0,1158000000.0,1769000000.0,804000000.0,2358000000.0,2.38,2.38,1.5216284987277353,0.6311166,169.39,137.33,1.7305,45008.168,28.8699,34.9538,5.4801
2011-03-19,8426000000.0,2436000000.0,2288000000.0,6567000000.0,1783000000.0,2918000000.0,670000000.0,1529000000.0,2425000000.0,401000000.0,264000000.0,91000000.0,0.54,508000000.0,173000000.0,123000000.0,335000000.0,3588000000.0,,20.2594,2.0946,0.54,524000000.0,0.14806505888951205,0.031331592689295036,0.1088659793814433,0.16536082474226804,0.04759079041063375,0.07466021225097748,0.13814432989690723,0.21608247422680413,2.0123387549074594,1.0646853146853146,11423000000.0,1181000000.0,1806000000.0,910000000.0,2399000000.0,2.42,2.42,1.4956231763234682,0.6311166,169.39,137.33,1.7305,45008.168,28.8699,34.9538,5.4801
2011-06-11,8207000000.0,1841000000.0,1711000000.0,6319000000.0,1805000000.0,3269000000.0,19000000.0,955000000.0,5241000000.0,820000000.0,580000000.0,153000000.0,1.2,923000000.0,330000000.0,269000000.0,593000000.0,3288000000.0,,20.3873,2.1165,1.2,1089000000.0,0.32132963988919666,0.0706713780918728,0.1106659034535394,0.15645869108948673,0.09991470695747533,0.1610053013940703,0.11314634611715321,0.20778477389811104,1.821606648199446,1.075978959672706,11745000000.0,1234000000.0,1841000000.0,997000000.0,2447000000.0,2.53,2.53,1.3436861463015939,0.6311166,169.39,137.33,1.7305,45008.168,28.8699,34.9538,5.4801
2011-09-03,8549000000.0,2351000000.0,2267000000.0,6466000000.0,1993000000.0,2940000000.0,287000000.0,1236000000.0,8515000000.0,1308000000.0,963000000.0,220000000.0,1.99,1703000000.0,553000000.0,426000000.0,1150000000.0,3227000000.0,,19.7178,2.0196,1.99,1734000000.0,0.48319116909182136,0.11264475377237104,0.11309453904873752,0.15361127422196125,0.15300035091823605,0.25057471264367814,0.13505578391074574,0.20364063417498532,1.6191670847967887,1.0370533745037493,12479000000.0,1313000000.0,1820000000.0,1140000000.0,2469000000.0,2.6999999999999997,2.6999999999999997,1.3070068853786958,0.6311166,169.39,137.33,1.7305,45008.168,28.8699,34.9538,5.4801
2011-12-31,8834000000.0,2321000000.0,2450000000.0,6918000000.0,1823000000.0,2997000000.0,320000000.0,1198000000.0,-3555000000.0,-714000000.0,-488000000.0,-140000000.0,-0.9899999999999998,-964000000.0,-116000000.0,-190000000.0,-1080000000.0,3317000000.0,0.9473,20.4483,2.1362,-0.9899999999999998,-904000000.0,-0.26769061985737796,-0.05524111387819787,0.13727144866385374,0.2008438818565401,-0.08082408874801902,-0.13891050583657588,0.3037974683544304,0.2542897327707454,1.8195282501371366,0.9473469387755102,12626000000.0,1319000000.0,1815000000.0,998000000.0,2443000000.0,2.74,2.74,1.3577568563241915,0.6311166,169.39,137.33,1.7305,45008.168,28.8699,34.9538,5.4801
2012-03-24,9343000000.0,2425000000.0,2391000000.0,7064000000.0,2142000000.0,3006000000.0,319000000.0,1099000000.0,2743000000.0,645000000.0,458000000.0,147000000.0,0.96,484000000.0,184000000.0,138000000.0,300000000.0,3325000000.0,,21.7284,2.5398,0.96,783000000.0,0.2138188608776844,0.04902065717649577,0.16697047028800582,0.23514400291651477,0.0690356416568554,0.11798061093835742,0.10936930368209989,0.2854538826102807,1.5522875816993464,1.014219991635299,12944000000.0,1513000000.0,2059000000.0,963000000.0,2702000000.0,3.16,3.16,1.2305699481865284,0.6311166,169.39,137.33,1.7305,45008.168,28.8699,34.9538,5.4801
2012-06-16,9177000000.0,2231000000.0,2313000000.0,6905000000.0,2135000000.0,2995000000.0,316000000.0,984000000.0,5911000000.0,1118000000.0,789000000.0,249000000.0,1.65,924000000.0,406000000.0,279000000.0,518000000.0,3311000000.0,,19.833,2.2792,1.65,1397000000.0,0.3695550351288056,0.08597580908793724,0.13347995263068854,0.18913889358822533,0.12182630489266645,0.2052882849798017,0.08763322618846218,0.2363390289291152,1.5508196721311476,0.964548205793342,13614000000.0,1722000000.0,2357000000.0,888000000.0,3010000000.0,3.6100000000000003,3.6100000000000003,1.1,0.6311166,169.39,137.33,1.7305,45008.168,28.8699,34.9538,5.4801
