report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,cash,shares_outstanding,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-03-31,42712000000.0,4112000000.0,2909000000.0,25499000000.0,17213000000.0,,1753000000.0,506104823.0,3965000000.0,988000000.0,516000000.0,155000000.0,318000000.0,1.01,508700000.0,656000000.0,461000000.0,195000000.0,0.0,,18.1423,2.5238,1.01,988000000.0,0.029977342706094232,0.012080914028844352,0.1301387137452711,0.24918032786885247,0.023131672597864767,0.05739847789461454,0.04918032786885246,0.24918032786885247,0.0,1.4135441732554141,,,,,,,,,,,0.99305755,268.14,204.66,2.93859,145208.72,20.3431,7.43,5.9245
2010-06-30,,,,,17323000000.0,,,,,,,,,,507600000.0,,,,0.0,,15.3627,2.2592,,,,,,,,,,,0.0,,,,,,,,,,,,0.99305755,268.14,204.66,2.93859,145208.72,20.3431,7.43,5.9245
2010-09-30,43001000000.0,3910000000.0,3185000000.0,25565000000.0,17436000000.0,,1358000000.0,,12555000000.0,3668000000.0,2005000000.0,460000000.0,1248000000.0,3.98,504300000.0,2720000000.0,1686000000.0,1034000000.0,0.0,,15.9361,2.4956,3.98,3668000000.0,0.11499197063546684,0.046626822632031814,0.15969733174034248,0.2921545201115094,0.08530034185251506,0.2103693507685249,0.08235762644364795,0.2921545201115094,0.0,1.227629513343799,,,,,,,,,,,0.99305755,268.14,204.66,2.93859,145208.72,20.3431,7.43,5.9245
2010-12-31,43088000000.0,3432000000.0,2952000000.0,25325000000.0,17763000000.0,,1086000000.0,,445000000.0,325000000.0,259000000.0,-13000000.0,87000000.0,0.54,-1017700000.0,729000000.0,335000000.0,394000000.0,0.0,1.1626,16.4371,2.6935,0.54,325000000.0,0.014580870348477172,0.006010954326030449,0.5820224719101124,0.7303370786516854,0.007542703304864463,0.0182964589314868,0.8853932584269663,0.7303370786516854,0.0,1.1626016260162602,,,,,,,,,,,0.99305755,268.14,204.66,2.93859,145208.72,20.3431,7.43,5.9245
2011-03-31,43587000000.0,3677000000.0,2947000000.0,25541000000.0,18046000000.0,,1248000000.0,,4490000000.0,1137000000.0,639000000.0,141000000.0,372000000.0,1.29,494100000.0,1294000000.0,602000000.0,692000000.0,0.0,,16.6195,2.7585,1.29,1137000000.0,0.03540950903247257,0.01466033450340698,0.1423162583518931,0.2532293986636971,0.026085759515451855,0.06300565222209908,0.15412026726057906,0.2532293986636971,0.0,1.2477095351204615,,,,,,,,,,,0.99305755,268.14,204.66,2.93859,145208.72,20.3431,7.43,5.9245
2011-06-30,44029000000.0,3699000000.0,3153000000.0,25723000000.0,18306000000.0,8759000000.0,1055000000.0,,9348000000.0,2529000000.0,1424000000.0,289000000.0,857000000.0,2.89,493300000.0,2640000000.0,1327000000.0,1313000000.0,8759000000.0,,17.202,2.819,2.89,2529000000.0,0.07778870315743472,0.03234231983465443,0.15233204963628583,0.27053915275994866,0.05743941493106816,0.09344171439128025,0.14045785194694052,0.27053915275994866,0.4784770020758221,1.1731684110371075,26838000000.0,4327000000.0,7659000000.0,3433000000.0,7659000000.0,877000000.0,8.7,8.7,1.1436218827523175,8.733181299885976,0.99305755,268.14,204.66,2.93859,145208.72,20.3431,7.43,5.9245
2011-09-30,45066000000.0,4214000000.0,3724000000.0,26501000000.0,18565000000.0,8765000000.0,1647000000.0,,14449000000.0,4107000000.0,2328000000.0,431000000.0,1406000000.0,4.74,491500000.0,4334000000.0,2218000000.0,2116000000.0,8765000000.0,,12.8463,2.1137,4.74,4107000000.0,0.12539725289523296,0.05165756889894821,0.16111841649941172,0.28424112395321477,0.09113300492610837,0.15027442371020855,0.14644612083881237,0.28424112395321477,0.4721249663345004,1.131578947368421,28732000000.0,4650000000.0,8098000000.0,4515000000.0,8098000000.0,848000000.0,9.46,9.46,1.082366016300321,9.549528301886792,0.99305755,268.14,204.66,2.93859,145208.72,20.3431,7.43,5.9245
2011-12-31,45096000000.0,3727000000.0,3317000000.0,26518000000.0,18578000000.0,8697000000.0,1217000000.0,,-8730000000.0,-2049000000.0,-1099000000.0,-289000000.0,-663000000.0,-2.2,-989100000.0,-2395000000.0,-971000000.0,-3366000000.0,8697000000.0,1.1236,15.8482,2.6677,-2.2,-2049000000.0,-0.05915599095704597,-0.024370232393116906,0.1258877434135166,0.23470790378006873,-0.0454364023416711,-0.07512373968835931,0.38556701030927837,0.23470790378006873,0.4681343524598988,1.1236056677720831,19557000000.0,3292000000.0,5724000000.0,755000000.0,5724000000.0,572000000.0,6.720000000000001,6.720000000000001,1.519392033542977,10.006993006993007,0.99305755,268.14,204.66,2.93859,145208.72,20.3431,7.43,5.9245
2012-03-31,45336000000.0,3565000000.0,3902000000.0,26581000000.0,18755000000.0,8066000000.0,995000000.0,,5112000000.0,1510000000.0,863000000.0,135000000.0,528000000.0,1.79,481400000.0,1404000000.0,804000000.0,600000000.0,8066000000.0,,14.9234,2.6003,1.79,1510000000.0,0.04601439616102373,0.019035644962061057,0.16881846635367762,0.29538341158059467,0.03330686430209988,0.05629916856194773,0.11737089201877934,0.29538341158059467,0.43007198080511866,0.9136340338288057,20179000000.0,3516000000.0,6097000000.0,663000000.0,6097000000.0,566000000.0,7.22,7.22,1.3229457110054126,10.77208480565371,0.99305755,268.14,204.66,2.93859,145208.72,20.3431,7.43,5.9245
2012-06-30,46374000000.0,3956000000.0,3917000000.0,27287000000.0,19087000000.0,8636000000.0,1201000000.0,,10333000000.0,3234000000.0,1865000000.0,270000000.0,1136000000.0,3.89,479300000.0,2776000000.0,1816000000.0,960000000.0,8636000000.0,,15.1247,2.7485,3.89,3234000000.0,0.09771048357520826,0.04021650062535041,0.18048969321591019,0.312977837994774,0.06973735282701514,0.11665404177037117,0.09290622278138004,0.312977837994774,0.4524545502174255,1.0099565994383457,21164000000.0,3957000000.0,6802000000.0,310000000.0,6802000000.0,547000000.0,8.22,8.22,1.2696265804175242,12.43510054844607,0.99305755,268.14,204.66,2.93859,145208.72,20.3431,7.43,5.9245
